zone	replicate	stage	configuration	job_id	dependency	output
-	-	full_day_scan	-	2205337	-	/usr/itetnas04/data-scratch-01/hgraef/data/luxembourg_ci_temporal5_paper_final_v1/full_day_scan
-	-	select_windows	-	2205338	afterok:2205337	/usr/itetnas04/data-scratch-01/hgraef/data/luxembourg_ci_temporal5_paper_final_v1/selected_windows.tsv
factor_b1_v1_300m	2	mobility	-	2205339	afterok:2205338	/usr/itetnas04/data-scratch-01/hgraef/data/luxembourg_ci_temporal5_paper_final_v1/replicates/factor_b1_v1_300m/rep2/mobility/factor_b1_v1_300m_rep2_all_vehicles_1s_full1800.json
factor_b1_v1_300m	2	raytrace	-	2205340	afterok:2205339	/usr/itetnas04/data-scratch-01/hgraef/data/luxembourg_ci_temporal5_paper_final_v1/replicates/factor_b1_v1_300m/rep2/rssi/shards
factor_b1_v1_300m	2	merge	-	2205341	afterok:2205340	/usr/itetnas04/data-scratch-01/hgraef/data/luxembourg_ci_temporal5_paper_final_v1/replicates/factor_b1_v1_300m/rep2/rssi/factor_b1_v1_300m_rep2_vehicles_1s_opaque_no_vehicle_blockers_ge-100dbm_r20k_d3_llvm.npz
factor_b1_v1_300m	2	simulation	iso	2205342	afterok:2205341	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b1_v1/rep2/iso_paper_final_full1800_eval50_tail10x25
factor_b1_v1_300m	2	simulation	central	2205343	afterok:2205341	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b1_v1/rep2/central_paper_final_full1800_eval50_tail10x25
factor_b1_v1_300m	2	simulation	full	2205344	afterok:2205341	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b1_v1/rep2/full_paper_final_full1800_eval50_tail10x25
factor_b1_v1_300m	2	simulation	top5	2205345	afterok:2205341	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b1_v1/rep2/top5_paper_final_full1800_eval50_tail10x25
factor_b1_v1_300m	2	simulation	every1	2205346	afterok:2205341	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b1_v1/rep2/every1_paper_final_full1800_eval50_tail10x25
factor_b1_v1_300m	2	simulation	every5	2205347	afterok:2205341	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b1_v1/rep2/every5_paper_final_full1800_eval50_tail10x25
factor_b1_v1_300m	2	simulation	every10	2205348	afterok:2205341	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b1_v1/rep2/every10_paper_final_full1800_eval50_tail10x25
factor_b1_v1_300m	2	simulation	every20	2205349	afterok:2205341	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b1_v1/rep2/every20_paper_final_full1800_eval50_tail10x25
factor_b1_v1_300m	2	simulation	every40	2205350	afterok:2205341	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b1_v1/rep2/every40_paper_final_full1800_eval50_tail10x25
factor_b1_v1_300m	2	simulation	every80	2205351	afterok:2205341	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b1_v1/rep2/every80_paper_final_full1800_eval50_tail10x25
factor_b1_v1_300m	3	mobility	-	2205352	afterok:2205338	/usr/itetnas04/data-scratch-01/hgraef/data/luxembourg_ci_temporal5_paper_final_v1/replicates/factor_b1_v1_300m/rep3/mobility/factor_b1_v1_300m_rep3_all_vehicles_1s_full1800.json
factor_b1_v1_300m	3	raytrace	-	2205353	afterok:2205352	/usr/itetnas04/data-scratch-01/hgraef/data/luxembourg_ci_temporal5_paper_final_v1/replicates/factor_b1_v1_300m/rep3/rssi/shards
