zone	penalty_pct	job_id	results_dir
factor_b1_v1	2	2201464	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b1_v1/cell_grid_expert_kappa2_eval50_tail10x25
factor_b1_v1	10	2201465	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b1_v1/cell_grid_expert_kappa10_eval50_tail10x25
factor_b1_v1	50	2201466	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b1_v1/cell_grid_expert_kappa50_eval50_tail10x25
factor_b1_v2	2	2201467	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b1_v2/cell_grid_expert_kappa2_eval50_tail10x25
factor_b1_v2	10	2201468	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b1_v2/cell_grid_expert_kappa10_eval50_tail10x25
factor_b1_v2	50	2201469	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b1_v2/cell_grid_expert_kappa50_eval50_tail10x25
factor_b1_v3	2	2201470	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b1_v3/cell_grid_expert_kappa2_eval50_tail10x25
factor_b1_v3	10	2201471	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b1_v3/cell_grid_expert_kappa10_eval50_tail10x25
factor_b1_v3	50	2201472	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b1_v3/cell_grid_expert_kappa50_eval50_tail10x25
factor_b2_v1	2	2201473	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b2_v1/cell_grid_expert_kappa2_eval50_tail10x25
factor_b2_v1	10	2201474	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b2_v1/cell_grid_expert_kappa10_eval50_tail10x25
factor_b2_v1	50	2201475	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b2_v1/cell_grid_expert_kappa50_eval50_tail10x25
factor_b2_v2	2	2201476	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b2_v2/cell_grid_expert_kappa2_eval50_tail10x25
factor_b2_v2	10	2201477	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b2_v2/cell_grid_expert_kappa10_eval50_tail10x25
factor_b2_v2	50	2201478	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b2_v2/cell_grid_expert_kappa50_eval50_tail10x25
factor_b2_v3	2	2201479	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b2_v3/cell_grid_expert_kappa2_eval50_tail10x25
factor_b2_v3	10	2201480	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b2_v3/cell_grid_expert_kappa10_eval50_tail10x25
factor_b2_v3	50	2201481	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b2_v3/cell_grid_expert_kappa50_eval50_tail10x25
factor_b3_v1	2	2201482	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b3_v1/cell_grid_expert_kappa2_eval50_tail10x25
factor_b3_v1	10	2201483	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b3_v1/cell_grid_expert_kappa10_eval50_tail10x25
factor_b3_v1	50	2201484	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b3_v1/cell_grid_expert_kappa50_eval50_tail10x25
factor_b3_v2	2	2201485	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b3_v2/cell_grid_expert_kappa2_eval50_tail10x25
factor_b3_v2	10	2201486	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b3_v2/cell_grid_expert_kappa10_eval50_tail10x25
factor_b3_v2	50	2201487	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b3_v2/cell_grid_expert_kappa50_eval50_tail10x25
factor_b3_v3	2	2201488	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b3_v3/cell_grid_expert_kappa2_eval50_tail10x25
factor_b3_v3	10	2201489	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b3_v3/cell_grid_expert_kappa10_eval50_tail10x25
factor_b3_v3	50	2201490	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b3_v3/cell_grid_expert_kappa50_eval50_tail10x25
