zone	stage	configuration	job_id	results_dir
factor_b1_v1_300m	simulation	global_every5	2205197	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_synchronized_9map_paper_final_v1/methods/factor_b1_v1_300m/cell_grid_intensity_top1_global_every5_paper_final_full1800_eval50_tail10x25
factor_b1_v1_300m	simulation	global_every10	2205198	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_synchronized_9map_paper_final_v1/methods/factor_b1_v1_300m/cell_grid_intensity_top1_global_every10_paper_final_full1800_eval50_tail10x25
factor_b1_v1_300m	simulation	global_every20	2205199	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_synchronized_9map_paper_final_v1/methods/factor_b1_v1_300m/cell_grid_intensity_top1_global_every20_paper_final_full1800_eval50_tail10x25
factor_b1_v1_300m	simulation	global_every40	2205200	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_synchronized_9map_paper_final_v1/methods/factor_b1_v1_300m/cell_grid_intensity_top1_global_every40_paper_final_full1800_eval50_tail10x25
factor_b1_v1_300m	simulation	global_every80	2205201	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_synchronized_9map_paper_final_v1/methods/factor_b1_v1_300m/cell_grid_intensity_top1_global_every80_paper_final_full1800_eval50_tail10x25
factor_b1_v2_300m	simulation	global_every5	2205202	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_synchronized_9map_paper_final_v1/methods/factor_b1_v2_300m/cell_grid_intensity_top1_global_every5_paper_final_full1800_eval50_tail10x25
factor_b1_v2_300m	simulation	global_every10	2205203	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_synchronized_9map_paper_final_v1/methods/factor_b1_v2_300m/cell_grid_intensity_top1_global_every10_paper_final_full1800_eval50_tail10x25
factor_b1_v2_300m	simulation	global_every20	2205204	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_synchronized_9map_paper_final_v1/methods/factor_b1_v2_300m/cell_grid_intensity_top1_global_every20_paper_final_full1800_eval50_tail10x25
factor_b1_v2_300m	simulation	global_every40	2205205	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_synchronized_9map_paper_final_v1/methods/factor_b1_v2_300m/cell_grid_intensity_top1_global_every40_paper_final_full1800_eval50_tail10x25
factor_b1_v2_300m	simulation	global_every80	2205206	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_synchronized_9map_paper_final_v1/methods/factor_b1_v2_300m/cell_grid_intensity_top1_global_every80_paper_final_full1800_eval50_tail10x25
factor_b1_v3_300m	simulation	global_every5	2205207	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_synchronized_9map_paper_final_v1/methods/factor_b1_v3_300m/cell_grid_intensity_top1_global_every5_paper_final_full1800_eval50_tail10x25
factor_b1_v3_300m	simulation	global_every10	2205208	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_synchronized_9map_paper_final_v1/methods/factor_b1_v3_300m/cell_grid_intensity_top1_global_every10_paper_final_full1800_eval50_tail10x25
factor_b1_v3_300m	simulation	global_every20	2205209	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_synchronized_9map_paper_final_v1/methods/factor_b1_v3_300m/cell_grid_intensity_top1_global_every20_paper_final_full1800_eval50_tail10x25
factor_b1_v3_300m	simulation	global_every40	2205210	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_synchronized_9map_paper_final_v1/methods/factor_b1_v3_300m/cell_grid_intensity_top1_global_every40_paper_final_full1800_eval50_tail10x25
factor_b1_v3_300m	simulation	global_every80	2205211	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_synchronized_9map_paper_final_v1/methods/factor_b1_v3_300m/cell_grid_intensity_top1_global_every80_paper_final_full1800_eval50_tail10x25
factor_b2_v1_300m	simulation	global_every5	2205212	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_synchronized_9map_paper_final_v1/methods/factor_b2_v1_300m/cell_grid_intensity_top1_global_every5_paper_final_full1800_eval50_tail10x25
factor_b2_v1_300m	simulation	global_every10	2205213	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_synchronized_9map_paper_final_v1/methods/factor_b2_v1_300m/cell_grid_intensity_top1_global_every10_paper_final_full1800_eval50_tail10x25
factor_b2_v1_300m	simulation	global_every20	2205214	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_synchronized_9map_paper_final_v1/methods/factor_b2_v1_300m/cell_grid_intensity_top1_global_every20_paper_final_full1800_eval50_tail10x25
factor_b2_v1_300m	simulation	global_every40	2205215	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_synchronized_9map_paper_final_v1/methods/factor_b2_v1_300m/cell_grid_intensity_top1_global_every40_paper_final_full1800_eval50_tail10x25
factor_b2_v1_300m	simulation	global_every80	2205216	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_synchronized_9map_paper_final_v1/methods/factor_b2_v1_300m/cell_grid_intensity_top1_global_every80_paper_final_full1800_eval50_tail10x25
factor_b2_v2_300m	simulation	global_every5	2205217	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_synchronized_9map_paper_final_v1/methods/factor_b2_v2_300m/cell_grid_intensity_top1_global_every5_paper_final_full1800_eval50_tail10x25
factor_b2_v2_300m	simulation	global_every10	2205218	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_synchronized_9map_paper_final_v1/methods/factor_b2_v2_300m/cell_grid_intensity_top1_global_every10_paper_final_full1800_eval50_tail10x25
factor_b2_v2_300m	simulation	global_every20	2205219	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_synchronized_9map_paper_final_v1/methods/factor_b2_v2_300m/cell_grid_intensity_top1_global_every20_paper_final_full1800_eval50_tail10x25
factor_b2_v2_300m	simulation	global_every40	2205220	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_synchronized_9map_paper_final_v1/methods/factor_b2_v2_300m/cell_grid_intensity_top1_global_every40_paper_final_full1800_eval50_tail10x25
factor_b2_v2_300m	simulation	global_every80	2205221	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_synchronized_9map_paper_final_v1/methods/factor_b2_v2_300m/cell_grid_intensity_top1_global_every80_paper_final_full1800_eval50_tail10x25
factor_b2_v3_300m	simulation	global_every5	2205222	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_synchronized_9map_paper_final_v1/methods/factor_b2_v3_300m/cell_grid_intensity_top1_global_every5_paper_final_full1800_eval50_tail10x25
factor_b2_v3_300m	simulation	global_every10	2205223	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_synchronized_9map_paper_final_v1/methods/factor_b2_v3_300m/cell_grid_intensity_top1_global_every10_paper_final_full1800_eval50_tail10x25
factor_b2_v3_300m	simulation	global_every20	2205224	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_synchronized_9map_paper_final_v1/methods/factor_b2_v3_300m/cell_grid_intensity_top1_global_every20_paper_final_full1800_eval50_tail10x25
factor_b2_v3_300m	simulation	global_every40	2205225	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_synchronized_9map_paper_final_v1/methods/factor_b2_v3_300m/cell_grid_intensity_top1_global_every40_paper_final_full1800_eval50_tail10x25
factor_b2_v3_300m	simulation	global_every80	2205226	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_synchronized_9map_paper_final_v1/methods/factor_b2_v3_300m/cell_grid_intensity_top1_global_every80_paper_final_full1800_eval50_tail10x25
factor_b3_v1_300m	simulation	global_every5	2205227	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_synchronized_9map_paper_final_v1/methods/factor_b3_v1_300m/cell_grid_intensity_top1_global_every5_paper_final_full1800_eval50_tail10x25
factor_b3_v1_300m	simulation	global_every10	2205228	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_synchronized_9map_paper_final_v1/methods/factor_b3_v1_300m/cell_grid_intensity_top1_global_every10_paper_final_full1800_eval50_tail10x25
factor_b3_v1_300m	simulation	global_every20	2205229	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_synchronized_9map_paper_final_v1/methods/factor_b3_v1_300m/cell_grid_intensity_top1_global_every20_paper_final_full1800_eval50_tail10x25
factor_b3_v1_300m	simulation	global_every40	2205230	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_synchronized_9map_paper_final_v1/methods/factor_b3_v1_300m/cell_grid_intensity_top1_global_every40_paper_final_full1800_eval50_tail10x25
factor_b3_v1_300m	simulation	global_every80	2205231	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_synchronized_9map_paper_final_v1/methods/factor_b3_v1_300m/cell_grid_intensity_top1_global_every80_paper_final_full1800_eval50_tail10x25
factor_b3_v2_300m	simulation	global_every5	2205232	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_synchronized_9map_paper_final_v1/methods/factor_b3_v2_300m/cell_grid_intensity_top1_global_every5_paper_final_full1800_eval50_tail10x25
factor_b3_v2_300m	simulation	global_every10	2205233	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_synchronized_9map_paper_final_v1/methods/factor_b3_v2_300m/cell_grid_intensity_top1_global_every10_paper_final_full1800_eval50_tail10x25
factor_b3_v2_300m	simulation	global_every20	2205234	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_synchronized_9map_paper_final_v1/methods/factor_b3_v2_300m/cell_grid_intensity_top1_global_every20_paper_final_full1800_eval50_tail10x25
factor_b3_v2_300m	simulation	global_every40	2205235	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_synchronized_9map_paper_final_v1/methods/factor_b3_v2_300m/cell_grid_intensity_top1_global_every40_paper_final_full1800_eval50_tail10x25
factor_b3_v2_300m	simulation	global_every80	2205236	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_synchronized_9map_paper_final_v1/methods/factor_b3_v2_300m/cell_grid_intensity_top1_global_every80_paper_final_full1800_eval50_tail10x25
factor_b3_v3_300m	simulation	global_every5	2205237	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_synchronized_9map_paper_final_v1/methods/factor_b3_v3_300m/cell_grid_intensity_top1_global_every5_paper_final_full1800_eval50_tail10x25
factor_b3_v3_300m	simulation	global_every10	2205238	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_synchronized_9map_paper_final_v1/methods/factor_b3_v3_300m/cell_grid_intensity_top1_global_every10_paper_final_full1800_eval50_tail10x25
factor_b3_v3_300m	simulation	global_every20	2205239	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_synchronized_9map_paper_final_v1/methods/factor_b3_v3_300m/cell_grid_intensity_top1_global_every20_paper_final_full1800_eval50_tail10x25
factor_b3_v3_300m	simulation	global_every40	2205240	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_synchronized_9map_paper_final_v1/methods/factor_b3_v3_300m/cell_grid_intensity_top1_global_every40_paper_final_full1800_eval50_tail10x25
factor_b3_v3_300m	simulation	global_every80	2205241	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_synchronized_9map_paper_final_v1/methods/factor_b3_v3_300m/cell_grid_intensity_top1_global_every80_paper_final_full1800_eval50_tail10x25
