zone	replicate	start_s	end_s	existing	selection_tolerance	mean_active	median_active	p95_active	max_active	active_cv
factor_b1_v1_300m	1	27900	29700	1	0.0	16.07111111111111	15.0	28.0	36.0	0.40261051446014695
factor_b1_v1_300m	2	61500	63300	0	0.2	15.613888888888889	15.0	27.0	33.0	0.413320287731914
factor_b1_v1_300m	3	64200	66000	0	0.2	18.886111111111113	18.0	32.0	38.0	0.39657098830749843
factor_b1_v1_300m	4	67800	69600	0	0.2	18.933333333333334	18.0	31.0	44.0	0.36898821272600024
factor_b1_v1_300m	5	70500	72300	0	0.2	13.683333333333334	13.0	25.0	31.0	0.47661903711154824
factor_b1_v2_300m	1	27900	29700	1	0.0	37.090555555555554	37.0	52.049999999999955	60.0	0.24039903971607807
factor_b1_v2_300m	2	25200	27000	0	0.2	30.636111111111113	32.0	42.0	50.0	0.25712848494812757
factor_b1_v2_300m	3	30600	32400	0	0.2	36.59444444444444	36.0	54.0	60.0	0.2644501474971173
factor_b1_v2_300m	4	63000	64800	0	0.2	35.022222222222226	34.0	61.0	79.0	0.35883312101900605
factor_b1_v2_300m	5	67500	69300	0	0.2	36.769444444444446	36.0	55.0	69.0	0.3152847603944544
factor_b1_v3_300m	1	27900	29700	1	0.0	58.83166666666666	59.0	67.0	73.0	0.08446346856172973
factor_b1_v3_300m	2	25200	27000	0	0.1	58.19722222222222	58.0	66.0	71.0	0.08462105169241907
factor_b1_v3_300m	3	48900	50700	0	0.1	55.35	55.0	65.0	72.0	0.10967293956007179
factor_b1_v3_300m	4	68400	70200	0	0.1	56.22222222222222	57.0	67.0	72.0	0.1347175378723541
factor_b1_v3_300m	5	71100	72900	0	0.1	55.55555555555556	56.0	63.0	69.0	0.08493173729531264
factor_b2_v1_300m	1	27900	29700	1	0.0	16.27888888888889	15.0	31.0	55.0	0.48863615052690895
factor_b2_v1_300m	2	30900	32700	0	0.15	14.833333333333334	14.0	27.0	35.0	0.45067246252262017
factor_b2_v1_300m	3	62700	64500	0	0.15	15.033333333333333	14.0	28.0	38.0	0.45139244984826754
factor_b2_v1_300m	4	65400	67200	0	0.15	16.291666666666668	16.0	30.0	38.0	0.42937969899576583
factor_b2_v1_300m	5	68100	69900	0	0.15	13.91388888888889	12.5	27.0	37.0	0.5277903295646268
factor_b2_v2_300m	1	27900	29700	1	0.0	39.401666666666664	40.0	51.0	59.0	0.1971719913203866
factor_b2_v2_300m	2	25200	27000	0	0.25	31.61111111111111	31.5	42.0	48.0	0.19866244524900264
factor_b2_v2_300m	3	30600	32400	0	0.25	35.94444444444444	36.0	50.0	58.0	0.22467551421881354
factor_b2_v2_300m	4	64800	66600	0	0.25	33.68333333333333	33.0	53.0	62.0	0.30184659395127833
factor_b2_v2_300m	5	67800	69600	0	0.25	30.772222222222222	30.0	43.0	53.0	0.2261413436430924
factor_b2_v3_300m	1	27900	29700	1	0.0	60.248333333333335	57.0	95.0	106.0	0.31036427635210695
factor_b2_v3_300m	2	31200	33000	0	0.2	60.34444444444444	59.0	90.0	107.0	0.2824398633865681
factor_b2_v3_300m	3	62100	63900	0	0.2	55.65277777777778	54.0	82.0	96.0	0.25762518638771403
factor_b2_v3_300m	4	64800	66600	0	0.2	70.68333333333334	68.0	96.0	103.0	0.17698948753373742
factor_b2_v3_300m	5	68700	70500	0	0.2	58.93611111111111	58.0	83.0	95.0	0.2521921031522688
factor_b3_v1_300m	1	27900	29700	1	0.0	15.283333333333333	14.0	35.0	44.0	0.6475652257077175
factor_b3_v1_300m	2	30900	32700	0	0.1	15.25	12.0	36.0	52.0	0.6752426977664093
factor_b3_v1_300m	3	62700	64500	0	0.1	15.027777777777779	13.0	34.0	54.0	0.6318680335138376
factor_b3_v1_300m	4	65700	67500	0	0.1	15.197222222222223	15.0	31.0	39.0	0.5677961179196952
factor_b3_v1_300m	5	68700	70500	0	0.1	14.661111111111111	14.0	32.0	41.0	0.5947797803288583
factor_b3_v2_300m	1	27900	29700	1	0.0	36.909444444444446	35.0	60.0	70.0	0.3413606534415061
factor_b3_v2_300m	2	25200	27000	0	0.2	30.802777777777777	31.0	48.0	58.0	0.3289862160845337
factor_b3_v2_300m	3	32100	33900	0	0.2	36.13611111111111	36.0	60.0	81.0	0.38996981214891335
factor_b3_v2_300m	4	62700	64500	0	0.2	37.333333333333336	37.0	57.0	71.0	0.2985335651829059
factor_b3_v2_300m	5	69000	70800	0	0.2	36.68055555555556	36.0	55.0	68.0	0.2975235261104362
factor_b3_v3_300m	1	27900	29700	1	0.0	55.29	54.0	80.0	96.0	0.25535819617504696
factor_b3_v3_300m	2	31200	33000	0	0.1	54.772222222222226	55.0	74.0	88.0	0.2212451860624012
factor_b3_v3_300m	3	62700	64500	0	0.1	55.09722222222222	54.5	79.0	93.0	0.251409317931073
factor_b3_v3_300m	4	66600	68400	0	0.1	60.233333333333334	59.0	86.0	108.0	0.25598483125869126
factor_b3_v3_300m	5	69300	71100	0	0.1	50.49722222222222	48.5	81.0	89.0	0.3219682409561857
