method_order,method,method_label,density_score,replicates,zones_per_replicate,rmse,rmse_ci95,feasible_rmse,feasible_rmse_ci95,nonfeasible_rmse,nonfeasible_rmse_ci95,communication_mb_per_s,communication_mb_per_s_ci95
0,iso,ISO,1,5,3,31.75486616531963,0.687057993095556,35.85009626438766,0.7983314694602451,4.047520304604454,1.5295137336355873,0.0,0.0
0,iso,ISO,2,5,3,26.403364637296608,1.0100811759484691,35.70693740732675,1.3888888501434935,2.649508905763413,0.7329444595549452,0.0,0.0
0,iso,ISO,3,5,3,25.958204109652065,0.8153556804591611,37.09080653112963,1.1894656305505957,2.0583374001280808,0.4928391223100045,0.0,0.0
1,central,Central,1,5,3,12.030962045849682,0.3833097733141662,7.5076316827911755,0.6348406298501202,27.96176459302767,0.40583069220111234,0.0,0.0
1,central,Central,2,5,3,11.529738127868985,0.32029110373157205,8.759621202575394,0.5840466548342714,14.101861487382346,0.23993556641704966,0.0,0.0
1,central,Central,3,5,3,10.279346552724158,0.41613861859737633,9.21903769298647,0.7025422338475745,10.889349414175793,0.6883475671612809,0.0,0.0
2,full,Full,1,5,3,13.647289170171593,1.0172208652346033,8.796442060675831,1.9039943309147098,29.929704616332543,1.145487643038626,389.44423932586665,113.6109984408816
2,full,Full,2,5,3,14.786016686716579,0.40970767292122395,11.176778141059817,0.4755161598480209,18.238383682656906,0.7104482465677023,703.0351355946666,405.4706444153699
2,full,Full,3,5,3,13.911503582737932,0.9828492782677094,14.336689909684202,2.0910596820324976,12.252877419692512,1.0241926048590384,486.9059868288,222.88658047804063
3,top5,Top 5,1,5,3,13.575597833476147,1.0086123033658323,8.910352145526536,1.8493257958842224,29.582812669397317,0.9178801917925252,48.12615518293333,9.62639200018286
3,top5,Top 5,2,5,3,14.554893568799878,0.3462713347272376,11.039047264272204,0.4483101919863514,17.947870503567934,0.5385106907031141,77.9716565888,22.114481044950836
3,top5,Top 5,3,5,3,13.869476827727969,0.9680655351392495,14.31218856062425,2.117684039825368,12.18454158792419,1.0948404689675078,63.57031254613334,14.907186335476993
4,every1,Top 1,1,5,3,13.444285613241274,1.0475430831571166,8.970482732425008,1.8041566444959292,28.831468155318174,0.6885804916282026,9.648074866133333,1.8893685945322218
4,every1,Top 1,2,5,3,14.68474197577098,0.2778118100982142,11.293166443926673,0.4703249027639258,18.02496349777,0.4494650554484314,15.725195176533333,4.398360396532547
4,every1,Top 1,3,5,3,13.915236744516175,0.9561055233166698,14.5136224983596,2.0339832441656225,12.020691360518015,1.0477462641694162,12.824027253333332,3.0117878532985665
5,every5,Every 5,1,5,3,17.502495611196757,0.8796087975703382,15.652461471211335,1.7542043323638266,22.372832457096926,1.2335096275590494,1.8219105450666668,0.38335973517351435
5,every5,Every 5,2,5,3,16.593271008807758,0.23726234901710228,16.143500224767497,0.5633084957529002,17.0935489417812,0.6923464909039654,3.1477396917333333,0.8802021984957087
5,every5,Every 5,3,5,3,15.969252314641983,0.9655657072435876,19.434327463013005,1.627164219599517,10.539493219450808,0.5093832082084906,2.499050078933333,0.5616862677025872
6,every10,Every 10,1,5,3,19.42591464885088,1.010716015081725,18.595453570205844,1.7836218498967276,19.890275360859114,1.5441265082809121,0.8876027861333334,0.19162335955811213
6,every10,Every 10,2,5,3,17.713254538322275,0.3154098880388627,18.70235081628588,0.9481782254842216,16.25280571932246,1.3939909962824437,1.559997152,0.4525355549228476
6,every10,Every 10,3,5,3,17.477811414654518,0.7239476098875999,22.30395373174502,1.1908156187623726,9.714145404752838,0.5437438034533667,1.2183195264,0.2887301657316586
7,every20,Every 20,1,5,3,22.110392489981187,0.9455180828736383,22.66364542541368,1.7052923634732127,17.859696696777476,1.8127908005384903,0.4140628490666667,0.0858594168870521
7,every20,Every 20,2,5,3,19.20882603353764,0.7367943199406393,22.41017530768434,1.1719261628880007,14.326741927049497,2.14470909065468,0.7280254997333333,0.20955432589378986
7,every20,Every 20,3,5,3,19.509403869236554,0.350986055372582,25.946616506203714,0.6560720243468252,8.862402010806623,0.48422222764094214,0.5636984853333333,0.14202147203416493
8,every40,Every 40,1,5,3,25.979487501608567,1.6943647590431608,28.743959125113662,2.5082442615921643,12.21204957536464,2.8432061775582,0.18439616213333335,0.040257575598880886
8,every40,Every 40,2,5,3,21.563632592329892,1.3858739300490095,27.596106821090963,2.598431467351365,10.012315853621484,2.4394046312819593,0.3264351978666667,0.1158004816393725
8,every40,Every 40,3,5,3,21.6716356274176,0.5927483357545345,30.08808364808927,1.0107862322646586,6.639742777423981,1.1400166653291726,0.2489208789333333,0.06502733109558244
9,every80,Every 80,1,5,3,28.690626927995247,1.324591241315823,32.43818051179252,1.861850726143896,8.236430908903694,2.96931243905557,0.07814953066666666,0.023599445852906586
9,every80,Every 80,2,5,3,24.3402671010224,1.2092915648344975,32.34716803229813,1.7954854988347364,6.444705283960952,1.278639264492947,0.1405478272,0.045431284005976354
9,every80,Every 80,3,5,3,24.16988051073202,1.142466149017886,34.40063068964216,1.7511268526832289,3.4862094051164005,1.0638687445512418,0.08823097599999999,0.0371535528686412
10,ungated,Ungated Greedy,1,5,3,16.886084979481137,1.439902350932579,7.088060994953098,1.2099535702266295,39.074472111160965,1.9565382054974798,29.024268192,7.878661144685356
10,ungated,Ungated Greedy,2,5,3,24.25093609437109,3.268227819332717,11.863087905079878,2.004520151342407,33.1553577574605,4.357406914094298,34.207720704,19.65327104732174
10,ungated,Ungated Greedy,3,5,3,28.47434661307097,2.8174764283259948,14.10109130844179,2.021138990826972,37.089178950225474,3.592789299382857,24.716742624,11.235289368616693
