method_order,method,method_label,replicates,zones_per_replicate,rmse,rmse_ci95,feasible_rmse,feasible_rmse_ci95,nonfeasible_rmse,nonfeasible_rmse_ci95,communication_mb_per_s,communication_mb_per_s_ci95
0,iso,ISO,5,9,28.038811637422764,0.6315719763773869,36.215946734281346,0.8592980080571234,2.9184555368319827,0.7452123734049881,0.0,0.0
1,central,Central,5,9,11.280015575480942,0.12309481129080692,8.495430192784346,0.3119571471838565,17.650991831528604,0.3036915567196544,0.0,0.0
2,full,Full,5,9,14.114936479875368,0.4711966390716818,11.436636703806617,0.9258834995802916,20.14032190622732,0.506699244381724,526.4617872497777,230.00258229273453
3,top5,Top 5,5,9,13.99998941000133,0.46278830294146805,11.42052932347433,0.9312163728698635,19.905074920296478,0.4577891186011823,63.222708105955554,14.551229699059876
4,every1,Top 1,5,9,14.01475477784281,0.47182340276733137,11.592423891570427,0.9144427004184407,19.625707671202065,0.4229664922493318,12.732432432,2.9047998330176914
5,every5,Every 5,5,9,16.688339644882166,0.36380431060953444,17.07676305299728,0.7723511423567943,16.668624872776313,0.6452277339831362,2.4895667719111114,0.5736984025616589
6,every10,Every 10,5,9,18.205660200609223,0.32979464721848367,19.867252706078915,0.7700588589656455,15.285742161644805,0.9938542805049392,1.2219731548444446,0.2936481763763166
7,every20,Every 20,5,9,20.276207464251794,0.5434217468073799,23.673479079767244,0.9181581637127418,13.682946878211197,0.9902335446236294,0.5685956113777778,0.13676902635357918
8,every40,Every 40,5,9,23.07158524045202,1.1127416576126241,28.809383198097965,1.8307321520105324,9.621369402136702,1.8629178870745324,0.2532507463111111,0.06936632772573213
9,every80,Every 80,5,9,25.733591513249888,0.9616764077710187,33.061993077910934,1.4601341555788088,6.055781865993683,1.6053841034855614,0.10230944462222222,0.03248215339697158
10,ungated,Ungated Greedy,5,9,23.203789228974397,1.9346945904881312,11.017413402824923,1.0190320859889894,36.439669606282315,2.6826252935526114,29.31624384,11.888576056572512
