method_order,method,method_label,replicate,zones,rmse,feasible_rmse,nonfeasible_rmse,communication_mb_per_s
0,iso,ISO,1,9,27.90579606214329,36.02705493982957,3.3945537562856654,0.0
0,iso,ISO,2,9,28.130479788012174,36.376659381090015,2.770871139000991,0.0
0,iso,ISO,3,9,28.051016606957898,36.185041755489465,2.3976671952348756,0.0
0,iso,ISO,4,9,27.343372960161062,35.283318503494314,3.6864080191017528,0.0
0,iso,ISO,5,9,28.7633927698394,37.20765909150336,2.342777574536629,0.0
1,central,Central,1,9,11.357906952763186,8.456844758453492,17.693983996163045,0.0
1,central,Central,2,9,11.241133989567437,8.93222563259565,17.281323065509678,0.0
1,central,Central,3,9,11.215762487736946,8.312758484660385,17.66368079267143,0.0
1,central,Central,4,9,11.175832594802724,8.345163224733508,17.64778651664527,0.0
1,central,Central,5,9,11.409441852534414,8.430158863478695,17.968184786653598,0.0
2,full,Full,1,9,13.960910618818948,11.12225071255361,20.162146984789924,571.9271931377777
2,full,Full,2,9,14.373787224291435,12.343502756977484,19.61649455380418,429.4511923235556
2,full,Full,3,9,13.884078968811652,10.721228722064286,20.699892679301627,593.2371979057777
2,full,Full,4,9,13.717474933651761,10.87218398016173,20.307077715820487,765.0157743964444
2,full,Full,5,9,14.638430653803047,12.12401734727597,19.915997597420382,272.6775784853333
3,top5,Top 5,1,9,13.865398460342313,11.107839234970376,20.084015882819312,69.69274416
3,top5,Top 5,2,9,14.320430905149161,12.349055512158024,19.475695431840823,59.623324897777785
3,top5,Top 5,3,9,13.747155486574034,10.72769682012732,20.318693238384537,64.61699496
3,top5,Top 5,4,9,13.604118987109537,10.823838535690765,20.090831953565786,76.63849877333332
3,top5,Top 5,5,9,14.462843210831608,12.09421651442517,19.556138094871944,45.54197773866667
4,every1,Top 1,1,9,13.86225965987449,11.281489861123598,19.559342512470874,13.997651873777777
4,every1,Top 1,2,9,14.282029747281147,12.477712569131352,19.231439537977828,12.005949136
4,every1,Top 1,3,9,13.87282125726431,11.075511636707759,20.1101349929272,13.062061612444445
4,every1,Top 1,4,9,13.547512668228356,10.849468266718382,19.800024448481235,15.402899226666667
4,every1,Top 1,5,9,14.509150556565746,12.27793712417104,19.427596864153188,9.193600311111112
5,every5,Every 5,1,9,16.635065567025336,16.712533589632617,17.18894509501699,2.7644984213333337
5,every5,Every 5,2,9,16.956992131175454,17.514741519964886,16.751672328253445,2.355074414222222
5,every5,Every 5,3,9,16.518625232457403,16.661718997203096,16.88644428908209,2.5422565795555556
5,every5,Every 5,4,9,16.32015853789748,16.542893065778927,16.71513368703036,3.0007943360000002
5,every5,Every 5,5,9,17.010856755855155,17.951928092406863,15.800928964498686,1.7852101084444445
6,every10,Every 10,1,9,18.328181649585385,19.53771423357686,16.18926345500184,1.367576216888889
6,every10,Every 10,2,9,18.19017968592059,20.138073992593004,14.845570262555176,1.1326511395555556
6,every10,Every 10,3,9,18.15707868080335,19.598419128954617,15.518417779963158,1.2532601013333333
6,every10,Every 10,4,9,17.81389205241445,19.246601029545175,15.730267190379944,1.4861901404444444
6,every10,Every 10,5,9,18.53896893432235,20.81545514572492,14.1451921203239,0.870188176
7,every20,Every 20,1,9,20.057952204761513,22.869610709045716,14.759556572712459,0.6409288177777778
7,every20,Every 20,2,9,20.243828988432902,23.972404034832667,13.134783585171638,0.5280364551111111
7,every20,Every 20,3,9,20.334625303641925,23.498739770061963,14.108219628578334,0.5860659786666668
7,every20,Every 20,4,9,19.782569115296763,23.241921419963408,13.679817171177687,0.685636816
7,every20,Every 20,5,9,20.962061709125873,24.784719464932465,12.732357433415872,0.40230998933333334
8,every40,Every 40,1,9,22.744796247087784,27.86459110559412,11.321832742038325,0.29394292977777775
8,every40,Every 40,2,9,23.047317337580555,28.779175878516874,9.709792404078547,0.23917748088888885
8,every40,Every 40,3,9,23.64035641498678,29.897011775756408,8.161253963886189,0.2444021706666667
8,every40,Every 40,4,9,21.788441046748883,26.93471573197979,10.856752029404598,0.31645499555555556
8,every40,Every 40,5,9,24.137015155856098,30.57142149864262,8.05721587127585,0.17227615466666665
9,every80,Every 80,1,9,25.612849498115594,32.937187069081666,6.027263960897694,0.11363600888888888
9,every80,Every 80,2,9,25.89273725035257,33.36030218862515,5.525802671946614,0.08931192888888889
9,every80,Every 80,3,9,25.841453036182962,33.15241935676116,5.7651570249822655,0.10518803022222221
9,every80,Every 80,4,9,24.579440329157748,31.289318517904537,8.206611858712703,0.13657092622222222
9,every80,Every 80,5,9,26.741477452440563,34.570738257182164,4.754073813429137,0.06684032888888888
10,ungated,Ungated Greedy,1,9,22.908358794015484,11.01943104661077,35.856795975929614,31.38073232
10,ungated,Ungated Greedy,2,9,22.942235632244806,10.948035953433806,36.05436288145157,24.4600184
10,ungated,Ungated Greedy,3,9,23.11871091173704,10.774517435984198,36.4535106199921,32.38442992
10,ungated,Ungated Greedy,4,9,21.36354368954617,10.036266531129865,33.93964201831704,42.0116368
10,ungated,Ungated Greedy,5,9,25.68609711732849,12.308816046965974,39.894036535721256,16.34440176
