method,method_label,zone,replicate,valid_tail_evaluations,excluded_tail_steps,greedy_total,greedy_feasible_rmse,greedy_infeasible_rmse,communication_mb_per_s,run_directory
iso,ISO,factor_b1_v1,1,10,,33.04054242729612,38.493143391142475,5.521235721807547,0.0,results/paper/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b1_v1/cell_grid_local_only_eval50_tail10x25
iso,ISO,factor_b1_v1,2,10,,33.329809877944186,38.91067012522241,3.912751239715412,0.0,results/paper/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b1_v1/rep2/iso_paper_final_full1800_eval50_tail10x25
iso,ISO,factor_b1_v1,3,10,,33.77883971155253,39.494189230632344,1.9076873551613474,0.0,results/paper/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b1_v1/rep3/iso_paper_final_full1800_eval50_tail10x25
iso,ISO,factor_b1_v1,4,10,,33.51413449296011,39.163699106434336,2.645509106079484,0.0,results/paper/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b1_v1/rep4/iso_paper_final_full1800_eval50_tail10x25
iso,ISO,factor_b1_v1,5,9,1724,33.91871861597369,39.65742606452145,1.8320360985582052,0.0,results/paper/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b1_v1/rep5/iso_paper_final_full1800_eval50_tail10x25
iso,ISO,factor_b1_v2,1,10,,31.528937964894187,37.94231965778644,3.1064601247976382,0.0,results/paper/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b1_v2/cell_grid_local_only_eval50_tail10x25
iso,ISO,factor_b1_v2,2,10,,32.13699914806385,38.70686500058971,2.26635703502203,0.0,results/paper/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b1_v2/rep2/iso_paper_final_full1800_eval50_tail10x25
iso,ISO,factor_b1_v2,3,10,,31.320833715849652,37.66045132893247,3.5794103406515445,0.0,results/paper/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b1_v2/rep3/iso_paper_final_full1800_eval50_tail10x25
iso,ISO,factor_b1_v2,4,10,,29.909507450565023,35.80287306901417,6.244026340308211,0.0,results/paper/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b1_v2/rep4/iso_paper_final_full1800_eval50_tail10x25
iso,ISO,factor_b1_v2,5,10,,32.293569075723745,38.89641721362068,2.001917439149455,0.0,results/paper/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b1_v2/rep5/iso_paper_final_full1800_eval50_tail10x25
iso,ISO,factor_b1_v3,1,10,,31.028731483966606,31.325396973753527,7.127223904289737,0.0,results/paper/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b1_v3/cell_grid_local_only_eval50_tail10x25
iso,ISO,factor_b1_v3,2,10,,29.572737343013692,29.85621046795124,6.664648809296071,0.0,results/paper/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b1_v3/rep2/iso_paper_final_full1800_eval50_tail10x25
iso,ISO,factor_b1_v3,3,10,,31.555386135103458,31.87303510723128,1.7447469907483906,0.0,results/paper/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b1_v3/rep3/iso_paper_final_full1800_eval50_tail10x25
iso,ISO,factor_b1_v3,4,10,,29.116139934477236,29.395701093749313,6.449188239526878,0.0,results/paper/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b1_v3/rep4/iso_paper_final_full1800_eval50_tail10x25
iso,ISO,factor_b1_v3,5,10,,30.278105102410308,30.573046135233035,5.7096058239548615,0.0,results/paper/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b1_v3/rep5/iso_paper_final_full1800_eval50_tail10x25
iso,ISO,factor_b2_v1,1,10,,24.159922175163846,34.71657423612659,1.005182104259092,0.0,results/paper/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b2_v1/cell_grid_local_only_eval50_tail10x25
iso,ISO,factor_b2_v1,2,10,,25.820821124647598,37.112428149001104,0.7540679846892266,0.0,results/paper/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b2_v1/rep2/iso_paper_final_full1800_eval50_tail10x25
iso,ISO,factor_b2_v1,3,10,,25.763632416811124,37.02744338757672,0.8419840439268107,0.0,results/paper/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b2_v1/rep3/iso_paper_final_full1800_eval50_tail10x25
iso,ISO,factor_b2_v1,4,10,,25.545902392020203,36.70829229485861,1.0714528323943018,0.0,results/paper/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b2_v1/rep4/iso_paper_final_full1800_eval50_tail10x25
