method,method_label,replicates,zones_per_replicate,greedy_total_mean,greedy_total_sample_sd,greedy_total_ci95_half_width,greedy_feasible_rmse_mean,greedy_feasible_rmse_sample_sd,greedy_feasible_rmse_ci95_half_width,greedy_infeasible_rmse_mean,greedy_infeasible_rmse_sample_sd,greedy_infeasible_rmse_ci95_half_width,communication_mb_per_s_mean,communication_mb_per_s_sample_sd,communication_mb_per_s_ci95_half_width
iso,ISO,5,9,28.038811637422764,0.5086496647168964,0.6315719763773869,36.215946734281346,0.692053574316573,0.8592980080571234,2.9184555368319827,0.6001723288128171,0.7452123734049881,0.0,0.0,0.0
central,Central,5,9,11.280015575480942,0.09913697382615592,0.12309481129080692,8.495430192784346,0.2512411953919453,0.3119571471838565,17.650991831528604,0.24458432970512556,0.3036915567196544,0.0,0.0,0.0
full,Full,5,9,14.114936479875368,0.3794880416548526,0.4711966390716818,11.436636703806617,0.7456795887774037,0.9258834995802916,20.14032190622732,0.4080808053666148,0.506699244381724,526.4617872497777,185.23737712091526,230.00258229273453
top5,Top 5,5,9,13.99998941000133,0.3727162127684731,0.46278830294146805,11.42052932347433,0.7499745295160308,0.9312163728698635,19.905074920296478,0.3686900153853504,0.4577891186011823,63.222708105955554,11.71913635259634,14.551229699059876
every1,Top 1,5,9,14.01475477784281,0.37999281887039266,0.47182340276733137,11.592423891570427,0.7364655025363582,0.9144427004184407,19.625707671202065,0.34064488691079836,0.4229664922493318,12.732432432,2.339441134815759,2.9047998330176914
every5,Every 5,5,9,16.688339644882166,0.29299738990244234,0.36380431060953444,17.07676305299728,0.6220291024577533,0.7723511423567943,16.668624872776313,0.519647613941086,0.6452277339831362,2.4895667719111114,0.46203997489787146,0.5736984025616589
every10,Every 10,5,9,18.205660200609223,0.26560699810542615,0.32979464721848367,19.867252706078915,0.6201829642154713,0.7700588589656455,15.285742161644805,0.8004212749525498,0.9938542805049392,1.2219731548444446,0.23649568385740272,0.2936481763763166
every20,Every 20,5,9,20.276207464251794,0.4376560386654621,0.5434217468073799,23.673479079767244,0.7394578283988107,0.9181581637127418,13.682946878211197,0.7975052397880064,0.9902335446236294,0.5685956113777778,0.11014978814835086,0.13676902635357918
every40,Every 40,5,9,23.07158524045202,0.8961697038992467,1.1127416576126241,28.809383198097965,1.4744183246505753,1.8307321520105324,9.621369402136702,1.5003397777252887,1.8629178870745324,0.2532507463111111,0.055865618900185425,0.06936632772573213
every80,Every 80,5,9,25.733591513249888,0.774506153969361,0.9616764077710187,33.061993077910934,1.175949498166242,1.4601341555788088,6.055781865993683,1.2929295733853643,1.6053841034855614,0.10230944462222222,0.026160179761965694,0.03248215339697158
ungated,Ungated Greedy,5,9,23.203789228974397,1.558146642962127,1.9346945904881312,11.017413402824923,0.820698745766291,1.0190320859889894,36.439669606282315,2.1605082352660534,2.6826252935526114,29.31624384,9.574712703091121,11.888576056572512
