zone	replicate	configuration	job_id	output
factor_b1_v1_300m	1	ungated_equal_greedy	2212310	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b1_v1/rep1/ungated_equal_greedy_paper_final_full1800_eval50_tail10x25
factor_b1_v1_300m	2	ungated_equal_greedy	2212311	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b1_v1/rep2/ungated_equal_greedy_paper_final_full1800_eval50_tail10x25
factor_b1_v1_300m	3	ungated_equal_greedy	2212312	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b1_v1/rep3/ungated_equal_greedy_paper_final_full1800_eval50_tail10x25
factor_b1_v1_300m	4	ungated_equal_greedy	2212313	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b1_v1/rep4/ungated_equal_greedy_paper_final_full1800_eval50_tail10x25
factor_b1_v1_300m	5	ungated_equal_greedy	2212314	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b1_v1/rep5/ungated_equal_greedy_paper_final_full1800_eval50_tail10x25
factor_b1_v2_300m	1	ungated_equal_greedy	2212315	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b1_v2/rep1/ungated_equal_greedy_paper_final_full1800_eval50_tail10x25
factor_b1_v2_300m	2	ungated_equal_greedy	2212316	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b1_v2/rep2/ungated_equal_greedy_paper_final_full1800_eval50_tail10x25
factor_b1_v2_300m	3	ungated_equal_greedy	2212317	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b1_v2/rep3/ungated_equal_greedy_paper_final_full1800_eval50_tail10x25
factor_b1_v2_300m	4	ungated_equal_greedy	2212318	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b1_v2/rep4/ungated_equal_greedy_paper_final_full1800_eval50_tail10x25
factor_b1_v2_300m	5	ungated_equal_greedy	2212319	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b1_v2/rep5/ungated_equal_greedy_paper_final_full1800_eval50_tail10x25
