step,zone,n_links,mean_rssi_dbm,min_rssi_dbm,max_rssi_dbm,mean_propagation_loss_db,min_propagation_loss_db,max_propagation_loss_db
1,0,628,-58.15799163405303,-91.57872772216797,-29.390966415405273,81.15799163405303,52.39096641540527,114.57872772216797
2,0,698,-57.898390679782985,-87.36637878417969,-29.405200958251953,80.89839067978298,52.40520095825195,110.36637878417969
3,0,787,-58.047683868505146,-89.22603607177734,-29.40520477294922,81.04768386850515,52.40520477294922,112.22603607177734
4,0,798,-57.47176536760832,-88.96161651611328,-29.40520477294922,80.47176536760833,52.40520477294922,111.96161651611328
5,0,858,-57.94770393282661,-95.24053955078125,-29.405202865600586,80.94770393282661,52.405202865600586,118.24053955078125
6,0,878,-58.04724331597261,-95.38697814941406,-29.40520477294922,81.04724331597261,52.40520477294922,118.38697814941406
7,0,853,-58.17499709939901,-94.40579986572266,-29.40520477294922,81.17499709939901,52.40520477294922,117.40579986572266
8,0,896,-57.74682999508722,-94.66441345214844,-29.40520477294922,80.74682999508721,52.40520477294922,117.66441345214844
9,0,925,-58.0248657927642,-94.5819091796875,-29.405200958251953,81.0248657927642,52.40520095825195,117.5819091796875
10,0,806,-56.13574882299078,-93.99778747558594,-28.98112678527832,79.13574882299078,51.98112678527832,116.99778747558594
