step,capsule_payload_bytes,capsule_scalar_values_sent,contact_threshold_rx_power_dbm,contact_threshold_snr_db,expert_bank_manifest_records,expert_bank_model_messages,feasible_contact_decisions,feasible_contact_pairs,greedy_comm_bytes,greedy_comm_cumulative_mb,greedy_comm_mb,greedy_events,local_policy_initial_pull_probability,model_parameter_values_pulled,model_payload_bytes,model_transfer_snr_min_db,noise_floor_dbm,propagation_loss_contact_threshold_db,rssi_gossip_threshold_dbm,snr_min_db,weighted_single_model_pulls
1,0,0,-100.0,0.0,0,0,628,314,0,0.0,0.0,0,1.0,0,0,0.0,-100.0,123.0,-100.0,0.0,0
2,12532512,3133128,-100.0,0.0,675,675,698,349,12276900,12.2769,12.2769,675,1.0,3067875,12271500,0.0,-100.0,123.0,-100.0,0.0,675
3,58994256,14748564,-100.0,0.0,745,745,786,393,13550060,25.82696,13.55006,745,1.0,3386025,13544100,0.0,-100.0,123.0,-100.0,0.0,745
4,79159168,19789792,-100.0,0.0,774,774,796,398,14077512,39.904472,14.077512,774,1.0,3517830,14071320,0.0,-100.0,123.0,-100.0,0.0,774
5,100748888,25187222,-100.0,0.0,856,856,856,428,15568928,55.4734,15.568928,856,1.0,3890520,15562080,0.0,-100.0,123.0,-100.0,0.0,856
6,106367432,26591858,-100.0,0.0,854,854,876,438,15532552,71.005952,15.532552,854,1.0,3881430,15525720,0.0,-100.0,123.0,-100.0,0.0,854
7,119272720,29818180,-100.0,0.0,852,852,852,426,15496176,86.502128,15.496176,852,1.0,3872340,15489360,0.0,-100.0,123.0,-100.0,0.0,852
8,131820904,32955226,-100.0,0.0,874,874,894,447,15896312,102.39844,15.896312,874,1.0,3972330,15889320,0.0,-100.0,123.0,-100.0,0.0,874
9,140902544,35225636,-100.0,0.0,892,892,918,459,16223696,118.622136,16.223696,892,1.0,4054140,16216560,0.0,-100.0,123.0,-100.0,0.0,892
10,133196120,33299030,-100.0,0.0,803,803,806,403,14604964,133.2271,14.604964,803,1.0,3649635,14598540,0.0,-100.0,123.0,-100.0,0.0,803
