zone	pull_budget	job_id	results_dir
factor_b1_v1	greedy	2201428	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b1_v1/cell_grid_weighted_greedy_eval50_tail10x25
factor_b1_v1	pull4	2201429	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b1_v1/cell_grid_weighted_pull4_eval50_tail10x25
factor_b1_v1	pull2	2201430	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b1_v1/cell_grid_weighted_pull2_eval50_tail10x25
factor_b1_v1	pull1	2201431	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b1_v1/cell_grid_weighted_pull1_eval50_tail10x25
factor_b1_v2	greedy	2201432	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b1_v2/cell_grid_weighted_greedy_eval50_tail10x25
factor_b1_v2	pull4	2201433	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b1_v2/cell_grid_weighted_pull4_eval50_tail10x25
factor_b1_v2	pull2	2201434	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b1_v2/cell_grid_weighted_pull2_eval50_tail10x25
factor_b1_v2	pull1	2201435	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b1_v2/cell_grid_weighted_pull1_eval50_tail10x25
factor_b1_v3	greedy	2201436	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b1_v3/cell_grid_weighted_greedy_eval50_tail10x25
factor_b1_v3	pull4	2201437	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b1_v3/cell_grid_weighted_pull4_eval50_tail10x25
factor_b1_v3	pull2	2201438	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b1_v3/cell_grid_weighted_pull2_eval50_tail10x25
factor_b1_v3	pull1	2201439	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b1_v3/cell_grid_weighted_pull1_eval50_tail10x25
factor_b2_v1	greedy	2201440	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b2_v1/cell_grid_weighted_greedy_eval50_tail10x25
factor_b2_v1	pull4	2201441	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b2_v1/cell_grid_weighted_pull4_eval50_tail10x25
factor_b2_v1	pull2	2201442	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b2_v1/cell_grid_weighted_pull2_eval50_tail10x25
