step,zone,n_links,mean_rssi_dbm,min_rssi_dbm,max_rssi_dbm,mean_propagation_loss_db,min_propagation_loss_db,max_propagation_loss_db
1,0,628,-58.15799163405303,-91.57872772216797,-29.390966415405273,81.15799163405303,52.39096641540527,114.57872772216797
2,0,698,-57.898390679782985,-87.36637878417969,-29.405200958251953,80.89839067978298,52.40520095825195,110.36637878417969
3,0,787,-58.047683868505146,-89.22603607177734,-29.40520477294922,81.04768386850515,52.40520477294922,112.22603607177734
4,0,798,-57.47176536760832,-88.96161651611328,-29.40520477294922,80.47176536760833,52.40520477294922,111.96161651611328
5,0,858,-57.94770393282661,-95.24053955078125,-29.405202865600586,80.94770393282661,52.405202865600586,118.24053955078125
6,0,878,-58.04724331597261,-95.38697814941406,-29.40520477294922,81.04724331597261,52.40520477294922,118.38697814941406
7,0,853,-58.17499709939901,-94.40579986572266,-29.40520477294922,81.17499709939901,52.40520477294922,117.40579986572266
8,0,896,-57.74682999508722,-94.66441345214844,-29.40520477294922,80.74682999508721,52.40520477294922,117.66441345214844
9,0,925,-58.0248657927642,-94.5819091796875,-29.405200958251953,81.0248657927642,52.40520095825195,117.5819091796875
10,0,806,-56.13574882299078,-93.99778747558594,-28.98112678527832,79.13574882299078,51.98112678527832,116.99778747558594
11,0,834,-56.81261135577012,-92.06001281738281,-28.7294979095459,79.81261135577012,51.7294979095459,115.06001281738281
12,0,767,-56.72383044067542,-92.24286651611328,-28.684354782104492,79.72383044067541,51.68435478210449,115.24286651611328
13,0,746,-56.36253744283886,-91.36177825927734,-28.662885665893555,79.36253744283886,51.662885665893555,114.36177825927734
14,0,653,-54.789054581436226,-90.0015869140625,-28.662885665893555,77.78905458143623,51.662885665893555,113.0015869140625
15,0,657,-55.26462322101564,-90.67282104492188,-28.418169021606445,78.26462322101564,51.418169021606445,113.67282104492188
16,0,675,-55.79993953563549,-93.21927642822266,-28.418167114257812,78.79993953563549,51.41816711425781,116.21927642822266
17,0,726,-56.57786140757159,-91.99101257324219,-28.418167114257812,79.57786140757159,51.41816711425781,114.99101257324219
18,0,689,-55.97768937762832,-93.1003189086914,-28.418167114257812,78.97768937762832,51.41816711425781,116.1003189086914
19,0,704,-55.53779512643814,-92.35106658935547,-28.418167114257812,78.53779512643814,51.41816711425781,115.35106658935547
20,0,683,-55.14830955684098,-89.14682006835938,-28.418167114257812,78.14830955684099,51.41816711425781,112.14682006835938
