step,capsule_payload_bytes,capsule_scalar_values_sent,contact_threshold_rx_power_dbm,contact_threshold_snr_db,expert_bank_advertisement_bytes,expert_bank_advertisement_scalar_values,expert_bank_manifest_records,expert_bank_model_messages,feasible_contact_decisions,feasible_contact_pairs,greedy_comm_bytes,greedy_comm_cumulative_mb,greedy_comm_mb,greedy_events,local_policy_initial_pull_probability,model_parameter_values_pulled,model_payload_bytes,model_transfer_snr_min_db,noise_floor_dbm,propagation_loss_contact_threshold_db,rssi_gossip_threshold_dbm,snr_min_db,weighted_single_model_pulls
1,0,0,-100.0,0.0,0,0,0,0,628,314,0,0.0,0.0,0,1.0,0,0,0.0,-100.0,123.0,-100.0,0.0,0
2,23824,5956,-100.0,0.0,92,23,23,1,698,349,18188,0.018188,0.018188,1,1.0,4545,18180,0.0,-100.0,123.0,-100.0,0.0,1
3,56768,14192,-100.0,0.0,156,39,39,2,786,393,36376,0.054564,0.036376,2,1.0,9090,36360,0.0,-100.0,123.0,-100.0,0.0,2
4,32552,8138,-100.0,0.0,88,22,22,1,796,398,18188,0.072752,0.018188,1,1.0,4545,18180,0.0,-100.0,123.0,-100.0,0.0,1
5,0,0,-100.0,0.0,0,0,0,0,856,428,0,0.072752,0.0,0,1.0,0,0,0.0,-100.0,123.0,-100.0,0.0,0
6,1171536,292884,-100.0,0.0,3044,761,761,28,876,438,509264,0.582016,0.509264,28,1.0,127260,509040,0.0,-100.0,123.0,-100.0,0.0,28
7,52184,13046,-100.0,0.0,116,29,29,1,852,426,18188,0.600204,0.018188,1,1.0,4545,18180,0.0,-100.0,123.0,-100.0,0.0,1
8,239472,59868,-100.0,0.0,284,71,71,3,894,447,54564,0.654768,0.054564,3,1.0,13635,54540,0.0,-100.0,123.0,-100.0,0.0,3
9,209472,52368,-100.0,0.0,212,53,53,2,918,459,36376,0.691144,0.036376,2,1.0,9090,36360,0.0,-100.0,123.0,-100.0,0.0,2
10,56848,14212,-100.0,0.0,12,3,3,1,806,403,18188,0.709332,0.018188,1,1.0,4545,18180,0.0,-100.0,123.0,-100.0,0.0,1
11,2830488,707622,-100.0,0.0,2712,678,678,26,832,416,472888,1.18222,0.472888,26,1.0,118170,472680,0.0,-100.0,123.0,-100.0,0.0,26
12,145232,36308,-100.0,0.0,100,25,25,1,766,383,18188,1.200408,0.018188,1,1.0,4545,18180,0.0,-100.0,123.0,-100.0,0.0,1
13,391144,97786,-100.0,0.0,208,52,52,3,744,372,54564,1.254972,0.054564,3,1.0,13635,54540,0.0,-100.0,123.0,-100.0,0.0,3
14,307328,76832,-100.0,0.0,204,51,51,2,650,325,36376,1.291348,0.036376,2,1.0,9090,36360,0.0,-100.0,123.0,-100.0,0.0,2
15,314784,78696,-100.0,0.0,128,32,32,2,650,325,36376,1.327724,0.036376,2,1.0,9090,36360,0.0,-100.0,123.0,-100.0,0.0,2
16,3795624,948906,-100.0,0.0,1976,494,494,24,670,335,436512,1.764236,0.436512,24,1.0,109080,436320,0.0,-100.0,123.0,-100.0,0.0,24
17,331600,82900,-100.0,0.0,172,43,43,2,722,361,36376,1.800612,0.036376,2,1.0,9090,36360,0.0,-100.0,123.0,-100.0,0.0,2
18,667936,166984,-100.0,0.0,228,57,57,4,686,343,72752,1.873364,0.072752,4,1.0,18180,72720,0.0,-100.0,123.0,-100.0,0.0,4
19,508552,127138,-100.0,0.0,236,59,59,3,702,351,54564,1.927928,0.054564,3,1.0,13635,54540,0.0,-100.0,123.0,-100.0,0.0,3
20,514872,128718,-100.0,0.0,220,55,55,3,680,340,54564,1.982492,0.054564,3,1.0,13635,54540,0.0,-100.0,123.0,-100.0,0.0,3
