zone	stage	configuration	job_id
factor_b2_v3_300m	simulation	cell_grid_local_only_sync_full1800_eval50_tail10x25	2204296
factor_b2_v3_300m	simulation	cell_grid_central_sync_full1800_eval50_tail10x25	2204297
factor_b2_v3_300m	simulation	cell_grid_intensity_greedy_sync_full1800_eval50_tail10x25	2204298
factor_b2_v3_300m	simulation	cell_grid_intensity_top1_global_every5_full1800_eval50_tail10x25	2204299
factor_b2_v3_300m	simulation	cell_grid_intensity_top1_global_every10_full1800_eval50_tail10x25	2204300
factor_b2_v3_300m	simulation	cell_grid_intensity_top1_global_every20_full1800_eval50_tail10x25	2204301
factor_b2_v3_300m	simulation	cell_grid_intensity_top1_global_every40_full1800_eval50_tail10x25	2204302
factor_b2_v3_300m	simulation	cell_grid_intensity_top1_global_every80_full1800_eval50_tail10x25	2204303
matched_b2v3_a_300m	prep	-	2204304
matched_b2v3_a_300m	rssi_chunks	-	2204305
matched_b2v3_a_300m	merge	-	2204306
matched_b2v3_a_300m	testset	-	2204307
matched_b2v3_a_300m	simulation	cell_grid_local_only_sync_full1800_eval50_tail10x25	2204308
matched_b2v3_a_300m	simulation	cell_grid_central_sync_full1800_eval50_tail10x25	2204309
matched_b2v3_a_300m	simulation	cell_grid_intensity_greedy_sync_full1800_eval50_tail10x25	2204310
matched_b2v3_a_300m	simulation	cell_grid_intensity_top1_global_every5_full1800_eval50_tail10x25	2204311
matched_b2v3_a_300m	simulation	cell_grid_intensity_top1_global_every10_full1800_eval50_tail10x25	2204312
matched_b2v3_a_300m	simulation	cell_grid_intensity_top1_global_every20_full1800_eval50_tail10x25	2204313
matched_b2v3_a_300m	simulation	cell_grid_intensity_top1_global_every40_full1800_eval50_tail10x25	2204314
matched_b2v3_a_300m	simulation	cell_grid_intensity_top1_global_every80_full1800_eval50_tail10x25	2204315
matched_b2v3_b_300m	prep	-	2204316
matched_b2v3_b_300m	rssi_chunks	-	2204317
matched_b2v3_b_300m	merge	-	2204318
matched_b2v3_b_300m	testset	-	2204319
matched_b2v3_b_300m	simulation	cell_grid_local_only_sync_full1800_eval50_tail10x25	2204320
matched_b2v3_b_300m	simulation	cell_grid_central_sync_full1800_eval50_tail10x25	2204321
matched_b2v3_b_300m	simulation	cell_grid_intensity_greedy_sync_full1800_eval50_tail10x25	2204322
matched_b2v3_b_300m	simulation	cell_grid_intensity_top1_global_every5_full1800_eval50_tail10x25	2204323
matched_b2v3_b_300m	simulation	cell_grid_intensity_top1_global_every10_full1800_eval50_tail10x25	2204324
matched_b2v3_b_300m	simulation	cell_grid_intensity_top1_global_every20_full1800_eval50_tail10x25	2204325
matched_b2v3_b_300m	simulation	cell_grid_intensity_top1_global_every40_full1800_eval50_tail10x25	2204326
matched_b2v3_b_300m	simulation	cell_grid_intensity_top1_global_every80_full1800_eval50_tail10x25	2204327
factor_b2_v3_300m	simulation	cell_grid_intensity_top1_entry_every5_full1800_eval50_tail10x25	2204434
factor_b2_v3_300m	simulation	cell_grid_intensity_top1_entry_every10_full1800_eval50_tail10x25	2204435
factor_b2_v3_300m	simulation	cell_grid_intensity_top1_entry_every20_full1800_eval50_tail10x25	2204436
factor_b2_v3_300m	simulation	cell_grid_intensity_top1_entry_every40_full1800_eval50_tail10x25	2204437
factor_b2_v3_300m	simulation	cell_grid_intensity_top1_entry_every80_full1800_eval50_tail10x25	2204438
matched_b2v3_a_300m	simulation	cell_grid_intensity_top1_entry_every5_full1800_eval50_tail10x25	2204439
matched_b2v3_a_300m	simulation	cell_grid_intensity_top1_entry_every10_full1800_eval50_tail10x25	2204440
matched_b2v3_a_300m	simulation	cell_grid_intensity_top1_entry_every20_full1800_eval50_tail10x25	2204441
matched_b2v3_a_300m	simulation	cell_grid_intensity_top1_entry_every40_full1800_eval50_tail10x25	2204442
matched_b2v3_a_300m	simulation	cell_grid_intensity_top1_entry_every80_full1800_eval50_tail10x25	2204443
matched_b2v3_b_300m	simulation	cell_grid_intensity_top1_entry_every5_full1800_eval50_tail10x25	2204444
matched_b2v3_b_300m	simulation	cell_grid_intensity_top1_entry_every10_full1800_eval50_tail10x25	2204445
matched_b2v3_b_300m	simulation	cell_grid_intensity_top1_entry_every20_full1800_eval50_tail10x25	2204446
matched_b2v3_b_300m	simulation	cell_grid_intensity_top1_entry_every40_full1800_eval50_tail10x25	2204447
matched_b2v3_b_300m	simulation	cell_grid_intensity_top1_entry_every80_full1800_eval50_tail10x25	2204448
