nodes,r_setting,step_setting,variant,seeds,final_rmse_mean_db,final_rmse_sample_sd_db
10,1,1,frozen_samples,2,13.085140,1.022393
10,1,1,random,2,14.067385,2.696121
10,1,1,shared_policy,2,13.735162,1.736839
10,1,2,frozen_samples,2,12.924055,1.959237
10,1,2,random,2,12.770817,1.722880
10,1,2,shared_policy,2,12.993405,1.569720
10,1,5,frozen_samples,2,13.021586,1.269383
10,1,5,random,2,13.210231,1.863305
10,1,5,shared_policy,2,13.322147,1.653471
10,1,10,frozen_samples,2,12.714695,1.542571
10,1,10,random,2,13.872543,1.032566
10,1,10,shared_policy,2,12.851137,1.593470
10,1,20,frozen_samples,2,15.278946,1.164158
10,1,20,random,2,13.888144,1.381655
10,1,20,shared_policy,2,14.623520,1.997910
10,2,1,frozen_samples,2,21.835594,0.192161
10,2,1,random,2,22.392013,1.576513
10,2,1,shared_policy,2,22.587649,1.428549
10,2,2,frozen_samples,2,23.327695,2.225450
10,2,2,random,2,21.662748,0.286639
10,2,2,shared_policy,2,21.632785,0.308659
10,2,5,frozen_samples,2,21.317326,0.094145
10,2,5,random,2,21.613371,0.553210
10,2,5,shared_policy,2,21.932743,0.883634
10,2,10,frozen_samples,2,21.787111,0.049932
10,2,10,random,2,21.525674,0.234935
10,2,10,shared_policy,2,21.720445,0.402551
10,2,20,frozen_samples,2,21.843377,0.525774
10,2,20,random,2,23.619214,1.570423
10,2,20,shared_policy,2,21.771379,0.590406
20,2,1,frozen_samples,2,23.015411,0.816658
20,2,1,random,2,23.806538,0.034058
20,2,1,shared_policy,2,23.388200,0.523959
20,2,2,frozen_samples,2,23.886670,0.197351
20,2,2,random,2,23.966592,0.477371
20,2,2,shared_policy,2,23.178586,1.203121
20,2,5,frozen_samples,2,23.716494,0.278375
20,2,5,random,2,23.806739,0.017241
20,2,5,shared_policy,2,23.066826,0.757887
20,2,10,frozen_samples,2,23.771454,0.248375
20,2,10,random,2,23.493938,0.597551
20,2,10,shared_policy,2,23.505088,0.030927
20,2,20,frozen_samples,2,24.139824,0.042330
20,2,20,random,2,23.933377,0.241199
20,2,20,shared_policy,2,24.214307,0.445388
20,4,1,frozen_samples,2,20.672014,3.781821
20,4,1,random,2,20.638193,3.860226
20,4,1,shared_policy,2,20.444863,4.063228
20,4,2,frozen_samples,2,20.806461,3.939391
20,4,2,random,2,20.848924,3.936818
20,4,2,shared_policy,2,20.593635,3.794290
20,4,5,frozen_samples,2,18.944016,1.707200
20,4,5,random,2,20.598920,3.929777
20,4,5,shared_policy,2,18.730170,1.743842
20,4,10,frozen_samples,2,20.927887,3.967629
20,4,10,random,2,20.658224,3.874106
20,4,10,shared_policy,2,19.114903,1.589280
20,4,20,frozen_samples,2,19.904947,2.604477
20,4,20,random,2,20.431671,1.716226
20,4,20,shared_policy,2,20.823694,4.199138
40,4,1,frozen_samples,2,17.314886,2.715523
40,4,1,random,2,22.823800,7.602237
40,4,1,shared_policy,2,23.003827,6.662153
40,4,2,frozen_samples,2,20.405432,1.764206
40,4,2,random,2,22.707498,8.322402
40,4,2,shared_policy,2,22.307515,7.561813
40,4,5,frozen_samples,2,18.680954,4.557907
40,4,5,random,2,23.317389,8.306071
40,4,5,shared_policy,2,22.561212,7.539945
40,4,10,frozen_samples,2,23.039635,7.545873
40,4,10,random,2,23.155498,7.328765
40,4,10,shared_policy,2,23.502010,8.054857
40,4,20,frozen_samples,2,23.911304,7.564768
40,4,20,random,2,23.531594,7.657837
40,4,20,shared_policy,2,24.046383,7.800904
40,8,1,frozen_samples,2,17.153101,3.053602
40,8,1,random,2,24.229841,2.649653
40,8,1,shared_policy,2,24.491194,2.650767
40,8,2,frozen_samples,2,18.255862,4.820274
40,8,2,random,2,25.452573,0.422285
40,8,2,shared_policy,2,24.499752,0.885156
40,8,5,frozen_samples,2,22.342835,3.005811
40,8,5,random,2,24.095240,2.676571
40,8,5,shared_policy,2,23.412587,2.801973
40,8,10,frozen_samples,2,24.481715,1.304183
40,8,10,random,2,25.588495,3.242039
40,8,10,shared_policy,2,23.595600,2.458146
40,8,20,frozen_samples,2,25.466230,1.066438
40,8,20,random,2,25.809941,1.078772
40,8,20,shared_policy,2,24.814855,1.578292
