map_id,method_id,method_label,method_family,status,tail_rmse_db,model_transfers,final_step,source_run_directory
factor_b1_v1,centralized_reference,Centralized reference,reference,complete,14.412677,0,1799,paper_experiments/results/paper/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b1_v1/cell_grid_central_eval50_tail10x25
factor_b1_v2,centralized_reference,Centralized reference,reference,complete,13.143763,0,1799,paper_experiments/results/paper/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b1_v2/cell_grid_central_eval50_tail10x25
factor_b1_v3,centralized_reference,Centralized reference,reference,complete,7.085591,0,1799,paper_experiments/results/paper/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b1_v3/cell_grid_central_eval50_tail10x25
factor_b2_v1,centralized_reference,Centralized reference,reference,complete,12.508719,0,1799,paper_experiments/results/paper/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b2_v1/cell_grid_central_eval50_tail10x25
factor_b2_v2,centralized_reference,Centralized reference,reference,complete,12.295703,0,1799,paper_experiments/results/paper/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b2_v2/cell_grid_central_eval50_tail10x25
factor_b2_v3,centralized_reference,Centralized reference,reference,complete,9.997898,0,1799,paper_experiments/results/paper/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b2_v3/cell_grid_central_eval50_tail10x25
factor_b3_v1,centralized_reference,Centralized reference,reference,complete,11.948445,0,1799,paper_experiments/results/paper/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b3_v1/cell_grid_central_eval50_tail10x25
factor_b3_v2,centralized_reference,Centralized reference,reference,complete,11.458095,0,1799,paper_experiments/results/paper/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b3_v2/cell_grid_central_eval50_tail10x25
factor_b3_v3,centralized_reference,Centralized reference,reference,complete,8.798194,0,1799,paper_experiments/results/paper/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b3_v3/cell_grid_central_eval50_tail10x25
factor_b1_v1,intensity_top1,"Grid intensity, Top-1",deterministic_grid_intensity,complete,16.970579,28829,1799,paper_experiments/results/paper/luxembourg_cell_grid_intensity_budget_sweep_v1/methods/factor_b1_v1/cell_grid_intensity_top1_eval50_tail10x25
factor_b1_v2,intensity_top1,"Grid intensity, Top-1",deterministic_grid_intensity,complete,14.418952,66330,1799,paper_experiments/results/paper/luxembourg_cell_grid_intensity_budget_sweep_v1/methods/factor_b1_v2/cell_grid_intensity_top1_eval50_tail10x25
factor_b1_v3,intensity_top1,"Grid intensity, Top-1",deterministic_grid_intensity,complete,7.289058,105778,1799,paper_experiments/results/paper/luxembourg_cell_grid_intensity_budget_sweep_v1/methods/factor_b1_v3/cell_grid_intensity_top1_eval50_tail10x25
factor_b2_v1,intensity_top1,"Grid intensity, Top-1",deterministic_grid_intensity,complete,15.874001,29070,1799,paper_experiments/results/paper/luxembourg_cell_grid_intensity_budget_sweep_v1/methods/factor_b2_v1/cell_grid_intensity_top1_eval50_tail10x25
factor_b2_v2,intensity_top1,"Grid intensity, Top-1",deterministic_grid_intensity,complete,16.148289,70598,1799,paper_experiments/results/paper/luxembourg_cell_grid_intensity_budget_sweep_v1/methods/factor_b2_v2/cell_grid_intensity_top1_eval50_tail10x25
factor_b2_v3,intensity_top1,"Grid intensity, Top-1",deterministic_grid_intensity,complete,13.223000,108357,1799,paper_experiments/results/paper/luxembourg_cell_grid_intensity_budget_sweep_v1/methods/factor_b2_v3/cell_grid_intensity_top1_eval50_tail10x25
factor_b3_v1,intensity_top1,"Grid intensity, Top-1",deterministic_grid_intensity,complete,24.960873,27081,1799,paper_experiments/results/paper/luxembourg_cell_grid_intensity_budget_sweep_v1/methods/factor_b3_v1/cell_grid_intensity_top1_eval50_tail10x25
factor_b3_v2,intensity_top1,"Grid intensity, Top-1",deterministic_grid_intensity,complete,13.125899,66004,1799,paper_experiments/results/paper/luxembourg_cell_grid_intensity_budget_sweep_v1/methods/factor_b3_v2/cell_grid_intensity_top1_eval50_tail10x25
factor_b3_v3,intensity_top1,"Grid intensity, Top-1",deterministic_grid_intensity,complete,10.759701,99368,1799,paper_experiments/results/paper/luxembourg_cell_grid_intensity_budget_sweep_v1/methods/factor_b3_v3/cell_grid_intensity_top1_eval50_tail10x25
factor_b1_v1,intensity_top5,"Grid intensity, Top-5",deterministic_grid_intensity,complete,17.348539,140848,1799,paper_experiments/results/paper/luxembourg_cell_grid_intensity_budget_sweep_v1/methods/factor_b1_v1/cell_grid_intensity_top5_eval50_tail10x25
factor_b1_v2,intensity_top5,"Grid intensity, Top-5",deterministic_grid_intensity,complete,14.447024,329384,1799,paper_experiments/results/paper/luxembourg_cell_grid_intensity_budget_sweep_v1/methods/factor_b1_v2/cell_grid_intensity_top5_eval50_tail10x25
factor_b1_v3,intensity_top5,"Grid intensity, Top-5",deterministic_grid_intensity,complete,7.522942,528890,1799,paper_experiments/results/paper/luxembourg_cell_grid_intensity_budget_sweep_v1/methods/factor_b1_v3/cell_grid_intensity_top5_eval50_tail10x25
factor_b2_v1,intensity_top5,"Grid intensity, Top-5",deterministic_grid_intensity,complete,15.531678,141754,1799,paper_experiments/results/paper/luxembourg_cell_grid_intensity_budget_sweep_v1/methods/factor_b2_v1/cell_grid_intensity_top5_eval50_tail10x25
factor_b2_v2,intensity_top5,"Grid intensity, Top-5",deterministic_grid_intensity,complete,16.383322,347982,1799,paper_experiments/results/paper/luxembourg_cell_grid_intensity_budget_sweep_v1/methods/factor_b2_v2/cell_grid_intensity_top5_eval50_tail10x25
factor_b2_v3,intensity_top5,"Grid intensity, Top-5",deterministic_grid_intensity,complete,13.376493,541619,1799,paper_experiments/results/paper/luxembourg_cell_grid_intensity_budget_sweep_v1/methods/factor_b2_v3/cell_grid_intensity_top5_eval50_tail10x25
factor_b3_v1,intensity_top5,"Grid intensity, Top-5",deterministic_grid_intensity,complete,24.649879,130463,1799,paper_experiments/results/paper/luxembourg_cell_grid_intensity_budget_sweep_v1/methods/factor_b3_v1/cell_grid_intensity_top5_eval50_tail10x25
factor_b3_v2,intensity_top5,"Grid intensity, Top-5",deterministic_grid_intensity,complete,12.634705,323274,1799,paper_experiments/results/paper/luxembourg_cell_grid_intensity_budget_sweep_v1/methods/factor_b3_v2/cell_grid_intensity_top5_eval50_tail10x25
factor_b3_v3,intensity_top5,"Grid intensity, Top-5",deterministic_grid_intensity,complete,11.140324,495951,1799,paper_experiments/results/paper/luxembourg_cell_grid_intensity_budget_sweep_v1/methods/factor_b3_v3/cell_grid_intensity_top5_eval50_tail10x25
factor_b1_v1,intensity_all,"Grid intensity, all available",deterministic_grid_intensity,complete,17.195170,391923,1799,paper_experiments/results/paper/luxembourg_cell_grid_intensity_budget_sweep_v1/methods/factor_b1_v1/cell_grid_intensity_greedy_eval50_tail10x25
factor_b1_v2,intensity_all,"Grid intensity, all available",deterministic_grid_intensity,complete,14.476025,2211225,1799,paper_experiments/results/paper/luxembourg_cell_grid_intensity_budget_sweep_v1/methods/factor_b1_v2/cell_grid_intensity_greedy_eval50_tail10x25
factor_b1_v3,intensity_all,"Grid intensity, all available",deterministic_grid_intensity,complete,7.475737,5921902,1799,paper_experiments/results/paper/luxembourg_cell_grid_intensity_budget_sweep_v1/methods/factor_b1_v3/cell_grid_intensity_greedy_eval50_tail10x25
factor_b2_v1,intensity_all,"Grid intensity, all available",deterministic_grid_intensity,complete,14.766301,407127,1799,paper_experiments/results/paper/luxembourg_cell_grid_intensity_budget_sweep_v1/methods/factor_b2_v1/cell_grid_intensity_greedy_eval50_tail10x25
factor_b2_v2,intensity_all,"Grid intensity, all available",deterministic_grid_intensity,complete,18.259157,2208858,1799,paper_experiments/results/paper/luxembourg_cell_grid_intensity_budget_sweep_v1/methods/factor_b2_v2/cell_grid_intensity_greedy_eval50_tail10x25
factor_b2_v3,intensity_all,"Grid intensity, all available",deterministic_grid_intensity,complete,13.252760,5782204,1799,paper_experiments/results/paper/luxembourg_cell_grid_intensity_budget_sweep_v1/methods/factor_b2_v3/cell_grid_intensity_greedy_eval50_tail10x25
