step,eval_is_final,eval_n_pairs_per_zone,t2_b0_active_models_total,t2_b0_active_models_z0,t2_b0_balanced_rmse_total,t2_b0_censored_gain_vs_prior_total,t2_b0_censored_rmse_total,t2_b0_censored_rmse_z0,t2_b0_false_reachable_rate_total,t2_b0_false_reachable_rate_z0,t2_b0_floor_rmse_total,t2_b0_individual_total,t2_b0_individual_z0,t2_b0_mean_abs_prediction_shift_from_prior_db_total,t2_b0_mean_model_rmse_total,t2_b0_mean_model_rmse_z0,t2_b0_mean_support_total,t2_b0_median_model_rmse_total,t2_b0_p10_model_rmse_total,t2_b0_p90_model_rmse_total,t2_b0_prior_censored_rmse_total,t2_b0_prior_false_reachable_rate_total,t2_b0_prior_floor_rmse_total,t2_b0_prior_reachable_rmse_total,t2_b0_prior_rmse_total,t2_b0_reachable_count_total,t2_b0_reachable_gain_vs_prior_total,t2_b0_reachable_rmse_total,t2_b0_rmse_gain_vs_prior_total,t2_b0_supported_fraction_total,t2_b0_supported_gain_vs_prior_total,t2_b0_supported_prior_rmse_total,t2_b0_supported_rmse_total,t2_b0_total,t2_b0_unavailable_censored_rmse_total,t2_b0_unavailable_censored_rmse_z0,t2_b0_unavailable_count_total,t2_b0_z0
100,1,500,10,10,39.94812115434143,23.43347914567775,32.54617479098255,32.54617479098255,0.7,0.7,46.085525047184056,33.633196981141005,33.633196981141005,41.25234135894775,29.739692627356682,29.739692627356682,nan,22.050815436740248,15.988293921969591,52.78319507882814,55.9796539366603,0.0,0.0,57.73860428939874,55.979653801810066,4700,25.060949100428203,32.67765518897053,22.34645682066906,nan,nan,nan,nan,33.633196981141005,30.412193693764582,30.412193693764582,300,33.633196981141005
200,1,500,10,10,29.612903788581715,43.45703299832937,13.4552294458823,13.4552294458823,0.9972222222222222,0.9972222222222222,39.903577079399206,16.265489793727447,16.265489793727447,53.79896731414795,15.90771412397163,15.90771412397163,nan,14.117897430731372,13.803044710442116,21.27648282055952,56.91226244421167,0.0,0.0,59.07882686923406,56.91226250799819,4640,46.368489428707896,12.71033744052616,40.646772714270746,nan,nan,nan,nan,16.265489793727447,20.79072802168211,20.79072802168211,360,16.265489793727447
300,1,500,10,10,28.06638793468889,44.63745324919368,11.53121824513436,11.53121824513436,0.996969696969697,0.996969696969697,38.19830590385746,14.316318095136657,14.316318095136657,55.256096900939944,14.283332118895467,14.283332118895467,nan,13.989828144470753,13.475981808562093,15.177193414287046,56.168671494328045,0.0,0.0,58.11934550206235,56.16867162719162,4670,47.33353586735117,10.785809634711182,41.85235353205496,nan,nan,nan,nan,14.316318095136657,19.193325985794036,19.193325985794036,330,14.316318095136657
400,1,500,10,10,31.999345820340995,45.62831307025576,11.816419893659715,11.816419893659715,1.0,1.0,43.890721157569246,13.78789667705358,13.78789667705358,58.99352125701904,13.71606140569359,13.71606140569359,nan,13.282298671772896,12.5893085225153,15.426856789052787,57.44473296391547,0.0,0.0,58.56830824991018,57.44473305246313,4810,47.54465812265863,11.023650127251546,43.65683637540955,nan,nan,nan,nan,13.78789667705358,24.454420407254442,24.454420407254442,190,13.78789667705358
500,1,500,10,10,27.947200119905343,45.18369323671524,10.889048347492105,10.889048347492105,0.9857142857142858,0.9857142857142858,38.08626718607306,12.207425409964845,12.207425409964845,54.4160196182251,12.186179173088137,12.186179173088137,nan,12.19265088145431,11.576702621689266,12.80710267147405,56.07274158420735,0.0,0.0,56.87463966372443,56.07274156883983,4860,46.31394646132863,10.560693202395804,43.86531615887499,nan,nan,nan,nan,12.207425409964845,19.054361798413574,19.054361798413574,140,12.207425409964845
600,1,500,10,10,29.552525920706906,27.418442849273845,29.307981527523275,29.307981527523275,0.77,0.77,29.0184498375801,30.014652821677466,30.014652821677466,37.726121485900876,24.912004347290424,24.912004347290424,nan,14.8920347703569,11.745335629403284,55.3987439885099,56.72642437679712,0.0,0.0,58.50883921848957,56.72642427205649,4700,28.431719249783217,30.077119968706352,26.711771450379025,nan,nan,nan,nan,30.014652821677466,11.974015669878993,11.974015669878993,300,30.014652821677466
700,1,500,10,10,29.94272413506866,42.090886718463516,14.948580736232762,14.948580736232762,1.0,1.0,39.81369510578826,17.604276489189917,17.604276489189917,50.746331324768065,17.02327263268706,17.02327263268706,nan,14.363900727945676,12.436983701385465,22.25980810041847,57.03946745469628,0.0,0.0,59.27478237381544,57.03946737460744,4630,44.85246843738423,14.422313936431205,39.435190885417526,nan,nan,nan,nan,17.604276489189917,20.417652271878413,20.417652271878413,370,17.604276489189917
800,1,500,10,10,27.98263194788315,35.02062350768045,19.719569673285875,19.719569673285875,0.9,0.9,34.11415464010426,21.663135893691333,21.663135893691333,47.18596536865235,18.169918638723843,18.169918638723843,nan,14.06884117784589,13.554561218202396,20.72256099115855,54.74019318096632,0.0,0.0,57.32035976953876,54.740193308278826,4560,37.263444885827596,20.05691488371117,33.07705741458749,nan,nan,nan,nan,21.663135893691333,15.80499749994669,15.80499749994669,440,21.663135893691333
900,1,500,10,10,29.484468000138616,39.18856014294274,16.35091959111336,16.35091959111336,0.9027027027027027,0.9027027027027027,38.4990914031039,18.633005741309695,18.633005741309695,52.19960780181885,18.011450935523463,18.011450935523463,nan,16.20572643918897,13.940738895003166,22.339063842305936,55.5394797340561,0.0,0.0,57.71601170911632,55.53947960724826,4630,41.70077934621107,16.01523236290525,36.906473865938565,nan,nan,nan,nan,18.633005741309695,20.082596725321714,20.082596725321714,370,18.633005741309695
1000,1,500,10,10,29.88393212355152,47.90464322858908,9.716399982262937,9.716399982262937,1.0,1.0,41.29064730949148,11.538665662166855,11.538665662166855,55.83923945159912,11.51459534943746,11.51459534943746,nan,11.23511213070246,10.816352509833443,12.730104759094944,57.621043210852015,0.0,0.0,58.5657136372619,57.62104341122979,4840,49.5556502027875,9.010063434474405,46.082377749062935,nan,nan,nan,nan,11.538665662166855,22.238048277060575,22.238048277060575,160,11.538665662166855
