step,pending_transitions,pull_updates_this_step,queued_transitions,t2_b0_train_updates,train_updates_this_step
1,0,0,0,0,0
2,0,4,1,1,1
3,0,4,2,3,2
4,0,8,2,5,2
5,0,8,2,7,2
6,0,10,2,9,2
7,0,10,2,11,2
8,0,8,2,13,2
9,0,8,1,14,1
10,0,12,2,16,2
11,0,12,2,18,2
12,0,14,4,22,4
13,0,16,4,26,4
14,0,12,2,28,2
15,0,12,2,30,2
16,0,10,3,33,3
17,0,14,2,35,2
18,0,10,2,37,2
19,0,12,3,40,3
20,0,10,3,43,3
21,0,10,4,47,4
22,0,10,3,50,3
23,0,8,2,52,2
24,0,10,3,55,3
25,0,10,4,59,4
26,0,12,4,63,4
27,0,12,5,68,5
28,0,12,4,72,4
29,0,8,3,75,3
30,0,8,2,77,2
31,0,8,2,79,2
32,0,12,3,82,3
33,0,14,4,86,4
34,0,14,4,90,4
35,0,14,4,94,4
36,0,10,3,97,3
37,0,10,3,100,3
38,0,10,4,104,4
39,0,10,4,108,4
40,0,10,4,112,4
41,0,10,4,116,4
42,0,10,3,119,3
43,0,10,4,123,4
44,0,10,4,127,4
45,0,12,4,131,4
46,0,18,3,134,3
47,0,18,4,138,4
48,0,18,4,142,4
49,0,20,4,146,4
50,0,20,3,149,3
51,0,20,2,151,2
52,0,18,2,153,2
53,0,14,2,155,2
54,0,14,2,157,2
55,0,12,2,159,2
56,0,8,2,161,2
57,0,8,1,162,1
58,0,8,2,164,2
59,0,6,2,166,2
60,0,4,2,168,2
61,0,6,3,171,3
62,0,8,3,174,3
63,0,10,3,177,3
64,0,10,2,179,2
65,0,14,3,182,3
66,0,12,3,185,3
67,0,8,3,188,3
68,0,6,2,190,2
69,0,8,2,192,2
70,0,8,2,194,2
71,0,8,2,196,2
72,0,10,3,199,3
73,0,10,3,202,3
74,0,10,3,205,3
75,0,8,2,207,2
76,0,8,2,209,2
77,0,10,2,211,2
78,0,10,2,213,2
79,0,12,2,215,2
80,0,12,2,217,2
81,0,12,3,220,3
82,0,12,2,222,2
83,0,12,2,224,2
84,0,12,2,226,2
85,0,12,2,228,2
