step,zone,n_links,mean_rssi_dbm,min_rssi_dbm,max_rssi_dbm,mean_propagation_loss_db,min_propagation_loss_db,max_propagation_loss_db
1,0,56,-81.8085185459682,-120.0,-50.302268981933594,104.8085185459682,73.3022689819336,143.0
2,0,72,-81.33437501059637,-120.0,-40.42438507080078,104.33437501059637,63.42438507080078,143.0
3,0,90,-76.34343198140462,-120.0,-41.72681427001953,99.34343198140462,64.72681427001953,143.0
4,0,90,-74.67241503397624,-120.0,-40.388999938964844,97.67241503397624,63.388999938964844,143.0
5,0,90,-70.61077028910319,-120.0,-40.819828033447266,93.61077028910319,63.819828033447266,143.0
6,0,90,-65.41178165011935,-91.58396911621094,-40.98988342285156,88.41178165011935,63.98988342285156,114.58396911621094
7,0,90,-63.13752428690592,-88.44063568115234,-41.57588577270508,86.13752428690592,64.57588577270508,111.44063568115234
8,0,90,-62.880991533067494,-90.86419677734375,-41.47057342529297,85.88099153306749,64.47057342529297,113.86419677734375
9,0,90,-62.93661723666721,-91.00017547607422,-44.74650955200195,85.93661723666722,67.74650955200195,114.00017547607422
10,0,90,-61.36515761481391,-87.8280258178711,-43.9727668762207,84.36515761481391,66.9727668762207,110.8280258178711
11,0,90,-60.58505079481337,-88.21082305908203,-39.688873291015625,83.58505079481337,62.688873291015625,111.21082305908203
12,0,90,-59.037649408976236,-86.81107330322266,-35.49958419799805,82.03764940897624,58.49958419799805,109.81107330322266
13,0,90,-59.371634038289386,-86.65911865234375,-32.19594192504883,82.37163403828939,55.19594192504883,109.65911865234375
14,0,90,-59.729896545410156,-86.47509002685547,-37.58891677856445,82.72989654541016,60.58891677856445,109.47509002685547
15,0,72,-60.48931381437514,-89.05101013183594,-37.60393524169922,83.48931381437514,60.60393524169922,112.05101013183594
16,0,90,-65.88343683878581,-120.0,-35.10477828979492,88.88343683878581,58.10477828979492,143.0
17,0,72,-64.91076744927301,-120.0,-37.59679412841797,87.91076744927301,60.59679412841797,143.0
18,0,90,-64.2778608110216,-120.0,-37.59679412841797,87.2778608110216,60.59679412841797,143.0
19,0,90,-64.595951461792,-120.0,-37.59679412841797,87.595951461792,60.59679412841797,143.0
20,0,90,-61.08197390238444,-88.67150115966797,-37.59679412841797,84.08197390238445,60.59679412841797,111.67150115966797
21,0,90,-60.74518996344672,-88.6707763671875,-37.59679412841797,83.74518996344672,60.59679412841797,111.6707763671875
22,0,90,-60.68294406467014,-88.6707763671875,-37.420433044433594,83.68294406467014,60.420433044433594,111.6707763671875
23,0,90,-60.676637183295355,-88.6707763671875,-37.273895263671875,83.67663718329536,60.273895263671875,111.6707763671875
24,0,90,-60.67540083991157,-88.6707763671875,-37.244911193847656,83.67540083991156,60.244911193847656,111.6707763671875
25,0,90,-60.675068367852106,-88.6707763671875,-37.237083435058594,83.6750683678521,60.237083435058594,111.6707763671875
26,0,90,-60.67506951226129,-88.6707763671875,-37.237083435058594,83.67506951226129,60.237083435058594,111.6707763671875
