step,eval_is_final,eval_n_pairs_per_zone,t2_b0_active_models_total,t2_b0_active_models_z0,t2_b0_balanced_rmse_total,t2_b0_censored_gain_vs_prior_total,t2_b0_censored_rmse_total,t2_b0_censored_rmse_z0,t2_b0_false_reachable_rate_total,t2_b0_false_reachable_rate_z0,t2_b0_floor_rmse_total,t2_b0_individual_total,t2_b0_individual_z0,t2_b0_mean_abs_prediction_shift_from_prior_db_total,t2_b0_mean_model_rmse_total,t2_b0_mean_model_rmse_z0,t2_b0_mean_support_total,t2_b0_median_model_rmse_total,t2_b0_p10_model_rmse_total,t2_b0_p90_model_rmse_total,t2_b0_prior_censored_rmse_total,t2_b0_prior_false_reachable_rate_total,t2_b0_prior_floor_rmse_total,t2_b0_prior_reachable_rmse_total,t2_b0_prior_rmse_total,t2_b0_reachable_count_total,t2_b0_reachable_gain_vs_prior_total,t2_b0_reachable_rmse_total,t2_b0_rmse_gain_vs_prior_total,t2_b0_supported_fraction_total,t2_b0_supported_gain_vs_prior_total,t2_b0_supported_prior_rmse_total,t2_b0_supported_rmse_total,t2_b0_total,t2_b0_unavailable_censored_rmse_total,t2_b0_unavailable_censored_rmse_z0,t2_b0_unavailable_count_total,t2_b0_z0
100,1,500,20,20,42.14875051867453,31.857802755336383,24.12185118992375,24.12185118992375,0.9,0.9,54.975208104193506,26.0816332974999,26.0816332974999,53.21587324142456,23.88477571958706,23.88477571958706,nan,21.754077237583495,16.35524641721022,31.52935723896607,55.97965394526013,0.0,0.0,57.73860429839529,55.97965381053254,9400,34.70035708920965,23.038247209185634,29.89802051303264,nan,nan,nan,nan,26.0816332974999,37.18165305766047,37.18165305766047,600,26.0816332974999
200,1,500,20,20,32.87513451712978,35.492668435103404,21.419594018081824,21.419594018081824,0.8972222222222223,0.8972222222222223,41.34858380553412,23.289688856077756,23.289688856077756,49.73732927627564,20.218602126256126,20.218602126256126,nan,16.494289110747978,13.16105804621965,25.251380490821866,56.91226245318523,0.0,0.0,59.07882686923406,56.91226250799819,9280,37.82221480814874,21.256612061085317,33.62257365192043,nan,nan,nan,nan,23.289688856077756,23.418946665544084,23.418946665544084,720,23.289688856077756
300,1,500,20,20,30.378804031898657,39.087799104792474,17.080872343501895,17.080872343501895,0.946969696969697,0.946969696969697,39.56230882717348,19.1141672233949,19.1141672233949,51.29171957855225,16.780078342230002,16.780078342230002,nan,14.065382513689606,12.63738760027364,21.002082399068136,56.16867144829437,0.0,0.0,58.11934543684841,56.168671564166466,9340,41.369205464885326,16.75013997196309,37.054504340771565,nan,nan,nan,nan,19.1141672233949,21.215505347307325,21.215505347307325,660,19.1141672233949
400,1,500,20,20,31.068176970872596,41.03021490661257,16.414518076886953,16.414518076886953,0.95,0.95,40.85688735726024,17.739393200772657,17.739393200772657,54.25275944442749,14.984979899612659,14.984979899612659,nan,12.641711211515663,11.596010165926595,14.777250813244068,57.44473298349953,0.0,0.0,58.56830827807556,57.44473308008819,9620,42.40730595572363,16.161002322351933,39.70533987931553,nan,nan,nan,nan,17.739393200772657,21.874746248507886,21.874746248507886,380,17.739393200772657
500,1,500,20,20,29.099057544264966,45.44427145892059,10.628470097017983,10.628470097017983,1.0,1.0,39.868761149066934,12.06594009668049,12.06594009668049,55.74552855911255,12.025522942327303,12.025522942327303,nan,11.876436108537197,10.960587356075326,13.582203164401136,56.07274155593857,0.0,0.0,56.87463964385124,56.072741549246835,9720,46.676983816773195,10.197655827078043,44.00680145256634,nan,nan,nan,nan,12.06594009668049,20.60164125607683,20.60164125607683,280,12.06594009668049
600,1,500,20,20,29.114132192996827,37.66361810912507,19.062806267672055,19.062806267672055,0.9,0.9,36.45702562467605,20.589524334338076,20.589524334338076,50.36085874710083,16.627699032110975,16.627699032110975,nan,12.291711265001457,11.836223395998942,18.795337359026846,56.72642437679712,0.0,0.0,58.50883921848957,56.72642427205649,9400,39.37377534861178,19.13506386987779,36.13689993771841,nan,nan,nan,nan,20.589524334338076,17.89271431893243,17.89271431893243,600,20.589524334338076
700,1,500,20,20,28.239434098279098,39.79656773122896,17.24289876899412,17.24289876899412,0.95,0.95,36.01741782328369,19.278112586663255,19.278112586663255,50.17034157180786,16.87074145140968,16.87074145140968,nan,14.578400503391016,11.870851415286998,18.475434088381693,57.03946650022308,0.0,0.0,59.274781381924406,57.03946642012167,9260,42.02146605630936,17.25331532561505,37.761353833458415,nan,nan,nan,nan,19.278112586663255,17.11201477476286,17.11201477476286,740,19.278112586663255
800,1,500,20,20,27.402723298074587,37.32761554711419,17.412577706129746,17.412577706129746,0.95,0.95,34.542127555546955,19.659496277640518,19.659496277640518,49.415045992279055,17.32267791331697,17.32267791331697,nan,14.033053185704855,13.087123114832805,18.048905086765895,54.74019325324394,0.0,0.0,57.32035985243497,54.740193387443625,9120,39.751640142734914,17.568719709700055,35.08069710980311,nan,nan,nan,nan,19.659496277640518,15.703221709900584,15.703221709900584,880,19.659496277640518
900,1,500,20,20,29.86495646415255,43.437718125203396,12.10176078211505,12.10176078211505,1.0,1.0,40.77623265182177,15.33643888521327,15.33643888521327,56.509289919281,15.147910212500765,15.147910212500765,nan,13.99986919330982,13.333702742076651,20.023879399206486,55.53947890731845,0.0,0.0,57.71601081834266,55.53947875006662,9260,46.710098773629674,11.005912044712987,40.20303986485335,nan,nan,nan,nan,15.33643888521327,21.525014221368465,21.525014221368465,740,15.33643888521327
1000,1,500,20,20,32.738493565955125,34.753301453484625,22.867741942930426,22.867741942930426,0.85,0.85,40.25186200188742,23.63267537799534,23.63267537799534,49.46511136932373,17.986044987146656,17.986044987146656,nan,11.231359715446455,10.2704621432097,54.23120531925487,57.62104339641505,0.0,0.0,58.565713794447994,57.621043565880456,9680,35.68765602467256,22.878057769775435,33.988368187885115,nan,nan,nan,nan,23.63267537799534,22.553459137061,22.553459137061,320,23.63267537799534
