step,eval_is_final,eval_n_pairs_per_zone,t2_b0_active_models_total,t2_b0_active_models_z0,t2_b0_balanced_rmse_total,t2_b0_censored_gain_vs_prior_total,t2_b0_censored_rmse_total,t2_b0_censored_rmse_z0,t2_b0_false_reachable_rate_total,t2_b0_false_reachable_rate_z0,t2_b0_floor_rmse_total,t2_b0_individual_total,t2_b0_individual_z0,t2_b0_mean_abs_prediction_shift_from_prior_db_total,t2_b0_mean_model_rmse_total,t2_b0_mean_model_rmse_z0,t2_b0_mean_support_total,t2_b0_median_model_rmse_total,t2_b0_p10_model_rmse_total,t2_b0_p90_model_rmse_total,t2_b0_prior_censored_rmse_total,t2_b0_prior_false_reachable_rate_total,t2_b0_prior_floor_rmse_total,t2_b0_prior_reachable_rmse_total,t2_b0_prior_rmse_total,t2_b0_reachable_count_total,t2_b0_reachable_gain_vs_prior_total,t2_b0_reachable_rmse_total,t2_b0_rmse_gain_vs_prior_total,t2_b0_supported_fraction_total,t2_b0_supported_gain_vs_prior_total,t2_b0_supported_prior_rmse_total,t2_b0_supported_rmse_total,t2_b0_total,t2_b0_unavailable_censored_rmse_total,t2_b0_unavailable_censored_rmse_z0,t2_b0_unavailable_count_total,t2_b0_z0
100,1,500,20,20,39.9711766935742,36.58181734998933,19.836031500163955,19.836031500163955,0.95,0.95,53.52223093334665,22.765478157361635,22.765478157361635,55.992807427215574,21.470041451994952,21.470041451994952,nan,19.50949531130738,17.55032092736309,22.86794825837645,56.417848850153284,0.0,0.0,58.62880335341551,56.417848909162686,9260,40.44197492030574,18.18682843310977,33.65237075180105,nan,nan,nan,nan,22.765478157361635,34.32430999706459,34.32430999706459,740,22.765478157361635
200,1,500,20,20,30.254285304577106,41.71612092933998,16.08064483908787,16.08064483908787,0.9285714285714286,0.9285714285714286,39.779465242268536,17.443416121135527,17.443416121135527,52.44153457336426,15.598807513745578,15.598807513745578,nan,13.313804914820608,11.80174549655691,17.87062994569122,57.796765768427846,0.0,0.0,59.05011960910105,57.796765718883236,9580,43.29455857114846,15.755561037952594,40.35334959774771,nan,nan,nan,nan,17.443416121135527,22.240791704202106,22.240791704202106,420,17.443416121135527
300,1,500,20,20,28.39904081328898,45.31967292737377,12.400979217162096,12.400979217162096,1.0,1.0,38.24594545504137,13.186492330338647,13.186492330338647,53.96663817977905,12.205556620907767,12.205556620907767,nan,10.883692070737638,9.909212482979115,12.659185705904804,57.72065214453587,0.0,0.0,58.24725799656998,57.72065218762556,9820,45.989252674344556,12.258005322225424,44.534159857286916,nan,nan,nan,nan,13.186492330338647,18.604431572884575,18.604431572884575,180,13.186492330338647
400,1,500,20,20,32.25461498099842,41.86034006565449,16.938384406609778,16.938384406609778,0.9,0.9,42.433413813430526,17.79373539876266,17.79373539876266,54.851371924591064,14.907295862448851,14.907295862448851,nan,11.16200674884459,10.45875688887292,21.743643060102446,58.79872447226427,0.0,0.0,59.51726902534127,58.79872434620679,9760,42.78031090019026,16.73695812515101,41.00498894744413,nan,nan,nan,nan,17.79373539876266,23.72245550633607,23.72245550633607,240,17.79373539876266
500,1,500,20,20,27.406471509840244,48.70227831786968,9.607120860813081,9.607120860813081,1.0,1.0,37.64988097720438,11.166904455621916,11.166904455621916,53.81360858230591,11.121576553422177,11.121576553422177,nan,10.928493877446234,10.005222315218637,12.313828071542183,58.30939917868276,0.0,0.0,59.20422467739152,58.309399011321695,9700,50.00010474978773,9.204119927603791,47.14249455569978,nan,nan,nan,nan,11.166904455621916,18.36883433602923,18.36883433602923,300,11.166904455621916
600,1,500,20,20,28.62434435077546,34.1435364728762,22.4149954816061,22.4149954816061,0.85,0.85,33.40833550285766,23.751552128131994,23.751552128131994,45.94238604049683,19.64457093083259,19.64457093083259,nan,13.464679044242697,12.606785183270116,41.69041838935683,56.5585319544823,0.0,0.0,58.64846557750624,56.55853196975871,9300,35.78825346230393,22.860212115202312,32.80697984162671,nan,nan,nan,nan,23.751552128131994,15.317578800696598,15.317578800696598,700,23.751552128131994
700,1,500,20,20,29.971048530742344,38.61216149418689,18.925256593063242,18.925256593063242,0.9,0.9,37.934874872099414,20.01839273324475,20.01839273324475,49.96280457687378,15.903625101690405,15.903625101690405,nan,11.821669387658796,11.266698300062961,17.083773776636747,57.53741808725014,0.0,0.0,58.72388141942256,57.53741807731649,9600,39.8169311496835,18.90695026973906,37.519025344071736,nan,nan,nan,nan,20.01839273324475,19.3594155642978,19.3594155642978,400,20.01839273324475
800,1,500,20,20,27.390567245444636,40.81191225139889,14.606533314026917,14.606533314026917,0.95,0.95,35.937125013018075,16.420340351967948,16.420340351967948,51.36863240127563,14.743808993534973,14.743808993534973,nan,12.666900571451936,11.805213594822003,15.674624612672392,55.418445565425806,0.0,0.0,57.03853245111768,55.418445574224485,9440,42.58137526676225,14.45715718435543,38.99810522225654,nan,nan,nan,nan,16.420340351967948,16.927338157779754,16.927338157779754,560,16.420340351967948
900,1,500,20,20,28.68000586470709,49.58942619244492,9.460773945515617,9.460773945515617,1.0,1.0,39.51304414090132,10.507110954541108,10.507110954541108,56.94373850860595,10.37209501602331,10.37209501602331,nan,9.810213520964787,8.949412922478022,12.555948084691757,59.05020013796054,0.0,0.0,59.58893596195033,59.050200218746284,9820,50.43443895127573,9.154497010674598,48.54308926420518,nan,nan,nan,nan,10.507110954541108,20.013765817800998,20.013765817800998,180,10.507110954541108
1000,1,500,20,20,25.64701950610245,41.26358060685486,15.42157900435528,15.42157900435528,0.9487179487179487,0.9487179487179487,32.777778660664936,17.497088284331785,17.497088284331785,50.65212396850586,15.032610157205804,15.032610157205804,nan,12.536344745952153,12.304477333678621,14.415616109583972,56.68515961121014,0.0,0.0,59.034231541664326,56.68515974402011,9220,43.505018903373305,15.529212638291021,39.18807145968833,nan,nan,nan,nan,17.497088284331785,14.08711765374391,14.08711765374391,780,17.497088284331785
