step,pending_transitions,pull_updates_this_step,queued_transitions,t2_b0_train_updates,train_updates_this_step
1,0,0,0,0,0
2,0,0,1,1,1
3,0,0,1,2,1
4,0,0,4,6,4
5,0,0,1,7,1
6,0,0,2,9,2
7,0,0,2,11,2
8,0,0,3,14,3
9,0,0,2,16,2
10,0,0,3,19,3
11,0,0,3,22,3
12,0,0,2,24,2
13,0,0,2,26,2
14,0,0,1,27,1
15,0,0,0,27,0
16,0,0,3,30,3
17,0,0,3,33,3
18,0,0,3,36,3
19,0,0,5,41,5
20,0,0,1,42,1
21,0,0,0,42,0
22,0,0,3,45,3
23,0,0,4,49,4
24,0,0,3,52,3
25,0,0,1,53,1
26,0,0,2,55,2
27,0,0,1,56,1
28,0,0,3,59,3
29,0,0,3,62,3
30,0,0,2,64,2
31,0,0,0,64,0
32,0,0,3,67,3
33,0,0,3,70,3
34,0,0,2,72,2
35,0,0,2,74,2
36,0,0,2,76,2
37,0,0,2,78,2
38,0,0,3,81,3
39,0,0,4,85,4
40,0,0,3,88,3
41,0,0,1,89,1
42,0,0,3,92,3
43,0,0,1,93,1
44,0,0,4,97,4
45,0,0,2,99,2
46,0,0,2,101,2
47,0,0,1,102,1
48,0,0,2,104,2
49,0,0,3,107,3
50,0,0,3,110,3
51,0,0,0,110,0
52,0,0,3,113,3
53,0,0,3,116,3
54,0,0,1,117,1
55,0,0,2,119,2
56,0,0,2,121,2
57,0,0,0,121,0
58,0,0,4,125,4
59,0,0,1,126,1
60,0,0,3,129,3
61,0,0,1,130,1
62,0,0,1,131,1
63,0,0,3,134,3
64,0,0,1,135,1
65,0,0,4,139,4
66,0,0,0,139,0
67,0,0,1,140,1
68,0,0,5,145,5
69,0,0,2,147,2
70,0,0,0,147,0
71,0,0,2,149,2
72,0,0,1,150,1
73,0,0,3,153,3
74,0,0,1,154,1
75,0,0,3,157,3
76,0,0,1,158,1
77,0,0,0,158,0
78,0,0,2,160,2
79,0,0,1,161,1
80,0,0,1,162,1
81,0,0,2,164,2
82,0,0,2,166,2
83,0,0,2,168,2
84,0,0,2,170,2
85,0,0,0,170,0
86,0,0,1,171,1
87,0,0,2,173,2
88,0,0,4,177,4
89,0,0,2,179,2
90,0,0,3,182,3
91,0,0,2,184,2
92,0,0,2,186,2
93,0,0,2,188,2
94,0,0,2,190,2
95,0,0,3,193,3
96,0,0,2,195,2
97,0,0,3,198,3
98,0,0,3,201,3
99,0,0,1,202,1
100,0,0,1,203,1
101,0,0,3,206,3
102,0,0,1,207,1
103,0,0,0,207,0
104,0,0,2,209,2
105,0,0,0,209,0
106,0,0,1,210,1
107,0,0,3,213,3
108,0,0,2,215,2
109,0,0,3,218,3
110,0,0,2,220,2
111,0,0,2,222,2
112,0,0,0,222,0
113,0,0,2,224,2
114,0,0,0,224,0
115,0,0,4,228,4
116,0,0,1,229,1
117,0,0,1,230,1
118,0,0,2,232,2
119,0,0,2,234,2
120,0,0,2,236,2
121,0,0,3,239,3
122,0,0,4,243,4
123,0,0,0,243,0
124,0,0,3,246,3
125,0,0,2,248,2
126,0,0,3,251,3
127,0,0,1,252,1
128,0,0,0,252,0
129,0,0,2,254,2
130,0,0,2,256,2
131,0,0,2,258,2
132,0,0,2,260,2
133,0,0,3,263,3
134,0,0,2,265,2
135,0,0,3,268,3
136,0,0,2,270,2
137,0,0,2,272,2
138,0,0,2,274,2
139,0,0,3,277,3
140,0,0,1,278,1
141,0,0,1,279,1
142,0,0,4,283,4
143,0,0,1,284,1
144,0,0,3,287,3
145,0,0,2,289,2
146,0,0,2,291,2
147,0,0,0,291,0
148,0,0,2,293,2
149,0,0,2,295,2
150,0,0,3,298,3
151,0,0,2,300,2
152,0,0,2,302,2
153,0,0,1,303,1
154,0,0,3,306,3
155,0,0,2,308,2
156,0,0,1,309,1
157,0,0,1,310,1
158,0,0,2,312,2
159,0,0,4,316,4
160,0,0,2,318,2
161,0,0,2,320,2
162,0,0,2,322,2
163,0,0,3,325,3
164,0,0,2,327,2
165,0,0,1,328,1
166,0,0,3,331,3
167,0,0,2,333,2
168,0,0,2,335,2
169,0,0,3,338,3
170,0,0,0,338,0
171,0,0,3,341,3
172,0,0,1,342,1
173,0,0,2,344,2
174,0,0,2,346,2
175,0,0,2,348,2
176,0,0,2,350,2
177,0,0,2,352,2
178,0,0,2,354,2
179,0,0,2,356,2
180,0,0,3,359,3
181,0,0,2,361,2
182,0,0,2,363,2
183,0,0,2,365,2
184,0,0,4,369,4
185,0,0,2,371,2
186,0,0,1,372,1
187,0,0,2,374,2
188,0,0,2,376,2
189,0,0,1,377,1
190,0,0,1,378,1
191,0,0,2,380,2
192,0,0,2,382,2
193,0,0,1,383,1
194,0,0,3,386,3
195,0,0,0,386,0
196,0,0,1,387,1
197,0,0,2,389,2
198,0,0,1,390,1
199,0,0,2,392,2
200,0,0,1,393,1
201,0,0,2,395,2
202,0,0,1,396,1
203,0,0,2,398,2
204,0,0,3,401,3
205,0,0,3,404,3
206,0,0,2,406,2
207,0,0,2,408,2
208,0,0,2,410,2
209,0,0,2,412,2
210,0,0,2,414,2
211,0,0,2,416,2
212,0,0,1,417,1
213,0,0,3,420,3
214,0,0,2,422,2
215,0,0,2,424,2
216,0,0,4,428,4
217,0,0,1,429,1
218,0,0,3,432,3
219,0,0,1,433,1
220,0,0,1,434,1
221,0,0,2,436,2
222,0,0,2,438,2
223,0,0,2,440,2
224,0,0,3,443,3
225,0,0,2,445,2
226,0,0,1,446,1
227,0,0,2,448,2
228,0,0,1,449,1
229,0,0,3,452,3
230,0,0,2,454,2
231,0,0,2,456,2
232,0,0,1,457,1
233,0,0,2,459,2
234,0,0,4,463,4
235,0,0,3,466,3
236,0,0,2,468,2
237,0,0,1,469,1
238,0,0,1,470,1
239,0,0,3,473,3
240,0,0,3,476,3
241,0,0,2,478,2
242,0,0,1,479,1
243,0,0,2,481,2
244,0,0,1,482,1
245,0,0,3,485,3
246,0,0,0,485,0
247,0,0,2,487,2
248,0,0,0,487,0
249,0,0,3,490,3
250,0,0,1,491,1
251,0,0,3,494,3
252,0,0,1,495,1
253,0,0,1,496,1
254,0,0,2,498,2
255,0,0,2,500,2
256,0,0,5,505,5
257,0,0,1,506,1
258,0,0,2,508,2
259,0,0,3,511,3
260,0,0,2,513,2
261,0,0,0,513,0
262,0,0,4,517,4
263,0,0,1,518,1
264,0,0,4,522,4
265,0,0,2,524,2
266,0,0,2,526,2
267,0,0,2,528,2
268,0,0,3,531,3
269,0,0,3,534,3
270,0,0,2,536,2
271,0,0,2,538,2
272,0,0,2,540,2
273,0,0,1,541,1
274,0,0,2,543,2
275,0,0,0,543,0
276,0,0,5,548,5
277,0,0,2,550,2
278,0,0,2,552,2
279,0,0,4,556,4
280,0,0,3,559,3
281,0,0,1,560,1
282,0,0,2,562,2
283,0,0,2,564,2
284,0,0,1,565,1
285,0,0,1,566,1
286,0,0,0,566,0
287,0,0,0,566,0
288,0,0,1,567,1
289,0,0,1,568,1
290,0,0,4,572,4
291,0,0,1,573,1
292,0,0,3,576,3
293,0,0,3,579,3
294,0,0,1,580,1
295,0,0,1,581,1
296,0,0,1,582,1
297,0,0,3,585,3
298,0,0,1,586,1
299,0,0,2,588,2
300,0,0,1,589,1
301,0,0,1,590,1
302,0,0,2,592,2
303,0,0,2,594,2
304,0,0,3,597,3
305,0,0,5,602,5
306,0,0,2,604,2
307,0,0,2,606,2
308,0,0,3,609,3
309,0,0,2,611,2
310,0,0,2,613,2
311,0,0,3,616,3
312,0,0,2,618,2
313,0,0,2,620,2
314,0,0,0,620,0
315,0,0,4,624,4
316,0,0,0,624,0
317,0,0,4,628,4
318,0,0,2,630,2
319,0,0,0,630,0
320,0,0,1,631,1
321,0,0,1,632,1
322,0,0,3,635,3
323,0,0,4,639,4
324,0,0,1,640,1
325,0,0,2,642,2
326,0,0,3,645,3
327,0,0,2,647,2
328,0,0,1,648,1
329,0,0,3,651,3
330,0,0,3,654,3
331,0,0,3,657,3
332,0,0,1,658,1
333,0,0,4,662,4
334,0,0,3,665,3
335,0,0,1,666,1
336,0,0,2,668,2
337,0,0,2,670,2
338,0,0,4,674,4
339,0,0,3,677,3
340,0,0,2,679,2
341,0,0,0,679,0
342,0,0,1,680,1
343,0,0,1,681,1
344,0,0,1,682,1
345,0,0,2,684,2
346,0,0,3,687,3
347,0,0,0,687,0
348,0,0,3,690,3
349,0,0,2,692,2
350,0,0,4,696,4
351,0,0,2,698,2
352,0,0,1,699,1
353,0,0,3,702,3
354,0,0,2,704,2
355,0,0,2,706,2
356,0,0,1,707,1
357,0,0,2,709,2
358,0,0,2,711,2
359,0,0,2,713,2
360,0,0,3,716,3
361,0,0,1,717,1
362,0,0,3,720,3
363,0,0,2,722,2
364,0,0,2,724,2
365,0,0,3,727,3
366,0,0,0,727,0
367,0,0,1,728,1
368,0,0,3,731,3
369,0,0,3,734,3
370,0,0,3,737,3
371,0,0,3,740,3
372,0,0,3,743,3
373,0,0,2,745,2
374,0,0,3,748,3
375,0,0,2,750,2
376,0,0,0,750,0
377,0,0,2,752,2
378,0,0,1,753,1
379,0,0,1,754,1
380,0,0,0,754,0
381,0,0,1,755,1
382,0,0,1,756,1
383,0,0,2,758,2
384,0,0,3,761,3
385,0,0,1,762,1
386,0,0,2,764,2
387,0,0,1,765,1
388,0,0,1,766,1
389,0,0,2,768,2
390,0,0,4,772,4
391,0,0,2,774,2
392,0,0,4,778,4
393,0,0,1,779,1
394,0,0,0,779,0
395,0,0,2,781,2
396,0,0,2,783,2
397,0,0,1,784,1
398,0,0,3,787,3
399,0,0,2,789,2
400,0,0,0,789,0
401,0,0,3,792,3
402,0,0,0,792,0
403,0,0,1,793,1
404,0,0,2,795,2
405,0,0,3,798,3
406,0,0,4,802,4
407,0,0,2,804,2
408,0,0,2,806,2
409,0,0,3,809,3
410,0,0,3,812,3
411,0,0,2,814,2
412,0,0,2,816,2
413,0,0,1,817,1
414,0,0,3,820,3
415,0,0,3,823,3
416,0,0,2,825,2
417,0,0,3,828,3
418,0,0,3,831,3
419,0,0,0,831,0
420,0,0,1,832,1
421,0,0,3,835,3
422,0,0,3,838,3
423,0,0,5,843,5
424,0,0,1,844,1
425,0,0,1,845,1
426,0,0,1,846,1
427,0,0,1,847,1
428,0,0,3,850,3
429,0,0,2,852,2
430,0,0,2,854,2
431,0,0,3,857,3
432,0,0,2,859,2
433,0,0,6,865,6
434,0,0,2,867,2
435,0,0,1,868,1
436,0,0,0,868,0
437,0,0,1,869,1
438,0,0,2,871,2
439,0,0,1,872,1
440,0,0,3,875,3
441,0,0,3,878,3
442,0,0,1,879,1
443,0,0,3,882,3
444,0,0,0,882,0
445,0,0,1,883,1
446,0,0,3,886,3
447,0,0,2,888,2
448,0,0,0,888,0
449,0,0,2,890,2
450,0,0,4,894,4
451,0,0,2,896,2
452,0,0,2,898,2
453,0,0,2,900,2
454,0,0,2,902,2
455,0,0,2,904,2
456,0,0,2,906,2
457,0,0,6,912,6
458,0,0,1,913,1
459,0,0,3,916,3
460,0,0,2,918,2
461,0,0,1,919,1
462,0,0,2,921,2
463,0,0,1,922,1
464,0,0,1,923,1
465,0,0,3,926,3
466,0,0,2,928,2
467,0,0,2,930,2
468,0,0,3,933,3
469,0,0,0,933,0
470,0,0,3,936,3
471,0,0,3,939,3
472,0,0,2,941,2
473,0,0,1,942,1
474,0,0,1,943,1
475,0,0,3,946,3
476,0,0,3,949,3
477,0,0,1,950,1
478,0,0,2,952,2
479,0,0,2,954,2
480,0,0,0,954,0
481,0,0,2,956,2
482,0,0,2,958,2
483,0,0,4,962,4
484,0,0,2,964,2
485,0,0,1,965,1
486,0,0,3,968,3
487,0,0,2,970,2
488,0,0,2,972,2
489,0,0,2,974,2
490,0,0,4,978,4
491,0,0,2,980,2
492,0,0,2,982,2
493,0,0,1,983,1
494,0,0,1,984,1
495,0,0,4,988,4
496,0,0,2,990,2
497,0,0,2,992,2
498,0,0,1,993,1
499,0,0,1,994,1
500,0,0,0,994,0
501,0,0,2,996,2
502,0,0,1,997,1
503,0,0,4,1001,4
504,0,0,2,1003,2
505,0,0,1,1004,1
506,0,0,3,1007,3
507,0,0,1,1008,1
508,0,0,2,1010,2
509,0,0,3,1013,3
510,0,0,2,1015,2
511,0,0,3,1018,3
512,0,0,1,1019,1
513,0,0,2,1021,2
514,0,0,4,1025,4
515,0,0,4,1029,4
516,0,0,0,1029,0
517,0,0,0,1029,0
518,0,0,2,1031,2
519,0,0,5,1036,5
520,0,0,3,1039,3
521,0,0,3,1042,3
522,0,0,1,1043,1
523,0,0,1,1044,1
524,0,0,3,1047,3
525,0,0,5,1052,5
526,0,0,2,1054,2
527,0,0,0,1054,0
528,0,0,1,1055,1
529,0,0,0,1055,0
530,0,0,1,1056,1
531,0,0,1,1057,1
532,0,0,2,1059,2
533,0,0,1,1060,1
534,0,0,1,1061,1
535,0,0,3,1064,3
536,0,0,2,1066,2
537,0,0,2,1068,2
538,0,0,4,1072,4
539,0,0,0,1072,0
540,0,0,2,1074,2
541,0,0,2,1076,2
542,0,0,3,1079,3
543,0,0,2,1081,2
544,0,0,3,1084,3
545,0,0,3,1087,3
546,0,0,2,1089,2
547,0,0,1,1090,1
548,0,0,1,1091,1
549,0,0,2,1093,2
550,0,0,2,1095,2
551,0,0,3,1098,3
552,0,0,1,1099,1
553,0,0,2,1101,2
554,0,0,3,1104,3
555,0,0,4,1108,4
556,0,0,1,1109,1
557,0,0,2,1111,2
558,0,0,1,1112,1
559,0,0,1,1113,1
560,0,0,3,1116,3
561,0,0,3,1119,3
562,0,0,2,1121,2
563,0,0,2,1123,2
564,0,0,0,1123,0
565,0,0,2,1125,2
566,0,0,1,1126,1
567,0,0,4,1130,4
568,0,0,1,1131,1
569,0,0,2,1133,2
570,0,0,1,1134,1
571,0,0,0,1134,0
572,0,0,1,1135,1
573,0,0,2,1137,2
574,0,0,3,1140,3
575,0,0,3,1143,3
576,0,0,1,1144,1
577,0,0,2,1146,2
578,0,0,3,1149,3
579,0,0,2,1151,2
580,0,0,1,1152,1
581,0,0,1,1153,1
582,0,0,2,1155,2
583,0,0,4,1159,4
584,0,0,2,1161,2
585,0,0,2,1163,2
586,0,0,3,1166,3
587,0,0,4,1170,4
588,0,0,0,1170,0
589,0,0,3,1173,3
590,0,0,1,1174,1
591,0,0,0,1174,0
592,0,0,4,1178,4
593,0,0,5,1183,5
594,0,0,0,1183,0
595,0,0,1,1184,1
596,0,0,0,1184,0
597,0,0,2,1186,2
598,0,0,1,1187,1
599,0,0,2,1189,2
600,0,0,2,1191,2
601,0,0,1,1192,1
602,0,0,4,1196,4
603,0,0,3,1199,3
604,0,0,2,1201,2
605,0,0,2,1203,2
606,0,0,2,1205,2
607,0,0,1,1206,1
608,0,0,3,1209,3
609,0,0,3,1212,3
610,0,0,1,1213,1
611,0,0,1,1214,1
612,0,0,2,1216,2
613,0,0,0,1216,0
614,0,0,3,1219,3
615,0,0,2,1221,2
616,0,0,5,1226,5
617,0,0,0,1226,0
618,0,0,3,1229,3
619,0,0,1,1230,1
620,0,0,3,1233,3
621,0,0,1,1234,1
622,0,0,4,1238,4
623,0,0,0,1238,0
624,0,0,1,1239,1
625,0,0,2,1241,2
626,0,0,2,1243,2
627,0,0,2,1245,2
628,0,0,1,1246,1
629,0,0,2,1248,2
630,0,0,2,1250,2
631,0,0,2,1252,2
632,0,0,2,1254,2
633,0,0,3,1257,3
634,0,0,1,1258,1
635,0,0,2,1260,2
636,0,0,2,1262,2
637,0,0,2,1264,2
638,0,0,1,1265,1
639,0,0,4,1269,4
640,0,0,3,1272,3
641,0,0,1,1273,1
642,0,0,2,1275,2
643,0,0,1,1276,1
644,0,0,4,1280,4
645,0,0,2,1282,2
646,0,0,3,1285,3
647,0,0,2,1287,2
648,0,0,3,1290,3
649,0,0,1,1291,1
650,0,0,2,1293,2
651,0,0,2,1295,2
652,0,0,1,1296,1
653,0,0,0,1296,0
654,0,0,3,1299,3
655,0,0,2,1301,2
656,0,0,2,1303,2
657,0,0,1,1304,1
658,0,0,2,1306,2
659,0,0,2,1308,2
660,0,0,3,1311,3
661,0,0,1,1312,1
662,0,0,3,1315,3
663,0,0,4,1319,4
664,0,0,2,1321,2
665,0,0,1,1322,1
666,0,0,3,1325,3
667,0,0,0,1325,0
668,0,0,1,1326,1
669,0,0,1,1327,1
670,0,0,3,1330,3
671,0,0,2,1332,2
672,0,0,1,1333,1
673,0,0,1,1334,1
674,0,0,3,1337,3
675,0,0,3,1340,3
676,0,0,2,1342,2
677,0,0,4,1346,4
678,0,0,3,1349,3
679,0,0,3,1352,3
680,0,0,1,1353,1
681,0,0,4,1357,4
682,0,0,2,1359,2
683,0,0,1,1360,1
684,0,0,1,1361,1
685,0,0,1,1362,1
686,0,0,4,1366,4
687,0,0,2,1368,2
688,0,0,0,1368,0
689,0,0,3,1371,3
690,0,0,1,1372,1
691,0,0,3,1375,3
692,0,0,1,1376,1
693,0,0,2,1378,2
694,0,0,3,1381,3
695,0,0,1,1382,1
696,0,0,3,1385,3
697,0,0,4,1389,4
698,0,0,3,1392,3
699,0,0,1,1393,1
700,0,0,1,1394,1
701,0,0,1,1395,1
702,0,0,2,1397,2
703,0,0,1,1398,1
704,0,0,4,1402,4
705,0,0,2,1404,2
706,0,0,2,1406,2
707,0,0,0,1406,0
708,0,0,2,1408,2
709,0,0,1,1409,1
710,0,0,1,1410,1
711,0,0,1,1411,1
712,0,0,3,1414,3
713,0,0,1,1415,1
714,0,0,2,1417,2
715,0,0,2,1419,2
716,0,0,2,1421,2
717,0,0,2,1423,2
718,0,0,4,1427,4
719,0,0,2,1429,2
720,0,0,1,1430,1
721,0,0,2,1432,2
722,0,0,2,1434,2
723,0,0,2,1436,2
724,0,0,2,1438,2
725,0,0,2,1440,2
726,0,0,3,1443,3
727,0,0,3,1446,3
728,0,0,1,1447,1
729,0,0,3,1450,3
730,0,0,2,1452,2
731,0,0,3,1455,3
732,0,0,3,1458,3
733,0,0,3,1461,3
734,0,0,3,1464,3
735,0,0,2,1466,2
736,0,0,0,1466,0
737,0,0,2,1468,2
738,0,0,2,1470,2
739,0,0,3,1473,3
740,0,0,2,1475,2
741,0,0,0,1475,0
742,0,0,0,1475,0
743,0,0,0,1475,0
744,0,0,2,1477,2
745,0,0,3,1480,3
746,0,0,2,1482,2
747,0,0,2,1484,2
748,0,0,1,1485,1
749,0,0,3,1488,3
750,0,0,2,1490,2
