step,selection_mode,window_steps,validation_capacity,regular_vehicle_count,visitor_vehicle_count,regular_validation_retained_mean,visitor_validation_retained_mean,regular_validation_seen_mean,visitor_validation_seen_mean,policy_examples_per_vehicle_mean,policy_examples_per_vehicle_min,policy_examples_per_vehicle_max,latest_fidelity_step,latest_tail_rmse,window_opportunities,window_attempts,window_labeled_pulls,window_attempt_rate,window_mean_realized_gain,window_beneficial_pull_fraction,window_adopted_pull_fraction,window_gain_prediction_pearson,window_selected_predicted_top_fraction,window_mean_candidate_score_std,window_available_regular_provider_fraction,window_selected_regular_provider_fraction,window_regular_provider_selection_enrichment,window_available_more_experienced_provider_fraction,window_selected_more_experienced_provider_fraction,window_more_experienced_selection_enrichment,window_selected_provider_sample_advantage_mean,cumulative_opportunities,cumulative_attempts,cumulative_labeled_pulls,cumulative_attempt_rate,cumulative_mean_realized_gain,cumulative_beneficial_pull_fraction,cumulative_adopted_pull_fraction,cumulative_gain_prediction_pearson,cumulative_selected_predicted_top_fraction,cumulative_mean_candidate_score_std,cumulative_available_regular_provider_fraction,cumulative_selected_regular_provider_fraction,cumulative_regular_provider_selection_enrichment,cumulative_available_more_experienced_provider_fraction,cumulative_selected_more_experienced_provider_fraction,cumulative_more_experienced_selection_enrichment,cumulative_selected_provider_sample_advantage_mean
25,policy,100,400,4,36,156.25,122.19444444444444,156.25,122.19444444444444,6.125,0,14,-1,nan,804,280,280,0.3482587064676617,0.14173980818740703,0.5785714285714286,0.5785714285714286,0.15403221628041214,0.9071428571428571,0.000786272749482401,nan,0.0,nan,0.527451666630771,0.3357142857142857,0.6364835054152816,-18.035714285714285,804,280,280,0.3482587064676617,0.14173980818740703,0.5785714285714286,0.5785714285714286,0.15403221628041214,0.9071428571428571,0.000786272749482401,nan,0.0,nan,0.527451666630771,0.3357142857142857,0.6364835054152816,-18.035714285714285
50,policy,100,400,4,36,337.5,216.30555555555554,337.5,216.30555555555554,10.6,0,31,-1,nan,1727,568,568,0.32889403590040533,0.15047681199400878,0.6971830985915493,0.6971830985915493,0.08895583707533634,0.903169014084507,0.002929514225486693,nan,0.0,nan,0.5327240266006914,0.4665492957746479,0.8757804650781305,16.809859154929576,1727,568,568,0.32889403590040533,0.15047681199400878,0.6971830985915493,0.6971830985915493,0.08895583707533634,0.903169014084507,0.002929514225486693,nan,0.0,nan,0.5327240266006914,0.4665492957746479,0.8757804650781305,16.809859154929576
75,policy,100,400,4,36,400.0,241.05555555555554,522.0,266.6388888888889,12.25,0,39,-1,nan,2649,840,840,0.3171007927519819,0.1591631548463134,0.7392857142857143,0.7392857142857143,0.07054044146244086,0.8952380952380953,0.004052906214416577,nan,0.0,nan,0.5299786682006388,0.5380952380952381,1.0153148992244467,114.69761904761904,2649,840,840,0.3171007927519819,0.1591631548463134,0.7392857142857143,0.7392857142857143,0.07054044146244086,0.8952380952380953,0.004052906214416577,nan,0.0,nan,0.5299786682006388,0.5380952380952381,1.0153148992244467,114.69761904761904
100,policy,100,400,4,36,400.0,273.6666666666667,695.0,351.9166666666667,16.275,0,47,100,25.027264158532034,3554,1116,1116,0.3140123804164322,0.16740540102136556,0.7706093189964157,0.7706093189964157,0.06930997184944301,0.8906810035842294,0.004196228779750729,nan,0.0,nan,0.5302026109637252,0.5922939068100358,1.1171086195397077,251.71146953405017,3554,1116,1116,0.3140123804164322,0.16740540102136556,0.7706093189964157,0.7706093189964157,0.06930997184944301,0.8906810035842294,0.004196228779750729,nan,0.0,nan,0.5302026109637252,0.5922939068100358,1.1171086195397077,251.71146953405017
125,policy,100,400,4,36,400.0,250.47222222222223,796.0,317.94444444444446,16.25,0,38,100,25.027264158532034,3583,1087,1087,0.30337705833100753,0.18506527725492003,0.8362465501379944,0.8362465501379944,0.07784087068742378,0.8886844526218951,0.005182249235656487,nan,0.0,nan,0.5329888836936004,0.7010119595216191,1.315246867183463,421.45814167433304,4387,1367,1367,0.3116024618190107,0.17619100414672423,0.783467446964155,0.783467446964155,0.08037680992750039,0.8924652523774689,0.004376604126268759,nan,0.0,nan,0.5319740848519057,0.626188734455011,1.1771038332240065,331.437454279444
150,policy,100,400,4,36,400.0,249.66666666666666,943.5,354.02777777777777,17.6,0,45,100,25.027264158532034,3507,1032,1032,0.29426860564585117,0.1996317644354694,0.8488372093023255,0.8488372093023255,0.1489576572389867,0.8846899224806202,0.005891388243089305,nan,0.0,nan,0.5308595857141623,0.7461240310077519,1.4055016638797164,606.140503875969,5234,1600,1600,0.30569354222392053,0.1821817563187509,0.795,0.795,0.10448274833401619,0.89125,0.004914094313322452,nan,0.0,nan,0.5314747728389303,0.646875,1.2171320880286505,396.928125
175,policy,100,400,4,36,400.0,213.55555555555554,1112.5,285.77777777777777,15.05,0,49,100,25.027264158532034,3419,1025,1025,0.2997952617724481,0.21143312712333068,0.8575609756097561,0.8575609756097561,0.10077526081007394,0.8848780487804878,0.00594977160753467,nan,0.0,nan,0.5299957963456062,0.7736585365853659,1.459744665749894,767.409756097561,6068,1865,1865,0.3073500329597891,0.18789061950258293,0.8042895442359249,0.8042895442359249,0.09596143671722886,0.8895442359249329,0.00512169045618829,nan,0.0,nan,0.5299883190127093,0.6675603217158177,1.259575537361625,473.4268096514745
200,policy,100,400,4,36,400.0,216.75,1259.75,277.8611111111111,16.25,0,50,200,21.168248446417422,3370,1001,1001,0.2970326409495549,0.2265144388487775,0.8621378621378621,0.8621378621378621,0.07160592822160838,0.8761238761238761,0.006410864761617452,nan,0.0,nan,0.5301583983112172,0.7962037962037962,1.5018224718122888,866.4745254745254,6924,2117,2117,0.3057481224725592,0.19535445480749652,0.8138875767595655,0.8138875767595655,0.12491793180937172,0.8837978271138404,0.005274120642675462,nan,0.0,nan,0.5301810920961701,0.6887104393008975,1.299009809229431,542.3953708077468
225,policy,100,400,4,36,400.0,249.36111111111111,1399.0,353.1111111111111,17.0,0,69,200,21.168248446417422,3427,971,971,0.2833381966734753,0.23405571526158458,0.870236869207003,0.870236869207003,0.08836211370712599,0.86302780638517,0.006341927977142421,nan,0.0,nan,0.5243836360118823,0.791967044284243,1.510281766813748,923.1874356333676,7814,2338,2338,0.29920655234195037,0.20022292651307558,0.8195038494439693,0.8195038494439693,0.13873641365173683,0.8802395209580839,0.005238539733760958,nan,0.0,nan,0.5286451280852356,0.695038494439692,1.3147543739921277,577.1984602224123
250,policy,100,400,4,36,400.0,213.36111111111111,1498.5,256.44444444444446,14.425,0,76,200,21.168248446417422,3449,988,988,0.2864598434328791,0.23928712166817895,0.8755060728744939,0.8755060728744939,0.0755065514167865,0.854251012145749,0.005211525182453663,nan,0.0,nan,0.5247906952748936,0.771255060728745,1.4696431695016037,956.3876518218624,8683,2588,2588,0.2980536680870667,0.20398241356961447,0.8257341576506955,0.8257341576506955,0.14432557662413617,0.8771251931993818,0.005032237704734814,nan,0.0,nan,0.5288197707062153,0.6943585780525502,1.313034452409495,610.5085007727976
