step,contact_threshold_rx_power_dbm,contact_threshold_snr_db,feasible_contact_decisions,feasible_contact_pairs,greedy_comm_bytes,greedy_comm_cumulative_mb,greedy_comm_mb,greedy_events,local_policy_initial_pull_probability,model_transfer_snr_min_db,network_half_duplex_rejections,network_mean_direction_capacity_bytes,network_mean_sinr_db,network_min_sinr_db,network_raw_contact_pairs,network_raw_directed_candidates,network_rejected_transfers,network_scheduled_transfers,network_shortlisted_directed_candidates,network_sinr_or_airtime_rejections,network_transfer_proposals,noise_floor_dbm,propagation_loss_contact_threshold_db,rssi_gossip_threshold_dbm,snr_min_db,t2_b0_comm_bytes,t2_b0_comm_cumulative_mb,t2_b0_comm_cumulative_vs_greedy_ratio,t2_b0_comm_mb,t2_b0_comm_vs_greedy_ratio,t2_b0_events,t2_b0_metadata_bytes,t2_b0_model_bytes,t2_b0_model_messages,t2_b0_policy_bytes,t2_b0_policy_messages,t2_b0_pull_events,t2_b0_scalar_bytes,t2_b0_scalar_control_bytes,t2_b0_scalar_control_messages,t2_b0_scalar_loss_bytes,t2_b0_scalar_loss_messages,t2_b0_scalar_messages,t2_b0_selected_providers,t2_b0_training_sample_bytes,t2_b0_training_sample_messages,t2_b0_valid_pull_events
1,-47.5,57.5,0,0,0,0.0,0.0,0,0.0,57.5,,,,,0,,,0,0,,0,-105.0,70.5,-47.5,5.0,0,0.0,nan,0.0,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-47.5,57.5,6,3,0,0.0,0.0,0,0.0,57.5,0,562500.0,59.35386483346665,45.681154542495044,3,6,0,3,6,0,3,-105.0,70.5,-47.5,5.0,1488252,1.488252,nan,1.488252,nan,3,432,867480,6,619944,6,3,396,192,48,204,51,99,3,0,0,3
3,-47.5,57.5,10,5,0,0.0,0.0,0,0.0,57.5,0,562500.0,60.99731431560174,59.87401853160516,5,10,0,2,10,0,2,-105.0,70.5,-47.5,5.0,1612472,3.100724,nan,1.612472,nan,2,648,578320,4,1033240,10,2,264,128,32,136,34,66,2,0,0,2
4,-47.5,57.5,36,18,0,0.0,0.0,0,0.0,57.5,0,562500.0,47.94700757879427,32.73614303040358,18,36,0,4,36,0,4,-105.0,70.5,-47.5,5.0,4879208,7.979932,nan,4.879208,nan,4,2376,1156640,8,3719664,36,4,528,256,64,272,68,132,4,0,0,4
5,-47.5,57.5,40,20,0,0.0,0.0,0,0.0,57.5,0,562500.0,45.448536622564966,29.492424053189403,20,40,0,6,40,0,6,-105.0,70.5,-47.5,5.0,5871304,13.851236,nan,5.871304,nan,6,2592,1734960,12,4132960,40,6,792,384,96,408,102,198,6,0,0,6
6,-47.5,57.5,60,30,0,0.0,0.0,0,0.0,57.5,6,562500.0,37.54346423297328,22.438211253892035,30,60,6,5,60,0,11,-105.0,70.5,-47.5,5.0,7649716,21.500952,nan,7.649716,nan,5,3816,1445800,10,6199440,60,5,660,320,80,340,85,165,5,0,0,5
7,-47.5,57.5,66,33,0,0.0,0.0,0,0.0,57.5,8,562500.0,36.24266993146633,18.0035780184743,33,66,8,9,66,0,17,-105.0,70.5,-47.5,5.0,9427332,30.928284,nan,9.427332,nan,9,4320,2602440,18,6819384,66,9,1188,576,144,612,153,297,9,0,0,9
8,-47.5,57.5,72,36,0,0.0,0.0,0,0.0,57.5,6,562500.0,32.98076204398608,19.004327998808815,36,72,6,9,72,0,15,-105.0,70.5,-47.5,5.0,10046628,40.974912,nan,10.046628,nan,9,3672,2602440,18,7439328,72,9,1188,576,144,612,153,297,9,0,0,9
9,-47.5,57.5,82,41,0,0.0,0.0,0,0.0,57.5,5,523603.0515777732,28.247090534389812,8.191476666430916,41,82,5,11,82,0,16,-105.0,70.5,-47.5,5.0,11657732,52.632644,nan,11.657732,nan,11,2952,3180760,22,8472568,82,11,1452,704,176,748,187,363,11,0,0,11
10,-47.5,57.5,98,49,0,0.0,0.0,0,0.0,57.5,5,521505.27719222446,27.253084814896372,5.987284472535177,49,98,5,9,98,0,14,-105.0,70.5,-47.5,5.0,12732692,65.365336,nan,12.732692,nan,9,3312,2602440,18,10125752,98,9,1188,576,144,612,153,297,9,0,0,9
11,-47.5,57.5,110,55,0,0.0,0.0,0,0.0,57.5,9,550371.4302577447,35.58572143671783,11.491573304255061,55,110,9,9,110,0,18,-105.0,70.5,-47.5,5.0,13973372,79.338708,nan,13.973372,nan,9,4104,2602440,18,11365640,110,9,1188,576,144,612,153,297,9,0,0,9
12,-47.5,57.5,126,63,0,0.0,0.0,0,0.0,57.5,6,500396.0047488894,23.878202785052007,6.942557656673549,63,126,6,12,126,0,18,-105.0,70.5,-47.5,5.0,16493856,95.832564,nan,16.493856,nan,12,3528,3469920,24,13018824,126,12,1584,768,192,816,204,396,12,0,0,12
13,-47.5,57.5,138,69,0,0.0,0.0,0,0.0,57.5,3,519326.888620615,29.314121517313698,10.456580129087039,69,138,3,10,138,0,13,-105.0,70.5,-47.5,5.0,17154944,112.987508,nan,17.154944,nan,10,3312,2891600,20,14258712,138,10,1320,640,160,680,170,330,10,0,0,10
14,-47.5,57.5,144,72,0,0.0,0.0,0,0.0,57.5,4,562500.0,47.99315026170809,37.8201253048925,72,144,4,6,144,0,10,-105.0,70.5,-47.5,5.0,16617072,129.60458,nan,16.617072,nan,6,2664,1734960,12,14878656,144,6,792,384,96,408,102,198,6,0,0,6
15,-47.5,57.5,154,77,0,0.0,0.0,0,0.0,57.5,5,562500.0,38.48416998098506,20.201064027085913,77,154,5,6,154,0,11,-105.0,70.5,-47.5,5.0,17650888,147.255468,nan,17.650888,nan,6,3240,1734960,12,15911896,154,6,792,384,96,408,102,198,6,0,0,6
16,-47.5,57.5,166,83,0,0.0,0.0,0,0.0,57.5,4,534074.711815399,23.08160184885708,10.94730936450031,83,166,4,11,166,0,15,-105.0,70.5,-47.5,5.0,20337740,167.593208,nan,20.33774,nan,11,3744,3180760,22,17151784,166,11,1452,704,176,748,187,363,11,0,0,11
17,-47.5,57.5,168,84,0,0.0,0.0,0,0.0,57.5,4,542592.2192526583,32.649271015670635,12.288027035506877,84,168,4,8,168,0,12,-105.0,70.5,-47.5,5.0,19676728,187.269936,nan,19.676728,nan,8,3960,2313280,16,17358432,168,8,1056,512,128,544,136,264,8,0,0,8
18,-47.5,57.5,160,80,0,0.0,0.0,0,0.0,57.5,3,562500.0,36.83238914176322,19.28978241288078,80,160,3,8,160,0,11,-105.0,70.5,-47.5,5.0,18849920,206.119856,nan,18.84992,nan,8,3744,2313280,16,16531840,160,8,1056,512,128,544,136,264,8,0,0,8
19,-47.5,57.5,170,85,0,0.0,0.0,0,0.0,57.5,6,562500.0,47.598551572545794,34.811369129669416,85,170,6,6,170,0,12,-105.0,70.5,-47.5,5.0,19304144,225.424,nan,19.304144,nan,6,3312,1734960,12,17565080,170,6,792,384,96,408,102,198,6,0,0,6
