step,selection_mode,window_steps,validation_capacity,regular_vehicle_count,visitor_vehicle_count,regular_validation_retained_mean,visitor_validation_retained_mean,regular_validation_seen_mean,visitor_validation_seen_mean,policy_examples_per_vehicle_mean,policy_examples_per_vehicle_min,policy_examples_per_vehicle_max,latest_fidelity_step,latest_tail_rmse,window_opportunities,window_attempts,window_labeled_pulls,window_attempt_rate,window_mean_realized_gain,window_beneficial_pull_fraction,window_adopted_pull_fraction,window_gain_prediction_pearson,window_selected_predicted_top_fraction,window_mean_candidate_score_std,window_available_regular_provider_fraction,window_selected_regular_provider_fraction,window_regular_provider_selection_enrichment,window_available_more_experienced_provider_fraction,window_selected_more_experienced_provider_fraction,window_more_experienced_selection_enrichment,window_selected_provider_sample_advantage_mean,cumulative_opportunities,cumulative_attempts,cumulative_labeled_pulls,cumulative_attempt_rate,cumulative_mean_realized_gain,cumulative_beneficial_pull_fraction,cumulative_adopted_pull_fraction,cumulative_gain_prediction_pearson,cumulative_selected_predicted_top_fraction,cumulative_mean_candidate_score_std,cumulative_available_regular_provider_fraction,cumulative_selected_regular_provider_fraction,cumulative_regular_provider_selection_enrichment,cumulative_available_more_experienced_provider_fraction,cumulative_selected_more_experienced_provider_fraction,cumulative_more_experienced_selection_enrichment,cumulative_selected_provider_sample_advantage_mean
25,policy,100,400,4,36,156.25,122.19444444444444,156.25,122.19444444444444,28.95,0,39,-1,nan,804,99,99,0.12313432835820895,0.2593594605113251,0.7373737373737373,0.7373737373737373,0.04664033859065843,0.47474747474747475,0.005805734754872063,nan,0.0,nan,0.527451666630771,0.5353535353535354,1.0149812186076488,15.313131313131313,804,99,99,0.12313432835820895,0.2593594605113251,0.7373737373737373,0.7373737373737373,0.04664033859065843,0.47474747474747475,0.005805734754872063,nan,0.0,nan,0.527451666630771,0.5353535353535354,1.0149812186076488,15.313131313131313
50,policy,100,400,4,36,337.5,216.30555555555554,337.5,216.30555555555554,99.1,0,155,-1,nan,1727,211,211,0.12217718587145339,0.23614477513006327,0.8009478672985783,0.8009478672985783,0.027668536287678725,0.5118483412322274,0.036312531379011935,nan,0.0,nan,0.5327240266006914,0.6066350710900474,1.138741713905757,96.04265402843602,1727,211,211,0.12217718587145339,0.23614477513006327,0.8009478672985783,0.8009478672985783,0.027668536287678725,0.5118483412322274,0.036312531379011935,nan,0.0,nan,0.5327240266006914,0.6066350710900474,1.138741713905757,96.04265402843602
75,policy,100,400,4,36,400.0,241.05555555555554,522.0,266.6388888888889,189.5,0,255,-1,nan,2649,304,304,0.11476028690071725,0.2350485351316728,0.8223684210526315,0.8223684210526315,0.024293272901385207,0.5493421052631579,0.03686479976902365,nan,0.0,nan,0.5299786682006388,0.6085526315789473,1.1482587283089707,128.6546052631579,2649,304,304,0.11476028690071725,0.2350485351316728,0.8223684210526315,0.8223684210526315,0.024293272901385207,0.5493421052631579,0.03686479976902365,nan,0.0,nan,0.5299786682006388,0.6085526315789473,1.1482587283089707,128.6546052631579
100,policy,100,400,4,36,400.0,273.6666666666667,695.0,351.9166666666667,252.525,0,328,100,24.962377001196828,3554,399,399,0.11226786719189645,0.22902875633642492,0.8120300751879699,0.8120300751879699,0.0012666209970644922,0.5664160401002506,0.031010417035256022,nan,0.0,nan,0.5302026109637252,0.5964912280701754,1.125025067277508,128.00501253132833,3554,399,399,0.11226786719189645,0.22902875633642492,0.8120300751879699,0.8120300751879699,0.0012666209970644922,0.5664160401002506,0.031010417035256022,nan,0.0,nan,0.5302026109637252,0.5964912280701754,1.125025067277508,128.00501253132833
125,policy,100,400,4,36,400.0,250.47222222222223,796.0,317.94444444444446,322.525,0,415,100,24.962377001196828,3583,393,393,0.10968462182528607,0.22312716490329065,0.8269720101781171,0.8269720101781171,0.02227518123640967,0.6412213740458015,0.033554875255075244,nan,0.0,nan,0.5329888836936004,0.6157760814249363,1.155326312169257,198.81424936386767,4387,492,492,0.11214953271028037,0.2304178097512488,0.8089430894308943,0.8089430894308943,0.033729781791943254,0.6077235772357723,0.02846932500156183,nan,0.0,nan,0.5319740848519057,0.5995934959349594,1.127110348057421,161.890243902439
150,policy,100,400,4,36,400.0,249.66666666666666,943.5,354.02777777777777,372.225,0,512,100,24.962377001196828,3507,372,372,0.10607356715141146,0.2321891462797065,0.8333333333333334,0.8333333333333334,0.042201801712018976,0.696236559139785,0.02654391532504139,nan,0.0,nan,0.5308595857141623,0.6370967741935484,1.2001229540509584,324.9059139784946,5234,583,583,0.11138708444784104,0.23362077181559884,0.8216123499142367,0.8216123499142367,0.036134585927857676,0.6295025728987993,0.0297671480199606,nan,0.0,nan,0.5314747728389303,0.6260720411663808,1.1779901383129605,242.0754716981132
175,policy,100,400,4,36,400.0,213.55555555555554,1112.5,285.77777777777777,352.7,0,512,100,24.962377001196828,3419,370,370,0.10821877742029833,0.23202156912246155,0.8243243243243243,0.8243243243243243,0.04392101376849176,0.7378378378378379,0.022349915953171404,nan,0.0,nan,0.5299957963456062,0.6621621621621622,1.2493724794193863,412.5864864864865,6068,674,674,0.11107448912326962,0.23338684755985054,0.8234421364985163,0.8234421364985163,0.03431926235339648,0.6528189910979229,0.028686423406729843,nan,0.0,nan,0.5299883190127093,0.6379821958456974,1.2037665226927359,284.52225519287833
200,policy,100,400,4,36,400.0,216.75,1259.75,277.8611111111111,363.775,0,512,200,22.972652665828114,3370,371,371,0.11008902077151335,0.2403290938956609,0.8355795148247979,0.8355795148247979,0.08318594767709278,0.7681940700808625,0.02330971737655954,nan,0.0,nan,0.5301583983112172,0.6819407008086253,1.2862961390046825,464.21832884097034,6924,770,770,0.11120739456961294,0.2344734644331477,0.8233766233766234,0.8233766233766234,0.03352886186668066,0.6636363636363637,0.027262387305358977,nan,0.0,nan,0.5301810920961701,0.6376623376623377,1.202725535045432,289.9987012987013
225,policy,100,400,4,36,400.0,249.36111111111111,1399.0,353.1111111111111,391.425,0,512,200,22.972652665828114,3427,384,384,0.11205135687189963,0.2370544488299132,0.8411458333333334,0.8411458333333334,0.020118832981156982,0.7682291666666666,0.022901316473548178,nan,0.0,nan,0.5243836360118823,0.6432291666666666,1.2266385190023195,380.3567708333333,7814,876,876,0.11210647555669312,0.23332702140217018,0.8230593607305936,0.8230593607305936,0.02615275174887268,0.678082191780822,0.026027353511223622,nan,0.0,nan,0.5286451280852356,0.6187214611872146,1.1703909263823873,257.6563926940639
250,policy,100,400,4,36,400.0,213.36111111111111,1498.5,256.44444444444446,371.875,0,512,200,22.972652665828114,3449,391,391,0.11336619309944912,0.24543362478034694,0.8286445012787724,0.8286445012787724,-0.024455322165299633,0.7698209718670077,0.015612467942363813,nan,0.0,nan,0.5247906952748936,0.5959079283887468,1.1355154231090185,284.54987212276217,8683,974,974,0.11217321202349419,0.23836289246161171,0.824435318275154,0.824435318275154,0.009843854043554454,0.6858316221765913,0.02414472586314483,nan,0.0,nan,0.5288197707062153,0.6139630390143738,1.1610062123707163,259.1262833675565
275,policy,100,400,4,36,400.0,252.11111111111111,1626.25,311.44444444444446,410.5,0,512,200,22.972652665828114,3478,393,393,0.11299597469810235,0.23729256524819986,0.811704834605598,0.811704834605598,-0.0216998907919634,0.7480916030534351,0.012575944778121668,nan,0.0,nan,0.526323721004572,0.5648854961832062,1.0732662687234253,302.10687022900765,9546,1067,1067,0.11177456526293736,0.23482541086961747,0.8191190253045924,0.8191190253045924,0.016195567927205806,0.6879100281162137,0.022816714138942366,nan,0.0,nan,0.5286531553973414,0.6110590440487348,1.1558789308454165,290.9990627928772
300,policy,100,400,4,36,400.0,239.97222222222223,1762.75,305.75,401.375,0,512,300,15.121674843799013,3513,401,401,0.11414745231995445,0.242411569375858,0.8229426433915212,0.8229426433915212,-0.10666571788878819,0.7755610972568578,0.010385849243764967,nan,0.0,nan,0.52143589481335,0.571072319201995,1.0951918057087584,374.21695760598504,10437,1171,1171,0.11219699147264539,0.23719180779952415,0.8232280102476516,0.8232280102476516,-0.005952867097065959,0.7019641332194705,0.02158189691440566,nan,0.0,nan,0.5272375376212685,0.6148590947907772,1.1661899066686903,318.83859948761744
325,policy,100,400,4,36,400.0,277.52777777777777,1919.25,386.77777777777777,441.95,0,512,300,15.121674843799013,3555,392,392,0.11026722925457103,0.2355025923931686,0.8392857142857143,0.8392857142857143,-0.12426518015372232,0.7857142857142857,0.008965870251298656,nan,0.0,nan,0.5248731694934227,0.5867346938775511,1.1178599478495606,375.0,11369,1268,1268,0.11153135719940188,0.23399959539938733,0.8280757097791798,0.8280757097791798,-0.006776196356343071,0.7113564668769716,0.020692357206444547,nan,0.0,nan,0.5274656652658235,0.6088328075709779,1.1542605474882395,293.93296529968455
350,policy,100,400,4,36,400.0,286.05555555555554,2099.25,422.55555555555554,423.075,0,512,300,15.121674843799013,3620,389,389,0.1074585635359116,0.22498242491105439,0.8508997429305912,0.8508997429305912,-0.10289782604169866,0.7892030848329049,0.010490606316102795,nan,0.0,nan,0.5261999134996372,0.5861182519280206,1.1138699131094112,263.120822622108,12303,1363,1363,0.11078598715760384,0.23454410898606748,0.8319882611885546,0.8319882611885546,-0.014396064270161945,0.7153338224504769,0.020127176260585116,nan,0.0,nan,0.5280489113151878,0.6060161408657373,1.1476515297728007,260.26632428466615
375,policy,100,400,4,36,400.0,306.19444444444446,2255.25,525.6666666666666,426.525,0,512,300,15.121674843799013,3651,390,390,0.10682004930156122,0.23152107756050713,0.8974358974358975,0.8974358974358975,-0.11822205772792034,0.7923076923076923,0.011213776609416356,nan,0.0,nan,0.5254850615162858,0.6025641025641025,1.1466816979067023,361.6333333333333,13197,1457,1457,0.11040387966962188,0.23394092906415892,0.8400823610157858,0.8400823610157858,-0.012079430690878789,0.7158544955387783,0.01960671755484754,nan,0.0,nan,0.5277766902340668,0.6087851750171586,1.1534900769247025,309.9059711736445
400,policy,100,400,4,36,400.0,222.94444444444446,2361.75,383.4166666666667,365.875,0,512,400,25.33374486092765,3552,374,374,0.10529279279279279,0.23780246453569925,0.8983957219251337,0.8983957219251337,0.0297866447516567,0.7620320855614974,0.013224532820706026,nan,0.0,nan,0.5318047552422552,0.5802139037433155,1.09102804746266,344.2620320855615,13989,1545,1545,0.11044392022303239,0.23733963020685717,0.8414239482200647,0.8414239482200647,0.0016032224651993056,0.7165048543689321,0.019459846927929066,nan,0.0,nan,0.5283972171544549,0.6064724919093851,1.147758678926025,324.9928802588997
425,policy,100,400,4,36,400.0,237.0,2499.75,371.94444444444446,385.975,0,512,400,25.33374486092765,3502,371,371,0.10593946316390634,0.25355348248348025,0.894878706199461,0.894878706199461,0.16969103342685338,0.7277628032345014,0.01664999773703631,nan,0.0,nan,0.5337299114997573,0.6145552560646901,1.1514349164689255,711.8948787061995,14871,1639,1639,0.11021451146526798,0.23842576508102156,0.8431970713849909,0.8431970713849909,0.03256056574999287,0.7150701647345943,0.019740414306715706,nan,0.0,nan,0.5289408444946068,0.6101281269066504,1.1534902877270077,388.5417937766931
450,policy,100,400,4,36,400.0,287.27777777777777,2683.5,428.97222222222223,444.575,97,512,400,25.33374486092765,3532,378,378,0.10702151755379388,0.2511988313689153,0.8968253968253969,0.8968253968253969,0.21040275928046057,0.6904761904761905,0.020365006557941445,nan,0.0,nan,0.5346595505287465,0.6455026455026455,1.2073152810312315,1077.148148148148,15835,1741,1741,0.10994632143984844,0.23816012567803557,0.8460654796094199,0.8460654796094199,0.031397532516814625,0.7099368179207353,0.020180224357223105,nan,0.0,nan,0.5295234157485499,0.6145893164847789,1.160646155025982,437.6249282021827
475,policy,100,400,4,36,400.0,297.4166666666667,2826.5,403.47222222222223,435.7,32,512,400,25.33374486092765,3569,388,388,0.10871392546931914,0.2513051638297864,0.8917525773195877,0.8917525773195877,0.2443271870711979,0.6907216494845361,0.02419768206965619,nan,0.0,nan,0.5286207853663724,0.6494845360824743,1.2286398001401602,1132.3865979381444,16766,1845,1845,0.11004413694381486,0.23759259469508764,0.8509485094850948,0.8509485094850948,0.0415484472232656,0.7105691056910569,0.020584002080277105,nan,0.0,nan,0.5279563738513398,0.6173441734417344,1.1693090641909065,482.87208672086723
500,policy,100,400,4,36,400.0,334.94444444444446,2996.5,533.0833333333334,470.8,0,512,500,16.050276440087774,3744,403,403,0.1076388888888889,0.22469449334354594,0.9057071960297767,0.9057071960297767,0.18534896226858993,0.7295285359801489,0.02615264946396033,nan,0.0,nan,0.5222107367940702,0.684863523573201,1.3114696334619251,1385.9305210918114,17733,1948,1948,0.10985168894152146,0.23472361883318446,0.8547227926078029,0.8547227926078029,0.03857658136428822,0.7191991786447639,0.020872910295374004,nan,0.0,nan,0.5270910544933552,0.6226899383983573,1.181370719707798,544.4784394250513
525,policy,100,400,4,36,400.0,284.3888888888889,3178.5,473.8333333333333,414.025,0,512,500,16.050276440087774,3771,408,408,0.10819411296738266,0.2195722664847297,0.9117647058823529,0.9117647058823529,-0.020170791480968522,0.7622549019607843,0.027609768410706895,nan,0.0,nan,0.5219092179513818,0.6887254901960784,1.319626989727237,1316.4901960784314,18642,2047,2047,0.10980581482673533,0.23466795979167762,0.8568637029799707,0.8568637029799707,0.02585920900206739,0.7244748412310699,0.021332267880696545,nan,0.0,nan,0.5275184507764166,0.6257938446507083,1.186297547942915,573.4968246213972
