step,contact_threshold_rx_power_dbm,contact_threshold_snr_db,feasible_contact_decisions,feasible_contact_pairs,greedy_comm_bytes,greedy_comm_cumulative_mb,greedy_comm_mb,greedy_events,local_policy_initial_pull_probability,model_transfer_snr_min_db,network_half_duplex_rejections,network_mean_direction_capacity_bytes,network_mean_sinr_db,network_min_sinr_db,network_raw_contact_pairs,network_raw_directed_candidates,network_rejected_transfers,network_scheduled_transfers,network_shortlisted_directed_candidates,network_sinr_or_airtime_rejections,network_transfer_proposals,noise_floor_dbm,propagation_loss_contact_threshold_db,rssi_gossip_threshold_dbm,sample_network_bundle_capacity_bytes,sample_network_delivered_samples,sample_network_encoder_bytes_per_direction,sample_network_max_samples_per_direction,sample_network_raw_contact_pairs,sample_network_scheduled_transfers,sample_network_transfer_proposals,snr_min_db,t2_b0_comm_bytes,t2_b0_comm_cumulative_mb,t2_b0_comm_cumulative_vs_greedy_ratio,t2_b0_comm_mb,t2_b0_comm_vs_greedy_ratio,t2_b0_events,t2_b0_metadata_bytes,t2_b0_model_bytes,t2_b0_model_messages,t2_b0_policy_bytes,t2_b0_policy_messages,t2_b0_pull_events,t2_b0_scalar_bytes,t2_b0_scalar_control_bytes,t2_b0_scalar_control_messages,t2_b0_scalar_loss_bytes,t2_b0_scalar_loss_messages,t2_b0_scalar_messages,t2_b0_selected_providers,t2_b0_training_sample_bytes,t2_b0_training_sample_messages,t2_b0_valid_pull_events
1,-47.5,57.5,0,0,0,0.0,0.0,0,0.0,57.5,,,,,0,,,0,0,,0,-105.0,70.5,-47.5,,,,,,,,5.0,0,0.0,nan,0.0,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-47.5,57.5,4,2,0,0.0,0.0,0,0.0,57.5,2,562500.0,19.51061865854021,19.381058728309746,2,4,2,2,4,0,4,-105.0,70.5,-47.5,192878,0,0,32,2,0,0,5.0,578584,0.578584,nan,0.578584,nan,2,0,578320,4,0,0,2,264,128,32,136,34,66,2,0,0,2
3,-47.5,57.5,14,7,0,0.0,0.0,0,0.0,57.5,7,562500.0,33.55560018078596,18.407905596941493,7,14,7,7,14,0,14,-105.0,70.5,-47.5,192878,2,0,32,7,2,2,5.0,2025380,2.603964,nan,2.02538,nan,7,0,2024120,14,0,0,7,924,448,112,476,119,231,7,336,2,7
4,-47.5,57.5,40,20,0,0.0,0.0,0,0.0,57.5,14,562500.0,38.88938541849873,20.226163494692415,20,40,14,10,40,0,24,-105.0,70.5,-47.5,192878,7,0,32,20,7,15,5.0,2894096,5.49806,nan,2.894096,nan,10,0,2891600,20,0,0,10,1320,640,160,680,170,330,10,1176,7,10
5,-47.5,57.5,52,26,0,0.0,0.0,0,0.0,57.5,18,562500.0,40.33699727461457,18.06198705260026,26,52,18,12,52,0,30,-105.0,70.5,-47.5,192878,15,0,32,26,11,23,5.0,3474024,8.972084,nan,3.474024,nan,12,0,3469920,24,0,0,12,1584,768,192,816,204,396,12,2520,15,12
6,-47.5,57.5,70,35,0,0.0,0.0,0,0.0,57.5,20,514500.27776283695,30.420423295131698,7.900130330552395,35,70,20,12,70,0,32,-105.0,70.5,-47.5,192878,18,0,32,35,13,34,5.0,3474528,12.446612,nan,3.474528,nan,12,0,3469920,24,0,0,12,1584,768,192,816,204,396,12,3024,18,12
7,-47.5,57.5,76,38,0,0.0,0.0,0,0.0,57.5,22,562500.0,33.10569874168553,20.675579891730198,38,76,22,13,76,0,35,-105.0,70.5,-47.5,192878,30,0,32,38,12,36,5.0,3765836,16.212448,nan,3.765836,nan,13,0,3759080,26,0,0,13,1716,832,208,884,221,429,13,5040,30,13
8,-47.5,57.5,86,43,0,0.0,0.0,0,0.0,57.5,21,525117.3544055955,27.93067688874324,6.9981954613894635,43,86,21,13,86,0,34,-105.0,70.5,-47.5,192878,31,0,32,43,13,42,5.0,3766004,19.978452,nan,3.766004,nan,13,0,3759080,26,0,0,13,1716,832,208,884,221,429,13,5208,31,13
9,-47.5,57.5,98,49,0,0.0,0.0,0,0.0,57.5,22,539946.6839911104,29.544246043462692,9.499687700502236,49,98,22,13,98,0,35,-105.0,70.5,-47.5,192878,42,0,32,49,15,47,5.0,3767852,23.746304,nan,3.767852,nan,13,0,3759080,26,0,0,13,1716,832,208,884,221,429,13,7056,42,13
10,-47.5,57.5,100,50,0,0.0,0.0,0,0.0,57.5,22,482497.81097630964,20.754700883254557,8.082787178335899,50,100,22,15,100,0,37,-105.0,70.5,-47.5,192878,102,0,32,50,15,47,5.0,4356516,28.10282,nan,4.356516,nan,15,0,4337400,30,0,0,15,1980,960,240,1020,255,495,15,17136,102,15
11,-47.5,57.5,138,69,0,0.0,0.0,0,0.0,57.5,22,475617.8394791513,21.38686991030619,5.7919440813164,69,138,23,15,138,1,38,-105.0,70.5,-47.5,192878,52,0,32,69,15,67,5.0,4348116,32.450936,nan,4.348116,nan,15,0,4337400,30,0,0,15,1980,960,240,1020,255,495,15,8736,52,15
12,-47.5,57.5,152,76,0,0.0,0.0,0,0.0,57.5,21,487930.89814628,20.412535939199973,5.670574146500192,76,152,23,15,152,2,38,-105.0,70.5,-47.5,192878,135,0,32,76,16,73,5.0,4362060,36.812996,nan,4.36206,nan,15,0,4337400,30,0,0,15,1980,960,240,1020,255,495,15,22680,135,15
