step,mode,receiver_idx,provider_idx,target_gain,online_prediction,base_loss,weighted_loss,propensity,importance_weight,receiver_policy_version,provider_policy_version
2,t2_b0,3,11,0.0,-0.11996548622846603,0.007195858750492334,0.007195858750492334,1.0,1.0,1,1
2,t2_b0,1,6,0.0,-0.12151171267032623,0.007382547948509455,0.007382547948509455,1.0,1.0,1,1
3,t2_b0,1,6,0.0,-0.04971005767583847,0.001235544914379716,0.001235544914379716,1.0,1.0,2,2
3,t2_b0,3,11,0.0,-0.048993296921253204,0.0012001715367659926,0.0012001715367659926,1.0,1.0,2,2
3,t2_b0,5,24,0.0,-0.11770487576723099,0.0069272187538445,0.0069272187538445,1.0,1.0,1,1
3,t2_b0,12,20,0.0,-0.12281506508588791,0.007541770115494728,0.007541770115494728,1.0,1.0,1,1
3,t2_b0,4,10,0.0,-0.1210368424654007,0.007324958685785532,0.007324958685785532,1.0,1.0,1,1
3,t2_b0,9,14,0.0,-0.1191025897860527,0.007092713378369808,0.007092713378369808,1.0,1.0,1,1
3,t2_b0,2,8,0.0,-0.1182672455906868,0.006993570830672979,0.006993570830672979,1.0,1.0,1,1
4,t2_b0,9,14,0.0,-0.05114622786641121,0.001307968283072114,0.001307968283072114,1.0,1.0,2,2
4,t2_b0,11,3,0.22381614810657066,0.01413571834564209,0.021982939913868904,0.021982939913868904,0.9500000000000001,1.0,3,3
4,t2_b0,1,0,0.0004448481104658569,0.01293298602104187,7.797679427312687e-05,7.797679427312687e-05,0.9500000000000001,1.0,3,3
4,t2_b0,26,18,0.180290323797898,-0.11826470494270325,0.044567547738552094,0.044567547738552094,1.0,1.0,1,1
4,t2_b0,6,17,0.0,0.013570539653301239,9.207977564074099e-05,9.207977564074099e-05,0.9333333333333333,1.0,3,3
4,t2_b0,12,20,0.0,-0.05112379789352417,0.001306821359321475,0.001306821359321475,1.0,1.0,2,2
4,t2_b0,29,13,0.402833217988724,-0.1187511682510376,0.13602514564990997,0.13602514564990997,1.0,1.0,1,1
4,t2_b0,2,8,0.0,-0.006838224828243256,2.338065860385541e-05,2.338065860385541e-05,0.9500000000000001,1.0,3,2
4,t2_b0,22,27,0.0,-0.12022976577281952,0.00722759822383523,0.00722759822383523,1.0,1.0,1,1
4,t2_b0,5,24,0.0,-0.04973060265183449,0.0012365664588287473,0.0012365664588287473,0.9500000000000001,1.0,2,2
4,t2_b0,4,10,0.0,-0.04942547529935837,0.0012214387534186244,0.0012214387534186244,0.9500000000000001,1.0,2,2
5,t2_b0,3,11,0.017092560020761375,0.034357279539108276,0.0001490352733526379,0.0001490352733526379,0.9333333333333333,1.0,4,4
5,t2_b0,25,32,0.0,-0.12126915156841278,0.007353103719651699,0.007353103719651699,1.0,1.0,1,1
5,t2_b0,36,12,0.5332692040981428,0.013918362557888031,0.13486267626285553,0.13486267626285553,1.0,1.0,3,3
5,t2_b0,5,24,0.0,0.01530802994966507,0.00011716788867488503,0.00011716788867488503,0.9500000000000001,1.0,4,3
5,t2_b0,31,26,0.5020113034168993,-0.048297543078660965,0.15141990780830383,0.15141990780830383,1.0,1.0,2,2
5,t2_b0,8,2,0.4443285887438743,0.04277656227350235,0.08062200993299484,0.08062200993299484,1.0,1.0,4,4
5,t2_b0,0,1,0.019375231239044003,0.029020801186561584,4.65185112261679e-05,4.65185112261679e-05,0.9500000000000001,1.0,4,4
5,t2_b0,22,27,0.0,-0.04811963066458702,0.0011577494442462921,0.0011577494442462921,1.0,1.0,2,2
5,t2_b0,29,13,0.0,-0.048797111958265305,0.001190579030662775,0.001190579030662775,0.9500000000000001,1.0,2,2
5,t2_b0,4,10,0.0,0.014088816940784454,9.9247379694134e-05,9.9247379694134e-05,0.9500000000000001,1.0,4,3
5,t2_b0,16,14,0.27483562783507953,-0.084498830139637,0.06456062197685242,0.06456062197685242,1.0,1.0,3,3
6,t2_b0,0,34,0.0,0.016603976488113403,0.00013784601469524205,0.00013784601469524205,0.925,1.0,5,5
6,t2_b0,31,26,0.0,-0.01168205589056015,6.823521835030988e-05,6.823521835030988e-05,1.0,1.0,3,3
6,t2_b0,14,9,0.6139421522076469,0.004602998495101929,0.18564708530902863,0.18564708530902863,0.9500000000000001,1.0,4,4
6,t2_b0,25,32,0.0,-0.048989083617925644,0.0011999651324003935,0.0011999651324003935,1.0,1.0,2,2
6,t2_b0,5,24,0.0,0.06373053789138794,0.0020307907834649086,0.0020307907834649086,0.9500000000000001,1.0,5,5
6,t2_b0,12,20,0.0,0.03762973099946976,0.0007079983479343355,0.0007079983479343355,0.9500000000000001,1.0,4,4
6,t2_b0,11,2,0.0,0.06230080872774124,0.0019406953360885382,0.0019406953360885382,0.925,1.0,5,5
6,t2_b0,22,27,0.0,0.013400189578533173,8.978253754321486e-05,8.978253754321486e-05,1.0,1.0,3,3
6,t2_b0,4,10,0.0,0.06103038042783737,0.0018623536452651024,0.0018623536452651024,0.9500000000000001,1.0,5,5
6,t2_b0,6,1,0.46051505642222024,0.016540922224521637,0.0985565185546875,0.0985565185546875,0.9333333333333333,1.0,5,5
6,t2_b0,29,13,0.0,0.0023787394165992737,2.829200639098417e-06,2.829200639098417e-06,0.9500000000000001,1.0,3,4
7,t2_b0,19,16,0.5621965665336226,0.032663628458976746,0.14020255208015442,0.14020255208015442,0.9500000000000001,1.0,5,5
7,t2_b0,31,26,0.0,0.017513833940029144,0.00015336718934122473,0.00015336718934122473,1.0,1.0,4,4
7,t2_b0,7,9,0.0,0.03718098998069763,0.0006912130047567189,0.0006912130047567189,0.9500000000000001,1.0,5,5
7,t2_b0,20,12,0.8459882726463857,0.07027493417263031,0.3008655905723572,0.3008655905723572,1.0,1.0,5,5
7,t2_b0,24,5,0.8417917883154992,0.07023514062166214,0.2976498603820801,0.2976498603820801,1.0,1.0,6,6
7,t2_b0,4,17,0.0,0.07225395739078522,0.002610317198559642,0.002610317198559642,0.9500000000000001,1.0,6,6
7,t2_b0,29,13,0.0,0.04205697029829025,0.0008843943942338228,0.0008843943942338228,0.9500000000000001,1.0,5,5
7,t2_b0,1,6,0.0020710579599760104,0.0367322713136673,0.0006006999174132943,0.0006006999174132943,0.9500000000000001,1.0,6,6
7,t2_b0,10,39,0.0,0.07260921597480774,0.00263604917563498,0.00263604917563498,0.9500000000000001,1.0,6,6
7,t2_b0,22,27,0.0,0.057938024401664734,0.0016784073086455464,0.0016784073086455464,1.0,1.0,4,4
7,t2_b0,8,2,0.0,0.07091838866472244,0.0025147090200334787,0.0025147090200334787,0.9500000000000001,1.0,6,6
7,t2_b0,0,34,0.0,0.006981231272220612,2.436879549350124e-05,2.436879549350124e-05,0.9333333333333333,1.0,6,6
7,t2_b0,3,15,0.0,0.06819452345371246,0.002325246576219797,0.002325246576219797,0.9500000000000001,1.0,6,6
7,t2_b0,32,33,0.0,0.014101333916187286,9.942380711436272e-05,9.942380711436272e-05,0.9500000000000001,1.0,3,3
8,t2_b0,5,24,0.3706958166345805,0.08354582637548447,0.0412275604903698,0.0412275604903698,0.9500000000000001,1.0,7,7
8,t2_b0,19,14,0.8055225104373699,0.05059888958930969,0.28495481610298157,0.28495481610298157,0.9500000000000001,1.0,6,6
8,t2_b0,17,6,0.8736113771992778,-0.030220508575439453,0.40845605731010437,0.40845605731010437,0.9333333333333333,1.0,7,7
8,t2_b0,0,34,0.22162956429976036,-0.030987702310085297,0.031907740980386734,0.031907740980386734,0.9333333333333333,1.0,7,7
8,t2_b0,22,27,0.0,0.045363567769527435,0.0010289266938343644,0.0010289266938343644,0.9333333333333333,1.0,6,5
8,t2_b0,29,30,0.4366845012285121,0.0705932080745697,0.06701141595840454,0.06701141595840454,0.9333333333333333,1.0,6,6
8,t2_b0,10,39,0.0,0.05398746579885483,0.0014573232037946582,0.0014573232037946582,0.9500000000000001,1.0,7,7
8,t2_b0,32,33,0.0,-0.009820394217967987,4.8220070311799645e-05,4.8220070311799645e-05,0.9500000000000001,1.0,4,4
8,t2_b0,8,2,0.0,0.08894805610179901,0.00395587831735611,0.00395587831735611,0.05,1.0,7,7
8,t2_b0,31,26,0.0,0.04805214703083038,0.0011545043671503663,0.0011545043671503663,0.9500000000000001,1.0,5,5
8,t2_b0,11,3,0.0,0.07148613780736923,0.002555134007707238,0.002555134007707238,0.9333333333333333,1.0,7,7
8,t2_b0,7,9,0.20676383794283598,0.038718461990356445,0.014119623228907585,0.014119623228907585,0.925,1.0,6,6
8,t2_b0,12,20,0.3410577792516089,0.07832705229520798,0.03451371565461159,0.03451371565461159,0.9500000000000001,1.0,6,6
9,t2_b0,34,0,0.8791069965196664,0.01151876151561737,0.3763546645641327,0.3763546645641327,0.9500000000000001,1.0,8,8
9,t2_b0,29,30,0.1135588773958995,0.10556074231863022,3.198510967195034e-05,3.198510967195034e-05,0.9333333333333333,1.0,7,7
9,t2_b0,18,26,-1.3675222858818715e-05,0.045148611068725586,0.0010198160307481885,0.0010198160307481885,1.0,1.0,6,6
9,t2_b0,24,5,0.0,0.11628888547420502,0.006761552300304174,0.006761552300304174,1.0,1.0,8,8
9,t2_b0,22,7,0.18581609803072877,0.05000249296426773,0.009222665801644325,0.009222665801644325,0.925,1.0,7,7
9,t2_b0,2,15,0.6949433420178434,0.10557865351438522,0.17367537319660187,0.17367537319660187,0.925,1.0,8,8
9,t2_b0,19,23,-0.05968758373302011,0.07896524667739868,0.009612304158508778,0.009612304158508778,0.9333333333333333,1.0,7,7
9,t2_b0,37,33,0.17391046714208014,-0.015864066779613495,0.01800718903541565,0.01800718903541565,0.9500000000000001,1.0,5,5
