step,selection_mode,window_steps,validation_capacity,regular_vehicle_count,visitor_vehicle_count,regular_validation_retained_mean,visitor_validation_retained_mean,regular_validation_seen_mean,visitor_validation_seen_mean,policy_examples_per_vehicle_mean,policy_examples_per_vehicle_min,policy_examples_per_vehicle_max,latest_fidelity_step,latest_tail_rmse,window_opportunities,window_attempts,window_labeled_pulls,window_attempt_rate,window_mean_realized_gain,window_beneficial_pull_fraction,window_adopted_pull_fraction,window_gain_prediction_pearson,window_selected_predicted_top_fraction,window_mean_candidate_score_std,window_available_regular_provider_fraction,window_selected_regular_provider_fraction,window_regular_provider_selection_enrichment,window_available_more_experienced_provider_fraction,window_selected_more_experienced_provider_fraction,window_more_experienced_selection_enrichment,window_selected_provider_sample_advantage_mean,cumulative_opportunities,cumulative_attempts,cumulative_labeled_pulls,cumulative_attempt_rate,cumulative_mean_realized_gain,cumulative_beneficial_pull_fraction,cumulative_adopted_pull_fraction,cumulative_gain_prediction_pearson,cumulative_selected_predicted_top_fraction,cumulative_mean_candidate_score_std,cumulative_available_regular_provider_fraction,cumulative_selected_regular_provider_fraction,cumulative_regular_provider_selection_enrichment,cumulative_available_more_experienced_provider_fraction,cumulative_selected_more_experienced_provider_fraction,cumulative_more_experienced_selection_enrichment,cumulative_selected_provider_sample_advantage_mean
25,random,100,400,8,32,138.5,119.65625,138.5,119.65625,0.0,0,0,-1,nan,810,102,102,0.1259259259259259,0.21865789302302258,0.696078431372549,0.696078431372549,nan,0.0,nan,nan,0.0,nan,0.5339466980207721,0.5294117647058824,0.9915067677509763,9.372549019607844,810,102,102,0.1259259259259259,0.21865789302302258,0.696078431372549,0.696078431372549,nan,0.0,nan,nan,0.0,nan,0.5339466980207721,0.5294117647058824,0.9915067677509763,9.372549019607844
50,random,100,400,8,32,307.75,236.84375,307.75,236.84375,0.0,0,0,-1,nan,1749,208,208,0.11892510005717553,0.20252730584727063,0.7788461538461539,0.7788461538461539,nan,0.0,nan,nan,0.0,nan,0.5301984353871146,0.5048076923076923,0.9521108675832214,32.4375,1749,208,208,0.11892510005717553,0.20252730584727063,0.7788461538461539,0.7788461538461539,nan,0.0,nan,nan,0.0,nan,0.5301984353871146,0.5048076923076923,0.9521108675832214,32.4375
75,random,100,400,8,32,397.5,266.53125,493.625,304.0,0.0,0,0,-1,nan,2690,304,304,0.11301115241635688,0.19996661549953018,0.8092105263157895,0.8092105263157895,nan,0.0,nan,nan,0.0,nan,0.5240507035302574,0.5230263157894737,0.9980452507097444,38.66447368421053,2690,304,304,0.11301115241635688,0.19996661549953018,0.8092105263157895,0.8092105263157895,nan,0.0,nan,nan,0.0,nan,0.5240507035302574,0.5230263157894737,0.9980452507097444,38.66447368421053
100,random,100,400,8,32,400.0,291.625,656.875,395.21875,0.0,0,0,100,26.33326416953211,3597,401,401,0.11148179038087296,0.1880340026167195,0.8079800498753117,0.8079800498753117,nan,0.0,nan,nan,0.0,nan,0.5250740155035402,0.5187032418952618,0.9878669036742014,53.54114713216958,3597,401,401,0.11148179038087296,0.1880340026167195,0.8079800498753117,0.8079800498753117,nan,0.0,nan,nan,0.0,nan,0.5250740155035402,0.5187032418952618,0.9878669036742014,53.54114713216958
125,random,100,400,8,32,400.0,233.40625,772.625,300.09375,0.0,0,0,100,26.33326416953211,3614,392,392,0.10846707249584947,0.1858663526514434,0.8469387755102041,0.8469387755102041,nan,0.0,nan,nan,0.0,nan,0.523232722513298,0.5076530612244898,0.9702242221893678,48.59183673469388,4424,494,494,0.11166365280289331,0.19263707556217435,0.8157894736842105,0.8157894736842105,nan,0.0,nan,nan,0.0,nan,0.5251943681193229,0.5121457489878543,0.9751546857248401,40.493927125506076
150,random,100,400,8,32,400.0,234.8125,904.5,333.15625,0.0,0,0,100,26.33326416953211,3494,377,377,0.10789925586720092,0.18486937918022486,0.8249336870026526,0.8249336870026526,nan,0.0,nan,nan,0.0,nan,0.5229456743409233,0.5251989389920424,1.0043087929811427,49.30238726790451,5243,585,585,0.11157734121686058,0.19114775310628557,0.8085470085470086,0.8085470085470086,nan,0.0,nan,nan,0.0,nan,0.5253651057866201,0.517948717948718,0.9858833642428579,43.30598290598291
175,random,100,400,8,32,400.0,222.03125,1071.5,306.71875,0.0,0,0,100,26.33326416953211,3393,366,366,0.10786914235190097,0.18471457920649703,0.8032786885245902,0.8032786885245902,nan,0.0,nan,nan,0.0,nan,0.5253175304899443,0.5136612021857924,0.9778108903137488,59.685792349726775,6083,670,670,0.1101430215354266,0.19163490612154488,0.8059701492537313,0.8059701492537313,nan,0.0,nan,nan,0.0,nan,0.5247573193241449,0.517910447761194,0.9869523085990124,50.14776119402985
200,random,100,400,8,32,400.0,169.1875,1196.125,216.9375,0.0,0,0,200,27.969335169066653,3248,357,357,0.10991379310344827,0.20552025908296268,0.8291316526610645,0.8291316526610645,nan,0.0,nan,nan,0.0,nan,0.5250463044413167,0.5210084033613446,0.9923094381470435,32.2436974789916,6845,758,758,0.11073776479181885,0.19626961417140132,0.8179419525065963,0.8179419525065963,nan,0.0,nan,nan,0.0,nan,0.5250608664122177,0.5197889182058048,0.9899593579646554,43.510554089709764
225,random,100,400,8,32,400.0,230.96875,1284.0,313.40625,0.0,0,0,200,27.969335169066653,3229,347,347,0.10746361102508517,0.22130296676687775,0.8242074927953891,0.8242074927953891,nan,0.0,nan,nan,0.0,nan,0.521790785347614,0.5331412103746398,1.0217528276576677,29.953890489913544,7653,841,841,0.10989154579903306,0.20446473816387717,0.8192627824019025,0.8192627824019025,nan,0.0,nan,nan,0.0,nan,0.5237583079115812,0.5208085612366231,0.9943681147766041,36.14506539833531
250,random,100,400,8,32,400.0,233.40625,1386.375,287.78125,0.0,0,0,200,27.969335169066653,3253,349,349,0.1072855825391946,0.23436486140453924,0.828080229226361,0.828080229226361,nan,0.0,nan,nan,0.0,nan,0.514835600748604,0.5243553008595988,1.0184907572381408,54.16905444126075,8496,934,934,0.10993408662900188,0.20729632997576153,0.815845824411135,0.815845824411135,nan,0.0,nan,nan,0.0,nan,0.5213335050464287,0.5203426124197003,0.9980993114443312,47.36509635974304
