step,mode,receiver_idx,new_rewards,replay_size,train_steps,loss
3,t2_b0.1,1,6,6,0,
3,t2_b0.1,57,6,6,0,
5,t2_b0.1,26,15,15,0,
5,t2_b0.1,58,14,14,0,
6,t2_b0.1,29,24,24,0,
7,t2_b0.1,54,24,24,0,
8,t2_b0.1,56,35,35,0,
8,t2_b0.1,59,33,33,0,
9,t2_b0.1,13,43,43,0,
9,t2_b0.1,17,46,46,0,
10,t2_b0.1,22,39,39,0,
11,t2_b0.1,0,10,10,0,
11,t2_b0.1,2,7,7,0,
11,t2_b0.1,3,6,6,0,
11,t2_b0.1,4,6,6,0,
11,t2_b0.1,5,33,33,0,
11,t2_b0.1,6,4,4,0,
11,t2_b0.1,7,3,3,0,
11,t2_b0.1,8,2,2,0,
11,t2_b0.1,9,44,44,0,
11,t2_b0.1,10,7,7,0,
11,t2_b0.1,11,9,9,0,
11,t2_b0.1,12,2,2,0,
11,t2_b0.1,14,7,7,0,
11,t2_b0.1,15,10,10,0,
11,t2_b0.1,16,6,6,0,
11,t2_b0.1,18,6,6,0,
11,t2_b0.1,19,4,4,0,
11,t2_b0.1,20,5,5,0,
11,t2_b0.1,21,8,8,0,
11,t2_b0.1,23,9,9,0,
11,t2_b0.1,24,5,5,0,
11,t2_b0.1,25,12,12,0,
11,t2_b0.1,27,8,8,0,
11,t2_b0.1,28,5,5,0,
11,t2_b0.1,30,7,7,0,
11,t2_b0.1,31,4,4,0,
11,t2_b0.1,32,6,6,0,
11,t2_b0.1,33,5,5,0,
11,t2_b0.1,34,31,31,0,
11,t2_b0.1,35,7,7,0,
11,t2_b0.1,36,3,3,0,
11,t2_b0.1,37,10,10,0,
11,t2_b0.1,38,2,2,0,
11,t2_b0.1,39,8,8,0,
11,t2_b0.1,40,9,9,0,
11,t2_b0.1,41,5,5,0,
11,t2_b0.1,42,5,5,0,
11,t2_b0.1,43,8,8,0,
11,t2_b0.1,44,5,5,0,
11,t2_b0.1,45,8,8,0,
11,t2_b0.1,46,5,5,0,
11,t2_b0.1,47,6,6,0,
11,t2_b0.1,48,6,6,0,
11,t2_b0.1,49,3,3,0,
11,t2_b0.1,50,8,8,0,
11,t2_b0.1,51,4,4,0,
11,t2_b0.1,52,8,8,0,
11,t2_b0.1,53,6,6,0,
11,t2_b0.1,55,8,8,0,
12,t2_b0.1,0,8,18,0,
12,t2_b0.1,2,3,10,0,
12,t2_b0.1,3,8,14,0,
12,t2_b0.1,4,4,10,0,
12,t2_b0.1,6,3,7,0,
12,t2_b0.1,7,1,4,0,
12,t2_b0.1,8,3,5,0,
12,t2_b0.1,10,6,13,0,
12,t2_b0.1,11,6,15,0,
12,t2_b0.1,14,7,14,0,
12,t2_b0.1,15,9,19,0,
12,t2_b0.1,16,3,9,0,
12,t2_b0.1,18,2,8,0,
12,t2_b0.1,19,4,8,0,
12,t2_b0.1,20,3,8,0,
12,t2_b0.1,21,5,13,0,
12,t2_b0.1,23,6,15,0,
12,t2_b0.1,24,9,14,0,
12,t2_b0.1,25,8,20,0,
12,t2_b0.1,27,10,18,0,
12,t2_b0.1,28,7,12,0,
12,t2_b0.1,30,4,11,0,
12,t2_b0.1,31,2,6,0,
12,t2_b0.1,32,8,14,0,
12,t2_b0.1,33,4,9,0,
12,t2_b0.1,35,5,12,0,
12,t2_b0.1,36,6,9,0,
12,t2_b0.1,37,6,16,0,
12,t2_b0.1,38,2,4,0,
12,t2_b0.1,39,9,17,0,
12,t2_b0.1,40,7,16,0,
12,t2_b0.1,41,5,10,0,
12,t2_b0.1,42,8,13,0,
12,t2_b0.1,43,9,17,0,
12,t2_b0.1,44,42,47,0,
12,t2_b0.1,45,7,15,0,
12,t2_b0.1,46,6,11,0,
12,t2_b0.1,47,4,10,0,
12,t2_b0.1,48,5,11,0,
12,t2_b0.1,49,46,49,0,
12,t2_b0.1,50,5,13,0,
12,t2_b0.1,51,5,9,0,
12,t2_b0.1,52,62,70,4,2.2516210079193115
12,t2_b0.1,53,4,10,0,
12,t2_b0.1,55,7,15,0,
13,t2_b0.1,0,7,25,0,
13,t2_b0.1,1,3,9,0,
13,t2_b0.1,2,4,14,0,
13,t2_b0.1,3,5,19,0,
13,t2_b0.1,4,5,15,0,
13,t2_b0.1,6,2,9,0,
13,t2_b0.1,7,4,8,0,
13,t2_b0.1,8,4,9,0,
13,t2_b0.1,10,4,17,0,
13,t2_b0.1,11,4,19,0,
13,t2_b0.1,12,6,8,0,
13,t2_b0.1,14,7,21,0,
13,t2_b0.1,15,7,26,0,
13,t2_b0.1,16,8,17,0,
13,t2_b0.1,18,4,12,0,
13,t2_b0.1,19,6,14,0,
13,t2_b0.1,20,5,13,0,
13,t2_b0.1,21,8,21,0,
13,t2_b0.1,23,7,22,0,
13,t2_b0.1,24,7,21,0,
13,t2_b0.1,25,7,27,0,
13,t2_b0.1,27,7,25,0,
13,t2_b0.1,28,5,17,0,
13,t2_b0.1,30,7,18,0,
13,t2_b0.1,31,5,11,0,
13,t2_b0.1,32,6,20,0,
13,t2_b0.1,33,6,15,0,
13,t2_b0.1,35,8,20,0,
13,t2_b0.1,36,5,14,0,
13,t2_b0.1,37,9,25,0,
13,t2_b0.1,38,3,7,0,
13,t2_b0.1,39,9,26,0,
13,t2_b0.1,40,6,22,0,
13,t2_b0.1,41,5,15,0,
13,t2_b0.1,42,5,18,0,
13,t2_b0.1,43,5,22,0,
13,t2_b0.1,45,6,21,0,
13,t2_b0.1,46,7,18,0,
13,t2_b0.1,47,5,15,0,
13,t2_b0.1,48,6,17,0,
13,t2_b0.1,50,9,22,0,
13,t2_b0.1,51,1,10,0,
13,t2_b0.1,53,6,16,0,
13,t2_b0.1,55,7,22,0,
13,t2_b0.1,57,4,10,0,
14,t2_b0.1,0,7,32,0,
14,t2_b0.1,1,5,14,0,
14,t2_b0.1,2,4,18,0,
14,t2_b0.1,3,1,20,0,
14,t2_b0.1,4,6,21,0,
14,t2_b0.1,6,2,11,0,
