step,pending_transitions,pull_updates_this_step,queued_transitions,t2_b0.25_train_updates,train_updates_this_step
1,328,684,0,0,0
2,671,694,0,0,0
3,981,682,14,0,0
4,1312,676,0,0,0
5,1613,676,27,0,0
6,1909,688,27,0,0
7,2229,686,27,0,0
8,2493,714,70,0,0
9,2752,712,94,0,0
10,3059,738,45,0,0
11,3079,762,358,0,0
12,3031,784,408,4,4
13,3186,790,252,4,0
14,3311,792,247,4,0
15,3326,804,374,8,4
16,3433,836,285,8,0
17,3512,830,331,12,4
18,3582,822,341,16,4
19,3637,830,346,44,28
20,3773,828,292,108,64
21,3811,832,387,220,112
22,3914,834,319,356,136
23,3889,824,401,516,160
24,3963,820,307,684,168
25,3921,846,426,868,184
26,3692,824,579,1048,180
27,3647,806,406,1228,180
28,3592,800,401,1408,180
29,3357,792,568,1596,188
30,3415,794,324,1772,176
31,3377,814,402,1960,188
32,3330,804,417,2140,180
33,3245,808,447,2316,176
34,3327,834,310,2480,164
35,3401,846,326,2648,168
36,3386,878,388,2828,180
37,3334,864,443,3004,176
38,3472,844,269,3176,172
39,3561,842,296,3360,184
40,3649,840,299,3544,184
41,3679,840,340,3736,192
42,3672,830,370,3932,196
43,3624,822,382,4140,208
44,3561,802,401,4344,204
45,3504,786,390,4548,204
46,3548,776,336,4752,204
47,3461,752,427,4968,216
48,3381,772,405,5184,216
49,3298,790,413,5396,212
50,3268,792,388,5600,204
51,2971,786,625,5796,196
52,2986,784,336,5972,176
53,3006,794,314,6156,184
54,3016,774,329,6340,184
55,3083,772,269,6520,180
56,2855,756,530,6700,180
57,2802,774,357,6868,168
58,2893,776,251,7028,160
59,2815,768,396,7188,160
60,2804,766,334,7340,152
61,2735,782,414,7500,160
62,2826,766,247,7652,152
63,2813,776,361,7808,156
64,2934,774,214,7952,144
65,2874,756,389,8100,148
66,2933,760,273,8244,144
67,2835,768,414,8400,156
68,2946,778,220,8544,144
69,2827,764,430,8708,164
70,2884,762,273,8864,156
71,2941,760,293,9032,168
72,2986,754,289,9200,168
73,2970,756,352,9376,176
74,3047,754,231,9544,168
75,2981,758,406,9728,184
76,3037,768,290,9904,176
