step,zone,n_links,mean_rssi_dbm,min_rssi_dbm,max_rssi_dbm,mean_propagation_loss_db,min_propagation_loss_db,max_propagation_loss_db
1,0,272,-66.6661202066085,-120.0,-40.45322036743164,89.6661202066085,63.45322036743164,143.0
1,1,272,-87.73207790711346,-120.0,-37.8218994140625,110.73207790711346,60.8218994140625,143.0
1,2,156,-67.96513117276706,-120.0,-42.109405517578125,90.96513117276706,65.10940551757812,143.0
1,3,156,-84.51584987151317,-120.0,-38.68563461303711,107.51584987151317,61.68563461303711,143.0
2,0,272,-65.87991833686829,-120.0,-41.31267166137695,88.87991833686829,64.31267166137695,143.0
2,1,272,-88.15691713725819,-120.0,-40.14159393310547,111.15691713725819,63.14159393310547,143.0
2,2,156,-68.23655874301225,-120.0,-43.54852294921875,91.23655874301225,66.54852294921875,143.0
2,3,156,-84.21302465292123,-120.0,-40.210601806640625,107.21302465292123,63.210601806640625,143.0
3,0,272,-65.67890970847186,-120.0,-38.668216705322266,88.67890970847186,61.668216705322266,143.0
3,1,240,-87.3069952805837,-120.0,-41.72772216796875,110.3069952805837,64.72772216796875,143.0
3,2,156,-67.49386506202893,-120.0,-42.44045639038086,90.49386506202893,65.44045639038086,143.0
3,3,182,-84.93616324204665,-120.0,-41.68428039550781,107.93616324204665,64.68428039550781,143.0
4,0,272,-66.7185100106632,-120.0,-39.179222106933594,89.7185100106632,62.179222106933594,143.0
4,1,240,-86.12786938349406,-120.0,-42.26893997192383,109.12786938349406,65.26893997192383,143.0
4,2,156,-67.11767404507368,-120.0,-36.951175689697266,90.11767404507368,59.951175689697266,143.0
4,3,182,-83.90047989310798,-120.0,-43.049102783203125,106.90047989310798,66.04910278320312,143.0
5,0,272,-67.00371200898114,-120.0,-30.859981536865234,90.00371200898114,53.859981536865234,143.0
5,1,210,-86.2308516184489,-120.0,-32.19733810424805,109.2308516184489,55.19733810424805,143.0
5,2,182,-66.85250449966598,-120.0,-32.50893783569336,89.85250449966598,55.50893783569336,143.0
5,3,182,-82.8121566772461,-120.0,-42.29815673828125,105.8121566772461,65.29815673828125,143.0
6,0,306,-67.0305693632637,-120.0,-31.248098373413086,90.0305693632637,54.248098373413086,143.0
6,1,210,-86.05751847766695,-120.0,-38.9333610534668,109.05751847766695,61.9333610534668,143.0
6,2,156,-65.43375215774927,-120.0,-41.1493034362793,88.43375215774927,64.1493034362793,143.0
6,3,182,-79.87642107953081,-120.0,-39.16797637939453,102.87642107953081,62.16797637939453,143.0
7,0,306,-66.10163966658848,-120.0,-32.82719039916992,89.10163966658848,55.82719039916992,143.0
7,1,210,-83.56902589343844,-120.0,-32.8339729309082,106.56902589343844,55.8339729309082,143.0
7,2,132,-65.25884954857104,-120.0,-42.582069396972656,88.25884954857104,65.58206939697266,143.0
7,3,210,-79.09658989679245,-120.0,-35.6082878112793,102.09658989679245,58.6082878112793,143.0
8,0,272,-67.4466009981492,-120.0,-34.43918991088867,90.4466009981492,57.43918991088867,143.0
8,1,210,-80.73201582772391,-120.0,-36.90787887573242,103.73201582772391,59.90787887573242,143.0
8,2,156,-64.8316991512592,-120.0,-28.82731819152832,87.8316991512592,51.82731819152832,143.0
8,3,210,-78.69218221391951,-120.0,-37.67927169799805,101.69218221391951,60.67927169799805,143.0
9,0,240,-67.68528809547425,-120.0,-36.141414642333984,90.68528809547425,59.141414642333984,143.0
9,1,210,-82.4595900217692,-120.0,-37.94876480102539,105.4595900217692,60.94876480102539,143.0
9,2,156,-64.73138816540057,-120.0,-39.53036880493164,87.73138816540057,62.53036880493164,143.0
9,3,240,-78.94732783635457,-120.0,-37.613311767578125,101.94732783635457,60.613311767578125,143.0
10,0,240,-67.70935637156168,-120.0,-37.83037185668945,90.70935637156168,60.83037185668945,143.0
10,1,182,-82.48551041739327,-120.0,-37.67927169799805,105.48551041739327,60.67927169799805,143.0
10,2,182,-65.38961892599588,-120.0,-41.279930114746094,88.38961892599588,64.2799301147461,143.0
10,3,240,-79.72224303881328,-120.0,-37.37386703491211,102.72224303881328,60.37386703491211,143.0
11,0,240,-66.81043046315511,-120.0,-35.640987396240234,89.81043046315511,58.640987396240234,143.0
11,1,182,-82.54653058733258,-120.0,-37.62435531616211,105.54653058733258,60.62435531616211,143.0
11,2,182,-64.75863792084075,-120.0,-34.584930419921875,87.75863792084075,57.584930419921875,143.0
11,3,240,-79.81230529149373,-120.0,-37.59254837036133,102.81230529149373,60.59254837036133,143.0
12,0,210,-65.85913583664667,-120.0,-31.70802116394043,88.85913583664667,54.70802116394043,143.0
12,1,210,-83.0987123580206,-120.0,-37.78783416748047,106.0987123580206,60.78783416748047,143.0
12,2,182,-65.70674760001046,-120.0,-43.617069244384766,88.70674760001046,66.61706924438477,143.0
12,3,240,-80.48282494544983,-120.0,-37.58150100708008,103.48282494544983,60.58150100708008,143.0
13,0,210,-65.61325638180688,-120.0,-37.83037185668945,88.61325638180688,60.83037185668945,143.0
13,1,182,-83.21328427241399,-120.0,-39.42277145385742,106.21328427241399,62.42277145385742,143.0
13,2,182,-64.67900586390233,-120.0,-41.789581298828125,87.67900586390233,64.78958129882812,143.0
13,3,272,-79.27465124691234,-120.0,-37.58150100708008,102.27465124691234,60.58150100708008,143.0
14,0,240,-64.51895837783813,-120.0,-34.61634063720703,87.51895837783813,57.61634063720703,143.0
14,1,156,-83.66016422173915,-120.0,-43.10111999511719,106.66016422173915,66.10111999511719,143.0
14,2,182,-64.65770507644821,-120.0,-39.73979949951172,87.65770507644821,62.73979949951172,143.0
14,3,272,-79.17166451846852,-120.0,-37.58150100708008,102.17166451846852,60.58150100708008,143.0
15,0,272,-63.6622874175801,-120.0,-30.933996200561523,86.6622874175801,53.93399620056152,143.0
15,1,156,-84.13592470609225,-120.0,-37.43812561035156,107.13592470609225,60.43812561035156,143.0
15,2,182,-64.93991832942753,-120.0,-39.70713424682617,87.93991832942753,62.70713424682617,143.0
15,3,240,-80.30783346494039,-120.0,-37.578895568847656,103.30783346494039,60.578895568847656,143.0
16,0,306,-62.648038353016176,-91.21707916259766,-33.26553726196289,85.64803835301618,56.26553726196289,114.21707916259766
16,1,132,-83.84679545778216,-120.0,-35.45409393310547,106.84679545778216,58.45409393310547,143.0
16,2,182,-65.01304081508091,-120.0,-37.890098571777344,88.01304081508091,60.890098571777344,143.0
16,3,240,-78.61144110361735,-120.0,-37.5678825378418,101.61144110361735,60.5678825378418,143.0
17,0,342,-62.718945564582334,-120.0,-30.46698760986328,85.71894556458233,53.46698760986328,143.0
17,1,110,-83.29072279496627,-120.0,-46.06156539916992,106.29072279496627,69.06156539916992,143.0
17,2,156,-65.1880290936201,-120.0,-37.69868087768555,88.1880290936201,60.69868087768555,143.0
17,3,272,-75.01783915127025,-120.0,-37.5678825378418,98.01783915127025,60.5678825378418,143.0
18,0,380,-62.8004037254735,-89.326904296875,-36.21248245239258,85.8004037254735,59.21248245239258,112.326904296875
18,1,110,-80.88418575633656,-120.0,-45.1838493347168,103.88418575633656,68.1838493347168,143.0
18,2,132,-64.1622712395408,-120.0,-37.65176773071289,87.1622712395408,60.65176773071289,143.0
18,3,272,-75.330008689095,-120.0,-37.5678825378418,98.330008689095,60.5678825378418,143.0
19,0,420,-62.726333736238026,-89.95708465576172,-35.66835021972656,85.72633373623802,58.66835021972656,112.95708465576172
19,1,72,-78.37879821989272,-120.0,-34.39970016479492,101.37879821989272,57.39970016479492,143.0
19,2,182,-64.26836376399784,-88.59336853027344,-35.0361442565918,87.26836376399784,58.0361442565918,111.59336853027344
19,3,240,-73.61596142450968,-120.0,-37.5678825378418,96.61596142450968,60.5678825378418,143.0
20,0,420,-62.41979769752139,-89.34735107421875,-30.437265396118164,85.41979769752139,53.437265396118164,112.34735107421875
20,1,72,-79.45845709906683,-120.0,-40.632869720458984,102.45845709906683,63.632869720458984,143.0
20,2,182,-61.754024002578234,-86.39735412597656,-30.94637680053711,84.75402400257823,53.94637680053711,109.39735412597656
20,3,240,-75.63698954582215,-120.0,-37.5678825378418,98.63698954582215,60.5678825378418,143.0
21,0,420,-62.09477607182094,-89.4432373046875,-37.63695526123047,85.09477607182095,60.63695526123047,112.4432373046875
21,1,72,-78.81232849756877,-120.0,-40.5897331237793,101.81232849756877,63.5897331237793,143.0
21,2,156,-61.27581606155787,-120.0,-32.954158782958984,84.27581606155786,55.954158782958984,143.0
21,3,272,-77.29303554927601,-120.0,-37.5678825378418,100.29303554927601,60.5678825378418,143.0
22,0,380,-61.36059473941201,-86.01918029785156,-37.83036804199219,84.36059473941201,60.83036804199219,109.01918029785156
22,1,132,-78.5198100118926,-120.0,-35.95266342163086,101.5198100118926,58.95266342163086,143.0
22,2,156,-59.893539722149185,-84.03955078125,-37.61641311645508,82.89353972214919,60.61641311645508,107.03955078125
22,3,210,-81.40698578244164,-120.0,-37.5678825378418,104.40698578244164,60.5678825378418,143.0
23,0,380,-61.85665292237935,-120.0,-32.19109344482422,84.85665292237934,55.19109344482422,143.0
23,1,132,-76.84991663152522,-120.0,-38.63801574707031,99.84991663152522,61.63801574707031,143.0
23,2,156,-60.169604741610016,-84.80220794677734,-37.61641311645508,83.16960474161002,60.61641311645508,107.80220794677734
23,3,210,-82.39181963602702,-120.0,-37.5678825378418,105.39181963602702,60.5678825378418,143.0
24,0,380,-61.31837502529746,-90.19939422607422,-37.83036804199219,84.31837502529746,60.83036804199219,113.19939422607422
24,1,132,-79.13047961032751,-120.0,-40.7818603515625,102.13047961032751,63.7818603515625,143.0
24,2,182,-60.03943074404538,-83.36823272705078,-37.61641311645508,83.03943074404538,60.61641311645508,106.36823272705078
24,3,182,-84.09824704599905,-120.0,-37.5678825378418,107.09824704599905,60.5678825378418,143.0
25,0,380,-61.020751923008966,-120.0,-37.07889938354492,84.02075192300896,60.07889938354492,143.0
25,1,132,-79.31447982788086,-120.0,-34.36338806152344,102.31447982788086,57.36338806152344,143.0
25,2,182,-60.4771116068075,-86.41233825683594,-31.703081130981445,83.4771116068075,54.703081130981445,109.41233825683594
25,3,182,-71.25415464547964,-120.0,-35.16965866088867,94.25415464547964,58.16965866088867,143.0
26,0,420,-61.14050272987002,-120.0,-33.935550689697266,84.14050272987002,56.935550689697266,143.0
26,1,132,-79.44757123426957,-120.0,-30.429452896118164,102.44757123426957,53.429452896118164,143.0
26,2,182,-60.23938985971304,-83.62787628173828,-34.70035934448242,83.23938985971304,57.70035934448242,106.62787628173828
26,3,156,-72.93178000816933,-120.0,-35.9216194152832,95.93178000816933,58.9216194152832,143.0
