step,mode,receiver_idx,new_rewards,replay_size,train_steps,loss
3,t2_b0,5,3,3,0,
5,t2_b0,50,13,13,0,
6,t2_b0,13,26,26,0,
7,t2_b0,25,26,26,0,
7,t2_b0,29,31,31,0,
7,t2_b0,30,27,27,0,
8,t2_b0,54,45,45,0,
9,t2_b0,17,54,54,0,
9,t2_b0,39,33,33,0,
10,t2_b0,9,31,31,0,
10,t2_b0,53,42,42,0,
11,t2_b0,0,8,8,0,
11,t2_b0,1,11,11,0,
11,t2_b0,2,4,4,0,
11,t2_b0,3,2,2,0,
11,t2_b0,4,2,2,0,
11,t2_b0,6,2,2,0,
11,t2_b0,7,1,1,0,
11,t2_b0,8,4,4,0,
11,t2_b0,10,8,8,0,
11,t2_b0,11,8,8,0,
11,t2_b0,12,5,5,0,
11,t2_b0,14,5,5,0,
11,t2_b0,15,7,7,0,
11,t2_b0,16,5,5,0,
11,t2_b0,18,4,4,0,
11,t2_b0,19,3,3,0,
11,t2_b0,20,9,9,0,
11,t2_b0,21,6,6,0,
11,t2_b0,22,7,7,0,
11,t2_b0,23,5,5,0,
11,t2_b0,24,3,3,0,
11,t2_b0,26,5,5,0,
11,t2_b0,27,6,6,0,
11,t2_b0,28,8,8,0,
11,t2_b0,31,8,8,0,
11,t2_b0,32,4,4,0,
11,t2_b0,33,5,5,0,
11,t2_b0,34,7,7,0,
11,t2_b0,35,6,6,0,
11,t2_b0,36,5,5,0,
11,t2_b0,37,8,8,0,
11,t2_b0,38,4,4,0,
11,t2_b0,40,6,6,0,
11,t2_b0,41,9,9,0,
11,t2_b0,42,5,5,0,
11,t2_b0,43,8,8,0,
11,t2_b0,44,10,10,0,
11,t2_b0,45,6,6,0,
11,t2_b0,46,5,5,0,
11,t2_b0,47,9,9,0,
11,t2_b0,48,9,9,0,
11,t2_b0,49,1,1,0,
11,t2_b0,51,6,6,0,
11,t2_b0,52,4,4,0,
11,t2_b0,56,4,4,0,
11,t2_b0,57,4,4,0,
11,t2_b0,58,5,5,0,
11,t2_b0,59,2,2,0,
12,t2_b0,0,8,16,0,
12,t2_b0,1,69,80,4,0.5608159303665161
12,t2_b0,2,6,10,0,
12,t2_b0,3,1,3,0,
12,t2_b0,4,4,6,0,
12,t2_b0,6,4,6,0,
12,t2_b0,7,1,2,0,
12,t2_b0,8,2,6,0,
12,t2_b0,10,4,12,0,
12,t2_b0,11,8,16,0,
12,t2_b0,12,5,10,0,
12,t2_b0,14,6,11,0,
12,t2_b0,15,10,17,0,
12,t2_b0,16,10,15,0,
12,t2_b0,18,4,8,0,
12,t2_b0,19,2,5,0,
12,t2_b0,20,7,16,0,
12,t2_b0,21,6,12,0,
12,t2_b0,22,7,14,0,
12,t2_b0,23,4,9,0,
12,t2_b0,24,5,8,0,
12,t2_b0,26,2,7,0,
12,t2_b0,27,4,10,0,
12,t2_b0,28,7,15,0,
12,t2_b0,31,7,15,0,
12,t2_b0,32,8,12,0,
12,t2_b0,33,6,11,0,
12,t2_b0,34,3,10,0,
12,t2_b0,35,9,15,0,
12,t2_b0,36,6,11,0,
12,t2_b0,37,9,17,0,
12,t2_b0,38,7,11,0,
12,t2_b0,40,6,12,0,
12,t2_b0,41,9,18,0,
12,t2_b0,42,7,12,0,
12,t2_b0,43,4,12,0,
12,t2_b0,44,6,16,0,
