step,contact_threshold_rx_power_dbm,contact_threshold_snr_db,feasible_contact_decisions,feasible_contact_pairs,greedy_comm_bytes,greedy_comm_cumulative_mb,greedy_comm_mb,greedy_events,local_policy_initial_pull_probability,noise_floor_dbm,propagation_loss_contact_threshold_db,rssi_gossip_threshold_dbm,snr_min_db,t2_b0.25_comm_bytes,t2_b0.25_comm_cumulative_mb,t2_b0.25_comm_cumulative_vs_greedy_ratio,t2_b0.25_comm_mb,t2_b0.25_comm_vs_greedy_ratio,t2_b0.25_events,t2_b0.25_merge_metadata_bytes,t2_b0.25_metadata_bytes,t2_b0.25_model_bytes,t2_b0.25_policy_model_bytes,t2_b0.25_selected_providers
1,-100.0,5.0,686,343,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,51612074,51.612074,nan,51.612074,nan,337,2696,475398,48496996,2636984,337
2,-100.0,5.0,690,345,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,47888406,99.50048,nan,47.888406,nan,311,2488,478170,44755388,2652360,311
3,-100.0,5.0,690,345,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,50191062,149.691542,nan,50.191062,nan,327,2616,478170,47057916,2652360,327
4,-100.0,5.0,698,349,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,52386098,202.07764,nan,52.386098,nan,342,2736,483714,49216536,2683112,342
5,-100.0,5.0,714,357,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,54473514,256.551154,nan,54.473514,nan,356,2848,494802,51231248,2744616,356
6,-100.0,5.0,716,358,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,53906924,310.458078,nan,53.906924,nan,352,2816,496188,50655616,2752304,352
7,-100.0,5.0,724,362,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,54087136,364.545214,nan,54.087136,nan,353,2824,501732,50799524,2783056,353
8,-100.0,5.0,718,359,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,51613342,416.158556,nan,51.613342,nan,336,2688,497574,48353088,2759992,336
9,-100.0,5.0,708,354,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,54734124,470.89268,nan,54.734124,nan,358,2864,490644,51519064,2721552,358
10,-100.0,5.0,720,360,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,58386468,529.279148,nan,58.386468,nan,383,3064,498960,55116764,2767680,383
11,-100.0,5.0,722,361,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,56236802,585.51595,nan,56.236802,nan,368,2944,500346,52958144,2775368,368
12,-100.0,5.0,694,347,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,54238858,639.754808,nan,54.238858,nan,355,2840,480942,51087340,2667736,355
13,-100.0,5.0,700,350,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,52539088,692.293896,nan,52.539088,nan,343,2744,485100,49360444,2690800,343
14,-100.0,5.0,714,357,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,51451278,743.745174,nan,51.451278,nan,335,2680,494802,48209180,2744616,335
15,-100.0,5.0,722,361,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,53646314,797.391488,nan,53.646314,nan,350,2800,500346,50367800,2775368,350
16,-100.0,5.0,748,374,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,59089168,856.480656,nan,59.089168,nan,387,3096,518364,55692396,2875312,387
17,-100.0,5.0,782,391,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,57804266,914.284922,nan,57.804266,nan,377,3016,541926,54253316,3006008,377
18,-100.0,5.0,798,399,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,62050422,976.335344,nan,62.050422,nan,406,3248,553014,58426648,3067512,406
19,-100.0,5.0,848,424,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,60838112,1037.173456,nan,60.838112,nan,396,3168,587664,56987568,3259712,396
20,-100.0,5.0,842,421,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,65704034,1102.87749,nan,65.704034,nan,430,3440,583506,61880440,3236648,430
21,-100.0,5.0,830,415,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,65217842,1168.095332,nan,65.217842,nan,427,3416,575190,61448716,3190520,427
22,-100.0,5.0,778,389,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,60376606,1228.471938,nan,60.376606,nan,395,3160,539154,56843660,2990632,395
23,-100.0,5.0,776,388,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,57489212,1285.96115,nan,57.489212,nan,375,3000,537768,53965500,2982944,375
24,-100.0,5.0,778,389,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,55339546,1341.300696,nan,55.339546,nan,360,2880,539154,51806880,2990632,360
25,-100.0,5.0,828,414,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,62906112,1404.206808,nan,62.906112,nan,411,3288,573804,59146188,3182832,411
26,-100.0,5.0,846,423,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,59965542,1464.17235,nan,59.965542,nan,390,3120,586278,56124120,3252024,390
27,-100.0,5.0,856,428,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,61593988,1525.766338,nan,61.593988,nan,401,3208,593208,57707108,3290464,401
28,-100.0,5.0,850,425,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,59408026,1585.174364,nan,59.408026,nan,386,3088,589050,55548488,3267400,386
29,-100.0,5.0,854,427,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,63024074,1648.198438,nan,63.024074,nan,411,3288,591822,59146188,3282776,411
30,-100.0,5.0,874,437,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,60380410,1708.578848,nan,60.38041,nan,392,3136,605682,56411936,3359656,392
31,-100.0,5.0,872,436,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,60947000,1769.525848,nan,60.947,nan,396,3168,604296,56987568,3351968,396
32,-100.0,5.0,880,440,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,60695464,1830.221312,nan,60.695464,nan,394,3152,609840,56699752,3382720,394
33,-100.0,5.0,938,469,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,65851754,1896.073066,nan,65.851754,nan,428,3424,650034,61592624,3605672,428
34,-100.0,5.0,896,448,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,63934208,1960.007274,nan,63.934208,nan,416,3328,620928,59865728,3444224,416
35,-100.0,5.0,884,442,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,63304100,2023.311374,nan,63.3041,nan,412,3296,612612,59290096,3398096,412
36,-100.0,5.0,870,435,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,61369674,2084.681048,nan,61.369674,nan,399,3192,602910,57419292,3344280,399
37,-100.0,5.0,846,423,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,56367642,2141.04869,nan,56.367642,nan,365,2920,586278,52526420,3252024,365
38,-100.0,5.0,870,435,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,60937926,2201.986616,nan,60.937926,nan,396,3168,602910,56987568,3344280,396
39,-100.0,5.0,870,435,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,58059606,2260.046222,nan,58.059606,nan,376,3008,602910,54109408,3344280,376
40,-100.0,5.0,872,436,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,59651756,2319.697978,nan,59.651756,nan,387,3096,604296,55692396,3351968,387
41,-100.0,5.0,860,430,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,58589900,2378.287878,nan,58.5899,nan,380,3040,595980,54685040,3305840,380
