step,contact_threshold_rx_power_dbm,contact_threshold_snr_db,feasible_contact_decisions,feasible_contact_pairs,greedy_comm_bytes,greedy_comm_cumulative_mb,greedy_comm_mb,greedy_events,local_policy_initial_pull_probability,noise_floor_dbm,propagation_loss_contact_threshold_db,rssi_gossip_threshold_dbm,snr_min_db,t2_b0_comm_bytes,t2_b0_comm_cumulative_mb,t2_b0_comm_cumulative_vs_greedy_ratio,t2_b0_comm_mb,t2_b0_comm_vs_greedy_ratio,t2_b0_events,t2_b0_merge_metadata_bytes,t2_b0_metadata_bytes,t2_b0_model_bytes,t2_b0_policy_model_bytes,t2_b0_selected_providers
1,-100.0,5.0,686,343,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20382302,20.382302,nan,20.382302,nan,120,960,475398,17268960,2636984,120
2,-100.0,5.0,690,345,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20400450,40.782752,nan,20.40045,nan,120,960,478170,17268960,2652360,120
3,-100.0,5.0,690,345,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20400450,61.183202,nan,20.40045,nan,120,960,478170,17268960,2652360,120
4,-100.0,5.0,698,349,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20436746,81.619948,nan,20.436746,nan,120,960,483714,17268960,2683112,120
5,-100.0,5.0,714,357,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20509338,102.129286,nan,20.509338,nan,120,960,494802,17268960,2744616,120
6,-100.0,5.0,716,358,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20518412,122.647698,nan,20.518412,nan,120,960,496188,17268960,2752304,120
7,-100.0,5.0,724,362,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20554708,143.202406,nan,20.554708,nan,120,960,501732,17268960,2783056,120
8,-100.0,5.0,718,359,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20527486,163.729892,nan,20.527486,nan,120,960,497574,17268960,2759992,120
9,-100.0,5.0,708,354,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20482116,184.212008,nan,20.482116,nan,120,960,490644,17268960,2721552,120
10,-100.0,5.0,720,360,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20536560,204.748568,nan,20.53656,nan,120,960,498960,17268960,2767680,120
11,-100.0,5.0,722,361,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20545634,225.294202,nan,20.545634,nan,120,960,500346,17268960,2775368,120
12,-100.0,5.0,694,347,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20418598,245.7128,nan,20.418598,nan,120,960,480942,17268960,2667736,120
13,-100.0,5.0,700,350,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20445820,266.15862,nan,20.44582,nan,120,960,485100,17268960,2690800,120
14,-100.0,5.0,714,357,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20509338,286.667958,nan,20.509338,nan,120,960,494802,17268960,2744616,120
15,-100.0,5.0,722,361,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20545634,307.213592,nan,20.545634,nan,120,960,500346,17268960,2775368,120
16,-100.0,5.0,748,374,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20663596,327.877188,nan,20.663596,nan,120,960,518364,17268960,2875312,120
17,-100.0,5.0,782,391,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20817854,348.695042,nan,20.817854,nan,120,960,541926,17268960,3006008,120
18,-100.0,5.0,798,399,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20890446,369.585488,nan,20.890446,nan,120,960,553014,17268960,3067512,120
19,-100.0,5.0,848,424,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,21117296,390.702784,nan,21.117296,nan,120,960,587664,17268960,3259712,120
20,-100.0,5.0,842,421,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,21090074,411.792858,nan,21.090074,nan,120,960,583506,17268960,3236648,120
21,-100.0,5.0,830,415,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,21035630,432.828488,nan,21.03563,nan,120,960,575190,17268960,3190520,120
22,-100.0,5.0,778,389,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20799706,453.628194,nan,20.799706,nan,120,960,539154,17268960,2990632,120
23,-100.0,5.0,776,388,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20790632,474.418826,nan,20.790632,nan,120,960,537768,17268960,2982944,120
24,-100.0,5.0,778,389,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20799706,495.218532,nan,20.799706,nan,120,960,539154,17268960,2990632,120
25,-100.0,5.0,828,414,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,21026556,516.245088,nan,21.026556,nan,120,960,573804,17268960,3182832,120
26,-100.0,5.0,846,423,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,21108222,537.35331,nan,21.108222,nan,120,960,586278,17268960,3252024,120
27,-100.0,5.0,856,428,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,21153592,558.506902,nan,21.153592,nan,120,960,593208,17268960,3290464,120
28,-100.0,5.0,850,425,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,21126370,579.633272,nan,21.12637,nan,120,960,589050,17268960,3267400,120
29,-100.0,5.0,854,427,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,21144518,600.77779,nan,21.144518,nan,120,960,591822,17268960,3282776,120
30,-100.0,5.0,874,437,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,21235258,622.013048,nan,21.235258,nan,120,960,605682,17268960,3359656,120
31,-100.0,5.0,872,436,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,21226184,643.239232,nan,21.226184,nan,120,960,604296,17268960,3351968,120
32,-100.0,5.0,880,440,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,21262480,664.501712,nan,21.26248,nan,120,960,609840,17268960,3382720,120
33,-100.0,5.0,938,469,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,21525626,686.027338,nan,21.525626,nan,120,960,650034,17268960,3605672,120
34,-100.0,5.0,896,448,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,21335072,707.36241,nan,21.335072,nan,120,960,620928,17268960,3444224,120
35,-100.0,5.0,884,442,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,13796996,721.159406,nan,13.796996,nan,68,544,612612,9785744,3398096,68
36,-100.0,5.0,870,435,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,10567326,731.726732,nan,10.567326,nan,46,368,602910,6619768,3344280,46
37,-100.0,5.0,846,423,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,9307110,741.033842,nan,9.30711,nan,38,304,586278,5468504,3252024,38
38,-100.0,5.0,870,435,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,10855158,751.889,nan,10.855158,nan,48,384,602910,6907584,3344280,48
39,-100.0,5.0,870,435,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,13157814,765.046814,nan,13.157814,nan,64,512,602910,9210112,3344280,64
40,-100.0,5.0,872,436,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,12879056,777.92587,nan,12.879056,nan,62,496,604296,8922296,3351968,62
41,-100.0,5.0,860,430,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,13112444,791.038314,nan,13.112444,nan,64,512,595980,9210112,3305840,64
42,-100.0,5.0,880,440,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,18096328,809.134642,nan,18.096328,nan,98,784,609840,14102984,3382720,98
43,-100.0,5.0,886,443,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,13230406,822.365048,nan,13.230406,nan,64,512,613998,9210112,3405784,64
44,-100.0,5.0,906,453,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,17638626,840.003674,nan,17.638626,nan,94,752,627858,13527352,3482664,94
45,-100.0,5.0,904,452,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,21083536,861.08721,nan,21.083536,nan,118,944,626472,16981144,3474976,118
46,-100.0,5.0,904,452,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,21371368,882.458578,nan,21.371368,nan,120,960,626472,17268960,3474976,120
47,-100.0,5.0,886,443,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,21289702,903.74828,nan,21.289702,nan,120,960,613998,17268960,3405784,120
48,-100.0,5.0,924,462,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,21462108,925.210388,nan,21.462108,nan,120,960,640332,17268960,3551856,120
49,-100.0,5.0,904,452,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,21371368,946.581756,nan,21.371368,nan,120,960,626472,17268960,3474976,120
50,-100.0,5.0,954,477,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,21598218,968.179974,nan,21.598218,nan,120,960,661122,17268960,3667176,120
51,-100.0,5.0,964,482,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,21643588,989.823562,nan,21.643588,nan,120,960,668052,17268960,3705616,120
52,-100.0,5.0,916,458,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,21425812,1011.249374,nan,21.425812,nan,120,960,634788,17268960,3521104,120
53,-100.0,5.0,976,488,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,21698032,1032.947406,nan,21.698032,nan,120,960,676368,17268960,3751744,120
54,-100.0,5.0,906,453,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,21380442,1054.327848,nan,21.380442,nan,120,960,627858,17268960,3482664,120
55,-100.0,5.0,894,447,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,21325998,1075.653846,nan,21.325998,nan,120,960,619542,17268960,3436536,120
56,-100.0,5.0,898,449,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,21344146,1096.997992,nan,21.344146,nan,120,960,622314,17268960,3451912,120
57,-100.0,5.0,888,444,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,21298776,1118.296768,nan,21.298776,nan,120,960,615384,17268960,3413472,120
58,-100.0,5.0,836,418,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,21062852,1139.35962,nan,21.062852,nan,120,960,579348,17268960,3213584,120
59,-100.0,5.0,800,400,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20899520,1160.25914,nan,20.89952,nan,120,960,554400,17268960,3075200,120
60,-100.0,5.0,758,379,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20708966,1180.968106,nan,20.708966,nan,120,960,525294,17268960,2913752,120
61,-100.0,5.0,760,380,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20718040,1201.686146,nan,20.71804,nan,120,960,526680,17268960,2921440,120
62,-100.0,5.0,762,381,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20727114,1222.41326,nan,20.727114,nan,120,960,528066,17268960,2929128,120
63,-100.0,5.0,768,384,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20754336,1243.167596,nan,20.754336,nan,120,960,532224,17268960,2952192,120
64,-100.0,5.0,786,393,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20836002,1264.003598,nan,20.836002,nan,120,960,544698,17268960,3021384,120
65,-100.0,5.0,792,396,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20863224,1284.866822,nan,20.863224,nan,120,960,548856,17268960,3044448,120
66,-100.0,5.0,806,403,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20926742,1305.793564,nan,20.926742,nan,120,960,558558,17268960,3098264,120
67,-100.0,5.0,804,402,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20917668,1326.711232,nan,20.917668,nan,120,960,557172,17268960,3090576,120
68,-100.0,5.0,770,385,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20763410,1347.474642,nan,20.76341,nan,120,960,533610,17268960,2959880,120
69,-100.0,5.0,754,377,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20690818,1368.16546,nan,20.690818,nan,120,960,522522,17268960,2898376,120
70,-100.0,5.0,746,373,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20654522,1388.819982,nan,20.654522,nan,120,960,516978,17268960,2867624,120
71,-100.0,5.0,748,374,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20663596,1409.483578,nan,20.663596,nan,120,960,518364,17268960,2875312,120
72,-100.0,5.0,740,370,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20627300,1430.110878,nan,20.6273,nan,120,960,512820,17268960,2844560,120
73,-100.0,5.0,746,373,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20654522,1450.7654,nan,20.654522,nan,120,960,516978,17268960,2867624,120
74,-100.0,5.0,732,366,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20591004,1471.356404,nan,20.591004,nan,120,960,507276,17268960,2813808,120
75,-100.0,5.0,726,363,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20563782,1491.920186,nan,20.563782,nan,120,960,503118,17268960,2790744,120
76,-100.0,5.0,720,360,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20536560,1512.456746,nan,20.53656,nan,120,960,498960,17268960,2767680,120
77,-100.0,5.0,728,364,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20572856,1533.029602,nan,20.572856,nan,120,960,504504,17268960,2798432,120
78,-100.0,5.0,732,366,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20591004,1553.620606,nan,20.591004,nan,120,960,507276,17268960,2813808,120
79,-100.0,5.0,738,369,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20618226,1574.238832,nan,20.618226,nan,120,960,511434,17268960,2836872,120
80,-100.0,5.0,702,351,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20454894,1594.693726,nan,20.454894,nan,120,960,486486,17268960,2698488,120
81,-100.0,5.0,714,357,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20509338,1615.203064,nan,20.509338,nan,120,960,494802,17268960,2744616,120
82,-100.0,5.0,708,354,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20482116,1635.68518,nan,20.482116,nan,120,960,490644,17268960,2721552,120
83,-100.0,5.0,724,362,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20554708,1656.239888,nan,20.554708,nan,120,960,501732,17268960,2783056,120
84,-100.0,5.0,730,365,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20581930,1676.821818,nan,20.58193,nan,120,960,505890,17268960,2806120,120
85,-100.0,5.0,738,369,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20618226,1697.440044,nan,20.618226,nan,120,960,511434,17268960,2836872,120
86,-100.0,5.0,740,370,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20627300,1718.067344,nan,20.6273,nan,120,960,512820,17268960,2844560,120
87,-100.0,5.0,740,370,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20627300,1738.694644,nan,20.6273,nan,120,960,512820,17268960,2844560,120
88,-100.0,5.0,750,375,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20672670,1759.367314,nan,20.67267,nan,120,960,519750,17268960,2883000,120
89,-100.0,5.0,746,373,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20654522,1780.021836,nan,20.654522,nan,120,960,516978,17268960,2867624,120
90,-100.0,5.0,736,368,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20609152,1800.630988,nan,20.609152,nan,120,960,510048,17268960,2829184,120
91,-100.0,5.0,742,371,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20636374,1821.267362,nan,20.636374,nan,120,960,514206,17268960,2852248,120
92,-100.0,5.0,738,369,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20618226,1841.885588,nan,20.618226,nan,120,960,511434,17268960,2836872,120
93,-100.0,5.0,730,365,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20581930,1862.467518,nan,20.58193,nan,120,960,505890,17268960,2806120,120
94,-100.0,5.0,716,358,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20518412,1882.98593,nan,20.518412,nan,120,960,496188,17268960,2752304,120
95,-100.0,5.0,718,359,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20527486,1903.513416,nan,20.527486,nan,120,960,497574,17268960,2759992,120
96,-100.0,5.0,712,356,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20500264,1924.01368,nan,20.500264,nan,120,960,493416,17268960,2736928,120
97,-100.0,5.0,732,366,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20591004,1944.604684,nan,20.591004,nan,120,960,507276,17268960,2813808,120
98,-100.0,5.0,738,369,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20618226,1965.22291,nan,20.618226,nan,120,960,511434,17268960,2836872,120
99,-100.0,5.0,768,384,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20034756,1985.257666,nan,20.034756,nan,115,920,532224,16549420,2952192,115
100,-100.0,5.0,760,380,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,18847132,2004.104798,nan,18.847132,nan,107,856,526680,15398156,2921440,107
101,-100.0,5.0,760,380,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,17839720,2021.944518,nan,17.83972,nan,100,800,526680,14390800,2921440,100
102,-100.0,5.0,772,386,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,15591508,2037.536026,nan,15.591508,nan,84,672,534996,12088272,2967568,84
103,-100.0,5.0,784,392,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,14638540,2052.174566,nan,14.63854,nan,77,616,543312,11080916,3013696,77
104,-100.0,5.0,764,382,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,15986960,2068.161526,nan,15.98696,nan,87,696,529452,12519996,2936816,87
105,-100.0,5.0,762,381,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,12811734,2080.97326,nan,12.811734,nan,65,520,528066,9354020,2929128,65
106,-100.0,5.0,768,384,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,14565948,2095.539208,nan,14.565948,nan,77,616,532224,11080916,2952192,77
107,-100.0,5.0,760,380,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,15393148,2110.932356,nan,15.393148,nan,83,664,526680,11944364,2921440,83
108,-100.0,5.0,774,387,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,13585758,2124.518114,nan,13.585758,nan,70,560,536382,10073560,2975256,70
109,-100.0,5.0,764,382,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,15123464,2139.641578,nan,15.123464,nan,81,648,529452,11656548,2936816,81
110,-100.0,5.0,738,369,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,16012914,2155.654492,nan,16.012914,nan,88,704,511434,12663904,2836872,88
