step,active_count,active_ids
1,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
2,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
3,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
4,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
5,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
6,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
7,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
8,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
9,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
10,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
11,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
12,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
13,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
14,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
15,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
16,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
17,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
18,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
19,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
20,1,dyn_a4_existing_dense_block
21,1,dyn_a4_existing_dense_block
22,1,dyn_a4_existing_dense_block
23,1,dyn_a4_existing_dense_block
24,1,dyn_a4_existing_dense_block
25,0,
26,0,
27,0,
28,0,
29,0,
30,0,
31,0,
32,0,
33,0,
34,0,
35,0,
36,0,
37,0,
38,0,
39,0,
40,1,dyn_a3_existing_sparse_block
41,1,dyn_a3_existing_sparse_block
42,1,dyn_a3_existing_sparse_block
43,1,dyn_a3_existing_sparse_block
44,1,dyn_a3_existing_sparse_block
45,1,dyn_a3_existing_sparse_block
46,1,dyn_a3_existing_sparse_block
47,1,dyn_a3_existing_sparse_block
