step,pending_transitions,pull_updates_this_step,queued_transitions,t2_b0_train_updates,train_updates_this_step
1,120,692,0,0,0
2,240,688,0,0,0
3,356,700,2,0,0
4,470,698,4,0,0
5,590,704,0,0,0
6,700,722,8,0,0
7,808,728,10,0,0
8,886,716,36,0,0
9,990,708,14,0,0
10,1056,688,48,0,0
11,1042,692,130,0,0
12,1050,684,110,0,0
13,1058,682,110,0,0
14,1066,688,110,0,0
15,1094,704,92,0,0
16,1084,742,126,0,0
17,1094,736,108,0,0
18,1100,738,112,0,0
19,1052,758,160,0,0
20,1078,766,94,0,0
21,1100,772,98,0,0
22,1084,794,132,0,0
23,1088,778,114,0,0
24,1110,784,98,0,0
25,1132,794,98,0,0
26,1150,800,102,0,0
27,1130,804,136,0,0
28,1148,804,102,0,0
29,1140,808,126,0,0
30,1152,804,108,0,0
31,1146,816,124,0,0
32,1120,802,142,0,0
33,1078,788,156,0,0
34,1060,780,134,4,4
35,1020,778,130,12,8
36,966,790,110,16,4
37,906,796,128,24,8
38,856,780,118,32,8
39,874,768,92,36,4
40,888,774,106,40,4
41,888,772,116,48,8
42,890,748,114,132,84
43,906,752,102,296,164
44,884,762,136,484,188
45,902,778,98,624,140
46,916,788,98,716,92
47,932,780,98,820,104
48,992,786,58,904,84
49,1032,792,80,1064,160
50,1068,794,84,1232,168
51,1100,814,88,1408,176
52,1110,828,108,1592,184
53,1120,828,108,1776,184
54,1126,808,112,1968,192
55,1148,816,98,2164,196
56,1158,810,108,2380,216
57,1148,810,128,2604,224
58,1084,810,176,2828,224
59,1100,810,104,3036,208
60,1062,800,152,3244,208
61,1030,798,146,3440,196
62,1002,774,142,3628,188
63,1014,768,106,3808,180
64,974,790,152,3984,176
65,996,794,96,4144,160
66,1000,786,112,4304,160
67,988,818,126,4460,156
68,1028,816,80,4620,160
69,996,818,144,4780,160
70,1020,816,94,4936,156
71,1004,818,130,5104,168
72,992,806,126,5272,168
73,1014,796,96,5432,160
74,1012,780,118,5604,172
75,1032,748,98,5768,164
76,1014,758,132,5936,168
77,1014,770,116,6104,168
78,1036,762,96,6264,160
79,1016,828,134,6436,172
80,1036,810,98,6600,164
81,1052,776,102,6772,172
82,1082,770,90,6952,180
83,1074,768,124,7136,184
84,1048,774,140,7320,184
85,1062,760,104,7496,176
86,1036,712,140,7680,184
87,1048,718,106,7860,180
88,1024,696,138,8040,180
89,1048,700,94,8224,184
90,1076,694,92,8408,184
91,1078,704,114,8600,192
92,1052,700,140,8784,184
93,1082,700,90,8964,180
94,1052,700,144,9156,192
95,1026,692,140,9340,184
96,1038,688,106,9520,180
97,1050,672,106,9700,180
98,1060,656,108,9884,184
99,1034,668,140,10068,184
100,1050,684,102,10240,172
101,1042,678,122,10420,180
102,1036,700,122,10600,180
103,1016,694,134,10772,172
104,978,720,150,10948,176
105,996,724,100,11116,168
106,992,736,118,11288,172
107,994,740,114,11452,164
108,980,722,128,11612,160
109,1004,750,94,11768,156
110,1010,746,110,11924,156
111,1050,732,80,12084,160
112,1068,728,100,12252,168
113,1064,728,120,12432,180
114,1042,770,136,12616,184
115,1020,740,136,12792,176
116,1054,746,86,12964,172
117,1048,750,122,13144,180
118,1022,748,140,13328,184
119,1036,750,104,13504,176
120,1066,752,90,13684,180
121,1042,784,138,13864,180
122,1040,748,118,14036,172
123,1074,750,86,14208,172
124,1066,758,124,14392,184
125,1074,792,110,14580,188
126,1047,778,140,14764,184
127,1059,774,106,14944,180
128,1050,806,125,15132,188
129,1042,818,124,15316,184
130,1052,822,106,15496,180
131,1044,816,124,15680,184
132,1018,834,140,15864,184
133,1012,818,120,16040,176
134,974,786,150,16212,172
135,978,772,112,16372,160
136,1016,756,82,16536,164
137,992,748,136,16708,172
138,954,736,148,16872,164
139,926,736,140,17024,152
140,956,740,88,17168,144
141,968,770,104,17312,144
142,960,760,122,17460,148
143,984,758,92,17616,156
144,984,762,114,17780,164
145,1008,768,94,17936,156
146,998,780,124,18088,152
147,988,786,124,18240,152
148,970,776,130,18400,160
149,992,760,96,18560,160
150,978,748,128,18720,160
151,1014,744,82,18880,160
152,1034,744,98,19044,164
153,1052,742,100,19212,168
154,1084,740,88,19388,176
155,1044,774,152,19564,176
156,1022,790,134,19740,176
157,1002,810,134,19912,172
158,1018,800,102,20084,172
159,1034,814,102,20256,172
160,1010,828,138,20436,180
161,988,820,134,20608,172
162,1008,834,98,20772,164
163,992,798,130,20936,164
164,1001,812,107,21088,152
165,1004,832,112,21248,160
166,1042,838,80,21408,160
167,1052,824,104,21584,176
168,1024,810,135,21760,176
169,1017,796,116,21928,168
170,1018,776,114,22100,172
171,1011,782,119,22276,176
172,1015,794,112,22448,172
173,1028,776,104,22624,176
174,1040,778,99,22804,180
175,1000,752,153,22988,184
176,1034,754,83,23156,168
177,1008,750,134,23328,172
178,985,752,133,23500,172
179,981,746,115,23668,168
180,951,736,141,23836,168
181,987,742,78,23996,160
182,1001,738,98,24164,168
183,1010,736,100,24332,168
184,1013,706,110,24492,160
185,971,726,150,24668,176
186,956,736,125,24832,164
187,977,734,94,24988,156
188,994,734,98,25156,168
189,1000,720,104,25328,172
190,997,734,117,25504,176
191,1013,738,98,25672,168
192,993,750,127,25840,168
193,957,758,143,26000,160
194,958,764,106,26156,156
195,992,764,79,26316,160
196,930,784,166,26492,176
197,950,768,95,26652,160
198,952,776,109,26812,160
199,943,770,103,26968,156
200,967,774,77,27124,156
201,963,776,106,27288,164
202,916,754,142,27456,168
203,908,736,112,27624,168
204,892,752,125,27792,168
205,906,748,92,27944,152
206,926,762,92,28112,168
207,954,768,83,28280,168
208,911,804,148,28460,180
209,918,816,100,28608,148
210,885,800,133,28748,140
211,891,794,105,28888,140
212,882,802,109,29028,140
213,901,788,84,29168,140
214,897,786,97,29332,164
215,912,778,89,29484,152
216,918,792,91,29640,156
217,919,814,100,29792,152
218,883,800,140,29960,168
219,857,808,125,30120,160
220,866,798,88,30272,152
221,882,792,79,30432,160
222,866,786,116,30604,172
223,887,756,79,30768,164
224,899,752,80,30932,164
225,860,770,137,31100,168
226,876,782,84,31240,140
227,869,776,103,31400,160
228,839,780,127,31572,172
229,823,782,111,31740,168
230,815,784,97,31884,144
231,802,798,96,32016,132
232,801,786,84,32156,140
233,797,804,99,32300,144
234,821,806,70,32424,124
235,815,818,101,32576,152
236,828,812,82,32712,136
237,851,812,70,32868,156
238,866,810,74,33020,152
239,818,822,138,33200,180
240,831,818,78,33368,168
241,811,812,119,33520,152
242,812,788,88,33656,136
243,823,772,71,33808,152
244,812,744,99,33952,144
245,787,744,102,34108,156
246,773,742,93,34272,164
247,776,758,72,34424,152
248,738,754,119,34568,144
249,754,752,66,34712,144
250,732,758,107,34852,140
251,740,770,82,35020,168
252,719,780,110,35184,164
253,740,766,72,35312,128
254,758,756,67,35456,144
255,774,756,75,35592,136
256,777,768,89,35716,124
257,813,770,52,35832,116
258,819,778,79,35984,152
259,827,776,66,36128,144
260,804,794,99,36288,160
261,777,792,121,36444,156
262,800,778,74,36600,156
263,784,818,103,36764,164
264,785,806,81,36920,156
265,780,806,91,37076,156
266,786,806,78,37240,164
267,776,826,102,37400,160
268,770,792,94,37540,140
269,806,776,51,37652,112
270,788,794,105,37788,136
