step,pending_transitions,pull_updates_this_step,queued_transitions,t2_b0_train_updates,train_updates_this_step
1,348,692,0,0,0
2,699,688,0,0,0
3,1054,700,4,0,0
4,1395,698,6,0,0
5,1763,704,0,0,0
6,2113,722,10,0,0
7,2461,728,17,0,0
8,2693,716,88,0,0
9,3020,708,42,0,0
10,3177,688,164,4,4
11,3121,692,385,8,4
12,3101,684,348,12,4
13,3112,682,321,12,0
14,3092,688,340,16,4
15,3187,704,282,16,0
16,3182,742,348,16,0
17,3202,736,341,20,4
18,3234,738,318,44,24
19,3094,758,480,120,76
20,3218,766,279,212,92
21,3293,772,282,320,108
22,3309,794,376,440,120
23,3384,778,321,568,128
24,3527,784,267,708,140
25,3592,794,308,872,164
26,3668,800,311,1048,176
27,3632,804,406,1236,188
28,3730,804,297,1428,192
29,3753,808,375,1648,220
30,3810,804,364,1864,216
31,3836,816,371,2080,216
32,3741,802,492,2300,220
33,3601,788,515,2516,216
34,3537,780,467,2720,204
35,3498,778,420,2916,196
36,3569,790,342,3104,188
37,3538,796,402,3296,192
38,3491,780,428,3480,184
39,3596,768,301,3664,184
40,3592,774,370,3844,180
41,3567,772,414,4024,180
42,3513,748,434,4204,180
43,3565,752,343,4388,184
44,3461,762,478,4576,188
45,3468,778,387,4760,184
46,3345,788,512,4940,180
47,3327,780,420,5108,168
48,3381,786,322,5272,164
49,3502,792,286,5436,164
50,3636,794,262,5604,168
51,3760,814,296,5780,176
52,3865,828,326,5960,180
53,3890,828,358,6140,180
54,3887,808,350,6320,180
55,3970,816,282,6512,192
56,4004,810,319,6720,208
57,3914,810,394,6936,216
58,3785,810,473,7152,216
59,3819,810,311,7348,196
60,3705,800,426,7528,180
61,3578,798,438,7708,180
62,3454,774,461,7880,172
63,3433,768,347,8048,168
64,3304,790,464,8212,164
65,3298,794,336,8364,152
66,3306,786,345,8520,156
67,3373,818,340,8672,152
68,3506,816,274,8832,160
69,3387,818,491,8992,160
70,3435,816,342,9148,156
71,3398,818,418,9316,168
72,3366,806,425,9484,168
73,3454,796,315,9644,160
74,3416,780,414,9816,172
75,3470,748,309,9980,164
76,3392,758,457,10148,168
77,3362,770,398,10316,168
78,3434,762,313,10476,160
79,3410,828,409,10648,172
80,3478,810,329,10812,164
81,3454,776,360,10980,168
82,3501,770,306,11156,176
83,3441,768,399,11336,180
84,3327,774,439,11516,180
85,3328,760,350,11688,172
86,3155,712,496,11872,184
87,3162,718,315,12052,180
88,2986,696,483,12232,180
89,3043,700,291,12416,184
90,3093,694,293,12600,184
91,3078,704,339,12792,192
92,2997,700,400,12976,184
93,3074,700,249,13156,180
94,3015,700,386,13348,192
95,2919,692,402,13532,184
