step,contact_threshold_rx_power_dbm,contact_threshold_snr_db,feasible_contact_decisions,feasible_contact_pairs,greedy_comm_bytes,greedy_comm_cumulative_mb,greedy_comm_mb,greedy_events,local_policy_initial_pull_probability,noise_floor_dbm,propagation_loss_contact_threshold_db,rssi_gossip_threshold_dbm,snr_min_db,t2_b0_comm_bytes,t2_b0_comm_cumulative_mb,t2_b0_comm_cumulative_vs_greedy_ratio,t2_b0_comm_mb,t2_b0_comm_vs_greedy_ratio,t2_b0_events,t2_b0_merge_metadata_bytes,t2_b0_metadata_bytes,t2_b0_model_bytes,t2_b0_policy_model_bytes,t2_b0_selected_providers
1,-100.0,5.0,692,346,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,53222372,53.222372,nan,53.222372,nan,348,2784,479556,50079984,2660048,348
2,-100.0,5.0,688,344,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,53635972,106.858344,nan,53.635972,nan,351,2808,476784,50511708,2644672,351
3,-100.0,5.0,700,350,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,55417408,162.275752,nan,55.417408,nan,363,2904,485100,52238604,2690800,363
4,-100.0,5.0,698,349,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,53537426,215.813178,nan,53.537426,nan,350,2800,483714,50367800,2683112,350
5,-100.0,5.0,704,352,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,56155136,271.968314,nan,56.155136,nan,368,2944,487872,52958144,2706176,368
6,-100.0,5.0,722,361,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,55805054,327.773368,nan,55.805054,nan,365,2920,500346,52526420,2775368,365
7,-100.0,5.0,728,364,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,56264024,384.037392,nan,56.264024,nan,368,2944,504504,52958144,2798432,368
8,-100.0,5.0,716,358,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,52323848,436.36124,nan,52.323848,nan,341,2728,496188,49072628,2752304,341
9,-100.0,5.0,708,354,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,56748948,493.110188,nan,56.748948,nan,372,2976,490644,53533776,2721552,372
10,-100.0,5.0,688,344,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,52628560,545.738748,nan,52.62856,nan,344,2752,476784,49504352,2644672,344
11,-100.0,5.0,692,346,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,51783212,597.52196,nan,51.783212,nan,338,2704,479556,48640904,2660048,338
