step,zone,n_links,mean_rssi_dbm,min_rssi_dbm,max_rssi_dbm,mean_propagation_loss_db,min_propagation_loss_db,max_propagation_loss_db
1,0,240,-68.36152284940084,-120.0,-38.41946029663086,91.36152284940084,61.41946029663086,143.0
1,1,210,-88.25811656770252,-120.0,-40.21650314331055,111.25811656770252,63.21650314331055,143.0
1,2,210,-63.3624874659947,-120.0,-38.5421028137207,86.36248746599469,61.5421028137207,143.0
1,3,182,-86.74027134821965,-120.0,-31.6875057220459,109.74027134821965,54.6875057220459,143.0
2,0,240,-67.63527113596598,-120.0,-39.6826171875,90.63527113596598,62.6826171875,143.0
2,1,210,-88.79197362263997,-120.0,-40.39670944213867,111.79197362263997,63.39670944213867,143.0
2,2,210,-63.44873357500349,-120.0,-39.80855941772461,86.44873357500349,62.80855941772461,143.0
2,3,182,-87.29643876211983,-120.0,-30.682809829711914,110.29643876211983,53.682809829711914,143.0
3,0,240,-68.5397264957428,-120.0,-41.52014923095703,91.5397264957428,64.52014923095703,143.0
3,1,210,-88.60829674857003,-120.0,-40.75190734863281,111.60829674857003,63.75190734863281,143.0
3,2,240,-63.21979571978251,-120.0,-39.525882720947266,86.21979571978251,62.525882720947266,143.0
3,3,156,-87.22304933499068,-120.0,-37.93956756591797,110.22304933499068,60.93956756591797,143.0
4,0,240,-66.89045073191325,-120.0,-39.8377799987793,89.89045073191325,62.8377799987793,143.0
4,1,182,-88.4038743029584,-120.0,-41.90342712402344,111.4038743029584,64.90342712402344,143.0
4,2,240,-63.09245805740356,-120.0,-40.63442611694336,86.09245805740356,63.63442611694336,143.0
4,3,182,-87.09565598624093,-120.0,-33.15143966674805,110.09565598624093,56.15143966674805,143.0
5,0,240,-66.74602816899618,-120.0,-38.760475158691406,89.74602816899618,61.760475158691406,143.0
5,1,182,-86.82938227810702,-120.0,-42.98272705078125,109.82938227810702,65.98272705078125,143.0
5,2,240,-63.79533031781514,-120.0,-39.75728225708008,86.79533031781514,62.75728225708008,143.0
5,3,182,-85.17991554344093,-120.0,-37.47590255737305,108.17991554344093,60.47590255737305,143.0
6,0,240,-66.7223512172699,-120.0,-37.34559631347656,89.7223512172699,60.34559631347656,143.0
6,1,210,-85.1923991793678,-120.0,-40.41908645629883,108.1923991793678,63.41908645629883,143.0
6,2,240,-63.25828056335449,-90.67759704589844,-34.83253860473633,86.25828056335449,57.83253860473633,113.67759704589844
6,3,156,-83.37348739917462,-120.0,-38.15896224975586,106.37348739917462,61.15896224975586,143.0
7,0,240,-66.26294253667196,-120.0,-31.38593292236328,89.26294253667196,54.38593292236328,143.0
7,1,182,-84.06310188377296,-120.0,-36.76005935668945,107.06310188377296,59.76005935668945,143.0
7,2,240,-62.25895799001058,-96.09785461425781,-37.94788360595703,85.25895799001057,60.94788360595703,119.09785461425781
7,3,182,-83.71785597748809,-120.0,-37.68449020385742,106.71785597748809,60.68449020385742,143.0
8,0,210,-66.96156765165783,-120.0,-37.2350959777832,89.96156765165783,60.2350959777832,143.0
8,1,182,-86.3218015733656,-120.0,-39.37266540527344,109.3218015733656,62.37266540527344,143.0
8,2,272,-63.084815432043634,-120.0,-30.44048309326172,86.08481543204363,53.44048309326172,143.0
8,3,182,-83.01842364636096,-120.0,-34.81221389770508,106.01842364636096,57.81221389770508,143.0
9,0,182,-68.31277119982373,-120.0,-37.83037185668945,91.31277119982373,60.83037185668945,143.0
9,1,182,-84.51652801429833,-120.0,-33.66230773925781,107.51652801429833,56.66230773925781,143.0
9,2,306,-63.08894608690848,-120.0,-32.15388107299805,86.08894608690848,55.15388107299805,143.0
9,3,182,-85.83588681902204,-120.0,-42.50931167602539,108.83588681902204,65.50931167602539,143.0
10,0,156,-68.28190901340582,-120.0,-34.5228385925293,91.28190901340582,57.5228385925293,143.0
10,1,182,-86.34794614603231,-120.0,-36.44919204711914,109.34794614603231,59.44919204711914,143.0
10,2,272,-63.638639590319464,-120.0,-33.8084716796875,86.63863959031946,56.8084716796875,143.0
10,3,240,-85.38013817469279,-120.0,-33.61884689331055,108.38013817469279,56.61884689331055,143.0
11,0,132,-70.05067666371663,-120.0,-37.83037185668945,93.05067666371663,60.83037185668945,143.0
11,1,182,-83.74414712256127,-120.0,-30.391660690307617,106.74414712256127,53.39166069030762,143.0
11,2,272,-63.497443830265716,-120.0,-33.90205383300781,86.49744383026572,56.90205383300781,143.0
11,3,272,-83.92925049276913,-120.0,-33.686614990234375,106.92925049276913,56.686614990234375,143.0
12,0,156,-69.08400555146046,-120.0,-35.1608772277832,92.08400555146046,58.1608772277832,143.0
12,1,182,-82.5020317035717,-120.0,-37.60226821899414,105.5020317035717,60.60226821899414,143.0
12,2,240,-63.02299822171529,-120.0,-33.12972640991211,86.02299822171528,56.12972640991211,143.0
12,3,272,-85.455178120557,-120.0,-38.868408203125,108.455178120557,61.868408203125,143.0
13,0,156,-68.6027500690558,-120.0,-30.784290313720703,91.6027500690558,53.7842903137207,143.0
13,1,156,-83.22176148341252,-120.0,-37.60226821899414,106.22176148341252,60.60226821899414,143.0
13,2,240,-62.82480163574219,-120.0,-31.960615158081055,85.82480163574219,54.960615158081055,143.0
13,3,306,-84.75606467053781,-120.0,-34.594337463378906,107.75606467053781,57.594337463378906,143.0
14,0,182,-66.4547347184066,-120.0,-37.83037185668945,89.4547347184066,60.83037185668945,143.0
14,1,156,-81.61930098900429,-120.0,-37.60226821899414,104.61930098900429,60.60226821899414,143.0
14,2,210,-62.92816741580055,-120.0,-31.601152420043945,85.92816741580054,54.601152420043945,143.0
14,3,306,-85.15946605158787,-120.0,-38.80580139160156,108.15946605158787,61.80580139160156,143.0
15,0,182,-65.22156478546478,-120.0,-37.83037185668945,88.22156478546478,60.83037185668945,143.0
15,1,156,-81.66931470235188,-120.0,-37.60226821899414,104.66931470235188,60.60226821899414,143.0
15,2,210,-61.483339000883554,-120.0,-37.61641311645508,84.48333900088355,60.61641311645508,143.0
15,3,306,-84.30648238986146,-120.0,-40.09675979614258,107.30648238986146,63.09675979614258,143.0
16,0,182,-65.06837767297095,-120.0,-37.83037185668945,88.06837767297095,60.83037185668945,143.0
16,1,156,-80.36451210119786,-120.0,-37.60226821899414,103.36451210119786,60.60226821899414,143.0
16,2,272,-62.18835017260383,-96.57418823242188,-37.61641311645508,85.18835017260383,60.61641311645508,119.57418823242188
16,3,240,-82.68588097890218,-120.0,-42.86820983886719,105.68588097890218,65.86820983886719,143.0
17,0,210,-63.28250292823428,-120.0,-37.83037185668945,86.28250292823428,60.83037185668945,143.0
17,1,156,-79.29695391043639,-120.0,-37.60226821899414,102.29695391043639,60.60226821899414,143.0
17,2,240,-61.82951626777649,-120.0,-31.368276596069336,84.82951626777648,54.368276596069336,143.0
17,3,240,-81.1525378704071,-120.0,-35.4932975769043,104.1525378704071,58.4932975769043,143.0
18,0,182,-62.50038754809034,-120.0,-37.83037185668945,85.50038754809034,60.83037185668945,143.0
18,1,182,-78.62507132645491,-120.0,-37.60226821899414,101.62507132645491,60.60226821899414,143.0
18,2,240,-61.40274747212728,-120.0,-37.61641311645508,84.40274747212729,60.61641311645508,143.0
18,3,240,-80.12230585416158,-120.0,-37.71131896972656,103.12230585416158,60.71131896972656,143.0
19,0,240,-61.2837021668752,-120.0,-36.2117919921875,84.2837021668752,59.2117919921875,143.0
19,1,182,-78.74867061992268,-120.0,-37.60226821899414,101.74867061992268,60.60226821899414,143.0
19,2,240,-61.147899039586385,-120.0,-34.37858581542969,84.14789903958638,57.37858581542969,143.0
19,3,182,-79.35702426616962,-120.0,-30.773500442504883,102.35702426616962,53.77350044250488,143.0
20,0,240,-60.82032685279846,-86.35791778564453,-30.47270393371582,83.82032685279846,53.47270393371582,109.35791778564453
20,1,182,-77.46137971144456,-120.0,-31.74325942993164,100.46137971144456,54.74325942993164,143.0
20,2,240,-58.53405164082845,-120.0,-37.61641311645508,81.53405164082845,60.61641311645508,143.0
20,3,182,-75.6920573265998,-120.0,-35.72538757324219,98.6920573265998,58.72538757324219,143.0
21,0,240,-60.64817816416423,-89.489501953125,-35.054969787597656,83.64817816416422,58.054969787597656,112.489501953125
21,1,182,-76.55059036841759,-120.0,-37.60226821899414,99.55059036841759,60.60226821899414,143.0
21,2,240,-57.88505724271138,-84.72212219238281,-31.05845832824707,80.88505724271138,54.05845832824707,107.72212219238281
21,3,182,-75.68332060090788,-120.0,-41.461246490478516,98.68332060090788,64.46124649047852,143.0
22,0,306,-60.31879745433533,-95.62625122070312,-31.888696670532227,83.31879745433534,54.88869667053223,118.62625122070312
22,1,156,-75.16911198542668,-120.0,-33.82198715209961,98.16911198542668,56.82198715209961,143.0
22,2,210,-57.45142220996675,-76.45338439941406,-37.61641311645508,80.45142220996675,60.61641311645508,99.45338439941406
22,3,182,-74.84942211947599,-120.0,-39.428009033203125,97.84942211947599,62.428009033203125,143.0
23,0,272,-59.092123578576484,-84.3923110961914,-35.65086364746094,82.09212357857649,58.65086364746094,107.3923110961914
23,1,182,-74.81774522970011,-120.0,-33.49671173095703,97.81774522970011,56.49671173095703,143.0
23,2,210,-57.32710529509045,-83.94445037841797,-34.29270553588867,80.32710529509045,57.29270553588867,106.94445037841797
23,3,182,-74.98100848774334,-120.0,-38.04324722290039,97.98100848774334,61.04324722290039,143.0
24,0,272,-59.27075794163872,-83.23214721679688,-30.925567626953125,82.27075794163872,53.925567626953125,106.23214721679688
24,1,182,-75.40956054939018,-120.0,-32.559146881103516,98.40956054939018,55.559146881103516,143.0
24,2,210,-57.23607021513439,-79.22616577148438,-33.320335388183594,80.23607021513439,56.320335388183594,102.22616577148438
24,3,182,-75.01567607921558,-120.0,-40.55434799194336,98.01567607921558,63.55434799194336,143.0
25,0,272,-59.72212428205154,-120.0,-37.30179214477539,82.72212428205154,60.30179214477539,143.0
25,1,182,-78.24280757694454,-120.0,-37.64232635498047,101.24280757694454,60.64232635498047,143.0
25,2,210,-57.44446818033854,-79.24230194091797,-32.37036895751953,80.44446818033853,55.37036895751953,102.24230194091797
25,3,182,-70.15111401316884,-120.0,-39.558841705322266,93.15111401316884,62.558841705322266,143.0
26,0,272,-60.174075056524835,-120.0,-36.985755920410156,83.17407505652483,59.985755920410156,143.0
26,1,182,-75.83301904699304,-120.0,-37.64232635498047,98.83301904699304,60.64232635498047,143.0
26,2,210,-57.85073538280669,-83.21605682373047,-37.61641311645508,80.85073538280669,60.61641311645508,106.21605682373047
26,3,182,-70.0925535264906,-120.0,-40.766292572021484,93.0925535264906,63.766292572021484,143.0
27,0,272,-60.66721074721392,-120.0,-37.80681610107422,83.66721074721391,60.80681610107422,143.0
27,1,182,-74.6655430007767,-120.0,-37.636959075927734,97.6655430007767,60.636959075927734,143.0
27,2,182,-57.24225758982229,-96.63217163085938,-37.61641311645508,80.24225758982229,60.61641311645508,119.63217163085938
27,3,210,-67.98839808872768,-120.0,-35.588863372802734,90.98839808872768,58.588863372802734,143.0
28,0,272,-60.66490251877729,-120.0,-34.99483108520508,83.6649025187773,57.99483108520508,143.0
28,1,182,-75.14706789792238,-120.0,-34.532012939453125,98.14706789792238,57.532012939453125,143.0
28,2,182,-57.382120614523416,-79.20176696777344,-37.61641311645508,80.38212061452342,60.61641311645508,102.20176696777344
28,3,210,-66.92450995672317,-120.0,-37.80488967895508,89.92450995672317,60.80488967895508,143.0
29,0,272,-60.434853315353394,-84.60418701171875,-35.09363555908203,83.4348533153534,58.09363555908203,107.60418701171875
29,1,210,-79.07050506955102,-120.0,-37.64232635498047,102.07050506955102,60.64232635498047,143.0
29,2,182,-57.73804903554392,-84.87653350830078,-37.61641311645508,80.73804903554392,60.61641311645508,107.87653350830078
29,3,182,-61.67110495514922,-120.0,-34.90871810913086,84.67110495514922,57.90871810913086,143.0
30,0,272,-60.43336197909187,-86.08283233642578,-37.80681610107422,83.43336197909187,60.80681610107422,109.08283233642578
30,1,210,-80.36103593735467,-120.0,-37.64232635498047,103.36103593735467,60.64232635498047,143.0
30,2,182,-57.30262731195806,-83.20997619628906,-35.478675842285156,80.30262731195806,58.478675842285156,106.20997619628906
30,3,182,-61.3815261715061,-85.03185272216797,-31.85207176208496,84.3815261715061,54.85207176208496,108.03185272216797
31,0,306,-60.797348084792596,-89.41134643554688,-34.29267883300781,83.79734808479259,57.29267883300781,112.41134643554688
31,1,210,-79.52561545599075,-120.0,-37.64232635498047,102.52561545599075,60.64232635498047,143.0
31,2,182,-57.13601454011687,-83.20883178710938,-37.61641311645508,80.13601454011686,60.61641311645508,106.20883178710938
31,3,156,-61.209564698048126,-88.7022476196289,-30.973936080932617,84.20956469804813,53.97393608093262,111.7022476196289
32,0,272,-59.43872150252847,-88.69157409667969,-37.80681610107422,82.43872150252847,60.80681610107422,111.69157409667969
32,1,210,-78.64237452915737,-120.0,-37.64232635498047,101.64237452915737,60.64232635498047,143.0
32,2,210,-58.88597984313965,-83.03502655029297,-37.61641311645508,81.88597984313965,60.61641311645508,106.03502655029297
32,3,156,-62.55618313031319,-120.0,-30.498573303222656,85.55618313031319,53.498573303222656,143.0
33,0,210,-58.63025797889346,-85.05917358398438,-37.80681610107422,81.63025797889347,60.80681610107422,108.05917358398438
33,1,210,-76.1538454691569,-120.0,-31.21149444580078,99.1538454691569,54.21149444580078,143.0
33,2,210,-59.14778427850632,-120.0,-37.61641311645508,82.14778427850632,60.61641311645508,143.0
33,3,210,-67.71968298412504,-120.0,-31.767555236816406,90.71968298412504,54.767555236816406,143.0
34,0,210,-60.2007753826323,-86.67292785644531,-37.80681610107422,83.2007753826323,60.80681610107422,109.67292785644531
34,1,210,-75.73142028081985,-120.0,-30.414875030517578,98.73142028081985,53.41487503051758,143.0
34,2,210,-57.60642841884068,-120.0,-32.62038040161133,80.60642841884068,55.62038040161133,143.0
34,3,210,-70.19870779854911,-120.0,-35.132232666015625,93.19870779854911,58.132232666015625,143.0
35,0,182,-60.45694879385141,-88.7115707397461,-37.80694580078125,83.45694879385141,60.80694580078125,111.7115707397461
35,1,210,-77.17692077273415,-120.0,-37.64232635498047,100.17692077273415,60.64232635498047,143.0
35,2,182,-57.525758701366385,-120.0,-32.38340759277344,80.52575870136639,55.38340759277344,143.0
35,3,272,-70.2571674935958,-120.0,-32.17679214477539,93.2571674935958,55.17679214477539,143.0
36,0,210,-61.7271662575858,-89.18515014648438,-37.83037185668945,84.7271662575858,60.83037185668945,112.18515014648438
