step,pending_transitions,pull_updates_this_step,queued_transitions,t2_b0_train_updates,train_updates_this_step
1,300,692,0,0,0
2,600,688,0,0,0
3,890,700,5,0,0
4,1175,698,10,0,0
5,1475,704,0,0,0
6,1749,722,20,0,0
7,2019,728,25,0,0
8,2214,716,89,0,0
9,2472,708,35,0,0
10,2637,688,120,0,0
11,2602,692,325,0,0
12,2621,684,275,0,0
13,2640,682,275,0,0
14,2659,688,275,0,0
15,2729,704,230,0,0
16,2707,742,312,8,8
17,2732,736,270,12,4
18,2747,738,280,16,4
19,2581,758,400,32,16
20,2576,766,235,32,0
21,2571,772,245,32,0
22,2482,794,319,40,8
23,2433,778,284,184,144
24,2469,784,244,380,196
25,2524,794,245,576,196
26,2569,800,255,780,204
27,2499,804,315,988,208
28,2483,804,255,1192,204
29,2459,808,274,1384,192
30,2525,804,210,1552,168
31,2556,816,255,1724,172
32,2546,802,300,1900,176
33,2446,788,335,2076,176
34,2416,780,316,2268,192
35,2399,778,307,2464,196
36,2419,790,275,2652,188
37,2429,796,280,2812,160
38,2461,780,258,2960,148
39,2566,768,190,3124,164
40,2618,774,243,3292,168
41,2617,772,291,3472,180
42,2602,748,305,3652,180
43,2667,752,230,3816,164
44,2605,762,347,4004,188
45,2585,778,310,4188,184
46,2480,788,385,4368,180
47,2435,780,330,4536,168
48,2485,786,245,4700,164
49,2580,792,205,4864,164
50,2655,794,210,5032,168
51,2700,814,220,5208,176
52,2690,828,270,5392,184
53,2682,828,270,5576,184
54,2669,808,280,5768,192
55,2675,816,245,5964,196
56,2674,810,270,6180,216
57,2624,810,320,6404,224
58,2462,810,407,6628,224
59,2439,810,260,6836,208
60,2350,800,325,7036,200
61,2202,798,326,7224,188
62,2050,774,333,7408,184
63,1992,768,245,7580,172
64,1867,790,322,7748,168
65,1876,794,206,7900,152
66,1881,786,222,8052,152
67,1836,818,268,8204,152
68,1889,816,174,8356,152
69,1800,818,294,8488,132
70,1838,816,178,8620,132
71,1806,818,242,8756,136
72,1742,806,228,8888,132
73,1796,796,131,8996,108
74,1783,780,184,9128,132
75,1716,748,193,9252,124
76,1611,758,229,9384,132
77,1523,770,199,9524,140
78,1451,762,174,9656,132
79,1322,828,229,9800,144
80,1193,810,182,9936,136
81,1066,776,185,10084,148
82,963,770,136,10204,120
83,845,768,162,10332,128
84,733,774,157,10464,132
85,666,760,113,10604,140
86,595,712,131,10756,152
87,564,718,100,10900,144
88,561,696,89,11024,124
89,537,700,93,11144,120
90,542,694,47,11220,76
91,543,704,58,11276,56
92,592,700,45,11312,36
93,594,700,39,11344,32
94,616,700,50,11388,44
95,630,692,60,11432,44
96,623,688,61,11484,52
97,622,672,79,11548,64
98,622,656,71,11616,68
99,572,668,91,11684,68
100,554,684,64,11736,52
101,553,678,56,11800,64
102,534,700,68,11872,72
103,516,694,64,11928,56
