step,pending_transitions,pull_updates_this_step,queued_transitions,t2_b0_train_updates,train_updates_this_step
1,120,692,0,0,0
2,240,688,0,0,0
3,356,700,2,0,0
4,470,698,4,0,0
5,590,704,0,0,0
6,700,722,8,0,0
7,808,728,10,0,0
8,886,716,36,0,0
9,990,708,14,0,0
10,1056,688,48,0,0
11,1042,692,130,0,0
12,1050,684,110,0,0
13,1058,682,110,0,0
14,1066,688,110,0,0
15,1094,704,92,0,0
16,1084,742,126,0,0
17,1094,736,108,0,0
18,1100,738,112,0,0
19,1052,758,160,0,0
20,1078,766,94,0,0
21,1100,772,98,0,0
22,1084,794,132,0,0
23,1088,778,114,0,0
24,1110,784,98,0,0
25,1132,794,98,0,0
26,1150,800,102,0,0
27,1130,804,136,0,0
28,1148,804,102,0,0
29,1140,808,126,0,0
30,1152,804,108,0,0
31,1146,816,124,0,0
32,1120,802,142,0,0
33,1078,788,156,0,0
34,1060,780,134,4,4
35,1046,778,130,12,8
36,1054,790,110,16,4
37,1042,796,128,24,8
38,1034,780,124,32,8
39,1060,768,92,36,4
40,1072,774,106,40,4
41,1066,772,122,48,8
42,1060,748,122,132,84
43,1070,752,108,296,164
44,1042,762,142,484,188
45,1034,778,124,668,184
46,992,788,154,848,180
47,974,780,132,1016,168
48,994,786,98,1180,164
49,1032,792,82,1344,164
50,1068,794,84,1512,168
51,1100,814,88,1688,176
52,1110,828,108,1872,184
53,1120,828,108,2056,184
54,1126,808,112,2248,192
55,1148,816,98,2444,196
56,1158,810,108,2660,216
57,1148,810,128,2884,224
58,1084,810,176,3108,224
59,1100,810,104,3316,208
60,1062,800,152,3524,208
61,1030,798,146,3720,196
62,1002,774,142,3908,188
63,1014,768,106,4088,180
64,974,790,152,4264,176
65,996,794,96,4424,160
66,1000,786,112,4584,160
67,988,818,126,4740,156
68,1028,816,80,4900,160
69,996,818,144,5060,160
70,1020,816,94,5216,156
71,1004,818,130,5384,168
72,992,806,126,5552,168
73,1014,796,96,5712,160
74,1012,780,118,5884,172
75,1032,748,98,6048,164
76,1014,758,132,6216,168
77,1014,770,116,6384,168
78,1036,762,96,6544,160
79,1016,828,134,6716,172
80,1036,810,98,6880,164
81,1052,776,102,7052,172
82,1082,770,90,7232,180
83,1074,768,124,7416,184
84,1048,774,140,7600,184
85,1062,760,104,7776,176
86,1036,712,140,7960,184
87,1048,718,106,8140,180
88,1024,696,138,8320,180
89,1048,700,94,8504,184
90,1076,694,92,8688,184
91,1078,704,114,8880,192
92,1052,700,140,9064,184
93,1082,700,90,9244,180
94,1052,700,144,9436,192
95,1026,692,140,9620,184
96,1038,688,106,9800,180
97,1050,672,106,9980,180
98,1060,656,108,10164,184
99,1034,668,140,10348,184
100,1050,684,102,10520,172
101,1042,678,122,10700,180
102,1036,700,122,10880,180
103,1016,694,134,11052,172
104,978,720,150,11228,176
105,996,724,100,11396,168
106,992,736,118,11568,172
107,994,740,114,11732,164
108,980,722,128,11892,160
109,1004,750,94,12048,156
110,1010,746,110,12204,156
111,1050,732,80,12364,160
112,1068,728,100,12532,168
113,1064,728,120,12712,180
114,1042,770,136,12896,184
115,1020,740,136,13072,176
116,1054,746,86,13244,172
117,1048,750,122,13424,180
118,1022,748,140,13608,184
119,1036,750,104,13784,176
120,1066,752,90,13964,180
121,1042,784,138,14144,180
122,1040,748,118,14316,172
123,1074,750,86,14488,172
124,1066,758,124,14672,184
125,1074,792,110,14860,188
126,1048,778,140,15044,184
127,1060,774,106,15224,180
128,1050,806,126,15412,188
129,1042,818,124,15596,184
130,1052,822,106,15776,180
131,1044,816,124,15960,184
132,1018,834,140,16144,184
133,1012,818,120,16320,176
134,974,786,150,16492,172
135,978,772,112,16652,160
136,1016,756,82,16816,164
137,992,748,136,16988,172
138,954,736,148,17152,164
139,926,736,140,17304,152
140,956,740,88,17448,144
141,968,770,104,17592,144
142,960,760,122,17740,148
143,984,758,92,17896,156
144,984,762,114,18060,164
145,1008,768,94,18216,156
146,998,780,124,18368,152
147,988,786,124,18520,152
148,970,776,130,18680,160
149,992,760,96,18840,160
150,978,748,128,19000,160
151,1014,744,82,19160,160
152,1034,744,98,19324,164
153,1052,742,100,19492,168
154,1084,740,88,19668,176
155,1044,774,152,19844,176
156,1024,790,134,20020,176
157,1004,810,134,20192,172
158,1020,800,102,20364,172
159,1036,814,102,20536,172
160,1012,828,138,20716,180
161,992,820,134,20888,172
162,1012,834,98,21052,164
163,996,798,130,21216,164
164,1004,812,108,21368,152
165,1008,832,112,21528,160
166,1046,838,82,21692,164
167,1060,824,104,21868,176
168,1038,810,136,22044,176
169,1038,796,116,22212,168
170,1036,776,118,22384,172
171,1032,782,120,22560,176
172,1030,794,118,22732,172
173,1044,776,104,22908,176
174,1056,778,106,23088,180
175,1012,752,156,23272,184
176,1048,754,84,23440,168
177,1028,750,134,23612,172
178,1008,752,134,23784,172
179,1008,746,116,23952,168
180,972,736,148,24120,168
181,1012,742,80,24280,160
182,1030,738,100,24448,168
183,1048,736,100,24616,168
184,1048,706,116,24784,168
185,1008,726,152,24960,176
186,996,736,126,25124,164
187,1016,734,98,25288,164
188,1034,734,100,25456,168
189,1032,720,118,25628,172
190,1026,734,122,25808,180
191,1042,738,102,25980,172
192,1022,750,134,26152,172
193,988,758,146,26316,164
194,994,764,110,26472,156
195,1032,764,82,26636,164
196,974,784,168,26812,176
197,996,768,96,26972,160
198,1000,776,112,27132,160
199,1004,770,112,27292,160
200,1044,774,80,27452,160
201,1046,776,114,27616,164
202,1010,754,148,27784,168
203,1010,736,116,27952,168
204,992,752,132,28120,168
205,1016,748,94,28276,156
206,1032,762,102,28448,172
207,1066,768,86,28620,172
208,1006,804,170,28804,184
209,1006,816,116,28972,168
210,970,800,146,29136,164
211,960,794,124,29288,152
212,948,802,126,29444,156
213,974,788,92,29596,152
214,990,786,100,29760,164
215,1012,778,96,29920,160
216,1034,792,96,30080,160
217,1040,814,110,30236,156
218,1008,800,144,30404,168
219,976,808,144,30564,160
220,998,798,96,30724,160
221,1036,792,82,30888,164
222,1024,786,126,31068,180
223,1040,756,102,31240,172
224,1054,752,104,31416,176
225,1014,770,152,31592,176
226,1034,782,98,31756,164
227,1034,776,116,31924,168
228,1014,780,134,32096,172
229,992,782,136,32272,176
230,992,784,116,32440,168
231,978,798,128,32600,160
232,1000,786,96,32760,160
233,986,804,128,32920,160
234,1012,806,92,33072,152
235,1014,818,114,33236,164
236,1036,812,96,33396,160
237,1074,812,82,33560,164
238,1106,810,88,33736,176
239,1060,822,158,33924,188
240,1072,818,106,34104,180
241,1026,812,158,34292,188
242,1022,788,120,34468,176
243,1052,772,90,34648,180
244,1008,744,156,34832,184
245,1004,744,120,35008,176
246,1020,742,102,35180,172
247,1050,758,88,35352,172
248,996,754,164,35520,168
249,1034,752,82,35684,164
250,1016,758,132,35852,168
251,1032,770,102,36024,172
252,992,780,152,36200,176
253,996,766,112,36360,160
254,1016,756,98,36524,164
255,1034,756,100,36692,168
256,1016,768,132,36860,168
257,1056,770,80,37020,160
258,1068,778,106,37200,180
259,1100,776,88,37376,176
260,1090,794,126,37564,188
261,1046,792,156,37748,184
262,1074,778,92,37932,184
263,1062,818,128,38124,192
264,1070,806,110,38312,188
