pulls_per_receiver_step,token_window_steps,seed,method,status,completion_reason,completed_step,requested_steps,final_rmse_db,original_campaign_id,original_run_suffix
1,1,1,learned_policy,complete,completed,359,359,32.60757269920014,results_1az_global_tiny_policy_rate_sweep_v1,k1_s1/policy/seed_1
1,1,2,learned_policy,complete,completed,359,359,32.59278313722244,results_1az_global_tiny_policy_rate_sweep_v1,k1_s1/policy/seed_2
1,1,1,uninformed_selection,complete,completed,359,359,34.39869476285575,results_1az_global_tiny_policy_rate_sweep_v1,k1_s1/random/seed_1
1,1,2,uninformed_selection,complete,completed,359,359,32.82142501540975,results_1az_global_tiny_policy_rate_sweep_v1,k1_s1/random/seed_2
1,2,1,learned_policy,complete,completed,359,359,32.09013675886248,results_1az_global_tiny_policy_rate_sweep_v1,k1_s2/policy/seed_1
1,2,2,learned_policy,complete,completed,359,359,31.874571331048628,results_1az_global_tiny_policy_rate_sweep_v1,k1_s2/policy/seed_2
1,2,1,uninformed_selection,complete,completed,359,359,33.471843792606535,results_1az_global_tiny_policy_rate_sweep_v1,k1_s2/random/seed_1
1,2,2,uninformed_selection,complete,completed,359,359,31.26339522405162,results_1az_global_tiny_policy_rate_sweep_v1,k1_s2/random/seed_2
1,5,1,learned_policy,complete,completed,359,359,31.822396062179564,results_1az_global_tiny_policy_rate_sweep_v1,k1_s5/policy/seed_1
1,5,2,learned_policy,complete,completed,359,359,31.576997832453294,results_1az_global_tiny_policy_rate_sweep_v1,k1_s5/policy/seed_2
1,5,1,uninformed_selection,complete,completed,359,359,32.429647774220605,results_1az_global_tiny_policy_rate_sweep_v1,k1_s5/random/seed_1
1,5,2,uninformed_selection,complete,completed,359,359,29.982449047034326,results_1az_global_tiny_policy_rate_sweep_v1,k1_s5/random/seed_2
1,10,1,learned_policy,complete,completed,359,359,31.42270565355761,results_1az_global_tiny_policy_rate_sweep_v1,k1_s10/policy/seed_1
1,10,2,learned_policy,complete,completed,359,359,30.99644580618369,results_1az_global_tiny_policy_rate_sweep_v1,k1_s10/policy/seed_2
1,10,1,uninformed_selection,complete,completed,359,359,32.17848434559336,results_1az_global_tiny_policy_rate_sweep_v1,k1_s10/random/seed_1
1,10,2,uninformed_selection,complete,completed,359,359,29.488961781108994,results_1az_global_tiny_policy_rate_sweep_v1,k1_s10/random/seed_2
1,25,1,learned_policy,complete,completed,359,359,30.32059513629623,results_1az_global_tiny_policy_rate_sweep_v1,k1_s25/policy/seed_1
1,25,2,learned_policy,complete,completed,359,359,29.796824059151433,results_1az_global_tiny_policy_rate_sweep_v1,k1_s25/policy/seed_2
1,25,1,uninformed_selection,complete,completed,359,359,30.377865990372506,results_1az_global_tiny_policy_rate_sweep_v1,k1_s25/random/seed_1
1,25,2,uninformed_selection,complete,completed,359,359,28.38494446992563,results_1az_global_tiny_policy_rate_sweep_v1,k1_s25/random/seed_2
1,50,1,learned_policy,complete,completed,359,359,30.28659398395164,results_1az_global_tiny_policy_rate_sweep_v1,k1_s50/policy/seed_1
1,50,2,learned_policy,complete,completed,359,359,28.63257649608074,results_1az_global_tiny_policy_rate_sweep_v1,k1_s50/policy/seed_2
1,50,1,uninformed_selection,complete,completed,359,359,30.184006549250682,results_1az_global_tiny_policy_rate_sweep_v1,k1_s50/random/seed_1
1,50,2,uninformed_selection,complete,completed,359,359,27.105545163028317,results_1az_global_tiny_policy_rate_sweep_v1,k1_s50/random/seed_2
2,1,1,learned_policy,complete,completed,359,359,34.70132807632298,results_1az_global_tiny_policy_rate_sweep_v1,k2_s1/policy/seed_1
2,1,2,learned_policy,complete,completed,359,359,33.79755412908073,results_1az_global_tiny_policy_rate_sweep_v1,k2_s1/policy/seed_2
2,1,1,uninformed_selection,complete,completed,359,359,36.1556567861783,results_1az_global_tiny_policy_rate_sweep_v1,k2_s1/random/seed_1
2,1,2,uninformed_selection,complete,completed,359,359,34.0918917979036,results_1az_global_tiny_policy_rate_sweep_v1,k2_s1/random/seed_2
4,1,1,learned_policy,incomplete,max_wall_seconds,137,359,,results_1az_global_tiny_policy_rate_sweep_v1,k4_s1/policy/seed_1
4,1,2,learned_policy,incomplete,max_wall_seconds,278,359,,results_1az_global_tiny_policy_rate_sweep_v1,k4_s1/policy/seed_2
4,1,1,uninformed_selection,complete,completed,359,359,36.88672170926062,results_1az_global_tiny_policy_rate_sweep_v1,k4_s1/random/seed_1
4,1,2,uninformed_selection,complete,completed,359,359,35.13722611290304,results_1az_global_tiny_policy_rate_sweep_v1,k4_s1/random/seed_2
