step,feasible_contact_pairs,feasible_contact_decisions,t2_b0_events,t2_b0_pull_events,t2_b0_valid_pull_events,t2_b0_comm_mb,t2_b0_comm_cumulative_mb,t2_b0_metadata_bytes,t2_b0_model_bytes,t2_b0_policy_bytes,t2_b0_training_sample_bytes
1,2392,4784,95,95,93,58.918048,58.918048,0,4463480,54441920,0
2,2445,4890,39,39,39,57.76338,116.681428,0,1832376,55648200,277500
3,2469,4938,43,43,42,58.702864,175.384292,0,2020312,56194440,482400
4,2401,4802,40,40,40,57.17506,232.559352,0,1879360,54646760,643500
5,2489,4978,26,26,26,58.65566,291.215012,0,1221584,56649640,780900
6,2714,5428,29,29,29,63.81892,355.033932,0,1362536,61770640,681800
7,2852,5704,41,41,40,67.558204,422.592136,0,1926344,64911520,714900
8,2837,5674,36,36,35,66.875104,489.46724,0,1691424,64570120,608800
9,2809,5618,45,45,45,66.82614,556.29338,0,2114280,63932840,772900
10,2728,5456,34,34,34,64.30966,620.60304,0,1597456,62089280,618300
11,2658,5316,39,39,39,62.93746,683.5405,0,1832376,60496080,603700
12,2645,5290,35,35,35,62.4701,746.0106,0,1644440,60200200,620700
13,2570,5140,50,50,50,61.6773,807.6879,0,2349200,58493200,828100
14,2448,4896,34,34,34,58.09376,865.78166,0,1597456,55716480,775200
15,2515,5030,33,33,33,59.83336,925.61502,0,1550472,57241400,1037000
16,2476,4952,37,37,37,59.0577,984.67272,0,1738408,56353760,960500
17,2669,5338,44,44,44,63.68192,1048.35464,0,2067296,60746440,862200
18,2887,5774,41,41,41,68.64164,1116.99628,0,1926344,65708120,1001600
19,2923,5846,46,46,46,69.4542,1186.45048,0,2161264,66527480,759200
20,2937,5874,40,40,40,69.69752,1256.148,0,1879360,66846120,966600
21,2834,5668,47,47,46,67.448444,1323.596444,0,2208248,64501840,732100
22,2758,5516,35,35,35,65.00228,1388.598724,0,1644440,62772080,581000
23,2819,5638,37,37,37,66.77548,1455.374204,0,1738408,64160440,871600
24,3034,6068,40,40,40,71.79594,1527.170144,0,1879360,69053840,857300
25,3114,6228,36,36,35,73.298024,1600.468168,0,1691424,70874640,727200
26,3155,6310,15,15,15,73.3397,1673.807868,164200,704760,71807800,660900
27,3435,6870,33,33,33,80.59774,1754.405608,204280,1550472,78180600,657900
28,3277,6554,26,26,26,76.78354,1831.189148,219600,1221584,74584520,754300
29,3469,6938,35,35,35,81.47074,1912.659888,254200,1644440,78954440,612900
30,3363,6726,48,48,48,79.69428,1992.354168,251840,2255232,76541880,638800
31,3345,6690,39,39,39,79.00742,2071.361588,248840,1832376,76132200,788700
32,3188,6376,57,57,57,76.31504,2147.676628,236920,2678088,72558880,833400
33,3061,6122,34,34,34,72.2691,2219.945728,215560,1597456,69668360,783100
34,3182,6364,38,38,38,74.96342,2294.909148,226040,1785392,72422320,524500
35,3241,6482,41,41,41,76.58402,2371.493168,233640,1926344,73765160,653300
36,3437,6874,46,46,45,81.384484,2452.877652,260080,2161264,78226120,730900
37,3581,7162,49,49,49,84.9999,2537.877552,270960,2302216,81503560,916500
38,3496,6992,41,41,41,82.33648,2620.214032,262600,1926344,79568960,573000
39,3434,6868,42,42,42,81.04306,2701.257092,249680,1973328,78157840,656500
40,3331,6662,59,59,59,79.3498,2780.606892,244560,2772056,75813560,511600
41,3788,7576,56,56,56,90.24174,2870.848632,271440,2631104,86214880,1116700
42,3805,7610,47,47,47,89.79026,2960.638892,265920,2208248,86601800,707900
43,3852,7704,41,41,39,90.445388,3051.08428,269920,1926344,87671520,572300
44,4061,8122,41,41,41,95.25558,3146.33986,280400,1926344,92428360,614900
45,4226,8452,37,37,37,98.86616,3245.20602,292760,1738408,96183760,646200
46,4392,8784,64,64,64,103.94924,3349.15526,319640,3006976,99961920,652000
47,4462,8924,52,52,52,105.27632,3454.43158,319760,2443168,101555120,951200
48,4511,9022,37,37,37,105.80506,3560.23664,329560,1738408,102670360,1061700
49,4231,8462,59,59,59,100.0148,3660.25144,310560,2772056,96297560,626600
50,4357,8714,48,48,48,102.4338,3762.68524,320920,2255232,99165320,685800
51,4481,8962,55,55,55,105.28624,3867.97148,331280,2584120,101987560,375800
52,4400,8800,39,39,39,102.60888,3970.58036,330400,1832376,100144000,296800
53,4341,8682,40,40,39,101.301644,4071.882004,324720,1879360,98801160,291100
54,4185,8370,39,39,39,97.7773,4169.659304,306320,1832376,95250600,382700
55,4303,8606,41,41,41,100.81544,4270.474744,327240,1926344,97936280,620000
56,4436,8872,55,55,55,104.38478,4374.859524,329320,2584120,100963360,500500
57,4746,9492,46,46,46,111.2853,4486.144824,353520,2161264,108018960,745300
58,5132,10264,47,47,47,120.21772,4606.362544,388360,2208248,116804320,810400
59,5384,10768,50,50,50,125.93308,4732.295624,400040,2349200,122539840,637200
60,5477,10954,47,47,47,127.7415,4860.037124,417040,2208248,124656520,453300
61,5747,11494,59,59,59,134.40396,4994.441084,433360,2772056,130801720,388800
62,5591,11182,41,41,41,129.96492,5124.406004,408040,1926344,127251160,373800
63,5443,10886,45,45,45,126.9025,5251.308504,410920,2114280,123882680,488500
64,5218,10436,57,57,57,122.48496,5373.793464,388240,2678088,118761680,649200
65,4486,8972,62,62,62,105.82024,5479.613704,332640,2913008,102101360,464800
66,3998,7996,72,72,72,95.33978,5574.953484,288560,3382848,90994480,664100
67,3965,7930,46,46,46,93.26846,5668.221944,277440,2161264,90243400,580100
68,3623,7246,47,47,47,85.37254,5753.594484,258520,2208248,82459480,439900
69,3533,7066,35,35,35,82.62912,5836.223604,248040,1644440,80411080,320800
70,3644,7288,32,32,32,85.03428,5921.257884,260800,1503488,82937440,328200
71,3756,7512,52,52,52,88.47694,6009.734824,271240,2443168,85486560,268900
72,3767,7534,40,40,39,88.246604,6097.981428,274920,1879360,85736920,350100
73,3793,7586,40,40,40,88.74574,6186.727168,273960,1879360,86328680,258300
