step,examples,mean_target_gain,mean_online_prediction,mean_absolute_error,root_mean_squared_error,target_prediction_pearson,cumulative_examples
1,93,0.003889995,0.119174425,0.115284430,0.115556452,-0.081173269,93
2,39,0.125689306,0.104095987,0.142434511,0.231878961,0.037892537,132
3,42,0.124281326,0.059685784,0.110305429,0.252178062,0.361492212,174
4,40,0.141681245,0.029294396,0.133921928,0.228566594,0.372859264,214
5,26,0.263751561,0.034458659,0.293453385,0.492510324,0.149481429,240
6,29,0.425499151,0.040531533,0.424607455,0.610350120,0.464130201,269
7,40,0.453830712,0.027193606,0.449797425,0.684112977,0.218092236,309
8,35,0.507488174,0.036364701,0.489362591,0.852034661,0.256077668,344
9,45,0.778845774,0.061873589,0.739015308,1.240849992,0.339194020,389
10,34,0.610776251,0.073436687,0.559564804,0.825826843,0.243350597,423
11,39,0.745630399,0.099615816,0.662811299,1.105101917,0.283598909,462
12,35,0.719961086,0.126472553,0.613040947,0.887746704,0.120926119,497
13,50,0.993973588,0.155137426,0.878223584,1.221532809,0.203944448,547
14,34,1.076678642,0.168461894,0.958747548,1.340162491,-0.291615813,581
15,33,0.759833044,0.184381560,0.645784350,1.124568478,-0.032635342,614
16,37,1.126039015,0.211014500,0.983447558,1.788164817,0.074021625,651
17,44,1.274634610,0.229322699,1.088400843,1.518357369,-0.155075468,695
18,41,0.948746513,0.240443404,0.884608575,1.740363217,-0.367078581,736
19,46,1.501382453,0.259741226,1.334322395,1.969221091,-0.232824375,782
20,40,0.775612964,0.273974240,0.681906506,1.155600468,-0.292186496,822
21,46,0.912930962,0.326081021,0.832822284,2.156384234,-0.472210304,868
22,35,0.765938169,0.337929793,0.693475699,1.174539841,-0.053224319,903
23,37,0.893066871,0.321393427,0.701353821,1.234131749,-0.173464854,940
24,40,1.115702776,0.305655824,0.968009433,2.315526446,-0.325079480,980
25,35,0.768925938,0.352168929,0.697261790,1.081220113,-0.399589176,1015
26,15,1.477500072,0.356589759,1.263936413,2.328497431,-0.408047197,1030
27,33,1.022684628,0.394145540,0.750850031,1.232248852,0.023304398,1063
28,26,0.926059542,0.449221320,0.790408832,1.682110784,-0.585137908,1089
29,35,0.668244313,0.413076855,0.587126634,1.405336793,-0.078455334,1124
30,48,0.954720677,0.425411146,0.830548115,1.567476585,-0.375427057,1172
31,39,1.258317297,0.384479698,1.176192758,2.602576915,-0.424754454,1211
32,57,1.295874810,0.400823772,1.136306747,2.403756759,-0.296279531,1268
33,34,1.078705352,0.437998940,1.040761812,2.361277398,-0.430601144,1302
34,38,1.036145837,0.399437270,0.954218130,2.334940392,-0.366785122,1340
35,41,0.916395880,0.429964023,0.911415130,1.850685529,-0.440869516,1381
36,45,0.664317580,0.396033171,0.593334187,0.759662813,-0.170982233,1426
37,49,0.649112781,0.474977285,0.590348109,1.136149240,-0.344761849,1475
38,41,1.262195138,0.455869453,1.222995204,2.273846728,-0.549628877,1516
39,42,0.671654161,0.477394887,0.545943940,0.750020431,-0.499299677,1558
40,59,0.618799960,0.481310074,0.638283279,0.865203267,-0.450842897,1617
41,56,1.110898078,0.419171379,1.046151050,1.587428084,-0.593489661,1673
42,47,1.357499616,0.462606238,1.250018261,2.858262129,-0.550215398,1720
43,39,0.779888083,0.458317589,0.648200950,1.090594819,-0.445803044,1759
44,41,0.822333148,0.450524694,0.747073928,1.828777878,-0.305837653,1800
45,37,0.792109199,0.494134449,0.687879013,1.310090348,-0.410054720,1837
46,64,1.180041539,0.460596862,0.956647796,2.011785681,-0.406884954,1901
47,52,0.866018396,0.515856218,0.725742628,1.163000525,-0.277584620,1953
48,37,1.635585496,0.482330497,1.231214020,2.307217352,-0.535024132,1990
49,59,1.828047167,0.473698501,1.580495426,3.464347734,-0.516248696,2049
50,48,1.287615636,0.423944002,1.091270288,2.308185858,-0.354888448,2097
51,55,1.163938696,0.453044516,1.061433912,2.152171209,-0.468438464,2152
52,39,1.128622846,0.521866655,1.108547589,1.982939086,-0.231604902,2191
53,39,0.956363018,0.485454053,0.773437371,1.350130284,-0.120663199,2230
54,39,1.015281260,0.473763360,0.752305987,1.654207300,-0.206018319,2269
55,41,0.705251134,0.533178467,0.600828374,0.925967466,-0.194996120,2310
56,55,1.143741514,0.527280536,1.000475296,2.362432122,-0.300672001,2365
57,46,1.037648200,0.527838674,0.718540655,1.062517392,0.044147377,2411
58,47,1.268670225,0.504367780,1.064752194,2.313638816,-0.495258870,2458
59,50,1.646391527,0.476768085,1.573935376,3.433148065,-0.540032735,2508
60,47,1.381233177,0.525016206,1.203877633,2.427070271,-0.522062930,2555
61,59,1.604124171,0.545476854,1.308709306,2.605177244,-0.462944699,2614
62,41,0.888955087,0.551274659,0.714456650,1.090975866,-0.167026240,2655
63,45,1.317031375,0.548813108,0.947716164,1.432492073,0.199078042,2700
64,57,1.574611155,0.520711922,1.283332743,2.116015120,-0.387385585,2757
65,62,1.235831940,0.553889019,0.950940679,1.667019704,-0.175821765,2819
66,72,1.283527294,0.554514369,1.023112750,2.623600259,-0.402991298,2891
67,46,1.228071913,0.552096341,0.987688277,1.879185079,-0.236701690,2937
68,47,1.499197834,0.534244276,1.360829489,2.948165976,-0.521682411,2984
69,35,1.743107196,0.515892018,1.488267581,3.664793752,-0.462996396,3019
70,32,1.379574171,0.538240240,0.993431388,1.631050068,-0.090552743,3051
71,52,1.127195958,0.536726474,0.919547948,1.563658431,-0.325716198,3103
72,39,1.136133562,0.581957638,0.844100118,1.947904440,-0.284614747,3142
73,40,1.034532952,0.558305254,0.797627288,1.117247123,0.181034223,3182
74,42,0.690339349,0.600993516,0.757389266,1.659436371,-0.412229248,3224
75,37,1.010133210,0.545291399,0.761540305,1.051424477,-0.318018333,3261
76,62,0.927104693,0.593695720,0.633922103,0.914447337,-0.240115744,3323
77,43,1.595887421,0.574060015,1.300563240,2.904133114,-0.420027376,3366
78,46,1.423438193,0.540536040,1.190670908,2.208481753,0.001230265,3412
79,43,1.021423143,0.553627370,0.864020876,1.298545955,-0.151105309,3455
80,41,2.245030348,0.593208366,1.915879545,3.224797712,-0.389087056,3496
81,49,1.520082117,0.570807576,1.201739136,1.696981790,-0.339521144,3545
82,40,1.936533199,0.529061447,1.566923346,2.480603901,-0.304633272,3585
83,47,1.604540346,0.571682233,1.358814021,3.001914451,-0.479322585,3632
84,49,1.691053223,0.552074873,1.415266750,3.062512071,-0.356916390,3681
85,38,1.028949211,0.579493813,0.708135830,1.049727907,0.025647960,3719
86,52,0.964438533,0.575528425,0.765367595,1.382765506,-0.362873004,3771
87,38,1.359436110,0.532685839,1.124658364,1.917862881,-0.309364469,3809
88,49,1.616804359,0.487169217,1.424409383,2.540640927,-0.281366730,3858
89,36,1.915721885,0.503208250,1.753912267,3.615650526,-0.455257001,3894
90,33,0.864769767,0.557797221,0.630268814,0.970811511,0.415729347,3927
91,32,0.775139984,0.597167966,0.627600016,0.857742335,-0.141386514,3959
92,31,0.920759409,0.564905859,0.720034504,1.424426801,-0.394377502,3990
93,42,1.014032970,0.516031712,1.034916258,1.971723120,-0.197261207,4032
94,34,1.085873137,0.554252981,0.924848247,1.628983085,-0.241153034,4066
95,31,1.554621524,0.624754572,1.339949749,2.638951951,-0.406503519,4097
96,42,1.272844387,0.541850053,0.977349137,1.730317461,-0.264930411,4139
97,46,1.264300163,0.560880374,0.979238236,1.393639795,-0.187281829,4185
98,53,1.446092479,0.576518811,1.266294657,2.804234701,-0.352412025,4238
99,40,1.889781080,0.510006490,1.736840272,3.347726612,-0.553247257,4278
100,28,0.960926217,0.419829921,1.003139380,2.278192194,-0.243547131,4306
101,51,1.598141488,0.552427440,1.446388031,2.241697316,-0.418668374,4357
102,25,1.064227195,0.508384558,0.914631819,1.875786898,-0.218643568,4382
103,40,0.669419456,0.573155321,0.673559112,0.859604283,-0.017896553,4422
104,46,0.972886886,0.605054001,0.799385209,1.774193799,-0.258028009,4468
105,44,0.870860680,0.572329082,0.780845119,1.126172377,-0.349697338,4512
106,39,1.019286222,0.598559221,0.843158823,1.802250207,-0.331328704,4551
107,35,1.479494659,0.556576066,1.280264138,2.570992795,-0.455657842,4586
108,38,1.086706022,0.552256267,0.783003366,1.065305765,0.049243761,4624
109,31,1.440091547,0.510621008,1.209043617,2.265871165,-0.322595525,4655
110,25,0.837885541,0.548461912,0.812725214,2.191361834,-0.406903412,4680
111,32,1.393807592,0.644990453,1.282239251,2.222595220,-0.095738940,4712
112,34,0.855618417,0.658211970,0.599926782,0.781227847,0.007834052,4746
113,44,1.178260318,0.545546141,0.927207642,2.092485310,-0.115671619,4790
114,45,1.454922102,0.460868656,1.312211612,2.542252780,-0.260891743,4835
115,38,1.618121719,0.467220658,1.439961471,2.611938889,-0.447559699,4873
116,39,2.469230285,0.495606988,2.336799343,4.138438287,-0.502008786,4912
117,32,1.934752851,0.456281870,1.796040354,3.019973235,-0.435281542,4944
118,38,1.850205317,0.555979415,1.659307381,3.141211535,-0.500939368,4982
119,36,1.997853474,0.494986857,1.747873380,3.279718910,-0.438551459,5018
120,35,1.090422488,0.509106924,0.835537569,1.450027443,-0.318500203,5053
121,34,1.911273260,0.550035721,1.688552802,3.675864276,-0.399462874,5087
122,30,2.169317175,0.447877047,1.965274951,4.019042477,-0.366260207,5117
123,43,1.800205832,0.571947430,1.453108571,2.909644346,-0.358717683,5160
124,36,2.430008844,0.541334759,2.036973131,3.485529717,-0.317297923,5196
125,29,1.493010534,0.530904056,1.041372566,1.405123597,-0.140360746,5225
126,26,1.253488086,0.548901859,0.984443320,1.496577606,-0.069192361,5251
127,35,2.000002830,0.558564080,1.720744729,3.102251657,-0.508096156,5286
128,37,1.469356783,0.578517220,1.240433828,1.807750575,0.077061694,5323
129,34,1.515775386,0.558675938,1.158046863,1.806113839,-0.112806371,5357
130,35,1.299612644,0.571414692,1.064392130,1.438849865,-0.079811618,5392
131,24,1.322250874,0.483170853,0.999522409,1.412541548,0.025469839,5416
132,41,2.960245011,0.445598242,2.692418330,4.375006032,-0.276070411,5457
133,43,1.923616279,0.540351556,1.706973777,3.770816665,-0.396300509,5500
134,32,2.431149117,0.496757914,2.308195261,4.126495632,-0.480253120,5532
135,33,1.625080683,0.531315116,1.459550251,2.597074780,-0.262251413,5565
136,26,2.167459713,0.566603622,1.788367950,3.190346604,-0.499858420,5591
137,37,2.106094049,0.428287639,1.909413142,3.527614760,-0.351673508,5628
138,39,2.874980446,0.542819872,2.579909036,4.295885209,-0.390338990,5667
139,33,1.637750423,0.496387287,1.404024466,2.400597513,-0.088370104,5700
140,39,1.568223551,0.551535935,1.320299245,2.161241138,-0.192656854,5739
141,31,1.516131890,0.610367605,1.072142050,1.561595649,0.056904832,5770
142,33,1.702836285,0.484387984,1.317080495,2.198054128,-0.334507868,5803
143,40,1.720631069,0.576409489,1.392974458,2.176093767,-0.241685721,5843
144,38,2.848306926,0.561401266,2.484313323,4.212456642,-0.586316322,5881
145,44,1.751085482,0.504801049,1.456714193,2.742519854,-0.442964132,5925
146,41,2.660148861,0.607180078,2.221816904,3.970241515,-0.420782365,5966
147,43,1.797177907,0.528489858,1.437297481,2.640041012,-0.441685057,6009
148,39,2.423617716,0.508750020,2.049866745,4.059422427,-0.321819113,6048
149,37,1.803482429,0.579780910,1.623505808,3.335974407,-0.499496611,6085
150,40,2.779223393,0.483621170,2.619656869,4.804628163,-0.582311340,6125
151,33,1.411534625,0.580377581,1.181776223,1.794481316,-0.151391302,6158
152,44,2.153312785,0.502165578,1.972584320,3.878746857,-0.419695897,6202
153,45,1.391530775,0.551062966,1.037559739,1.777315150,-0.134608935,6247
154,41,1.552678762,0.588151461,1.217250284,2.064236845,-0.007006009,6288
155,46,1.732411508,0.536662867,1.314295071,1.829040252,-0.136958549,6334
156,55,1.510023957,0.565634924,1.088109487,1.897047518,-0.135892811,6389
157,44,1.132406917,0.577389864,0.849034843,1.744583146,-0.278110049,6433
158,37,1.127927662,0.625540620,0.844099855,1.776138980,-0.287934512,6470
159,41,1.268701047,0.626502552,0.987759225,1.521360080,-0.133311774,6511
160,43,1.057414072,0.677090970,0.779623524,1.437286225,-0.093437166,6554
161,51,1.163938054,0.665969460,0.916335012,1.552142876,-0.124007936,6605
162,62,1.106916280,0.646760980,0.816882352,1.212059234,-0.045777719,6667
163,46,1.762297790,0.588504571,1.375449958,2.906248701,-0.316231510,6713
164,50,2.172773663,0.548097545,1.782714765,3.261663348,-0.320666278,6763
165,42,1.606609853,0.622659947,1.462320480,2.713357363,-0.285454205,6805
166,46,2.514790148,0.555381275,2.438251912,4.352493008,-0.626190089,6851
167,48,1.684862917,0.572462635,1.418170476,3.102878697,-0.291976510,6899
168,49,1.705567230,0.562524947,1.574163463,2.475936448,-0.368769862,6948
169,33,1.101637294,0.566272666,0.844872920,1.850080836,-0.182152815,6981
170,51,1.790233945,0.596169366,1.640975520,2.577325085,-0.348441549,7032
171,38,1.657177215,0.574683596,1.373214235,2.037468471,-0.434351987,7070
172,53,1.671397025,0.601600963,1.345049777,2.576115168,-0.309829259,7123
173,56,1.535797563,0.624661387,1.207040245,1.723832116,-0.012258855,7179
174,48,1.379016207,0.609836828,1.024493434,1.578837924,-0.250246088,7227
175,53,1.201108297,0.640371457,0.844586868,1.191539533,-0.152276194,7280
176,58,1.954040179,0.596887823,1.739921794,3.510540583,-0.486786814,7338
177,48,2.198215458,0.657809220,1.884969699,3.920286586,-0.394734697,7386
178,56,2.395656932,0.643087978,2.129386301,4.242596944,-0.434900763,7442
179,45,1.730644103,0.619517842,1.373526801,2.550115925,-0.184202333,7487
180,60,1.591339854,0.641294765,1.173758351,2.238828469,-0.341888104,7547
181,63,1.505627312,0.663085447,1.151502845,2.314147419,-0.260394880,7610
182,56,1.303975525,0.615548759,0.982067833,1.522810878,-0.342652955,7666
183,50,1.150615576,0.621965813,1.079298350,1.861371084,-0.439221579,7716
184,39,1.174792904,0.650380109,1.014083322,2.288221784,-0.443659499,7755
185,47,1.141429786,0.648314838,1.143131219,2.415448026,-0.510962450,7802
186,41,0.987061557,0.589915823,1.252226598,2.327100553,-0.531241546,7843
187,41,1.222044660,0.676050918,1.129339054,1.968495461,-0.226239979,7884
188,46,1.098179156,0.611754332,0.873027710,1.276778366,0.017632244,7930
189,37,2.039974220,0.600376448,1.871271060,3.555989167,-0.531553930,7967
190,57,2.286847898,0.628787350,1.946490871,3.784066822,-0.557485930,8024
191,49,1.609944552,0.621060213,1.207129140,2.113927697,-0.258366073,8073
192,46,1.984757896,0.583022801,1.579529201,3.141190011,-0.412680971,8119
193,64,2.539612864,0.633363717,2.220569442,4.398912792,-0.408474465,8183
194,43,1.866883081,0.654184892,1.420298935,2.440965508,-0.105945171,8226
195,55,1.697317933,0.669510043,1.354354978,2.114663496,-0.390602631,8281
196,45,2.379569445,0.627686491,1.984466062,3.566534434,-0.420988130,8326
197,53,2.424154027,0.575390033,2.011768989,3.763303200,-0.465642667,8379
198,57,1.709260331,0.636991949,1.418343332,2.486028500,-0.543569312,8436
199,41,1.965437465,0.561828498,1.802516925,3.294446601,-0.447663602,8477
200,62,1.677366905,0.628908471,1.603965273,2.877911666,-0.556420436,8539
201,43,1.175277030,0.690866782,0.993321042,1.484450169,0.001710693,8582
202,46,1.909187590,0.560882768,1.643793892,2.684534029,-0.317381518,8628
203,50,1.554164012,0.630531613,1.289660835,2.233798153,-0.301951483,8678
204,38,2.585331460,0.524560835,2.308343416,3.564913058,-0.262160191,8716
205,52,2.101501130,0.588503292,1.836397350,3.151358903,-0.251137471,8768
206,35,2.221731328,0.557629011,1.784119913,2.889973493,-0.353170372,8803
207,43,2.047712359,0.654614461,1.741206112,3.616047512,-0.250063122,8846
208,45,1.773624722,0.667828734,1.372272936,2.119221725,-0.521532313,8891
209,38,1.983715105,0.651604409,1.728844834,3.329718700,-0.463350063,8929
210,66,1.287075204,0.660348496,1.002936748,1.485302854,-0.204006024,8995
211,47,1.652777149,0.629182701,1.375314272,2.594615665,-0.392507113,9042
212,47,1.999768201,0.644000772,1.995451352,3.488428151,-0.616488567,9089
213,56,1.811257367,0.661652143,1.539843095,2.945647804,-0.415768591,9145
214,42,1.621461442,0.555748586,1.447119320,2.823325052,-0.454781198,9187
215,43,1.254642366,0.596310926,1.052484337,2.268150639,-0.143786457,9230
216,37,1.291270883,0.629482825,1.022627698,2.357266769,-0.271554033,9267
217,42,1.653029802,0.613818132,1.453288682,2.354961107,-0.259462824,9309
218,30,2.020058690,0.739149216,1.670749166,3.360531935,-0.281210264,9339
219,47,2.946597812,0.599975321,2.678371777,4.943417815,-0.556745542,9386
220,53,1.713841932,0.666153726,1.357975142,2.467404739,-0.305202109,9439
221,48,1.582873540,0.619141738,1.428973502,2.106921047,-0.312275829,9487
222,36,1.573553366,0.536215503,1.274807404,2.964125290,-0.171236498,9523
223,36,1.948655098,0.649971326,1.706409268,3.172816243,-0.561187473,9559
224,48,2.124606483,0.601288496,1.914965698,4.337323213,-0.447636038,9607
