step,feasible_contact_pairs,feasible_contact_decisions,t2_b0_events,t2_b0_pull_events,t2_b0_valid_pull_events,t2_b0_comm_mb,t2_b0_comm_cumulative_mb,t2_b0_metadata_bytes,t2_b0_model_bytes,t2_b0_policy_bytes,t2_b0_training_sample_bytes
1,2392,4784,108,108,101,5.088008,5.088008,0,5074272,0,0
2,2445,4890,29,29,29,1.36648,6.454488,0,1362536,0,0
3,2469,4938,32,32,32,1.50784,7.962328,0,1503488,0,0
4,2401,4802,35,35,35,1.6492,9.611528,0,1644440,0,0
5,2489,4978,41,41,41,1.93192,11.543448,0,1926344,0,0
6,2714,5428,39,39,39,1.83768,13.381128,0,1832376,0,0
7,2852,5704,34,34,34,1.60208,14.983208,0,1597456,0,0
8,2837,5674,34,34,33,1.601944,16.585152,0,1597456,0,0
9,2809,5618,43,43,43,2.02616,18.611312,0,2020312,0,0
10,2728,5456,30,30,30,1.4136,20.024912,0,1409520,0,0
11,2658,5316,44,44,44,2.07328,22.098192,0,2067296,0,0
12,2645,5290,41,41,41,1.93192,24.030112,0,1926344,0,0
13,2570,5140,47,47,47,2.21464,26.244752,0,2208248,0,0
14,2448,4896,36,36,36,1.69632,27.941072,0,1691424,0,0
15,2515,5030,36,36,36,1.69632,29.637392,0,1691424,0,0
16,2476,4952,42,42,42,1.97904,31.616432,0,1973328,0,0
17,2669,5338,32,32,32,1.50784,33.124272,0,1503488,0,0
18,2887,5774,42,42,42,1.97904,35.103312,0,1973328,0,0
19,2923,5846,42,42,42,1.97904,37.082352,0,1973328,0,0
20,2937,5874,50,50,50,2.356,39.438352,0,2349200,0,0
21,2834,5668,32,32,31,1.507704,40.946056,0,1503488,0,0
22,2758,5516,27,27,26,1.272104,42.21816,0,1268568,0,0
23,2819,5638,45,45,45,2.1204,44.33856,0,2114280,0,0
24,3034,6068,36,36,36,1.69632,46.03488,0,1691424,0,0
25,3114,6228,39,39,39,1.83768,47.87256,0,1832376,0,0
26,3155,6310,37,37,37,1.74344,49.616,0,1738408,0,0
27,3435,6870,50,50,50,2.356,51.972,0,2349200,0,0
28,3277,6554,47,47,47,2.21464,54.18664,0,2208248,0,0
29,3469,6938,38,38,38,1.79056,55.9772,0,1785392,0,0
30,3363,6726,47,47,47,2.21464,58.19184,0,2208248,0,0
31,3345,6690,35,35,35,1.6492,59.84104,0,1644440,0,0
32,3188,6376,46,46,46,2.16752,62.00856,0,2161264,0,0
33,3061,6122,48,48,48,2.26176,64.27032,0,2255232,0,0
34,3182,6364,36,36,35,1.696184,65.966504,0,1691424,0,0
35,3241,6482,47,47,47,2.21464,68.181144,0,2208248,0,0
36,3437,6874,52,52,52,2.45024,70.631384,0,2443168,0,0
37,3581,7162,41,41,41,1.93192,72.563304,0,1926344,0,0
38,3496,6992,38,38,38,1.79056,74.353864,0,1785392,0,0
39,3434,6868,40,40,40,1.8848,76.238664,0,1879360,0,0
40,3331,6662,44,44,44,2.07328,78.311944,0,2067296,0,0
41,3788,7576,62,62,62,2.92144,81.233384,0,2913008,0,0
42,3805,7610,41,41,41,1.93192,83.165304,0,1926344,0,0
43,3852,7704,47,47,46,2.214504,85.379808,0,2208248,0,0
44,4061,8122,43,43,43,2.02616,87.405968,0,2020312,0,0
45,4226,8452,41,41,41,1.93192,89.337888,0,1926344,0,0
46,4392,8784,52,52,52,2.45024,91.788128,0,2443168,0,0
47,4462,8924,52,52,52,2.45024,94.238368,0,2443168,0,0
48,4511,9022,46,46,46,2.16752,96.405888,0,2161264,0,0
49,4231,8462,56,56,56,2.63872,99.044608,0,2631104,0,0
50,4357,8714,52,52,52,2.45024,101.494848,0,2443168,0,0
51,4481,8962,51,51,51,2.40312,103.897968,0,2396184,0,0
52,4400,8800,45,45,45,2.1204,106.018368,0,2114280,0,0
53,4341,8682,42,42,42,1.97904,107.997408,0,1973328,0,0
54,4185,8370,32,32,32,1.50784,109.505248,0,1503488,0,0
55,4303,8606,36,36,36,1.69632,111.201568,0,1691424,0,0
56,4436,8872,46,46,46,2.16752,113.369088,0,2161264,0,0
57,4746,9492,59,59,59,2.78008,116.149168,0,2772056,0,0
58,5132,10264,68,68,68,3.20416,119.353328,0,3194912,0,0
59,5384,10768,56,56,56,2.63872,121.992048,0,2631104,0,0
60,5477,10954,39,39,39,1.83768,123.829728,0,1832376,0,0
61,5747,11494,52,52,52,2.45024,126.279968,0,2443168,0,0
62,5591,11182,37,37,37,1.74344,128.023408,0,1738408,0,0
63,5443,10886,38,38,38,1.79056,129.813968,0,1785392,0,0
64,5218,10436,57,57,57,2.68584,132.499808,0,2678088,0,0
65,4486,8972,60,60,60,2.8272,135.327008,0,2819040,0,0
66,3998,7996,59,59,59,2.78008,138.107088,0,2772056,0,0
67,3965,7930,46,46,46,2.16752,140.274608,0,2161264,0,0
68,3623,7246,35,35,35,1.6492,141.923808,0,1644440,0,0
69,3533,7066,43,43,43,2.02616,143.949968,0,2020312,0,0
70,3644,7288,50,50,50,2.356,146.305968,0,2349200,0,0
71,3756,7512,33,33,32,1.554824,147.860792,0,1550472,0,0
72,3767,7534,57,57,56,2.685704,150.546496,0,2678088,0,0
73,3793,7586,31,31,31,1.46072,152.007216,0,1456504,0,0
74,3984,7968,40,40,40,1.8848,153.892016,0,1879360,0,0
75,4216,8432,41,41,41,1.93192,155.823936,0,1926344,0,0
76,4420,8840,43,43,43,2.02616,157.850096,0,2020312,0,0
77,4540,9080,43,43,42,2.026024,159.87612,0,2020312,0,0
78,4516,9032,58,58,58,2.73296,162.60908,0,2725072,0,0
79,4599,9198,50,50,50,2.356,164.96508,0,2349200,0,0
80,4543,9086,47,47,47,2.21464,167.17972,0,2208248,0,0
81,3909,7818,46,46,46,2.16752,169.34724,0,2161264,0,0
82,3417,6834,40,40,40,1.8848,171.23204,0,1879360,0,0
83,3362,6724,43,43,43,2.02616,173.2582,0,2020312,0,0
84,3403,6806,36,36,36,1.69632,174.95452,0,1691424,0,0
85,3231,6462,50,50,50,2.356,177.31052,0,2349200,0,0
86,3030,6060,52,52,52,2.45024,179.76076,0,2443168,0,0
87,2905,5810,33,33,33,1.55496,181.31572,0,1550472,0,0
88,2952,5904,29,29,29,1.36648,182.6822,0,1362536,0,0
89,2884,5768,35,35,35,1.6492,184.3314,0,1644440,0,0
90,2992,5984,43,43,43,2.02616,186.35756,0,2020312,0,0
91,2934,5868,40,40,40,1.8848,188.24236,0,1879360,0,0
92,2988,5976,42,42,42,1.97904,190.2214,0,1973328,0,0
93,3038,6076,34,34,34,1.60208,191.82348,0,1597456,0,0
94,3032,6064,38,38,38,1.79056,193.61404,0,1785392,0,0
95,3066,6132,34,34,34,1.60208,195.21612,0,1597456,0,0
96,3214,6428,42,42,42,1.97904,197.19516,0,1973328,0,0
97,3281,6562,44,44,44,2.07328,199.26844,0,2067296,0,0
98,2993,5986,45,45,45,2.1204,201.38884,0,2114280,0,0
99,2973,5946,49,49,49,2.30888,203.69772,0,2302216,0,0
100,2891,5782,37,37,37,1.74344,205.44116,0,1738408,0,0
101,2729,5458,40,40,40,1.8848,207.32596,0,1879360,0,0
102,2707,5414,33,33,33,1.55496,208.88092,0,1550472,0,0
103,2686,5372,31,31,31,1.46072,210.34164,0,1456504,0,0
104,2694,5388,41,41,41,1.93192,212.27356,0,1926344,0,0
105,2109,4218,42,42,42,1.97904,214.2526,0,1973328,0,0
106,1882,3764,38,38,38,1.79056,216.04316,0,1785392,0,0
107,1840,3680,35,35,35,1.6492,217.69236,0,1644440,0,0
108,1730,3460,31,31,31,1.46072,219.15308,0,1456504,0,0
109,1701,3402,39,39,39,1.83768,220.99076,0,1832376,0,0
110,1684,3368,32,32,32,1.50784,222.4986,0,1503488,0,0
111,1675,3350,35,35,35,1.6492,224.1478,0,1644440,0,0
112,1772,3544,35,35,35,1.6492,225.797,0,1644440,0,0
113,1596,3192,46,46,45,2.167384,227.964384,0,2161264,0,0
114,1660,3320,39,39,39,1.83768,229.802064,0,1832376,0,0
115,1718,3436,37,37,37,1.74344,231.545504,0,1738408,0,0
116,1659,3318,33,33,33,1.55496,233.100464,0,1550472,0,0
117,1696,3392,42,42,42,1.97904,235.079504,0,1973328,0,0
118,1600,3200,34,34,34,1.60208,236.681584,0,1597456,0,0
119,1589,3178,30,30,30,1.4136,238.095184,0,1409520,0,0
120,1649,3298,34,34,34,1.60208,239.697264,0,1597456,0,0
121,1616,3232,40,40,40,1.8848,241.582064,0,1879360,0,0
122,1664,3328,27,27,27,1.27224,242.854304,0,1268568,0,0
123,1819,3638,33,33,33,1.55496,244.409264,0,1550472,0,0
124,1661,3322,38,38,38,1.79056,246.199824,0,1785392,0,0
125,1537,3074,32,32,32,1.50784,247.707664,0,1503488,0,0
126,1526,3052,35,35,35,1.6492,249.356864,0,1644440,0,0
127,1430,2860,30,30,30,1.4136,250.770464,0,1409520,0,0
128,1431,2862,30,30,30,1.4136,252.184064,0,1409520,0,0
129,1390,2780,36,36,36,1.69632,253.880384,0,1691424,0,0
130,1358,2716,36,36,36,1.69632,255.576704,0,1691424,0,0
131,1534,3068,29,29,29,1.36648,256.943184,0,1362536,0,0
132,1820,3640,39,39,39,1.83768,258.780864,0,1832376,0,0
133,1754,3508,33,33,33,1.55496,260.335824,0,1550472,0,0
134,1583,3166,36,36,36,1.69632,262.032144,0,1691424,0,0
135,1492,2984,30,30,30,1.4136,263.445744,0,1409520,0,0
136,1595,3190,40,40,40,1.8848,265.330544,0,1879360,0,0
137,1910,3820,39,39,39,1.83768,267.168224,0,1832376,0,0
138,2171,4342,42,42,42,1.97904,269.147264,0,1973328,0,0
139,2147,4294,25,25,25,1.178,270.325264,0,1174600,0,0
140,2246,4492,41,41,41,1.93192,272.257184,0,1926344,0,0
141,2216,4432,35,35,35,1.6492,273.906384,0,1644440,0,0
142,2274,4548,36,36,36,1.69632,275.602704,0,1691424,0,0
143,2376,4752,42,42,42,1.97904,277.581744,0,1973328,0,0
144,2366,4732,43,43,43,2.02616,279.607904,0,2020312,0,0
145,2538,5076,25,25,25,1.178,280.785904,0,1174600,0,0
146,2670,5340,42,42,41,1.978904,282.764808,0,1973328,0,0
147,2540,5080,46,46,44,2.167248,284.932056,0,2161264,0,0
148,2777,5554,37,37,37,1.74344,286.675496,0,1738408,0,0
149,3057,6114,37,37,37,1.74344,288.418936,0,1738408,0,0
150,3186,6372,39,39,39,1.83768,290.256616,0,1832376,0,0
151,3169,6338,44,44,44,2.07328,292.329896,0,2067296,0,0
152,3116,6232,33,33,33,1.55496,293.884856,0,1550472,0,0
153,3312,6624,47,47,46,2.214504,296.09936,0,2208248,0,0
154,3615,7230,52,52,52,2.45024,298.5496,0,2443168,0,0
155,3535,7070,51,51,51,2.40312,300.95272,0,2396184,0,0
156,3586,7172,50,50,50,2.356,303.30872,0,2349200,0,0
157,3505,7010,46,46,46,2.16752,305.47624,0,2161264,0,0
158,3435,6870,40,40,40,1.8848,307.36104,0,1879360,0,0
159,3601,7202,33,33,33,1.55496,308.916,0,1550472,0,0
160,3676,7352,37,37,37,1.74344,310.65944,0,1738408,0,0
161,4006,8012,55,55,53,2.591328,313.250768,0,2584120,0,0
162,4040,8080,57,57,57,2.68584,315.936608,0,2678088,0,0
163,3662,7324,49,49,49,2.30888,318.245488,0,2302216,0,0
164,3571,7142,48,48,48,2.26176,320.507248,0,2255232,0,0
165,4045,8090,53,53,53,2.49736,323.004608,0,2490152,0,0
166,4358,8716,53,53,53,2.49736,325.501968,0,2490152,0,0
167,4124,8248,44,44,43,2.073144,327.575112,0,2067296,0,0
168,4263,8526,51,51,49,2.402848,329.97796,0,2396184,0,0
169,4273,8546,38,38,38,1.79056,331.76852,0,1785392,0,0
170,4340,8680,42,42,42,1.97904,333.74756,0,1973328,0,0
171,4415,8830,55,55,55,2.5916,336.33916,0,2584120,0,0
172,4831,9662,47,47,47,2.21464,338.5538,0,2208248,0,0
173,4972,9944,57,57,57,2.68584,341.23964,0,2678088,0,0
174,4987,9974,41,41,41,1.93192,343.17156,0,1926344,0,0
175,5035,10070,63,63,63,2.96856,346.14012,0,2959992,0,0
176,5397,10794,45,45,45,2.1204,348.26052,0,2114280,0,0
177,5205,10410,49,49,49,2.30888,350.5694,0,2302216,0,0
178,5421,10842,64,64,64,3.01568,353.58508,0,3006976,0,0
179,5311,10622,54,54,54,2.54448,356.12956,0,2537136,0,0
180,5061,10122,58,58,58,2.73296,358.86252,0,2725072,0,0
181,5129,10258,61,61,61,2.87432,361.73684,0,2866024,0,0
182,4811,9622,45,45,45,2.1204,363.85724,0,2114280,0,0
183,4368,8736,41,41,41,1.93192,365.78916,0,1926344,0,0
184,3989,7978,50,50,50,2.356,368.14516,0,2349200,0,0
185,3654,7308,43,43,43,2.02616,370.17132,0,2020312,0,0
186,3403,6806,49,49,49,2.30888,372.4802,0,2302216,0,0
187,3537,7074,36,36,36,1.69632,374.17652,0,1691424,0,0
188,3564,7128,47,47,47,2.21464,376.39116,0,2208248,0,0
189,3470,6940,43,43,43,2.02616,378.41732,0,2020312,0,0
190,3660,7320,44,44,44,2.07328,380.4906,0,2067296,0,0
191,3854,7708,53,53,53,2.49736,382.98796,0,2490152,0,0
192,3996,7992,51,51,51,2.40312,385.39108,0,2396184,0,0
193,4147,8294,47,47,47,2.21464,387.60572,0,2208248,0,0
194,4268,8536,49,49,49,2.30888,389.9146,0,2302216,0,0
195,3872,7744,54,54,54,2.54448,392.45908,0,2537136,0,0
196,3377,6754,50,50,50,2.356,394.81508,0,2349200,0,0
197,3275,6550,51,51,51,2.40312,397.2182,0,2396184,0,0
198,3332,6664,48,48,48,2.26176,399.47996,0,2255232,0,0
199,3282,6564,52,52,52,2.45024,401.9302,0,2443168,0,0
200,2970,5940,53,53,53,2.49736,404.42756,0,2490152,0,0
201,2728,5456,46,46,46,2.16752,406.59508,0,2161264,0,0
202,2811,5622,55,55,55,2.5916,409.18668,0,2584120,0,0
203,2944,5888,51,51,51,2.40312,411.5898,0,2396184,0,0
204,2957,5914,48,48,48,2.26176,413.85156,0,2255232,0,0
205,2912,5824,42,42,42,1.97904,415.8306,0,1973328,0,0
206,2911,5822,31,31,31,1.46072,417.29132,0,1456504,0,0
207,2904,5808,56,56,56,2.63872,419.93004,0,2631104,0,0
208,3031,6062,55,55,55,2.5916,422.52164,0,2584120,0,0
209,3212,6424,40,40,40,1.8848,424.40644,0,1879360,0,0
210,3110,6220,41,41,41,1.93192,426.33836,0,1926344,0,0
211,2787,5574,59,59,59,2.78008,429.11844,0,2772056,0,0
212,2700,5400,51,51,51,2.40312,431.52156,0,2396184,0,0
213,2519,5038,47,47,47,2.21464,433.7362,0,2208248,0,0
214,2338,4676,38,38,38,1.79056,435.52676,0,1785392,0,0
215,2359,4718,47,47,47,2.21464,437.7414,0,2208248,0,0
216,2493,4986,37,37,37,1.74344,439.48484,0,1738408,0,0
217,2594,5188,51,51,51,2.40312,441.88796,0,2396184,0,0
218,2750,5500,41,41,41,1.93192,443.81988,0,1926344,0,0
219,3018,6036,41,41,41,1.93192,445.7518,0,1926344,0,0
220,2876,5752,36,36,36,1.69632,447.44812,0,1691424,0,0
221,2692,5384,40,40,40,1.8848,449.33292,0,1879360,0,0
222,2785,5570,40,40,40,1.8848,451.21772,0,1879360,0,0
223,2900,5800,40,40,40,1.8848,453.10252,0,1879360,0,0
224,3073,6146,38,38,38,1.79056,454.89308,0,1785392,0,0
225,3179,6358,46,46,46,2.16752,457.0606,0,2161264,0,0
226,3259,6518,37,37,37,1.74344,458.80404,0,1738408,0,0
227,3248,6496,36,36,36,1.69632,460.50036,0,1691424,0,0
228,3221,6442,44,44,44,2.07328,462.57364,0,2067296,0,0
229,3247,6494,40,40,40,1.8848,464.45844,0,1879360,0,0
230,3511,7022,49,49,49,2.30888,466.76732,0,2302216,0,0
231,3524,7048,39,39,39,1.83768,468.605,0,1832376,0,0
232,3758,7516,54,54,54,2.54448,471.14948,0,2537136,0,0
233,4126,8252,50,50,50,2.356,473.50548,0,2349200,0,0
234,4333,8666,51,51,51,2.40312,475.9086,0,2396184,0,0
235,4478,8956,43,43,43,2.02616,477.93476,0,2020312,0,0
236,4766,9532,50,50,50,2.356,480.29076,0,2349200,0,0
237,4851,9702,42,42,42,1.97904,482.2698,0,1973328,0,0
238,5073,10146,55,55,55,2.5916,484.8614,0,2584120,0,0
239,4751,9502,60,60,60,2.8272,487.6886,0,2819040,0,0
240,4354,8708,51,51,51,2.40312,490.09172,0,2396184,0,0
241,4151,8302,39,39,39,1.83768,491.9294,0,1832376,0,0
242,4129,8258,39,39,39,1.83768,493.76708,0,1832376,0,0
243,4137,8274,51,51,51,2.40312,496.1702,0,2396184,0,0
244,3991,7982,44,44,44,2.07328,498.24348,0,2067296,0,0
245,3595,7190,42,42,42,1.97904,500.22252,0,1973328,0,0
246,3489,6978,41,41,41,1.93192,502.15444,0,1926344,0,0
