step,pending_transitions,pull_updates_this_step,queued_transitions,t2_b0_train_updates,train_updates_this_step
1,0,0,73,73,73
2,0,0,17,90,17
3,0,0,13,103,13
4,0,0,8,111,8
5,0,0,9,120,9
6,0,0,11,131,11
7,0,0,12,143,12
8,0,0,15,158,15
9,0,0,10,168,10
10,0,0,6,174,6
11,0,0,11,185,11
12,0,0,7,192,7
13,0,0,16,208,16
14,0,0,11,219,11
15,0,0,12,231,12
16,0,0,18,249,18
17,0,0,10,259,10
18,0,0,12,271,12
19,0,0,17,288,17
20,0,0,13,301,13
21,0,0,19,320,19
22,0,0,11,331,11
23,0,0,13,344,13
24,0,0,19,363,19
25,0,0,14,377,14
26,0,0,12,389,12
27,0,0,14,403,14
28,0,0,21,424,21
29,0,0,13,437,13
30,0,0,13,450,13
31,0,0,13,463,13
32,0,0,15,478,15
33,0,0,17,495,17
34,0,0,10,505,10
35,0,0,11,516,11
36,0,0,14,530,14
37,0,0,11,541,11
38,0,0,14,555,14
39,0,0,17,572,17
40,0,0,13,585,13
41,0,0,11,596,11
42,0,0,18,614,18
43,0,0,15,629,15
44,0,0,12,641,12
45,0,0,14,655,14
46,0,0,17,672,17
47,0,0,21,693,21
48,0,0,17,710,17
49,0,0,18,728,18
50,0,0,17,745,17
51,0,0,12,757,12
52,0,0,7,764,7
53,0,0,11,775,11
54,0,0,11,786,11
55,0,0,18,804,18
56,0,0,13,817,13
57,0,0,16,833,16
58,0,0,21,854,21
59,0,0,13,867,13
60,0,0,13,880,13
61,0,0,6,886,6
62,0,0,8,894,8
63,0,0,15,909,15
64,0,0,14,923,14
65,0,0,20,943,20
66,0,0,20,963,20
67,0,0,27,990,27
68,0,0,16,1006,16
69,0,0,11,1017,11
70,0,0,15,1032,15
71,0,0,10,1042,10
72,0,0,9,1051,9
73,0,0,15,1066,15
74,0,0,16,1082,16
75,0,0,18,1100,18
76,0,0,12,1112,12
77,0,0,9,1121,9
78,0,0,18,1139,18
79,0,0,21,1160,21
80,0,0,18,1178,18
81,0,0,12,1190,12
82,0,0,13,1203,13
83,0,0,11,1214,11
84,0,0,14,1228,14
85,0,0,19,1247,19
86,0,0,20,1267,20
87,0,0,10,1277,10
88,0,0,13,1290,13
89,0,0,10,1300,10
90,0,0,10,1310,10
91,0,0,12,1322,12
92,0,0,10,1332,10
93,0,0,12,1344,12
94,0,0,9,1353,9
95,0,0,19,1372,19
96,0,0,17,1389,17
97,0,0,18,1407,18
98,0,0,14,1421,14
99,0,0,15,1436,15
100,0,0,13,1449,13
101,0,0,10,1459,10
102,0,0,8,1467,8
103,0,0,4,1471,4
104,0,0,20,1491,20
105,0,0,14,1505,14
106,0,0,12,1517,12
107,0,0,14,1531,14
108,0,0,13,1544,13
109,0,0,6,1550,6
110,0,0,10,1560,10
111,0,0,8,1568,8
112,0,0,19,1587,19
113,0,0,12,1599,12
114,0,0,19,1618,19
115,0,0,18,1636,18
116,0,0,14,1650,14
117,0,0,14,1664,14
118,0,0,12,1676,12
119,0,0,15,1691,15
120,0,0,19,1710,19
121,0,0,10,1720,10
122,0,0,7,1727,7
123,0,0,10,1737,10
124,0,0,8,1745,8
125,0,0,12,1757,12
126,0,0,7,1764,7
127,0,0,9,1773,9
128,0,0,10,1783,10
129,0,0,11,1794,11
130,0,0,12,1806,12
131,0,0,6,1812,6
132,0,0,13,1825,13
133,0,0,9,1834,9
134,0,0,10,1844,10
135,0,0,12,1856,12
136,0,0,13,1869,13
137,0,0,10,1879,10
138,0,0,11,1890,11
139,0,0,9,1899,9
140,0,0,11,1910,11
141,0,0,8,1918,8
142,0,0,9,1927,9
143,0,0,19,1946,19
144,0,0,20,1966,20
145,0,0,9,1975,9
146,0,0,13,1988,13
147,0,0,17,2005,17
148,0,0,10,2015,10
149,0,0,14,2029,14
150,0,0,13,2042,13
151,0,0,15,2057,15
152,0,0,14,2071,14
153,0,0,11,2082,11
154,0,0,21,2103,21
155,0,0,14,2117,14
156,0,0,20,2137,20
157,0,0,18,2155,18
158,0,0,10,2165,10
159,0,0,9,2174,9
160,0,0,12,2186,12
161,0,0,20,2206,20
162,0,0,22,2228,22
163,0,0,14,2242,14
164,0,0,15,2257,15
165,0,0,12,2269,12
166,0,0,21,2290,21
167,0,0,11,2301,11
168,0,0,19,2320,19
169,0,0,12,2332,12
170,0,0,6,2338,6
171,0,0,14,2352,14
172,0,0,12,2364,12
173,0,0,26,2390,26
174,0,0,21,2411,21
175,0,0,17,2428,17
176,0,0,19,2447,19
177,0,0,14,2461,14
178,0,0,15,2476,15
179,0,0,18,2494,18
180,0,0,18,2512,18
181,0,0,29,2541,29
182,0,0,25,2566,25
183,0,0,11,2577,11
184,0,0,15,2592,15
185,0,0,12,2604,12
186,0,0,15,2619,15
187,0,0,10,2629,10
188,0,0,8,2637,8
189,0,0,13,2650,13
190,0,0,18,2668,18
191,0,0,14,2682,14
192,0,0,17,2699,17
193,0,0,20,2719,20
194,0,0,22,2741,22
195,0,0,19,2760,19
196,0,0,17,2777,17
197,0,0,13,2790,13
198,0,0,21,2811,21
199,0,0,16,2827,16
200,0,0,22,2849,22
201,0,0,16,2865,16
202,0,0,10,2875,10
203,0,0,15,2890,15
204,0,0,15,2905,15
205,0,0,14,2919,14
206,0,0,13,2932,13
207,0,0,10,2942,10
208,0,0,18,2960,18
209,0,0,13,2973,13
210,0,0,22,2995,22
211,0,0,23,3018,23
212,0,0,16,3034,16
213,0,0,17,3051,17
214,0,0,17,3068,17
215,0,0,15,3083,15
216,0,0,12,3095,12
217,0,0,17,3112,17
218,0,0,16,3128,16
219,0,0,18,3146,18
220,0,0,20,3166,20
221,0,0,13,3179,13
222,0,0,12,3191,12
223,0,0,13,3204,13
224,0,0,9,3213,9
225,0,0,11,3224,11
226,0,0,10,3234,10
227,0,0,15,3249,15
228,0,0,20,3269,20
229,0,0,17,3286,17
230,0,0,22,3308,22
231,0,0,17,3325,17
232,0,0,17,3342,17
233,0,0,7,3349,7
234,0,0,12,3361,12
235,0,0,14,3375,14
236,0,0,12,3387,12
237,0,0,18,3405,18
238,0,0,17,3422,17
239,0,0,25,3447,25
240,0,0,16,3463,16
241,0,0,16,3479,16
242,0,0,6,3485,6
243,0,0,15,3500,15
244,0,0,16,3516,16
245,0,0,19,3535,19
246,0,0,16,3551,16
247,0,0,12,3563,12
248,0,0,13,3576,13
249,0,0,9,3585,9
250,0,0,13,3598,13
251,0,0,15,3613,15
252,0,0,13,3626,13
253,0,0,17,3643,17
254,0,0,15,3658,15
255,0,0,8,3666,8
256,0,0,11,3677,11
257,0,0,21,3698,21
258,0,0,24,3722,24
259,0,0,23,3745,23
260,0,0,13,3758,13
261,0,0,17,3775,17
262,0,0,15,3790,15
263,0,0,9,3799,9
264,0,0,9,3808,9
265,0,0,14,3822,14
266,0,0,13,3835,13
267,0,0,14,3849,14
268,0,0,7,3856,7
269,0,0,18,3874,18
270,0,0,16,3890,16
271,0,0,13,3903,13
272,0,0,13,3916,13
273,0,0,20,3936,20
274,0,0,9,3945,9
275,0,0,11,3956,11
276,0,0,19,3975,19
277,0,0,15,3990,15
278,0,0,20,4010,20
279,0,0,18,4028,18
280,0,0,12,4040,12
281,0,0,16,4056,16
282,0,0,11,4067,11
283,0,0,8,4075,8
284,0,0,8,4083,8
285,0,0,8,4091,8
286,0,0,15,4106,15
287,0,0,11,4117,11
288,0,0,7,4124,7
289,0,0,14,4138,14
290,0,0,8,4146,8
291,0,0,9,4155,9
292,0,0,23,4178,23
293,0,0,9,4187,9
294,0,0,11,4198,11
295,0,0,15,4213,15
296,0,0,14,4227,14
297,0,0,16,4243,16
298,0,0,15,4258,15
299,0,0,13,4271,13
300,0,0,6,4277,6
301,0,0,11,4288,11
302,0,0,8,4296,8
303,0,0,10,4306,10
304,0,0,11,4317,11
305,0,0,13,4330,13
306,0,0,14,4344,14
307,0,0,13,4357,13
308,0,0,19,4376,19
309,0,0,11,4387,11
310,0,0,11,4398,11
311,0,0,12,4410,12
312,0,0,13,4423,13
313,0,0,15,4438,15
314,0,0,20,4458,20
315,0,0,18,4476,18
316,0,0,18,4494,18
317,0,0,7,4501,7
318,0,0,9,4510,9
319,0,0,12,4522,12
320,0,0,9,4531,9
321,0,0,11,4542,11
322,0,0,11,4553,11
323,0,0,12,4565,12
324,0,0,13,4578,13
325,0,0,17,4595,17
326,0,0,21,4616,21
327,0,0,19,4635,19
328,0,0,15,4650,15
329,0,0,15,4665,15
330,0,0,10,4675,10
331,0,0,15,4690,15
332,0,0,12,4702,12
333,0,0,13,4715,13
334,0,0,18,4733,18
335,0,0,16,4749,16
336,0,0,15,4764,15
337,0,0,8,4772,8
338,0,0,12,4784,12
339,0,0,14,4798,14
340,0,0,8,4806,8
341,0,0,12,4818,12
342,0,0,11,4829,11
343,0,0,15,4844,15
344,0,0,15,4859,15
345,0,0,21,4880,21
346,0,0,16,4896,16
347,0,0,17,4913,17
348,0,0,22,4935,22
349,0,0,11,4946,11
350,0,0,12,4958,12
351,0,0,13,4971,13
352,0,0,15,4986,15
353,0,0,17,5003,17
354,0,0,10,5013,10
355,0,0,14,5027,14
