step,training_loss,selection_reconstruction_rmse,matched_relative_rmse,stress_relative_rmse
1,1.002336025238037,1.000311071713775,1.0003284515651751,1.0002936915604044
100,0.8341449499130249,0.9072134638023032,0.9086039586119465,0.905820834493801
200,0.7206289768218994,0.845441237019151,0.8461938144262245,0.8446879891011477
300,0.6470218300819397,0.7931470286448989,0.7930452813678263,0.7932487628712003
400,0.5759088397026062,0.761227826134391,0.7607871489580854,0.7616682483488525
500,0.571963906288147,0.7381114518049432,0.7378256548924413,0.7383971380996422
600,0.5299243330955505,0.7226445160426057,0.7223904344371084,0.7228985083444768
700,0.48450618982315063,0.7119099529183077,0.7114556280572396,0.7123639880243618
800,0.47706055641174316,0.7032278169842617,0.7027898120563729,0.7036655492708654
900,0.4809701442718506,0.6986134456193482,0.6980713929401087,0.6991550780470185
1000,0.5265940427780151,0.6952057971491462,0.694414896014827,0.6959957995363742
1100,0.48930007219314575,0.692022355276605,0.6912325696051456,0.6928112406148063
1200,0.4819716215133667,0.6886639802361165,0.6877940714246664,0.6895327915787481
1300,0.48899227380752563,0.6846984651852298,0.6835698619470566,0.685825211181173
1400,0.43609872460365295,0.6801714270765138,0.6787693440272414,0.6815706258572409
1500,0.46931618452072144,0.6743536202463568,0.6728312846153345,0.6758725269765105
1600,0.43187886476516724,0.6674058222842446,0.6654729700328152,0.6693330930064053
1700,0.4215131402015686,0.6596956899904803,0.6577047446560147,0.6616806447531909
1800,0.43851277232170105,0.6517756764363992,0.6494555027041088,0.6540876201210393
1900,0.42334574460983276,0.6443168728299953,0.6417104974910308,0.6469127473134706
2000,0.4020583927631378,0.6362626713479387,0.6334539502398583,0.6390590479972482
