step,training_loss,selection_rmse,matched_examples,matched_groups,matched_gain_log_mae,matched_gain_log_rmse,matched_gain_prediction_bias_log,matched_top1_accuracy_tie_aware,matched_mean_selection_regret_log,matched_positive_target_fraction,matched_threshold_2_precision,matched_threshold_2_recall,matched_threshold_2_predicted_pass_fraction,matched_threshold_2_true_pass_fraction,matched_threshold_5_precision,matched_threshold_5_recall,matched_threshold_5_predicted_pass_fraction,matched_threshold_5_true_pass_fraction,matched_threshold_10_precision,matched_threshold_10_recall,matched_threshold_10_predicted_pass_fraction,matched_threshold_10_true_pass_fraction,matched_threshold_50_precision,matched_threshold_50_recall,matched_threshold_50_predicted_pass_fraction,matched_threshold_50_true_pass_fraction,matched_threshold_100_precision,matched_threshold_100_recall,matched_threshold_100_predicted_pass_fraction,matched_threshold_100_true_pass_fraction,matched_threshold_200_precision,matched_threshold_200_recall,matched_threshold_200_predicted_pass_fraction,matched_threshold_200_true_pass_fraction,matched_threshold_400_precision,matched_threshold_400_recall,matched_threshold_400_predicted_pass_fraction,matched_threshold_400_true_pass_fraction,stress_examples,stress_groups,stress_gain_log_mae,stress_gain_log_rmse,stress_gain_prediction_bias_log,stress_top1_accuracy_tie_aware,stress_mean_selection_regret_log,stress_positive_target_fraction,stress_threshold_2_precision,stress_threshold_2_recall,stress_threshold_2_predicted_pass_fraction,stress_threshold_2_true_pass_fraction,stress_threshold_5_precision,stress_threshold_5_recall,stress_threshold_5_predicted_pass_fraction,stress_threshold_5_true_pass_fraction,stress_threshold_10_precision,stress_threshold_10_recall,stress_threshold_10_predicted_pass_fraction,stress_threshold_10_true_pass_fraction,stress_threshold_50_precision,stress_threshold_50_recall,stress_threshold_50_predicted_pass_fraction,stress_threshold_50_true_pass_fraction,stress_threshold_100_precision,stress_threshold_100_recall,stress_threshold_100_predicted_pass_fraction,stress_threshold_100_true_pass_fraction,stress_threshold_200_precision,stress_threshold_200_recall,stress_threshold_200_predicted_pass_fraction,stress_threshold_200_true_pass_fraction,stress_threshold_400_precision,stress_threshold_400_recall,stress_threshold_400_predicted_pass_fraction,stress_threshold_400_true_pass_fraction
1,0.38826295733451843,0.1645760823449372,1536,96,0.03109135664999485,0.16214989125728607,-0.002758784219622612,0.3020833333333333,0.04581839969067877,0.17578125,0.1007905138339921,0.4857142857142857,0.3294270833333333,0.068359375,0.058823529411764705,0.03225806451612903,0.022135416666666668,0.040364583333333336,0.0,0.0,0.0,0.026692708333333332,0.0,0.0,0.0,0.011067708333333334,0.0,0.0,0.0,0.006510416666666667,0.0,0.0,0.0,0.0032552083333333335,0.0,0.0,0.0,0.0026041666666666665,768,48,0.03143581748008728,0.16932420432567596,0.002672269707545638,0.22916666666666666,0.03706218724901097,0.16796875,0.06918238993710692,0.5641025641025641,0.4140625,0.05078125,0.04,0.034482758620689655,0.032552083333333336,0.037760416666666664,0.0,0.0,0.0,0.0234375,0.0,0.0,0.0,0.006510416666666667,0.0,0.0,0.0,0.00390625,0.0,0.0,0.0,0.00390625,0.0,0.0,0.0,0.00390625
50,0.5148336887359619,0.16347026605066722,1536,96,0.029136573895812035,0.16116805374622345,-0.0047102742828428745,0.28125,0.046038746772400906,0.17578125,0.12318840579710146,0.4857142857142857,0.26953125,0.068359375,0.14285714285714285,0.04838709677419355,0.013671875,0.040364583333333336,0.0,0.0,0.0,0.026692708333333332,0.0,0.0,0.0,0.011067708333333334,0.0,0.0,0.0,0.006510416666666667,0.0,0.0,0.0,0.0032552083333333335,0.0,0.0,0.0,0.0026041666666666665,768,48,0.0281852837651968,0.16798005998134613,-0.0005661618779413402,0.2708333333333333,0.03248993930954214,0.16796875,0.08627450980392157,0.5641025641025641,0.33203125,0.05078125,0.2727272727272727,0.10344827586206896,0.014322916666666666,0.037760416666666664,0.0,0.0,0.0,0.0234375,0.0,0.0,0.0,0.006510416666666667,0.0,0.0,0.0,0.00390625,0.0,0.0,0.0,0.00390625,0.0,0.0,0.0,0.00390625
100,0.315075546503067,0.04621281312754417,1536,96,0.011892635375261307,0.050657279789447784,0.002016901271417737,0.5104166666666666,0.009799840361012002,0.17578125,0.39195979899497485,0.7428571428571429,0.12955729166666666,0.068359375,0.7741935483870968,0.7741935483870968,0.040364583333333336,0.040364583333333336,0.8974358974358975,0.8536585365853658,0.025390625,0.026692708333333332,0.875,0.8235294117647058,0.010416666666666666,0.011067708333333334,0.8888888888888888,0.8,0.005859375,0.006510416666666667,0.75,0.6,0.0026041666666666665,0.0032552083333333335,1.0,0.75,0.001953125,0.0026041666666666665,768,48,0.01043179165571928,0.03570087254047394,0.0039057908579707146,0.6041666666666666,0.011415003005135796,0.16796875,0.3894736842105263,0.9487179487179487,0.12369791666666667,0.05078125,0.6857142857142857,0.8275862068965517,0.045572916666666664,0.037760416666666664,0.6842105263157895,0.7222222222222222,0.024739583333333332,0.0234375,0.75,0.6,0.005208333333333333,0.006510416666666667,1.0,1.0,0.00390625,0.00390625,1.0,1.0,0.00390625,0.00390625,1.0,1.0,0.00390625,0.00390625
150,0.0899360403418541,0.04747896666007938,1536,96,0.007889819331467152,0.04585559666156769,-0.001710867858491838,0.5520833333333334,0.007643402392157365,0.17578125,0.9772727272727273,0.4095238095238095,0.028645833333333332,0.068359375,0.9714285714285714,0.5483870967741935,0.022786458333333332,0.040364583333333336,0.9655172413793104,0.6829268292682927,0.018880208333333332,0.026692708333333332,1.0,0.6470588235294118,0.007161458333333333,0.011067708333333334,1.0,0.9,0.005859375,0.006510416666666667,0.7142857142857143,1.0,0.004557291666666667,0.0032552083333333335,0.6666666666666666,1.0,0.00390625,0.0026041666666666665,768,48,0.007131010293960571,0.05056960880756378,-0.0002789704885799438,0.6041666666666666,0.004700799860733203,0.16796875,0.9523809523809523,0.5128205128205128,0.02734375,0.05078125,1.0,0.4482758620689655,0.016927083333333332,0.037760416666666664,0.8888888888888888,0.4444444444444444,0.01171875,0.0234375,1.0,0.8,0.005208333333333333,0.006510416666666667,1.0,1.0,0.00390625,0.00390625,1.0,1.0,0.00390625,0.00390625,1.0,1.0,0.00390625,0.00390625
200,0.13199292123317719,0.051993768785695886,1536,96,0.008881607092916965,0.04949647933244705,0.0007652395288459957,0.4583333333333333,0.011568049658260785,0.17578125,0.7464788732394366,0.5047619047619047,0.046223958333333336,0.068359375,0.9047619047619048,0.6129032258064516,0.02734375,0.040364583333333336,0.9375,0.7317073170731707,0.020833333333333332,0.026692708333333332,1.0,0.6470588235294118,0.007161458333333333,0.011067708333333334,1.0,0.9,0.005859375,0.006510416666666667,0.625,1.0,0.005208333333333333,0.0032552083333333335,0.6666666666666666,1.0,0.00390625,0.0026041666666666665,768,48,0.008187741972506046,0.056659094989299774,0.001687707961536944,0.5416666666666666,0.0055994425316185925,0.16796875,0.875,0.5384615384615384,0.03125,0.05078125,0.9375,0.5172413793103449,0.020833333333333332,0.037760416666666664,0.8181818181818182,0.5,0.014322916666666666,0.0234375,1.0,0.8,0.005208333333333333,0.006510416666666667,1.0,1.0,0.00390625,0.00390625,1.0,1.0,0.00390625,0.00390625,1.0,1.0,0.00390625,0.00390625
250,0.12798582017421722,0.04810932890459904,1536,96,0.010231956839561462,0.04626554250717163,0.000987627892754972,0.4270833333333333,0.013489774832227871,0.17578125,0.49019607843137253,0.47619047619047616,0.06640625,0.068359375,0.875,0.5645161290322581,0.026041666666666668,0.040364583333333336,0.9666666666666667,0.7073170731707317,0.01953125,0.026692708333333332,1.0,0.6470588235294118,0.007161458333333333,0.011067708333333334,1.0,0.9,0.005859375,0.006510416666666667,0.7142857142857143,1.0,0.004557291666666667,0.0032552083333333335,0.8,1.0,0.0032552083333333335,0.0026041666666666665,768,48,0.0087405601516366,0.05159962922334671,0.0017248388612642884,0.5416666666666666,0.012128641180647529,0.16796875,0.5238095238095238,0.5641025641025641,0.0546875,0.05078125,0.7894736842105263,0.5172413793103449,0.024739583333333332,0.037760416666666664,0.8181818181818182,0.5,0.014322916666666666,0.0234375,1.0,0.6,0.00390625,0.006510416666666667,1.0,1.0,0.00390625,0.00390625,1.0,1.0,0.00390625,0.00390625,1.0,1.0,0.00390625,0.00390625
300,0.07464910298585892,0.049233473695034766,1536,96,0.014016948640346527,0.04796737805008888,0.005171824712306261,0.3854166666666667,0.018019056631705627,0.17578125,0.22180451127819548,0.5619047619047619,0.17317708333333334,0.068359375,0.4625,0.5967741935483871,0.052083333333333336,0.040364583333333336,0.8235294117647058,0.6829268292682927,0.022135416666666668,0.026692708333333332,1.0,0.6470588235294118,0.007161458333333333,0.011067708333333334,1.0,0.9,0.005859375,0.006510416666666667,0.7142857142857143,1.0,0.004557291666666667,0.0032552083333333335,0.75,0.75,0.0026041666666666665,0.0026041666666666665,768,48,0.01069526094943285,0.05167268216609955,0.004055814351886511,0.5208333333333334,0.013822823250464467,0.16796875,0.3333333333333333,0.6666666666666666,0.1015625,0.05078125,0.5357142857142857,0.5172413793103449,0.036458333333333336,0.037760416666666664,0.8181818181818182,0.5,0.014322916666666666,0.0234375,1.0,0.6,0.00390625,0.006510416666666667,1.0,1.0,0.00390625,0.00390625,1.0,1.0,0.00390625,0.00390625,1.0,1.0,0.00390625,0.00390625
350,0.12294108420610428,0.04943162974091229,1536,96,0.01483622845262289,0.04943522810935974,0.0050641936250030994,0.3541666666666667,0.018776969174221374,0.17578125,0.20802919708029197,0.5428571428571428,0.17838541666666666,0.068359375,0.4044943820224719,0.5806451612903226,0.057942708333333336,0.040364583333333336,0.8125,0.6341463414634146,0.020833333333333332,0.026692708333333332,1.0,0.6470588235294118,0.007161458333333333,0.011067708333333334,1.0,0.9,0.005859375,0.006510416666666667,0.7142857142857143,1.0,0.004557291666666667,0.0032552083333333335,1.0,0.75,0.001953125,0.0026041666666666665,768,48,0.010159444995224476,0.0494244322180748,0.0031270806211978197,0.4791666666666667,0.013478646318536866,0.16796875,0.3380281690140845,0.6153846153846154,0.09244791666666667,0.05078125,0.6818181818181818,0.5172413793103449,0.028645833333333332,0.037760416666666664,0.8181818181818182,0.5,0.014322916666666666,0.0234375,1.0,0.6,0.00390625,0.006510416666666667,1.0,1.0,0.00390625,0.00390625,1.0,1.0,0.00390625,0.00390625,1.0,1.0,0.00390625,0.00390625
400,0.06257237493991852,0.050315307600017074,1536,96,0.014869187027215958,0.05121453478932381,0.004425365943461657,0.34375,0.017575640362442375,0.17578125,0.21292775665399238,0.5333333333333333,0.17122395833333334,0.068359375,0.43209876543209874,0.5645161290322581,0.052734375,0.040364583333333336,0.78125,0.6097560975609756,0.020833333333333332,0.026692708333333332,1.0,0.5882352941176471,0.006510416666666667,0.011067708333333334,1.0,0.9,0.005859375,0.006510416666666667,0.8333333333333334,1.0,0.00390625,0.0032552083333333335,1.0,0.75,0.001953125,0.0026041666666666665,768,48,0.009583287872374058,0.04846682772040367,0.0023294268175959587,0.4583333333333333,0.015539986965976027,0.16796875,0.3181818181818182,0.5384615384615384,0.0859375,0.05078125,0.7368421052631579,0.4827586206896552,0.024739583333333332,0.037760416666666664,0.8181818181818182,0.5,0.014322916666666666,0.0234375,1.0,0.6,0.00390625,0.006510416666666667,1.0,1.0,0.00390625,0.00390625,1.0,1.0,0.00390625,0.00390625,1.0,1.0,0.00390625,0.00390625
450,0.07849803566932678,0.05587287584300543,1536,96,0.016931863501667976,0.05524829030036926,0.008433450944721699,0.3541666666666667,0.017508031795642864,0.17578125,0.19877675840978593,0.6190476190476191,0.212890625,0.068359375,0.30327868852459017,0.5967741935483871,0.07942708333333333,0.040364583333333336,0.5471698113207547,0.7073170731707317,0.034505208333333336,0.026692708333333332,1.0,0.6470588235294118,0.007161458333333333,0.011067708333333334,1.0,0.9,0.005859375,0.006510416666666667,0.625,1.0,0.005208333333333333,0.0032552083333333335,0.75,0.75,0.0026041666666666665,0.0026041666666666665,768,48,0.011311501264572144,0.05710155516862869,0.004995689261704683,0.4583333333333333,0.015539986965976027,0.16796875,0.32098765432098764,0.6666666666666666,0.10546875,0.05078125,0.5,0.5172413793103449,0.0390625,0.037760416666666664,0.8461538461538461,0.6111111111111112,0.016927083333333332,0.0234375,0.75,0.6,0.005208333333333333,0.006510416666666667,1.0,1.0,0.00390625,0.00390625,1.0,1.0,0.00390625,0.00390625,1.0,1.0,0.00390625,0.00390625
