step,training_loss,profiles,relative_rmse,mean_absolute_error
1,1.0000107288360596,544,0.998346646160187,0.006818474580104055
50,0.9908033609390259,544,0.994857622081062,0.0077810585819817835
100,0.9928570985794067,544,0.9881904671163652,0.008958180356493184
150,0.9420307278633118,544,0.9689757563387011,0.010099020246119281
200,0.9547423124313354,544,0.9196488217538833,0.011098953276989506
250,0.8319728374481201,544,0.9036687939077942,0.010034629161061804
300,0.8049238920211792,544,0.8883946095935034,0.010273872457766066
350,0.813917338848114,544,0.8736715769036466,0.01076207497041989
400,0.7607476711273193,544,0.8612380176935471,0.010442069371541341
450,0.8029624819755554,544,0.8522422134967069,0.009708313152836818
500,0.8498498201370239,544,0.8476241781159911,0.00953068225835663
550,0.7713226675987244,544,0.8412247906247231,0.009701023991902669
600,0.720753014087677,544,0.8394585331308548,0.009177204570894926
650,0.662468433380127,544,0.8310616793516081,0.009504544539856755
700,0.727887749671936,544,0.8284053834633306,0.009167587937249078
750,0.8181268572807312,544,0.822645761331473,0.009303196298686508
800,0.7550225853919983,544,0.8154209674034228,0.009177175971885132
850,0.5182355642318726,544,0.8128638998558083,0.009170051377739002
900,0.7940974831581116,544,0.8102914664140782,0.009058204041275324
950,0.6389337182044983,544,0.8047238809689959,0.008882873238457574
1000,0.7708629369735718,544,0.8002600337029473,0.00886293506871641
1050,0.6742602586746216,544,0.7994641984340952,0.00874340291989395
1100,0.7042735815048218,544,0.7942625776638816,0.008975623976015578
1150,0.7012764811515808,544,0.7893834718402207,0.008791046294667362
1200,0.6260554790496826,544,0.7870545170807445,0.0088526988783693
