step,training_loss,selection_rmse,matched_examples,matched_groups,matched_gain_log_mae,matched_gain_log_rmse,matched_gain_prediction_bias_log,matched_top1_accuracy_tie_aware,matched_mean_selection_regret_log,matched_positive_target_fraction,matched_threshold_2_precision,matched_threshold_2_recall,matched_threshold_2_predicted_pass_fraction,matched_threshold_2_true_pass_fraction,matched_threshold_5_precision,matched_threshold_5_recall,matched_threshold_5_predicted_pass_fraction,matched_threshold_5_true_pass_fraction,matched_threshold_10_precision,matched_threshold_10_recall,matched_threshold_10_predicted_pass_fraction,matched_threshold_10_true_pass_fraction,matched_threshold_50_precision,matched_threshold_50_recall,matched_threshold_50_predicted_pass_fraction,matched_threshold_50_true_pass_fraction,matched_threshold_100_precision,matched_threshold_100_recall,matched_threshold_100_predicted_pass_fraction,matched_threshold_100_true_pass_fraction,matched_threshold_200_precision,matched_threshold_200_recall,matched_threshold_200_predicted_pass_fraction,matched_threshold_200_true_pass_fraction,matched_threshold_400_precision,matched_threshold_400_recall,matched_threshold_400_predicted_pass_fraction,matched_threshold_400_true_pass_fraction,stress_examples,stress_groups,stress_gain_log_mae,stress_gain_log_rmse,stress_gain_prediction_bias_log,stress_top1_accuracy_tie_aware,stress_mean_selection_regret_log,stress_positive_target_fraction,stress_threshold_2_precision,stress_threshold_2_recall,stress_threshold_2_predicted_pass_fraction,stress_threshold_2_true_pass_fraction,stress_threshold_5_precision,stress_threshold_5_recall,stress_threshold_5_predicted_pass_fraction,stress_threshold_5_true_pass_fraction,stress_threshold_10_precision,stress_threshold_10_recall,stress_threshold_10_predicted_pass_fraction,stress_threshold_10_true_pass_fraction,stress_threshold_50_precision,stress_threshold_50_recall,stress_threshold_50_predicted_pass_fraction,stress_threshold_50_true_pass_fraction,stress_threshold_100_precision,stress_threshold_100_recall,stress_threshold_100_predicted_pass_fraction,stress_threshold_100_true_pass_fraction,stress_threshold_200_precision,stress_threshold_200_recall,stress_threshold_200_predicted_pass_fraction,stress_threshold_200_true_pass_fraction,stress_threshold_400_precision,stress_threshold_400_recall,stress_threshold_400_predicted_pass_fraction,stress_threshold_400_true_pass_fraction
1,0.7018470168113708,0.5532779720274661,512,32,0.5478881597518921,0.5504958629608154,0.5460573434829712,0.21875,0.04468540569359902,0.173828125,0.0546875,1.0,1.0,0.0546875,0.0390625,1.0,1.0,0.0390625,0.029296875,1.0,1.0,0.029296875,0.009765625,1.0,1.0,0.009765625,0.0,0.0,0.0,0.001953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256,16,0.5512834787368774,0.5588006377220154,0.5349396467208862,0.1875,0.02160283774446725,0.19140625,0.046875,1.0,1.0,0.046875,0.02734375,1.0,1.0,0.02734375,0.015625,1.0,1.0,0.015625,0.0078125,1.0,1.0,0.0078125,0.0,0.0,0.0,0.0078125,0.0,0.0,0.0,0.00390625,0.0,0.0,0.0,0.00390625
50,0.04047821834683418,0.1126545521032287,512,32,0.011662986129522324,0.07248696684837341,-0.011636823415756226,0.25,0.03504600382075296,0.173828125,0.0,0.0,0.0,0.0546875,0.0,0.0,0.0,0.0390625,0.0,0.0,0.0,0.029296875,0.0,0.0,0.0,0.009765625,0.0,0.0,0.0,0.001953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256,16,0.015829337760806084,0.16602537035942078,-0.01582806371152401,0.125,0.02749803006639695,0.19140625,0.0,0.0,0.0,0.046875,0.0,0.0,0.0,0.02734375,0.0,0.0,0.0,0.015625,0.0,0.0,0.0,0.0078125,0.0,0.0,0.0,0.0078125,0.0,0.0,0.0,0.00390625,0.0,0.0,0.0,0.00390625
100,0.34247687458992004,0.2739130360066959,512,32,0.01847810298204422,0.22942601144313812,0.002669994719326496,0.25,0.02155115064306301,0.173828125,1.0,0.14285714285714285,0.0078125,0.0546875,1.0,0.15,0.005859375,0.0390625,1.0,0.2,0.005859375,0.029296875,1.0,0.4,0.00390625,0.009765625,0.5,1.0,0.00390625,0.001953125,0.0,0.0,0.00390625,0.0,0.0,0.0,0.001953125,0.0,256,16,0.030438320711255074,0.3461393713951111,0.02450845204293728,0.125,0.01975481848688787,0.19140625,1.0,0.16666666666666666,0.0078125,0.046875,1.0,0.2857142857142857,0.0078125,0.02734375,1.0,0.5,0.0078125,0.015625,1.0,1.0,0.0078125,0.0078125,1.0,1.0,0.0078125,0.0078125,0.5,1.0,0.0078125,0.00390625,0.5,1.0,0.0078125,0.00390625
150,0.019325442612171173,0.0856576310993837,512,32,0.03037077747285366,0.10174864530563354,0.014705276116728783,0.28125,0.020807860000786604,0.173828125,0.10714285714285714,0.32142857142857145,0.1640625,0.0546875,0.13725490196078433,0.35,0.099609375,0.0390625,0.2,0.4,0.05859375,0.029296875,0.2,0.4,0.01953125,0.009765625,0.0,0.0,0.001953125,0.001953125,0.0,0.0,0.001953125,0.0,0.0,0.0,0.0,0.0,256,16,0.006924547720700502,0.03614022210240364,-0.0001338668225798756,0.125,0.019791522831624775,0.19140625,0.5,0.5,0.046875,0.046875,1.0,0.42857142857142855,0.01171875,0.02734375,1.0,0.75,0.01171875,0.015625,1.0,1.0,0.0078125,0.0078125,1.0,1.0,0.0078125,0.0078125,0.5,1.0,0.0078125,0.00390625,1.0,1.0,0.00390625,0.00390625
200,0.010764204896986485,0.1466486127848682,512,32,0.03412787616252899,0.17083890736103058,0.02433124929666519,0.3125,0.010505107237349876,0.173828125,0.2826086956521739,0.4642857142857143,0.08984375,0.0546875,0.2631578947368421,0.5,0.07421875,0.0390625,0.25,0.4666666666666667,0.0546875,0.029296875,0.3333333333333333,0.8,0.0234375,0.009765625,0.2,1.0,0.009765625,0.001953125,0.0,0.0,0.0078125,0.0,0.0,0.0,0.0078125,0.0,256,16,0.00860756915062666,0.07839376479387283,0.003871016204357147,0.375,0.011286288091184815,0.19140625,1.0,0.25,0.01171875,0.046875,1.0,0.42857142857142855,0.01171875,0.02734375,1.0,0.75,0.01171875,0.015625,0.6666666666666666,1.0,0.01171875,0.0078125,1.0,1.0,0.0078125,0.0078125,0.5,1.0,0.0078125,0.00390625,0.5,1.0,0.0078125,0.00390625
250,0.18289782106876373,0.07762507966515177,512,32,0.011525362730026245,0.06936649978160858,-0.007740359287708998,0.3125,0.016124558302180958,0.173828125,1.0,0.14285714285714285,0.0078125,0.0546875,1.0,0.2,0.0078125,0.0390625,1.0,0.2,0.005859375,0.029296875,0.5,0.2,0.00390625,0.009765625,0.0,0.0,0.001953125,0.001953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256,16,0.009214137680828571,0.09194311499595642,-0.009211431257426739,0.125,0.01975481848688787,0.19140625,1.0,0.16666666666666666,0.0078125,0.046875,1.0,0.2857142857142857,0.0078125,0.02734375,1.0,0.5,0.0078125,0.015625,1.0,1.0,0.0078125,0.0078125,1.0,0.5,0.00390625,0.0078125,0.0,0.0,0.0,0.00390625,0.0,0.0,0.0,0.00390625
300,0.045780230313539505,0.07428275707265986,512,32,0.013047143816947937,0.07449155300855637,0.00023249693913385272,0.375,0.015331962470099825,0.173828125,0.32,0.2857142857142857,0.048828125,0.0546875,0.6363636363636364,0.35,0.021484375,0.0390625,1.0,0.4666666666666667,0.013671875,0.029296875,0.75,0.6,0.0078125,0.009765625,0.3333333333333333,1.0,0.005859375,0.001953125,0.0,0.0,0.00390625,0.0,0.0,0.0,0.0,0.0,256,16,0.00879976898431778,0.07386339455842972,-0.0037961185444146395,0.1875,0.016202194265986236,0.19140625,1.0,0.3333333333333333,0.015625,0.046875,1.0,0.42857142857142855,0.01171875,0.02734375,1.0,0.75,0.01171875,0.015625,1.0,1.0,0.0078125,0.0078125,1.0,1.0,0.0078125,0.0078125,0.5,1.0,0.0078125,0.00390625,0.0,0.0,0.0,0.00390625
350,0.012882247567176819,0.12854083219409138,512,32,0.02129826322197914,0.14996299147605896,0.011771563440561295,0.3125,0.016467660145735863,0.173828125,0.2826086956521739,0.4642857142857143,0.08984375,0.0546875,0.4,0.5,0.048828125,0.0390625,0.4666666666666667,0.4666666666666667,0.029296875,0.029296875,0.6666666666666666,0.8,0.01171875,0.009765625,0.16666666666666666,1.0,0.01171875,0.001953125,0.0,0.0,0.00390625,0.0,0.0,0.0,0.001953125,0.0,256,16,0.008907189592719078,0.06775277853012085,-0.0014214731054380536,0.25,0.013788442475686224,0.19140625,0.8,0.3333333333333333,0.01953125,0.046875,1.0,0.5714285714285714,0.015625,0.02734375,1.0,0.75,0.01171875,0.015625,1.0,1.0,0.0078125,0.0078125,1.0,1.0,0.0078125,0.0078125,0.5,1.0,0.0078125,0.00390625,1.0,1.0,0.00390625,0.00390625
400,0.004454333800822496,0.08558373221518245,512,32,0.01584908366203308,0.09337666630744934,0.006695935502648354,0.3125,0.016467660145735863,0.173828125,0.5,0.5357142857142857,0.05859375,0.0546875,0.8181818181818182,0.45,0.021484375,0.0390625,0.8888888888888888,0.5333333333333333,0.017578125,0.029296875,0.6666666666666666,0.8,0.01171875,0.009765625,0.16666666666666666,1.0,0.01171875,0.001953125,0.0,0.0,0.0078125,0.0,0.0,0.0,0.0,0.0,256,16,0.008751899003982544,0.0673447996377945,-0.0010182141559198499,0.25,0.013901863746255572,0.19140625,1.0,0.3333333333333333,0.015625,0.046875,1.0,0.5714285714285714,0.015625,0.02734375,1.0,0.75,0.01171875,0.015625,1.0,1.0,0.0078125,0.0078125,1.0,1.0,0.0078125,0.0078125,0.5,1.0,0.0078125,0.00390625,1.0,1.0,0.00390625,0.00390625
450,0.010962440632283688,0.09530386593464468,512,32,0.020143402740359306,0.10818086564540863,0.011942273005843163,0.40625,0.007865118987410824,0.173828125,0.24,0.6428571428571429,0.146484375,0.0546875,0.5172413793103449,0.75,0.056640625,0.0390625,0.6666666666666666,0.6666666666666666,0.029296875,0.029296875,0.6666666666666666,0.8,0.01171875,0.009765625,0.0,0.0,0.0078125,0.001953125,0.0,0.0,0.00390625,0.0,0.0,0.0,0.001953125,0.0,256,16,0.00903231743723154,0.06198613718152046,-0.0008691360708326101,0.25,0.013898199391476851,0.19140625,1.0,0.4166666666666667,0.01953125,0.046875,1.0,0.42857142857142855,0.01171875,0.02734375,1.0,0.75,0.01171875,0.015625,1.0,1.0,0.0078125,0.0078125,1.0,1.0,0.0078125,0.0078125,0.5,1.0,0.0078125,0.00390625,1.0,1.0,0.00390625,0.00390625
