step,training_loss,profiles,relative_rmse,mean_absolute_error
1,1.0000107288360596,544,0.998346646160187,0.006818474580104055
50,0.9909868240356445,544,0.9949854239864625,0.007761908265656116
100,0.9917879700660706,544,0.9894670750836022,0.008725901634864558
150,0.9733747243881226,544,0.9863523812625393,0.008468077640907437
200,0.9608823657035828,544,0.9258859497018589,0.010351528516781875
250,0.8285916447639465,544,0.908799228739304,0.01104332466873468
300,0.8106071352958679,544,0.8924322248521078,0.010503289372313256
350,0.8379707336425781,544,0.8768503280742623,0.010334069106158089
400,0.766609251499176,544,0.865448272092222,0.009569903270247714
450,0.8064715266227722,544,0.8560254774798961,0.009804548514123056
500,0.8517590761184692,544,0.852852201067501,0.00907761303396786
550,631511.3125,544,0.8453186272117704,0.009682459485920426
600,0.7320136427879333,544,0.8413211597952945,0.00936614079444237
650,0.663060188293457,544,0.8339276241219391,0.009376029202829
700,0.7249873876571655,544,0.8321512161015088,0.00937502499499352
750,0.8297147750854492,544,0.8255607814075846,0.009532315846362145
800,0.7617930173873901,544,0.8187347689815266,0.008825446538987503
850,0.5233473777770996,544,0.8144255512113,0.009093170815511467
900,0.8124266266822815,544,0.8133521326684151,0.009741788739472432
950,0.6462312936782837,544,0.8065755308698942,0.009184301937327666
1000,0.7752441763877869,544,0.8032647530799966,0.008781335484124476
1050,0.6756069660186768,544,0.8008234729389652,0.008429370825275097
1100,0.7042037844657898,544,0.7958356372249263,0.009060494057649101
1150,0.7025846838951111,544,0.7900532883649408,0.008496109445110644
1200,0.6274745464324951,544,0.7885911988764208,0.008775738350861992
