step,training_loss,selection_rmse,matched_examples,matched_groups,matched_gain_log_mae,matched_gain_log_rmse,matched_gain_prediction_bias_log,matched_top1_accuracy_tie_aware,matched_mean_selection_regret_log,matched_positive_target_fraction,matched_threshold_2_precision,matched_threshold_2_recall,matched_threshold_2_predicted_pass_fraction,matched_threshold_2_true_pass_fraction,matched_threshold_5_precision,matched_threshold_5_recall,matched_threshold_5_predicted_pass_fraction,matched_threshold_5_true_pass_fraction,matched_threshold_10_precision,matched_threshold_10_recall,matched_threshold_10_predicted_pass_fraction,matched_threshold_10_true_pass_fraction,matched_threshold_50_precision,matched_threshold_50_recall,matched_threshold_50_predicted_pass_fraction,matched_threshold_50_true_pass_fraction,matched_threshold_100_precision,matched_threshold_100_recall,matched_threshold_100_predicted_pass_fraction,matched_threshold_100_true_pass_fraction,matched_threshold_200_precision,matched_threshold_200_recall,matched_threshold_200_predicted_pass_fraction,matched_threshold_200_true_pass_fraction,matched_threshold_400_precision,matched_threshold_400_recall,matched_threshold_400_predicted_pass_fraction,matched_threshold_400_true_pass_fraction,stress_examples,stress_groups,stress_gain_log_mae,stress_gain_log_rmse,stress_gain_prediction_bias_log,stress_top1_accuracy_tie_aware,stress_mean_selection_regret_log,stress_positive_target_fraction,stress_threshold_2_precision,stress_threshold_2_recall,stress_threshold_2_predicted_pass_fraction,stress_threshold_2_true_pass_fraction,stress_threshold_5_precision,stress_threshold_5_recall,stress_threshold_5_predicted_pass_fraction,stress_threshold_5_true_pass_fraction,stress_threshold_10_precision,stress_threshold_10_recall,stress_threshold_10_predicted_pass_fraction,stress_threshold_10_true_pass_fraction,stress_threshold_50_precision,stress_threshold_50_recall,stress_threshold_50_predicted_pass_fraction,stress_threshold_50_true_pass_fraction,stress_threshold_100_precision,stress_threshold_100_recall,stress_threshold_100_predicted_pass_fraction,stress_threshold_100_true_pass_fraction,stress_threshold_200_precision,stress_threshold_200_recall,stress_threshold_200_predicted_pass_fraction,stress_threshold_200_true_pass_fraction,stress_threshold_400_precision,stress_threshold_400_recall,stress_threshold_400_predicted_pass_fraction,stress_threshold_400_true_pass_fraction
1,0.7037326693534851,0.5537493323177259,512,32,0.5489935874938965,0.5515875816345215,0.5472026467323303,0.25,0.022832764694612706,0.173828125,0.0546875,1.0,1.0,0.0546875,0.0390625,1.0,1.0,0.0390625,0.029296875,1.0,1.0,0.029296875,0.009765625,1.0,1.0,0.009765625,0.0,0.0,0.0,0.001953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256,16,0.5505273342132568,0.5580477118492126,0.5341808795928955,0.1875,0.027315797554365417,0.19140625,0.046875,1.0,1.0,0.046875,0.02734375,1.0,1.0,0.02734375,0.015625,1.0,1.0,0.015625,0.0078125,1.0,1.0,0.0078125,0.0,0.0,0.0,0.0078125,0.0,0.0,0.0,0.00390625,0.0,0.0,0.0,0.00390625
50,0.04047844558954239,0.1127447489150301,512,32,0.011674498207867146,0.07247703522443771,-0.011621331796050072,0.25,0.03504600382075296,0.173828125,0.0,0.0,0.0,0.0546875,0.0,0.0,0.0,0.0390625,0.0,0.0,0.0,0.029296875,0.0,0.0,0.0,0.009765625,0.0,0.0,0.0,0.001953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256,16,0.01584247127175331,0.1662176102399826,-0.01584169641137123,0.125,0.02749803006639695,0.19140625,0.0,0.0,0.0,0.046875,0.0,0.0,0.0,0.02734375,0.0,0.0,0.0,0.015625,0.0,0.0,0.0,0.0078125,0.0,0.0,0.0,0.0078125,0.0,0.0,0.0,0.00390625,0.0,0.0,0.0,0.00390625
100,0.3424757719039917,0.2321687573188249,512,32,0.020894944667816162,0.24324902892112732,0.004137373995035887,0.25,0.02155115064306301,0.173828125,1.0,0.14285714285714285,0.0078125,0.0546875,1.0,0.15,0.005859375,0.0390625,1.0,0.13333333333333333,0.00390625,0.029296875,1.0,0.4,0.00390625,0.009765625,0.5,1.0,0.00390625,0.001953125,0.0,0.0,0.00390625,0.0,0.0,0.0,0.00390625,0.0,256,16,0.017630979418754578,0.20824700593948364,0.008064936846494675,0.1875,0.016202194265986236,0.19140625,1.0,0.16666666666666666,0.0078125,0.046875,1.0,0.2857142857142857,0.0078125,0.02734375,1.0,0.5,0.0078125,0.015625,1.0,0.5,0.00390625,0.0078125,1.0,0.5,0.00390625,0.0078125,1.0,1.0,0.00390625,0.00390625,1.0,1.0,0.00390625,0.00390625
150,0.0204889215528965,0.08056972085854022,512,32,0.02018185518682003,0.07439602166414261,0.0022052808199077845,0.28125,0.029439990936225513,0.173828125,0.14285714285714285,0.25,0.095703125,0.0546875,0.15789473684210525,0.3,0.07421875,0.0390625,0.2777777777777778,0.3333333333333333,0.03515625,0.029296875,0.5,0.2,0.00390625,0.009765625,0.0,0.0,0.00390625,0.001953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256,16,0.010169697925448418,0.09167826175689697,-0.008610987104475498,0.125,0.019792388817975848,0.19140625,0.75,0.25,0.015625,0.046875,1.0,0.42857142857142855,0.01171875,0.02734375,1.0,0.5,0.0078125,0.015625,1.0,0.5,0.00390625,0.0078125,1.0,0.5,0.00390625,0.0078125,1.0,1.0,0.00390625,0.00390625,0.0,0.0,0.0,0.00390625
200,0.01081587839871645,0.0670230469088252,512,32,0.011638715863227844,0.061944592744112015,-0.0001126602292060852,0.34375,0.009543939139348367,0.173828125,0.32,0.2857142857142857,0.048828125,0.0546875,0.5384615384615384,0.35,0.025390625,0.0390625,1.0,0.4,0.01171875,0.029296875,0.6666666666666666,0.8,0.01171875,0.009765625,0.3333333333333333,1.0,0.005859375,0.001953125,0.0,0.0,0.001953125,0.0,0.0,0.0,0.0,0.0,256,16,0.008327825926244259,0.07617086917161942,-0.006120029371231794,0.3125,0.010328305714608632,0.19140625,1.0,0.25,0.01171875,0.046875,1.0,0.42857142857142855,0.01171875,0.02734375,1.0,0.5,0.0078125,0.015625,1.0,1.0,0.0078125,0.0078125,1.0,1.0,0.0078125,0.0078125,1.0,1.0,0.00390625,0.00390625,0.0,0.0,0.0,0.00390625
250,0.07877973467111588,0.09476699380037748,512,32,0.013775398023426533,0.11013849824666977,0.001234779367223382,0.21875,0.02922392986374689,0.173828125,1.0,0.21428571428571427,0.01171875,0.0546875,1.0,0.3,0.01171875,0.0390625,1.0,0.4,0.01171875,0.029296875,0.6666666666666666,0.8,0.01171875,0.009765625,0.25,1.0,0.0078125,0.001953125,0.0,0.0,0.00390625,0.0,0.0,0.0,0.001953125,0.0,256,16,0.0071875592693686485,0.05178196355700493,-0.003026450052857399,0.25,0.01601909576760363,0.19140625,1.0,0.25,0.01171875,0.046875,1.0,0.2857142857142857,0.0078125,0.02734375,1.0,0.5,0.0078125,0.015625,1.0,1.0,0.0078125,0.0078125,1.0,1.0,0.0078125,0.0078125,0.5,1.0,0.0078125,0.00390625,1.0,1.0,0.00390625,0.00390625
300,0.045044805854558945,0.08008114026305146,512,32,0.016984306275844574,0.08125847578048706,0.00545822037383914,0.25,0.030250753108703066,0.173828125,0.225,0.32142857142857145,0.078125,0.0546875,0.2608695652173913,0.3,0.044921875,0.0390625,0.4,0.4,0.029296875,0.029296875,0.6666666666666666,0.8,0.01171875,0.009765625,0.25,1.0,0.0078125,0.001953125,0.0,0.0,0.001953125,0.0,0.0,0.0,0.0,0.0,256,16,0.009283754043281078,0.07767295092344284,-0.003913372755050659,0.1875,0.016202194265986236,0.19140625,0.8,0.3333333333333333,0.01953125,0.046875,1.0,0.5714285714285714,0.015625,0.02734375,1.0,1.0,0.015625,0.015625,1.0,1.0,0.0078125,0.0078125,1.0,1.0,0.0078125,0.0078125,1.0,1.0,0.00390625,0.00390625,0.0,0.0,0.0,0.00390625
350,0.038924165070056915,0.06700545767112653,512,32,0.012231835164129734,0.07274151593446732,0.0017554062651470304,0.40625,0.01652669399709339,0.173828125,0.7692307692307693,0.35714285714285715,0.025390625,0.0546875,1.0,0.35,0.013671875,0.0390625,1.0,0.4,0.01171875,0.029296875,0.6666666666666666,0.8,0.01171875,0.009765625,0.2,1.0,0.009765625,0.001953125,0.0,0.0,0.00390625,0.0,0.0,0.0,0.0,0.0,256,16,0.008045817725360394,0.05372650921344757,-0.0023564016446471214,0.25,0.01037696530733001,0.19140625,0.6,0.25,0.01953125,0.046875,1.0,0.2857142857142857,0.0078125,0.02734375,1.0,0.5,0.0078125,0.015625,1.0,1.0,0.0078125,0.0078125,1.0,1.0,0.0078125,0.0078125,0.5,1.0,0.0078125,0.00390625,1.0,1.0,0.00390625,0.00390625
400,0.004699986893683672,0.09308061491791199,512,32,0.01878117024898529,0.10726558417081833,0.010938867926597595,0.34375,0.018386728940186003,0.173828125,0.2159090909090909,0.6785714285714286,0.171875,0.0546875,0.5357142857142857,0.75,0.0546875,0.0390625,0.8571428571428571,0.8,0.02734375,0.029296875,0.6,0.6,0.009765625,0.009765625,0.3333333333333333,1.0,0.005859375,0.001953125,0.0,0.0,0.001953125,0.0,0.0,0.0,0.001953125,0.0,256,16,0.012991316616535187,0.05459113046526909,0.004910922609269619,0.25,0.01037696530733001,0.19140625,0.24324324324324326,0.75,0.14453125,0.046875,0.6,0.42857142857142855,0.01953125,0.02734375,1.0,0.75,0.01171875,0.015625,1.0,1.0,0.0078125,0.0078125,1.0,1.0,0.0078125,0.0078125,0.5,1.0,0.0078125,0.00390625,1.0,1.0,0.00390625,0.00390625
450,0.03381645679473877,0.06213351173944323,512,32,0.010053676553070545,0.06384287029504776,-0.00399584136903286,0.34375,0.023458699923594395,0.173828125,1.0,0.25,0.013671875,0.0546875,1.0,0.3,0.01171875,0.0390625,1.0,0.4,0.01171875,0.029296875,0.6666666666666666,0.4,0.005859375,0.009765625,0.3333333333333333,1.0,0.005859375,0.001953125,0.0,0.0,0.001953125,0.0,0.0,0.0,0.0,0.0,256,16,0.0074953059665858746,0.05856531113386154,-0.00486939400434494,0.1875,0.01623891338779515,0.19140625,1.0,0.16666666666666666,0.0078125,0.046875,1.0,0.2857142857142857,0.0078125,0.02734375,1.0,0.5,0.0078125,0.015625,1.0,1.0,0.0078125,0.0078125,1.0,1.0,0.0078125,0.0078125,1.0,1.0,0.00390625,0.00390625,1.0,1.0,0.00390625,0.00390625
