step,training_loss,selection_rmse,matched_examples,matched_groups,matched_gain_log_mae,matched_gain_log_rmse,matched_gain_prediction_bias_log,matched_top1_accuracy_tie_aware,matched_mean_selection_regret_log,matched_positive_target_fraction,matched_threshold_2_precision,matched_threshold_2_recall,matched_threshold_2_predicted_pass_fraction,matched_threshold_2_true_pass_fraction,matched_threshold_5_precision,matched_threshold_5_recall,matched_threshold_5_predicted_pass_fraction,matched_threshold_5_true_pass_fraction,matched_threshold_10_precision,matched_threshold_10_recall,matched_threshold_10_predicted_pass_fraction,matched_threshold_10_true_pass_fraction,matched_threshold_50_precision,matched_threshold_50_recall,matched_threshold_50_predicted_pass_fraction,matched_threshold_50_true_pass_fraction,matched_threshold_100_precision,matched_threshold_100_recall,matched_threshold_100_predicted_pass_fraction,matched_threshold_100_true_pass_fraction,matched_threshold_200_precision,matched_threshold_200_recall,matched_threshold_200_predicted_pass_fraction,matched_threshold_200_true_pass_fraction,matched_threshold_400_precision,matched_threshold_400_recall,matched_threshold_400_predicted_pass_fraction,matched_threshold_400_true_pass_fraction,stress_examples,stress_groups,stress_gain_log_mae,stress_gain_log_rmse,stress_gain_prediction_bias_log,stress_top1_accuracy_tie_aware,stress_mean_selection_regret_log,stress_positive_target_fraction,stress_threshold_2_precision,stress_threshold_2_recall,stress_threshold_2_predicted_pass_fraction,stress_threshold_2_true_pass_fraction,stress_threshold_5_precision,stress_threshold_5_recall,stress_threshold_5_predicted_pass_fraction,stress_threshold_5_true_pass_fraction,stress_threshold_10_precision,stress_threshold_10_recall,stress_threshold_10_predicted_pass_fraction,stress_threshold_10_true_pass_fraction,stress_threshold_50_precision,stress_threshold_50_recall,stress_threshold_50_predicted_pass_fraction,stress_threshold_50_true_pass_fraction,stress_threshold_100_precision,stress_threshold_100_recall,stress_threshold_100_predicted_pass_fraction,stress_threshold_100_true_pass_fraction,stress_threshold_200_precision,stress_threshold_200_recall,stress_threshold_200_predicted_pass_fraction,stress_threshold_200_true_pass_fraction,stress_threshold_400_precision,stress_threshold_400_recall,stress_threshold_400_predicted_pass_fraction,stress_threshold_400_true_pass_fraction
1,0.7235679030418396,0.11009873759231713,512,32,0.027756720781326294,0.07008572667837143,0.009031366556882858,0.25,0.05805670531982976,0.173828125,0.07692307692307693,0.5714285714285714,0.40625,0.0546875,0.022222222222222223,0.05263157894736842,0.087890625,0.037109375,0.0,0.0,0.0,0.029296875,0.0,0.0,0.0,0.005859375,0.0,0.0,0.0,0.001953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256,16,0.04057424142956734,0.16291463375091553,0.014552916400134563,0.125,0.019404003589014198,0.19140625,0.08571428571428572,1.0,0.546875,0.046875,0.1,0.8571428571428571,0.234375,0.02734375,0.0,0.0,0.0,0.015625,0.0,0.0,0.0,0.0078125,0.0,0.0,0.0,0.00390625,0.0,0.0,0.0,0.00390625,0.0,0.0,0.0,0.00390625
50,0.7067357897758484,0.10748958368966821,512,32,0.02572614513337612,0.06841409206390381,0.007257969584316015,0.28125,0.053076575766242584,0.173828125,0.10270270270270271,0.6785714285714286,0.361328125,0.0546875,0.07317073170731707,0.15789473684210525,0.080078125,0.037109375,0.0,0.0,0.0,0.029296875,0.0,0.0,0.0,0.005859375,0.0,0.0,0.0,0.001953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256,16,0.03603849187493324,0.15906305611133575,0.010608299635350704,0.125,0.019405662119339695,0.19140625,0.09836065573770492,1.0,0.4765625,0.046875,0.12,0.8571428571428571,0.1953125,0.02734375,1.0,0.25,0.00390625,0.015625,0.0,0.0,0.0,0.0078125,0.0,0.0,0.0,0.00390625,0.0,0.0,0.0,0.00390625,0.0,0.0,0.0,0.00390625
100,0.2199222445487976,0.02355987083409517,512,32,0.006461175624281168,0.025358090177178383,0.0002950173511635512,0.46875,0.0070817966493610385,0.173828125,0.8695652173913043,0.7142857142857143,0.044921875,0.0546875,1.0,0.6842105263157895,0.025390625,0.037109375,0.9166666666666666,0.7333333333333333,0.0234375,0.029296875,0.5,0.6666666666666666,0.0078125,0.005859375,1.0,1.0,0.001953125,0.001953125,0.0,0.0,0.001953125,0.0,0.0,0.0,0.0,0.0,256,16,0.0051043955609202385,0.019471442326903343,0.004004995338618755,0.375,0.003855409978228863,0.19140625,0.6666666666666666,0.6666666666666666,0.046875,0.046875,0.8571428571428571,0.8571428571428571,0.02734375,0.02734375,0.8,1.0,0.01953125,0.015625,1.0,1.0,0.0078125,0.0078125,0.5,1.0,0.0078125,0.00390625,1.0,1.0,0.00390625,0.00390625,1.0,1.0,0.00390625,0.00390625
150,0.1570614129304886,0.04695094355191565,512,32,0.007278271950781345,0.02852574922144413,6.394804222509265e-05,0.46875,0.0070817966493610385,0.173828125,0.6551724137931034,0.6785714285714286,0.056640625,0.0546875,0.9230769230769231,0.631578947368421,0.025390625,0.037109375,1.0,0.6666666666666666,0.01953125,0.029296875,0.6666666666666666,0.6666666666666666,0.005859375,0.005859375,1.0,1.0,0.001953125,0.001953125,0.0,0.0,0.001953125,0.0,0.0,0.0,0.0,0.0,256,16,0.01117338240146637,0.07060974836349487,0.009233646094799042,0.3125,0.007556785542789157,0.19140625,0.27586206896551724,0.6666666666666666,0.11328125,0.046875,0.5,0.5714285714285714,0.03125,0.02734375,0.8,1.0,0.01953125,0.015625,1.0,1.0,0.0078125,0.0078125,0.5,1.0,0.0078125,0.00390625,0.5,1.0,0.0078125,0.00390625,1.0,1.0,0.00390625,0.00390625
200,0.1421060860157013,0.04520168661476588,512,32,0.010222057811915874,0.030034009367227554,0.0017219558358192444,0.375,0.021359620591754336,0.173828125,0.27692307692307694,0.6428571428571429,0.126953125,0.0546875,0.631578947368421,0.631578947368421,0.037109375,0.037109375,0.9,0.6,0.01953125,0.029296875,1.0,0.6666666666666666,0.00390625,0.005859375,1.0,1.0,0.001953125,0.001953125,0.0,0.0,0.001953125,0.0,0.0,0.0,0.0,0.0,256,16,0.012927642092108727,0.06576848775148392,0.010904921218752861,0.1875,0.013633177940306496,0.19140625,0.19444444444444445,0.5833333333333334,0.140625,0.046875,0.36363636363636365,0.5714285714285714,0.04296875,0.02734375,0.6666666666666666,1.0,0.0234375,0.015625,1.0,1.0,0.0078125,0.0078125,0.5,1.0,0.0078125,0.00390625,1.0,1.0,0.00390625,0.00390625,1.0,1.0,0.00390625,0.00390625
250,0.14039796590805054,0.048730043191679055,512,32,0.01622995361685753,0.03641830384731293,0.008277815766632557,0.375,0.025643715563335334,0.173828125,0.1810344827586207,0.75,0.2265625,0.0546875,0.21311475409836064,0.6842105263157895,0.119140625,0.037109375,0.5294117647058824,0.6,0.033203125,0.029296875,1.0,0.6666666666666666,0.00390625,0.005859375,1.0,1.0,0.001953125,0.001953125,0.0,0.0,0.001953125,0.0,0.0,0.0,0.0,0.0,256,16,0.01578245870769024,0.06686752289533615,0.013746903277933598,0.125,0.019434176172232753,0.19140625,0.19047619047619047,0.6666666666666666,0.1640625,0.046875,0.15384615384615385,0.5714285714285714,0.1015625,0.02734375,0.4444444444444444,1.0,0.03515625,0.015625,1.0,1.0,0.0078125,0.0078125,0.5,1.0,0.0078125,0.00390625,1.0,1.0,0.00390625,0.00390625,1.0,1.0,0.00390625,0.00390625
300,0.16490906476974487,0.043004754004879485,512,32,0.013736221939325333,0.033927567303180695,0.004255049861967564,0.375,0.017491216375917773,0.173828125,0.1956521739130435,0.6428571428571429,0.1796875,0.0546875,0.2926829268292683,0.631578947368421,0.080078125,0.037109375,0.7272727272727273,0.5333333333333333,0.021484375,0.029296875,1.0,0.3333333333333333,0.001953125,0.005859375,1.0,1.0,0.001953125,0.001953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256,16,0.011732107028365135,0.05697426572442055,0.009284195490181446,0.125,0.019434176172232753,0.19140625,0.16666666666666666,0.5,0.140625,0.046875,0.3076923076923077,0.5714285714285714,0.05078125,0.02734375,0.6666666666666666,1.0,0.0234375,0.015625,1.0,1.0,0.0078125,0.0078125,0.5,1.0,0.0078125,0.00390625,1.0,1.0,0.00390625,0.00390625,1.0,1.0,0.00390625,0.00390625
350,0.12901130318641663,0.04353710590083994,512,32,0.014524081721901894,0.03272005543112755,0.006446780636906624,0.375,0.017496266453479237,0.173828125,0.18518518518518517,0.7142857142857143,0.2109375,0.0546875,0.23076923076923078,0.631578947368421,0.1015625,0.037109375,0.6923076923076923,0.6,0.025390625,0.029296875,1.0,0.6666666666666666,0.00390625,0.005859375,1.0,1.0,0.001953125,0.001953125,0.0,0.0,0.001953125,0.0,0.0,0.0,0.0,0.0,256,16,0.013540786691009998,0.05954187363386154,0.011448961682617664,0.125,0.019434176172232753,0.19140625,0.17073170731707318,0.5833333333333334,0.16015625,0.046875,0.16666666666666666,0.5714285714285714,0.09375,0.02734375,0.6666666666666666,1.0,0.0234375,0.015625,1.0,1.0,0.0078125,0.0078125,0.5,1.0,0.0078125,0.00390625,1.0,1.0,0.00390625,0.00390625,1.0,1.0,0.00390625,0.00390625
400,0.1356864869594574,0.043755079665469106,512,32,0.014259127900004387,0.03131967782974243,0.006849823519587517,0.375,0.016932969527504227,0.173828125,0.18691588785046728,0.7142857142857143,0.208984375,0.0546875,0.24,0.631578947368421,0.09765625,0.037109375,0.7142857142857143,0.6666666666666666,0.02734375,0.029296875,1.0,1.0,0.005859375,0.005859375,1.0,1.0,0.001953125,0.001953125,0.0,0.0,0.001953125,0.0,0.0,0.0,0.0,0.0,256,16,0.013769546523690224,0.0614953376352787,0.011746572330594063,0.125,0.019434176172232753,0.19140625,0.19047619047619047,0.6666666666666666,0.1640625,0.046875,0.16666666666666666,0.5714285714285714,0.09375,0.02734375,0.6666666666666666,1.0,0.0234375,0.015625,1.0,1.0,0.0078125,0.0078125,0.5,1.0,0.0078125,0.00390625,1.0,1.0,0.00390625,0.00390625,1.0,1.0,0.00390625,0.00390625
450,0.08382964134216309,0.04210240464422474,512,32,0.013353556394577026,0.028889862820506096,0.00669916532933712,0.40625,0.012640103312394402,0.173828125,0.19230769230769232,0.7142857142857143,0.203125,0.0546875,0.2857142857142857,0.631578947368421,0.08203125,0.037109375,0.8461538461538461,0.7333333333333333,0.025390625,0.029296875,1.0,1.0,0.005859375,0.005859375,1.0,1.0,0.001953125,0.001953125,0.0,0.0,0.001953125,0.0,0.0,0.0,0.0,0.0,256,16,0.013274934142827988,0.060403551906347275,0.011334930546581745,0.1875,0.016928732414832837,0.19140625,0.20930232558139536,0.75,0.16796875,0.046875,0.2222222222222222,0.5714285714285714,0.0703125,0.02734375,0.6666666666666666,1.0,0.0234375,0.015625,1.0,1.0,0.0078125,0.0078125,0.5,1.0,0.0078125,0.00390625,1.0,1.0,0.00390625,0.00390625,1.0,1.0,0.00390625,0.00390625
