step,capsule_payload_bytes,capsule_scalar_values_sent,contact_threshold_rx_power_dbm,contact_threshold_snr_db,expert_advertisement_bytes,expert_advertisement_scalar_values,expert_bank_accepted_pulls,expert_bank_coverage_recalculations,expert_bank_manifest_records,expert_bank_model_messages,expert_bank_receivers,expert_bank_rejected_pulls,feasible_contact_decisions,feasible_contact_pairs,greedy_comm_bytes,greedy_comm_cumulative_mb,greedy_comm_mb,greedy_events,local_policy_initial_pull_probability,model_parameter_values_pulled,model_payload_bytes,model_transfer_snr_min_db,noise_floor_dbm,propagation_loss_contact_threshold_db,rssi_gossip_threshold_dbm,snr_min_db
1,0,0,-100.0,0.0,0,0,0,0,0,0,26,0,352,176,0,0.0,0.0,0,1.0,0,0,0.0,-100.0,123.0,-100.0,0.0
2,44000,11000,-100.0,0.0,2401932,600483,149,152,352,152,26,3,352,176,2764576,2.764576,2.764576,152,1.0,690840,2763360,0.0,-100.0,123.0,-100.0,0.0
3,52404,13101,-100.0,0.0,19717240,4929310,133,292,2463,140,26,7,352,176,2546320,5.310896,2.54632,140,1.0,636300,2545200,0.0,-100.0,123.0,-100.0,0.0
4,49632,12408,-100.0,0.0,25570156,6392539,104,400,3059,108,26,4,320,160,1964304,7.2752,1.964304,108,1.0,490860,1963440,0.0,-100.0,123.0,-100.0,0.0
5,60896,15224,-100.0,0.0,32980512,8245128,115,522,3786,122,28,7,340,170,2218936,9.494136,2.218936,122,1.0,554490,2217960,0.0,-100.0,123.0,-100.0,0.0
6,75812,18953,-100.0,0.0,37194708,9298677,100,653,4046,131,29,31,336,168,2382628,11.876764,2.382628,131,1.0,595395,2381580,0.0,-100.0,123.0,-100.0,0.0
7,62128,15532,-100.0,0.0,43617656,10904414,70,746,4536,93,32,23,376,188,1691484,13.568248,1.691484,93,1.0,422685,1690740,0.0,-100.0,123.0,-100.0,0.0
8,99528,24882,-100.0,0.0,52204224,13051056,105,877,5257,131,35,26,430,215,2382628,15.950876,2.382628,131,1.0,595395,2381580,0.0,-100.0,123.0,-100.0,0.0
9,130592,32648,-100.0,0.0,67808528,16952132,108,1031,6437,154,37,46,526,263,2800952,18.751828,2.800952,154,1.0,699930,2799720,0.0,-100.0,123.0,-100.0,0.0
10,146872,36718,-100.0,0.0,79974072,19993518,111,1189,7243,158,38,47,552,276,2873704,21.625532,2.873704,158,1.0,718110,2872440,0.0,-100.0,123.0,-100.0,0.0
11,124652,31163,-100.0,0.0,103163680,25790920,101,1310,8969,121,39,20,652,326,2200748,23.82628,2.200748,121,1.0,549945,2199780,0.0,-100.0,123.0,-100.0,0.0
