step,training_loss,selection_reconstruction_rmse,matched_relative_rmse,stress_relative_rmse
1,1.0018692016601562,0.9999072625656601,0.9999468541232229,0.9998676694403984
100,0.5656864047050476,0.6121463762773733,0.6162982016414027,0.6079661985938133
200,0.4638001620769501,0.5007009191827531,0.5039698839546187,0.49741047134904154
300,0.3359283208847046,0.46643501137654686,0.4684809377492305,0.4643800713222741
400,0.3879163861274719,0.438518092699951,0.4403426137653956,0.4366859486549405
500,0.20609134435653687,0.41120351872047484,0.41414905790757084,0.4082367272189892
600,0.36786848306655884,0.4027209979608845,0.40586961338454425,0.3995475707951458
700,0.3494361340999603,0.39810868084904444,0.40122926582917295,0.3949634410637465
800,0.29588988423347473,0.39132875468173556,0.39447507781106655,0.38815692891853537
900,0.36957472562789917,0.3833791307391055,0.3863382952166798,0.3803969471770428
1000,0.18765297532081604,0.3775028161225433,0.3802560729684507,0.37472933075956816
1100,0.20585089921951294,0.3743521536589033,0.3770143041241516,0.3716709356189962
1200,0.22628119587898254,0.3725529142024645,0.37516078659212887,0.36992665754859144
1300,0.2320556789636612,0.37106806134377507,0.3736709347780633,0.3684468005030626
1400,0.31520789861679077,0.3700552887240925,0.37259518642082085,0.3674978373832649
1500,0.1584087461233139,0.3689656821729189,0.3714881505006524,0.36642584963435565
1600,0.23151077330112457,0.36805316126182014,0.3705197355309691,0.3655699448965949
1700,0.1879149228334427,0.3672575740410312,0.3697514655436624,0.3647466313885858
1800,0.28395745158195496,0.36648160613702313,0.3689403849612811,0.36400621920259263
1900,0.6065923571586609,0.36582469495087494,0.3682418082057895,0.3633915045252599
2000,0.18116167187690735,0.3649345293953257,0.36730830604894776,0.36254521069437423
2100,0.359017014503479,0.3643138375913316,0.366712764929094,0.3618990087843642
2200,0.17161497473716736,0.3636943322203734,0.3660259066316797,0.3613477137784374
2300,0.2711513340473175,0.36273515896557784,0.3650347594982059,0.36042088654467985
2400,0.25887763500213623,0.3616130791622344,0.36390005791897684,0.3593115443301955
2500,0.2850920557975769,0.3606991759389532,0.3629039911734084,0.3584808003735912
2600,0.339169979095459,0.359451232590166,0.36163689028041357,0.35725220336548147
2700,0.19545714557170868,0.3581613002105982,0.3603134018200847,0.3559961887519735
2800,0.2183627337217331,0.35675109398267313,0.358863266500198,0.3546263414813908
2900,0.2439597100019455,0.35568343911672845,0.3577679171518739,0.35358667279836337
3000,0.2839038372039795,0.3541491270917654,0.3561667691769073,0.3521199241363692
