step,training_loss,selection_rmse,matched_examples,matched_groups,matched_gain_log_mae,matched_gain_log_rmse,matched_gain_prediction_bias_log,matched_top1_accuracy_tie_aware,matched_mean_selection_regret_log,matched_positive_target_fraction,matched_threshold_2_precision,matched_threshold_2_recall,matched_threshold_2_predicted_pass_fraction,matched_threshold_2_true_pass_fraction,matched_threshold_5_precision,matched_threshold_5_recall,matched_threshold_5_predicted_pass_fraction,matched_threshold_5_true_pass_fraction,matched_threshold_10_precision,matched_threshold_10_recall,matched_threshold_10_predicted_pass_fraction,matched_threshold_10_true_pass_fraction,matched_threshold_50_precision,matched_threshold_50_recall,matched_threshold_50_predicted_pass_fraction,matched_threshold_50_true_pass_fraction,matched_threshold_100_precision,matched_threshold_100_recall,matched_threshold_100_predicted_pass_fraction,matched_threshold_100_true_pass_fraction,matched_threshold_200_precision,matched_threshold_200_recall,matched_threshold_200_predicted_pass_fraction,matched_threshold_200_true_pass_fraction,matched_threshold_400_precision,matched_threshold_400_recall,matched_threshold_400_predicted_pass_fraction,matched_threshold_400_true_pass_fraction,stress_examples,stress_groups,stress_gain_log_mae,stress_gain_log_rmse,stress_gain_prediction_bias_log,stress_top1_accuracy_tie_aware,stress_mean_selection_regret_log,stress_positive_target_fraction,stress_threshold_2_precision,stress_threshold_2_recall,stress_threshold_2_predicted_pass_fraction,stress_threshold_2_true_pass_fraction,stress_threshold_5_precision,stress_threshold_5_recall,stress_threshold_5_predicted_pass_fraction,stress_threshold_5_true_pass_fraction,stress_threshold_10_precision,stress_threshold_10_recall,stress_threshold_10_predicted_pass_fraction,stress_threshold_10_true_pass_fraction,stress_threshold_50_precision,stress_threshold_50_recall,stress_threshold_50_predicted_pass_fraction,stress_threshold_50_true_pass_fraction,stress_threshold_100_precision,stress_threshold_100_recall,stress_threshold_100_predicted_pass_fraction,stress_threshold_100_true_pass_fraction,stress_threshold_200_precision,stress_threshold_200_recall,stress_threshold_200_predicted_pass_fraction,stress_threshold_200_true_pass_fraction,stress_threshold_400_precision,stress_threshold_400_recall,stress_threshold_400_predicted_pass_fraction,stress_threshold_400_true_pass_fraction
1,0.8916577696800232,0.18771176337445097,1536,96,0.04007181525230408,0.1977919340133667,0.00015423167496919632,0.1875,0.06024273939178748,0.20182291666666666,0.07971014492753623,0.6790123456790124,0.44921875,0.052734375,0.05357142857142857,0.15789473684210525,0.109375,0.037109375,0.0,0.0,0.004557291666666667,0.028645833333333332,0.0,0.0,0.0,0.011067708333333334,0.0,0.0,0.0,0.0078125,0.0,0.0,0.0,0.005859375,0.0,0.0,0.0,0.0032552083333333335,768,48,0.037654850631952286,0.16572211682796478,0.009517774917185307,0.14583333333333334,0.030891433591921046,0.20442708333333334,0.06806282722513089,0.7027027027027027,0.4973958333333333,0.048177083333333336,0.08870967741935484,0.4583333333333333,0.16145833333333334,0.03125,0.0,0.0,0.0,0.022135416666666668,0.0,0.0,0.0,0.0078125,0.0,0.0,0.0,0.00390625,0.0,0.0,0.0,0.00390625,0.0,0.0,0.0,0.0026041666666666665
50,0.7925955653190613,0.18603827841386553,1536,96,0.03592291474342346,0.19639021158218384,-0.00404656445607543,0.22916666666666666,0.049960082808274464,0.20182291666666666,0.09479553903345725,0.6296296296296297,0.3502604166666667,0.052734375,0.08737864077669903,0.15789473684210525,0.06705729166666667,0.037109375,0.5,0.022727272727272728,0.0013020833333333333,0.028645833333333332,0.0,0.0,0.0,0.011067708333333334,0.0,0.0,0.0,0.0078125,0.0,0.0,0.0,0.005859375,0.0,0.0,0.0,0.0032552083333333335,768,48,0.031492408365011215,0.16337837278842926,0.003271525027230382,0.14583333333333334,0.031369524208257595,0.20442708333333334,0.0847457627118644,0.6756756756756757,0.3841145833333333,0.048177083333333336,0.14925373134328357,0.4166666666666667,0.08723958333333333,0.03125,1.0,0.058823529411764705,0.0013020833333333333,0.022135416666666668,0.0,0.0,0.0,0.0078125,0.0,0.0,0.0,0.00390625,0.0,0.0,0.0,0.00390625,0.0,0.0,0.0,0.0026041666666666665
100,0.4689866006374359,0.0656764304935616,1536,96,0.011562776751816273,0.07161910086870193,-0.000270296965027228,0.4375,0.008930070026475908,0.20182291666666666,0.3836477987421384,0.7530864197530864,0.103515625,0.052734375,0.8775510204081632,0.7543859649122807,0.031901041666666664,0.037109375,0.9722222222222222,0.7954545454545454,0.0234375,0.028645833333333332,0.8823529411764706,0.8823529411764706,0.011067708333333334,0.011067708333333334,0.9090909090909091,0.8333333333333334,0.007161458333333333,0.0078125,0.8888888888888888,0.8888888888888888,0.005859375,0.005859375,1.0,0.8,0.0026041666666666665,0.0032552083333333335,768,48,0.009761800989508629,0.05178406462073326,0.0008301551570184529,0.375,0.012153467007113505,0.20442708333333334,0.39705882352941174,0.7297297297297297,0.08854166666666667,0.048177083333333336,0.7727272727272727,0.7083333333333334,0.028645833333333332,0.03125,0.9166666666666666,0.6470588235294118,0.015625,0.022135416666666668,1.0,0.6666666666666666,0.005208333333333333,0.0078125,0.6666666666666666,0.6666666666666666,0.00390625,0.00390625,1.0,0.6666666666666666,0.0026041666666666665,0.00390625,1.0,1.0,0.0026041666666666665,0.0026041666666666665
150,0.27568918466567993,0.05814612683281035,1536,96,0.009065412916243076,0.055413540452718735,-0.001590726780705154,0.4166666666666667,0.008933945015661138,0.20182291666666666,0.9285714285714286,0.48148148148148145,0.02734375,0.052734375,1.0,0.5263157894736842,0.01953125,0.037109375,1.0,0.5227272727272727,0.014973958333333334,0.028645833333333332,1.0,0.7058823529411765,0.0078125,0.011067708333333334,0.9166666666666666,0.9166666666666666,0.0078125,0.0078125,0.8888888888888888,0.8888888888888888,0.005859375,0.005859375,0.7142857142857143,1.0,0.004557291666666667,0.0032552083333333335,768,48,0.008652832359075546,0.06325816363096237,-0.0014205961488187313,0.3541666666666667,0.012594460663828263,0.20442708333333334,0.85,0.4594594594594595,0.026041666666666668,0.048177083333333336,0.9230769230769231,0.5,0.016927083333333332,0.03125,1.0,0.5882352941176471,0.013020833333333334,0.022135416666666668,1.0,0.6666666666666666,0.005208333333333333,0.0078125,0.75,1.0,0.005208333333333333,0.00390625,1.0,0.6666666666666666,0.0026041666666666665,0.00390625,1.0,1.0,0.0026041666666666665,0.0026041666666666665
200,0.22528347373008728,0.05979477479132247,1536,96,0.01288911234587431,0.05557034909725189,0.0050679720006883144,0.3541666666666667,0.014502830616962706,0.20182291666666666,0.2524752475247525,0.6296296296296297,0.13151041666666666,0.052734375,0.4927536231884058,0.5964912280701754,0.044921875,0.037109375,0.9666666666666667,0.6590909090909091,0.01953125,0.028645833333333332,0.9285714285714286,0.7647058823529411,0.009114583333333334,0.011067708333333334,0.9166666666666666,0.9166666666666666,0.0078125,0.0078125,0.8888888888888888,0.8888888888888888,0.005859375,0.005859375,0.7142857142857143,1.0,0.004557291666666667,0.0032552083333333335,768,48,0.012060503475368023,0.06745456159114838,0.00442083366215229,0.2708333333333333,0.017127862014707063,0.20442708333333334,0.28378378378378377,0.5675675675675675,0.09635416666666667,0.048177083333333336,0.5384615384615384,0.5833333333333334,0.033854166666666664,0.03125,0.8,0.7058823529411765,0.01953125,0.022135416666666668,1.0,0.6666666666666666,0.005208333333333333,0.0078125,0.75,1.0,0.005208333333333333,0.00390625,0.6666666666666666,0.6666666666666666,0.00390625,0.00390625,1.0,1.0,0.0026041666666666665,0.0026041666666666665
250,0.16561083495616913,0.051380735327292586,1536,96,0.013766582123935223,0.04871037229895592,0.004586320836097002,0.34375,0.015567755761078791,0.20182291666666666,0.2139917695473251,0.6419753086419753,0.158203125,0.052734375,0.37777777777777777,0.5964912280701754,0.05859375,0.037109375,0.90625,0.6590909090909091,0.020833333333333332,0.028645833333333332,1.0,0.7647058823529411,0.008463541666666666,0.011067708333333334,0.9166666666666666,0.9166666666666666,0.0078125,0.0078125,0.8888888888888888,0.8888888888888888,0.005859375,0.005859375,0.7142857142857143,1.0,0.004557291666666667,0.0032552083333333335,768,48,0.011859312653541565,0.05634304881095886,0.003709530457854271,0.25,0.019061528092015816,0.20442708333333334,0.25301204819277107,0.5675675675675675,0.10807291666666667,0.048177083333333336,0.40540540540540543,0.625,0.048177083333333336,0.03125,0.75,0.7058823529411765,0.020833333333333332,0.022135416666666668,1.0,0.6666666666666666,0.005208333333333333,0.0078125,0.75,1.0,0.005208333333333333,0.00390625,1.0,0.6666666666666666,0.0026041666666666665,0.00390625,1.0,1.0,0.0026041666666666665,0.0026041666666666665
300,0.162465438246727,0.058948121412594257,1536,96,0.017231812700629234,0.05612027645111084,0.011059756390750408,0.3541666666666667,0.014255189150404727,0.20182291666666666,0.18731117824773413,0.7654320987654321,0.21549479166666666,0.052734375,0.25161290322580643,0.6842105263157895,0.10091145833333333,0.037109375,0.5636363636363636,0.7045454545454546,0.035807291666666664,0.028645833333333332,0.9375,0.8823529411764706,0.010416666666666666,0.011067708333333334,0.9166666666666666,0.9166666666666666,0.0078125,0.0078125,0.8888888888888888,0.8888888888888888,0.005859375,0.005859375,0.7142857142857143,1.0,0.004557291666666667,0.0032552083333333335,768,48,0.014599679969251156,0.06423139572143555,0.008254668675363064,0.25,0.019061528092015816,0.20442708333333334,0.22330097087378642,0.6216216216216216,0.13411458333333334,0.048177083333333336,0.2711864406779661,0.6666666666666666,0.07682291666666667,0.03125,0.6,0.7058823529411765,0.026041666666666668,0.022135416666666668,1.0,0.6666666666666666,0.005208333333333333,0.0078125,0.75,1.0,0.005208333333333333,0.00390625,1.0,1.0,0.00390625,0.00390625,1.0,1.0,0.0026041666666666665,0.0026041666666666665
350,0.12123403698205948,0.05517502139889792,1536,96,0.015647418797016144,0.052526552230119705,0.008789199404418468,0.3645833333333333,0.01409217408734816,0.20182291666666666,0.19078947368421054,0.7160493827160493,0.19791666666666666,0.052734375,0.2992125984251969,0.6666666666666666,0.08268229166666667,0.037109375,0.7045454545454546,0.7045454545454546,0.028645833333333332,0.028645833333333332,0.9375,0.8823529411764706,0.010416666666666666,0.011067708333333334,0.9166666666666666,0.9166666666666666,0.0078125,0.0078125,0.8888888888888888,0.8888888888888888,0.005859375,0.005859375,0.7142857142857143,1.0,0.004557291666666667,0.0032552083333333335,768,48,0.013137114234268665,0.06012297049164772,0.006341360975056887,0.25,0.019061528092015816,0.20442708333333334,0.24468085106382978,0.6216216216216216,0.12239583333333333,0.048177083333333336,0.32608695652173914,0.625,0.059895833333333336,0.03125,0.6666666666666666,0.7058823529411765,0.0234375,0.022135416666666668,1.0,0.6666666666666666,0.005208333333333333,0.0078125,0.75,1.0,0.005208333333333333,0.00390625,1.0,1.0,0.00390625,0.00390625,1.0,1.0,0.0026041666666666665,0.0026041666666666665
400,0.09230402112007141,0.052417289281624445,1536,96,0.01656651310622692,0.05005241557955742,0.010850694961845875,0.3541666666666667,0.014222778273521067,0.20182291666666666,0.19005847953216373,0.8024691358024691,0.22265625,0.052734375,0.2709677419354839,0.7368421052631579,0.10091145833333333,0.037109375,0.6274509803921569,0.7272727272727273,0.033203125,0.028645833333333332,0.9411764705882353,0.9411764705882353,0.011067708333333334,0.011067708333333334,0.9166666666666666,0.9166666666666666,0.0078125,0.0078125,0.8888888888888888,0.8888888888888888,0.005859375,0.005859375,0.7142857142857143,1.0,0.004557291666666667,0.0032552083333333335,768,48,0.014088804833590984,0.056852687150239944,0.00802402850240469,0.2708333333333333,0.018441301367011203,0.20442708333333334,0.22321428571428573,0.6756756756756757,0.14583333333333334,0.048177083333333336,0.2711864406779661,0.6666666666666666,0.07682291666666667,0.03125,0.631578947368421,0.7058823529411765,0.024739583333333332,0.022135416666666668,1.0,0.6666666666666666,0.005208333333333333,0.0078125,0.75,1.0,0.005208333333333333,0.00390625,1.0,1.0,0.00390625,0.00390625,1.0,1.0,0.0026041666666666665,0.0026041666666666665
450,0.11550313234329224,0.05881924006434774,1536,96,0.017558658495545387,0.056508708745241165,0.013208198361098766,0.3541666666666667,0.014157433659738317,0.20182291666666666,0.18309859154929578,0.8024691358024691,0.23111979166666666,0.052734375,0.25443786982248523,0.7543859649122807,0.11002604166666667,0.037109375,0.5892857142857143,0.75,0.036458333333333336,0.028645833333333332,0.8888888888888888,0.9411764705882353,0.01171875,0.011067708333333334,0.9166666666666666,0.9166666666666666,0.0078125,0.0078125,0.9,1.0,0.006510416666666667,0.005859375,0.7142857142857143,1.0,0.004557291666666667,0.0032552083333333335,768,48,0.014712770469486713,0.06318734586238861,0.009656880982220173,0.2916666666666667,0.01729688753071083,0.20442708333333334,0.226890756302521,0.7297297297297297,0.15494791666666666,0.048177083333333336,0.27419354838709675,0.7083333333333334,0.08072916666666667,0.03125,0.6190476190476191,0.7647058823529411,0.02734375,0.022135416666666668,1.0,0.6666666666666666,0.005208333333333333,0.0078125,0.75,1.0,0.005208333333333333,0.00390625,1.0,1.0,0.00390625,0.00390625,1.0,1.0,0.0026041666666666665,0.0026041666666666665
