step,capsule_payload_bytes,capsule_scalar_values_sent,contact_threshold_rx_power_dbm,contact_threshold_snr_db,expert_advertisement_bytes,expert_advertisement_scalar_values,expert_bank_accepted_pulls,expert_bank_coverage_recalculations,expert_bank_manifest_records,expert_bank_model_messages,expert_bank_receivers,expert_bank_rejected_pulls,feasible_contact_decisions,feasible_contact_pairs,greedy_comm_bytes,greedy_comm_cumulative_mb,greedy_comm_mb,greedy_events,local_policy_initial_pull_probability,model_parameter_values_pulled,model_payload_bytes,model_transfer_snr_min_db,noise_floor_dbm,propagation_loss_contact_threshold_db,rssi_gossip_threshold_dbm,snr_min_db
1,0,0,-100.0,0.0,0,0,0,0,0,0,26,0,352,176,0,0.0,0.0,0,1.0,0,0,0.0,-100.0,123.0,-100.0,0.0
2,37444,9361,-100.0,0.0,1274240,318560,127,130,352,130,26,3,352,176,2364440,2.36444,2.36444,130,1.0,590850,2363400,0.0,-100.0,123.0,-100.0,0.0
3,43340,10835,-100.0,0.0,7721460,1930365,109,240,2133,110,26,1,352,176,2000680,4.36512,2.00068,110,1.0,499950,1999800,0.0,-100.0,123.0,-100.0,0.0
4,29656,7414,-100.0,0.0,9241860,2310465,66,306,2553,66,26,0,320,160,1200408,5.565528,1.200408,66,1.0,299970,1199880,0.0,-100.0,123.0,-100.0,0.0
5,42372,10593,-100.0,0.0,11833780,2958445,84,390,3269,84,28,0,340,170,1527792,7.09332,1.527792,84,1.0,381780,1527120,0.0,-100.0,123.0,-100.0,0.0
6,37752,9438,-100.0,0.0,13292640,3323160,62,460,3672,70,29,8,336,168,1273160,8.36648,1.27316,70,1.0,318150,1272600,0.0,-100.0,123.0,-100.0,0.0
7,48004,12001,-100.0,0.0,15080920,3770230,55,523,4166,63,32,8,376,188,1145844,9.512324,1.145844,63,1.0,286335,1145340,0.0,-100.0,123.0,-100.0,0.0
8,65164,16291,-100.0,0.0,17209480,4302370,82,606,4754,83,35,1,430,215,1509604,11.021928,1.509604,83,1.0,377235,1508940,0.0,-100.0,123.0,-100.0,0.0
9,71940,17985,-100.0,0.0,21372480,5343120,76,687,5904,81,37,5,526,263,1473228,12.495156,1.473228,81,1.0,368145,1472580,0.0,-100.0,123.0,-100.0,0.0
10,88000,22000,-100.0,0.0,24279340,6069835,93,783,6707,96,38,3,552,276,1746048,14.241204,1.746048,96,1.0,436320,1745280,0.0,-100.0,123.0,-100.0,0.0
11,77880,19470,-100.0,0.0,29206160,7301540,76,861,8068,78,39,2,652,326,1418664,15.659868,1.418664,78,1.0,354510,1418040,0.0,-100.0,123.0,-100.0,0.0
12,56144,14036,-100.0,0.0,33684100,8421025,50,912,9305,51,40,1,728,364,927588,16.587456,0.927588,51,1.0,231795,927180,0.0,-100.0,123.0,-100.0,0.0
13,42240,10560,-100.0,0.0,38162040,9540510,43,959,10542,47,42,4,818,409,854836,17.442292,0.854836,47,1.0,213615,854460,0.0,-100.0,123.0,-100.0,0.0
14,52536,13134,-100.0,0.0,42234540,10558635,48,1011,11667,52,44,4,936,468,945776,18.388068,0.945776,52,1.0,236340,945360,0.0,-100.0,123.0,-100.0,0.0
15,78012,19503,-100.0,0.0,42049920,10512480,67,1081,11616,70,43,3,906,453,1273160,19.661228,1.27316,70,1.0,318150,1272600,0.0,-100.0,123.0,-100.0,0.0
16,75504,18876,-100.0,0.0,46907960,11726990,52,1143,12958,62,45,10,994,497,1127656,20.788884,1.127656,62,1.0,281790,1127160,0.0,-100.0,123.0,-100.0,0.0
17,81840,20460,-100.0,0.0,47925180,11981295,63,1209,13239,66,46,3,1032,516,1200408,21.989292,1.200408,66,1.0,299970,1199880,0.0,-100.0,123.0,-100.0,0.0
18,91608,22902,-100.0,0.0,46158620,11539655,69,1278,12751,69,44,0,954,477,1254972,23.244264,1.254972,69,1.0,313605,1254420,0.0,-100.0,123.0,-100.0,0.0
19,45540,11385,-100.0,0.0,52012160,13003040,46,1324,14368,46,44,0,982,491,836648,24.080912,0.836648,46,1.0,209070,836280,0.0,-100.0,123.0,-100.0,0.0
20,29084,7271,-100.0,0.0,55317220,13829305,26,1350,15281,26,45,0,1020,510,472888,24.5538,0.472888,26,1.0,118170,472680,0.0,-100.0,123.0,-100.0,0.0
21,22000,5500,-100.0,0.0,54441180,13610295,17,1369,15039,19,44,2,986,493,345572,24.899372,0.345572,19,1.0,86355,345420,0.0,-100.0,123.0,-100.0,0.0
22,35200,8800,-100.0,0.0,55157940,13789485,26,1395,15237,26,44,0,988,494,472888,25.37226,0.472888,26,1.0,118170,472680,0.0,-100.0,123.0,-100.0,0.0
23,35860,8965,-100.0,0.0,55519940,13879985,24,1419,15337,24,44,0,988,494,436512,25.808772,0.436512,24,1.0,109080,436320,0.0,-100.0,123.0,-100.0,0.0
24,20900,5225,-100.0,0.0,55751620,13937905,15,1434,15401,15,44,0,992,496,272820,26.081592,0.27282,15,1.0,68175,272700,0.0,-100.0,123.0,-100.0,0.0
25,37180,9295,-100.0,0.0,55606820,13901705,32,1466,15361,32,44,0,990,495,582016,26.663608,0.582016,32,1.0,145440,581760,0.0,-100.0,123.0,-100.0,0.0
26,18832,4708,-100.0,0.0,53351560,13337890,16,1482,14738,16,44,0,950,475,291008,26.954616,0.291008,16,1.0,72720,290880,0.0,-100.0,123.0,-100.0,0.0
27,16940,4235,-100.0,0.0,52906300,13226575,11,1493,14615,11,44,0,942,471,200068,27.154684,0.200068,11,1.0,49995,199980,0.0,-100.0,123.0,-100.0,0.0
28,11440,2860,-100.0,0.0,54256560,13564140,7,1500,14988,7,44,0,964,482,127316,27.282,0.127316,7,1.0,31815,127260,0.0,-100.0,123.0,-100.0,0.0
