step,training_loss,examples,groups,gain_log_mae_capped,gain_log_rmse_capped,gain_log_rmse_uncapped,gain_prediction_bias_log_capped,top1_accuracy_tie_aware,mean_selection_regret_log,positive_target_fraction,threshold_2_precision,threshold_2_recall,threshold_2_predicted_pass_fraction,threshold_2_true_pass_fraction,threshold_5_precision,threshold_5_recall,threshold_5_predicted_pass_fraction,threshold_5_true_pass_fraction,threshold_10_precision,threshold_10_recall,threshold_10_predicted_pass_fraction,threshold_10_true_pass_fraction,threshold_50_precision,threshold_50_recall,threshold_50_predicted_pass_fraction,threshold_50_true_pass_fraction,threshold_100_precision,threshold_100_recall,threshold_100_predicted_pass_fraction,threshold_100_true_pass_fraction
1,0.9250418543815613,2048,128,0.7790299654006958,0.7806225419044495,0.781352698802948,0.777599573135376,0.015625,0.11756037470331404,0.29638671875,0.0634765625,1.0,1.0,0.0634765625,0.03759765625,1.0,1.0,0.03759765625,0.0234375,1.0,1.0,0.0234375,0.005859375,1.0,1.0,0.005859375,0.001953125,1.0,1.0,0.001953125
25,0.8386666774749756,2048,128,0.704106867313385,0.7058165669441223,0.7066632509231567,0.7025067806243896,0.015625,0.11703639674799926,0.29638671875,0.0634765625,1.0,1.0,0.0634765625,0.03759765625,1.0,1.0,0.03759765625,0.0234375,1.0,1.0,0.0234375,0.005859375,1.0,1.0,0.005859375,0.001953125,1.0,1.0,0.001953125
50,0.4225260019302368,2048,128,0.4146965742111206,0.42052513360977173,0.4221612215042114,0.4117119610309601,0.046875,0.11512997193457197,0.29638671875,0.0634765625,1.0,1.0,0.0634765625,0.03759765625,1.0,1.0,0.03759765625,0.0234375,1.0,1.0,0.0234375,0.010452961672473868,1.0,0.560546875,0.005859375,0.0,0.0,0.0,0.001953125
75,0.035606179386377335,2048,128,0.01901617832481861,0.0717819482088089,0.0835699513554573,0.0014147072797641158,0.046875,0.11697905212043969,0.29638671875,0.11676646706586827,0.3,0.1630859375,0.0634765625,0.07006369426751592,0.14285714285714285,0.07666015625,0.03759765625,0.0684931506849315,0.10416666666666667,0.03564453125,0.0234375,0.0,0.0,0.0,0.005859375,0.0,0.0,0.0,0.001953125
100,0.013566647656261921,2048,128,0.011274787597358227,0.06909860670566559,0.08134297281503677,-0.008251214399933815,0.03125,0.11716477849772167,0.29638671875,0.12658227848101267,0.07692307692307693,0.03857421875,0.0634765625,0.0,0.0,0.0,0.03759765625,0.0,0.0,0.0,0.0234375,0.0,0.0,0.0,0.005859375,0.0,0.0,0.0,0.001953125
125,0.02214565873146057,2048,128,0.010876737534999847,0.06912164390087128,0.08136320114135742,-0.008763103745877743,0.03125,0.11716477849772167,0.29638671875,0.06451612903225806,0.015384615384615385,0.01513671875,0.0634765625,0.0,0.0,0.0,0.03759765625,0.0,0.0,0.0,0.0234375,0.0,0.0,0.0,0.005859375,0.0,0.0,0.0,0.001953125
150,0.012487790547311306,2048,128,0.010721661150455475,0.06913812458515167,0.08137737214565277,-0.008965815417468548,0.03125,0.11716477849772167,0.29638671875,0.06451612903225806,0.015384615384615385,0.01513671875,0.0634765625,0.0,0.0,0.0,0.03759765625,0.0,0.0,0.0,0.0234375,0.0,0.0,0.0,0.005859375,0.0,0.0,0.0,0.001953125
175,0.00565894041210413,2048,128,0.01060385163873434,0.06915391981601715,0.08139089494943619,-0.009119178168475628,0.03125,0.11716477849772167,0.29638671875,0.0,0.0,0.0078125,0.0634765625,0.0,0.0,0.0,0.03759765625,0.0,0.0,0.0,0.0234375,0.0,0.0,0.0,0.005859375,0.0,0.0,0.0,0.001953125
200,0.0013528993586078286,2048,128,0.01049672719091177,0.06917107850313187,0.08140557259321213,-0.009258135221898556,0.03125,0.11716404510711476,0.29638671875,0.0,0.0,0.0,0.0634765625,0.0,0.0,0.0,0.03759765625,0.0,0.0,0.0,0.0234375,0.0,0.0,0.0,0.005859375,0.0,0.0,0.0,0.001953125
225,0.0025359755381941795,2048,128,0.010417167097330093,0.0691852793097496,0.08141767978668213,-0.009362157434225082,0.03125,0.11716404510711476,0.29638671875,0.0,0.0,0.0,0.0634765625,0.0,0.0,0.0,0.03759765625,0.0,0.0,0.0,0.0234375,0.0,0.0,0.0,0.005859375,0.0,0.0,0.0,0.001953125
250,0.012263390235602856,2048,128,0.010365772992372513,0.06919527053833008,0.08142620325088501,-0.009429821744561195,0.03125,0.11716404510711476,0.29638671875,0.0,0.0,0.0,0.0634765625,0.0,0.0,0.0,0.03759765625,0.0,0.0,0.0,0.0234375,0.0,0.0,0.0,0.005859375,0.0,0.0,0.0,0.001953125
275,0.00345029984600842,2048,128,0.010334375314414501,0.06920169293880463,0.08143167197704315,-0.009471098892390728,0.03125,0.11716404510711476,0.29638671875,0.0,0.0,0.0,0.0634765625,0.0,0.0,0.0,0.03759765625,0.0,0.0,0.0,0.0234375,0.0,0.0,0.0,0.005859375,0.0,0.0,0.0,0.001953125
300,0.0030689972918480635,2048,128,0.01030036062002182,0.0692090094089508,0.08143790066242218,-0.00951608270406723,0.03125,0.11716404510711476,0.29638671875,0.0,0.0,0.0,0.0634765625,0.0,0.0,0.0,0.03759765625,0.0,0.0,0.0,0.0234375,0.0,0.0,0.0,0.005859375,0.0,0.0,0.0,0.001953125
325,0.0469638891518116,2048,128,0.010279491543769836,0.06921354681253433,0.08144176751375198,-0.009543616324663162,0.03125,0.11716404510711476,0.29638671875,0.0,0.0,0.0,0.0634765625,0.0,0.0,0.0,0.03759765625,0.0,0.0,0.0,0.0234375,0.0,0.0,0.0,0.005859375,0.0,0.0,0.0,0.001953125
350,0.03937692940235138,2048,128,0.010264642536640167,0.06921686977148056,0.08144459873437881,-0.009563228115439415,0.03125,0.11716404510711476,0.29638671875,0.0,0.0,0.0,0.0634765625,0.0,0.0,0.0,0.03759765625,0.0,0.0,0.0,0.0234375,0.0,0.0,0.0,0.005859375,0.0,0.0,0.0,0.001953125
375,0.020489618182182312,2048,128,0.010236022993922234,0.069223552942276,0.08145028352737427,-0.00960109755396843,0.03125,0.11716404510711476,0.29638671875,0.0,0.0,0.0,0.0634765625,0.0,0.0,0.0,0.03759765625,0.0,0.0,0.0,0.0234375,0.0,0.0,0.0,0.005859375,0.0,0.0,0.0,0.001953125
400,0.04464254528284073,2048,128,0.010215029120445251,0.06922854483127594,0.08145454525947571,-0.009628819301724434,0.03125,0.11716404510711476,0.29638671875,0.0,0.0,0.0,0.0634765625,0.0,0.0,0.0,0.03759765625,0.0,0.0,0.0,0.0234375,0.0,0.0,0.0,0.005859375,0.0,0.0,0.0,0.001953125
425,0.009740137495100498,2048,128,0.010209580883383751,0.06922977417707443,0.08145558089017868,-0.009635942988097668,0.03125,0.11716404510711476,0.29638671875,0.0,0.0,0.0,0.0634765625,0.0,0.0,0.0,0.03759765625,0.0,0.0,0.0,0.0234375,0.0,0.0,0.0,0.005859375,0.0,0.0,0.0,0.001953125
450,0.010728346183896065,2048,128,0.010199355892837048,0.06923221796751022,0.08145765960216522,-0.00964939035475254,0.03125,0.11716404510711476,0.29638671875,0.0,0.0,0.0,0.0634765625,0.0,0.0,0.0,0.03759765625,0.0,0.0,0.0,0.0234375,0.0,0.0,0.0,0.005859375,0.0,0.0,0.0,0.001953125
475,0.004931422881782055,2048,128,0.010201716795563698,0.06923149526119232,0.08145704120397568,-0.009646161459386349,0.03125,0.11716404510711476,0.29638671875,0.0,0.0,0.0,0.0634765625,0.0,0.0,0.0,0.03759765625,0.0,0.0,0.0,0.0234375,0.0,0.0,0.0,0.005859375,0.0,0.0,0.0,0.001953125
500,0.05835231393575668,2048,128,0.010187143459916115,0.0692349523305893,0.08145998418331146,-0.009665273129940033,0.03125,0.11716404510711476,0.29638671875,0.0,0.0,0.0,0.0634765625,0.0,0.0,0.0,0.03759765625,0.0,0.0,0.0,0.0234375,0.0,0.0,0.0,0.005859375,0.0,0.0,0.0,0.001953125
525,0.005256520118564367,2048,128,0.01017037034034729,0.0692390576004982,0.08146347850561142,-0.009687291458249092,0.03125,0.11716404510711476,0.29638671875,0.0,0.0,0.0,0.0634765625,0.0,0.0,0.0,0.03759765625,0.0,0.0,0.0,0.0234375,0.0,0.0,0.0,0.005859375,0.0,0.0,0.0,0.001953125
550,0.11663897335529327,2048,128,0.010152081027626991,0.06924378871917725,0.08146751672029495,-0.009711408987641335,0.03125,0.11716404510711476,0.29638671875,0.0,0.0,0.0,0.0634765625,0.0,0.0,0.0,0.03759765625,0.0,0.0,0.0,0.0234375,0.0,0.0,0.0,0.005859375,0.0,0.0,0.0,0.001953125
575,0.020329631865024567,2048,128,0.01016036793589592,0.06924141198396683,0.08146549016237259,-0.00970031600445509,0.03125,0.11716404510711476,0.29638671875,0.0,0.0,0.0,0.0634765625,0.0,0.0,0.0,0.03759765625,0.0,0.0,0.0,0.0234375,0.0,0.0,0.0,0.005859375,0.0,0.0,0.0,0.001953125
600,0.031888555735349655,2048,128,0.010185932740569115,0.06923454254865646,0.081459641456604,-0.009666317142546177,0.03125,0.11716404510711476,0.29638671875,0.0,0.0,0.0,0.0634765625,0.0,0.0,0.0,0.03759765625,0.0,0.0,0.0,0.0234375,0.0,0.0,0.0,0.005859375,0.0,0.0,0.0,0.001953125
625,0.008795234374701977,2048,128,0.010180654004216194,0.06923574209213257,0.08146065473556519,-0.009673184715211391,0.03125,0.11716404510711476,0.29638671875,0.0,0.0,0.0,0.0634765625,0.0,0.0,0.0,0.03759765625,0.0,0.0,0.0,0.0234375,0.0,0.0,0.0,0.005859375,0.0,0.0,0.0,0.001953125
650,0.0998176634311676,2048,128,0.010189531370997429,0.06923326104879379,0.08145854622125626,-0.009661274030804634,0.03125,0.11716404510711476,0.29638671875,0.0,0.0,0.0,0.0634765625,0.0,0.0,0.0,0.03759765625,0.0,0.0,0.0,0.0234375,0.0,0.0,0.0,0.005859375,0.0,0.0,0.0,0.001953125
675,0.038123443722724915,2048,128,0.010187918320298195,0.06923335045576096,0.08145862072706223,-0.009663151577115059,0.03125,0.11716404510711476,0.29638671875,0.0,0.0,0.0,0.0634765625,0.0,0.0,0.0,0.03759765625,0.0,0.0,0.0,0.0234375,0.0,0.0,0.0,0.005859375,0.0,0.0,0.0,0.001953125
700,0.012441554106771946,2048,128,0.010184792801737785,0.06923399120569229,0.0814591646194458,-0.009667164646089077,0.03125,0.11716404510711476,0.29638671875,0.0,0.0,0.0,0.0634765625,0.0,0.0,0.0,0.03759765625,0.0,0.0,0.0,0.0234375,0.0,0.0,0.0,0.005859375,0.0,0.0,0.0,0.001953125
725,0.002705460414290428,2048,128,0.010173046961426735,0.06923698633909225,0.08146170526742935,-0.009682674892246723,0.03125,0.11716404510711476,0.29638671875,0.0,0.0,0.0,0.0634765625,0.0,0.0,0.0,0.03759765625,0.0,0.0,0.0,0.0234375,0.0,0.0,0.0,0.005859375,0.0,0.0,0.0,0.001953125
750,0.00780904944986105,2048,128,0.010169966146349907,0.06923771649599075,0.0814623311161995,-0.009686699137091637,0.03125,0.11716404510711476,0.29638671875,0.0,0.0,0.0,0.0634765625,0.0,0.0,0.0,0.03759765625,0.0,0.0,0.0,0.0234375,0.0,0.0,0.0,0.005859375,0.0,0.0,0.0,0.001953125
775,0.000429248611908406,2048,128,0.010172773152589798,0.06923674792051315,0.08146150410175323,-0.009682796895503998,0.03125,0.11716404510711476,0.29638671875,0.0,0.0,0.0,0.0634765625,0.0,0.0,0.0,0.03759765625,0.0,0.0,0.0,0.0234375,0.0,0.0,0.0,0.005859375,0.0,0.0,0.0,0.001953125
800,0.01029460970312357,2048,128,0.010190218687057495,0.06923195719718933,0.08145742118358612,-0.009659472852945328,0.03125,0.11716404510711476,0.29638671875,0.0,0.0,0.0,0.0634765625,0.0,0.0,0.0,0.03759765625,0.0,0.0,0.0,0.0234375,0.0,0.0,0.0,0.005859375,0.0,0.0,0.0,0.001953125
825,0.03367520868778229,2048,128,0.010178079828619957,0.0692349523305893,0.08145997673273087,-0.009675435721874237,0.03125,0.11716404510711476,0.29638671875,0.0,0.0,0.0,0.0634765625,0.0,0.0,0.0,0.03759765625,0.0,0.0,0.0,0.0234375,0.0,0.0,0.0,0.005859375,0.0,0.0,0.0,0.001953125
850,0.021364623680710793,2048,128,0.010188711807131767,0.06923185288906097,0.08145733922719955,-0.009661074727773666,0.03125,0.11716404510711476,0.29638671875,0.0,0.0,0.0,0.0634765625,0.0,0.0,0.0,0.03759765625,0.0,0.0,0.0,0.0234375,0.0,0.0,0.0,0.005859375,0.0,0.0,0.0,0.001953125
