step,training_loss,examples,groups,gain_log_mae,gain_log_rmse,gain_relative_mae,gain_relative_rmse,gain_prediction_bias_log,top1_accuracy,mean_selection_regret_log,positive_target_fraction,negative_prediction_fraction,plane_count_min,plane_count_max,plane_count_mean
1,0.06832032650709152,2048,256,0.20078393816947937,0.5977649688720703,1.345757007598877,14.36285400390625,-0.2003273069858551,0.125,0.3182778993368629,0.78662109375,0.99462890625,1,320,53.97404609723029
250,0.028176380321383476,2048,256,0.1312754601240158,0.30561062693595886,1.1305736303329468,12.839229583740234,0.0035044439136981964,0.546875,0.07099042370009556,0.78662109375,0.11865234375,1,320,53.97404609723029
500,0.048712167888879776,2048,256,0.20736895501613617,0.5108304619789124,17.22161865234375,310.81121826171875,0.07827992737293243,0.54296875,0.07685107563065685,0.78662109375,0.1787109375,1,320,53.97404609723029
750,0.05909942090511322,2048,256,0.13603845238685608,0.33765891194343567,1.1968917846679688,13.624234199523926,-0.03703455626964569,0.42578125,0.10933078287689568,0.78662109375,0.08935546875,1,320,53.97404609723029
1000,0.028586072847247124,2048,256,0.11260615289211273,0.27968674898147583,0.9970012903213501,10.363923072814941,-0.007011766545474529,0.5546875,0.07183200201598083,0.78662109375,0.21044921875,1,320,53.97404609723029
1250,0.02109622396528721,2048,256,0.11327669024467468,0.27557459473609924,1.0555510520935059,12.08824634552002,-0.008537574671208858,0.58984375,0.06321443582328357,0.78662109375,0.09814453125,1,320,53.97404609723029
1500,0.07104240357875824,2048,256,0.11854861676692963,0.28539344668388367,1.0937224626541138,12.624009132385254,-0.002924656495451927,0.60546875,0.05926255235590361,0.78662109375,0.0263671875,1,320,53.97404609723029
1750,0.12131179124116898,2048,256,0.12537303566932678,0.2663433253765106,0.9868365526199341,11.259538650512695,0.04346742108464241,0.62890625,0.055065706808818504,0.78662109375,0.16748046875,1,320,53.97404609723029
2000,0.048832446336746216,2048,256,0.12840934097766876,0.27199193835258484,0.9082127213478088,9.921944618225098,0.05478520318865776,0.609375,0.052116214770649094,0.78662109375,0.0390625,1,320,53.97404609723029
2250,0.1313624531030655,2048,256,0.10053982585668564,0.26438453793525696,0.8984419703483582,10.617778778076172,-0.007743340916931629,0.62890625,0.05365039625667123,0.78662109375,0.43701171875,1,320,53.97404609723029
2500,0.2567693591117859,2048,256,0.10369345545768738,0.2776861786842346,1.0256493091583252,11.89869499206543,-0.02067551203072071,0.63671875,0.045244178108077904,0.78662109375,0.42236328125,1,320,53.97404609723029
2750,0.018304618075489998,2048,256,0.11181481182575226,0.26963695883750916,0.9864086508750916,11.050619125366211,-0.010352740064263344,0.609375,0.049694273219756724,0.78662109375,0.01220703125,1,320,53.97404609723029
3000,0.005412885919213295,2048,256,0.11110168695449829,0.3118422031402588,1.1423656940460205,13.38171672821045,-0.04035278782248497,0.62890625,0.04538944363503106,0.78662109375,0.2119140625,1,320,53.97404609723029
3250,0.02149907685816288,2048,256,0.10261676460504532,0.27067357301712036,1.0044982433319092,12.214653015136719,-0.02022426761686802,0.640625,0.04412022855012765,0.78662109375,0.41943359375,1,320,53.97404609723029
3500,0.20526348054409027,2048,256,0.11464964598417282,0.2695483863353729,0.9816140532493591,11.737147331237793,0.015532324090600014,0.6328125,0.044136217577033676,0.78662109375,0.01123046875,1,320,53.97404609723029
3750,0.23526519536972046,2048,256,0.1197638064622879,0.2905932068824768,1.2329260110855103,14.519107818603516,0.050838641822338104,0.6171875,0.05194471004415391,0.78662109375,0.0048828125,1,320,53.97404609723029
4000,0.005785591900348663,2048,256,0.12434298545122147,0.3038610816001892,1.2041609287261963,13.527873992919922,0.0040377466939389706,0.51171875,0.059971027271785715,0.78662109375,0.00439453125,1,320,53.97404609723029
4250,0.01023031584918499,2048,256,0.10015730559825897,0.2623926103115082,0.9823528528213501,11.840389251708984,-0.01301000639796257,0.63671875,0.04677617555717006,0.78662109375,0.3037109375,1,320,53.97404609723029
4500,0.8752668499946594,2048,256,0.10910020768642426,0.26583990454673767,0.8978691101074219,10.231574058532715,0.02651471458375454,0.63671875,0.04531447932095034,0.78662109375,0.2080078125,1,320,53.97404609723029
4750,0.0795336589217186,2048,256,0.10138387978076935,0.2639773190021515,0.9250646829605103,9.79421329498291,0.01551817450672388,0.63671875,0.04811422090187989,0.78662109375,0.19384765625,1,320,53.97404609723029
5000,0.017404252663254738,2048,256,0.10875657200813293,0.2921799421310425,1.0662816762924194,12.674887657165527,-0.03893599659204483,0.625,0.04646671397767932,0.78662109375,0.0517578125,1,320,53.97404609723029
5250,0.016763420775532722,2048,256,0.10071654617786407,0.2619416415691376,0.9755429029464722,11.974936485290527,-0.019937455654144287,0.6328125,0.04610608265556948,0.78662109375,0.19873046875,1,320,53.97404609723029
5500,0.08684469014406204,2048,256,0.09973660111427307,0.2609555721282959,0.8333275318145752,9.633173942565918,0.008090540766716003,0.6484375,0.0439468180629774,0.78662109375,0.232421875,1,320,53.97404609723029
5750,0.10468654334545135,2048,256,0.1062246635556221,0.2614744007587433,0.9758479595184326,11.596626281738281,0.005063035991042852,0.671875,0.036210452890372835,0.78662109375,0.2236328125,1,320,53.97404609723029
6000,0.011283592320978642,2048,256,0.09727825224399567,0.25139275193214417,0.8740211725234985,10.535037994384766,0.0005988762713968754,0.64453125,0.0429334735890734,0.78662109375,0.27880859375,1,320,53.97404609723029
6250,0.019468501210212708,2048,256,0.10195760428905487,0.2634640038013458,0.8626335263252258,8.513402938842773,0.0004677572287619114,0.62890625,0.046116057018480205,0.78662109375,0.1396484375,1,320,53.97404609723029
6500,0.07767017185688019,2048,256,0.09800393879413605,0.2605266869068146,0.8680042028427124,10.339284896850586,-0.013318577781319618,0.64453125,0.04191418615573639,0.78662109375,0.2353515625,1,320,53.97404609723029
6750,0.012454989366233349,2048,256,0.11087913066148758,0.2726227641105652,1.0511906147003174,12.454656600952148,-0.001149103045463562,0.64453125,0.04103761181522714,0.78662109375,0.0400390625,1,320,53.97404609723029
7000,0.14547370374202728,2048,256,0.10265783965587616,0.25442007184028625,0.899005115032196,10.299161911010742,0.011621951125562191,0.65625,0.041072593376156874,0.78662109375,0.11181640625,1,320,53.97404609723029
7250,0.018323250114917755,2048,256,0.09902140498161316,0.2655532658100128,0.9535927176475525,11.442721366882324,-0.016044726595282555,0.65625,0.044891631098835205,0.78662109375,0.3955078125,1,320,53.97404609723029
7500,0.12081915140151978,2048,256,0.11900368332862854,0.27298110723495483,1.0530524253845215,12.461020469665527,0.01983288861811161,0.640625,0.04578521220537368,0.78662109375,0.01318359375,1,320,53.97404609723029
7750,0.019142191857099533,2048,256,0.10802207887172699,0.27507758140563965,0.9142942428588867,8.939047813415527,0.027070779353380203,0.64453125,0.05051632128015626,0.78662109375,0.19384765625,1,320,53.97404609723029
8000,0.3080609142780304,2048,256,0.0993412658572197,0.2661457657814026,1.0164897441864014,12.39047622680664,-0.027418524026870728,0.6328125,0.05130024197478633,0.78662109375,0.234375,1,320,53.97404609723029
8250,0.2578335404396057,2048,256,0.11867952346801758,0.26969340443611145,0.9044309854507446,9.41557502746582,0.03681456297636032,0.625,0.050592179301020224,0.78662109375,0.1474609375,1,320,53.97404609723029
8500,0.006643373519182205,2048,256,0.10218317806720734,0.25963225960731506,0.9953113794326782,12.080930709838867,-0.003338728565722704,0.65234375,0.04313949374773074,0.78662109375,0.18115234375,1,320,53.97404609723029
8750,0.03428778797388077,2048,256,0.1075063943862915,0.28320932388305664,0.8661847710609436,8.600790977478027,0.007272875867784023,0.64453125,0.04519505561529513,0.78662109375,0.08056640625,1,320,53.97404609723029
9000,0.01176489144563675,2048,256,0.09970550239086151,0.252419650554657,0.9474688768386841,11.788479804992676,0.0027167117223143578,0.63671875,0.04694351591751911,0.78662109375,0.1591796875,1,320,53.97404609723029
9250,0.02237297222018242,2048,256,0.10735499113798141,0.260996550321579,0.9211598038673401,10.661273002624512,0.0181819349527359,0.62109375,0.047691413738903066,0.78662109375,0.02099609375,1,320,53.97404609723029
9500,0.04644329845905304,2048,256,0.09758537262678146,0.25943657755851746,0.9486125707626343,11.461833953857422,-0.013032620772719383,0.6328125,0.04555056494427845,0.78662109375,0.1943359375,1,320,53.97404609723029
9750,0.20272357761859894,2048,256,0.10239987075328827,0.2651575207710266,0.7914174199104309,8.726475715637207,0.01021589245647192,0.6484375,0.04501453060947824,0.78662109375,0.11767578125,1,320,53.97404609723029
10000,0.02071036398410797,2048,256,0.09999659657478333,0.26897159218788147,0.863162100315094,9.16818618774414,0.004325996618717909,0.6328125,0.046962572625488974,0.78662109375,0.173828125,1,320,53.97404609723029
10250,0.005041227210313082,2048,256,0.10366588830947876,0.2646159827709198,0.8959664702415466,10.375283241271973,-0.0016938811168074608,0.64453125,0.04589343488623854,0.78662109375,0.04345703125,1,320,53.97404609723029
10500,0.01309771928936243,2048,256,0.10189983993768692,0.27186867594718933,1.0640034675598145,12.73167896270752,-0.021482406184077263,0.63671875,0.04595402235190704,0.78662109375,0.35888671875,1,320,53.97404609723029
