step,training_loss,examples,groups,gain_log_mae,gain_log_rmse,gain_relative_mae,gain_relative_rmse,gain_prediction_bias_log,top1_accuracy,mean_selection_regret_log,positive_target_fraction,plane_count_min,plane_count_max,plane_count_mean
1,0.44775086641311646,2048,128,0.7795522809028625,1.190972924232483,72.33847045898438,880.310546875,0.3397321105003357,0.0,0.9877520965819713,0.93115234375,1,1192,62.82077205882353
250,0.2701083719730377,2048,128,0.22231537103652954,0.46988263726234436,63.96733856201172,820.1748657226562,-0.016774354502558708,0.359375,0.2522873437847011,0.93115234375,1,1192,62.82077205882353
500,0.4632323086261749,2048,128,0.22651958465576172,0.6317922472953796,70.17758178710938,872.0848999023438,-0.15699395537376404,0.375,0.20770921630901285,0.93115234375,1,1192,62.82077205882353
750,0.03888209909200668,2048,128,0.19144542515277863,0.50274258852005,259.7259216308594,3275.9638671875,-0.037812937051057816,0.4453125,0.1450240439735353,0.93115234375,1,1192,62.82077205882353
1000,0.023563776165246964,2048,128,0.17765913903713226,0.4279616177082062,61.92250061035156,807.9363403320312,-0.037091948091983795,0.4453125,0.15307125795516185,0.93115234375,1,1192,62.82077205882353
1250,0.020855668932199478,2048,128,0.17838023602962494,0.4190354645252228,64.79142761230469,811.965087890625,0.02241167612373829,0.4921875,0.10397367150289938,0.93115234375,1,1192,62.82077205882353
1500,0.0018650441197678447,2048,128,0.17352518439292908,0.4110114276409149,58.859500885009766,753.1292114257812,0.011654220521450043,0.4140625,0.13060016557574272,0.93115234375,1,1192,62.82077205882353
1750,0.06984875351190567,2048,128,0.1520645022392273,0.3507745563983917,43.014488220214844,573.4088745117188,-0.023917261511087418,0.4921875,0.1294031210418325,0.93115234375,1,1192,62.82077205882353
2000,0.01444005686789751,2048,128,0.2235037088394165,0.5731285810470581,999.1260986328125,15428.53125,-0.1377699375152588,0.5,0.10516487757558934,0.93115234375,1,1192,62.82077205882353
2250,0.013826621696352959,2048,128,0.2559300661087036,0.7063397169113159,13792.751953125,223388.5625,0.1577829122543335,0.515625,0.10005908363382332,0.93115234375,1,1192,62.82077205882353
