step,training_loss,examples,groups,gain_log_mae,gain_log_rmse,gain_relative_mae,gain_relative_rmse,gain_prediction_bias_log,top1_accuracy,mean_selection_regret_log,positive_target_fraction,plane_count_min,plane_count_max,plane_count_mean
1,0.41963592171669006,2048,256,0.6619248390197754,0.7744175791740417,1.9608724117279053,8.382701873779297,0.43457135558128357,0.0078125,0.739985161642835,0.7275390625,1,1137,83.140625
250,0.27433711290359497,2048,256,0.19557735323905945,0.4359935522079468,1.1904109716415405,7.505757808685303,-0.029775073751807213,0.5234375,0.11285106813738821,0.7275390625,1,1137,83.140625
500,0.09511348605155945,2048,256,0.19507867097854614,0.4185411036014557,1.165241003036499,7.429739475250244,-0.027015408501029015,0.5234375,0.10990748326730682,0.7275390625,1,1137,83.140625
750,0.15859605371952057,2048,256,0.1949005424976349,0.4055776298046112,1.1442525386810303,7.081754207611084,0.009339670650660992,0.53515625,0.10585997418820625,0.7275390625,1,1137,83.140625
1000,0.23789340257644653,2048,256,0.1973203718662262,0.4019230008125305,1.174180030822754,7.517715930938721,0.0012420602142810822,0.5234375,0.10265548594907159,0.7275390625,1,1137,83.140625
1250,0.1010870561003685,2048,256,0.19176001846790314,0.4049112796783447,1.1344830989837646,7.3171305656433105,-0.006126607768237591,0.53515625,0.11047307751869084,0.7275390625,1,1137,83.140625
1500,0.04077594727277756,2048,256,0.1839512586593628,0.408321738243103,1.1322968006134033,7.000082492828369,-0.04307154566049576,0.546875,0.1040266901763971,0.7275390625,1,1137,83.140625
1750,0.13186867535114288,2048,256,0.1869049072265625,0.3899586796760559,1.112695574760437,7.001048564910889,0.01239742897450924,0.5234375,0.11648149266693508,0.7275390625,1,1137,83.140625
2000,0.12223735451698303,2048,256,0.18043042719364166,0.38073816895484924,1.0837528705596924,6.841122627258301,-0.01538918074220419,0.5234375,0.10754531303973636,0.7275390625,1,1137,83.140625
2250,0.09429755806922913,2048,256,0.19051885604858398,0.39787349104881287,1.144176959991455,7.528474807739258,-0.009335396811366081,0.51953125,0.11191786522249458,0.7275390625,1,1137,83.140625
2500,0.02012704312801361,2048,256,0.18334755301475525,0.384726881980896,1.1060333251953125,6.892545700073242,-0.0007647480815649033,0.52734375,0.11313053483172553,0.7275390625,1,1137,83.140625
2750,0.04127724841237068,2048,256,0.1814606785774231,0.39055347442626953,1.1150423288345337,7.161832332611084,-0.029385147616267204,0.50390625,0.11118176523450529,0.7275390625,1,1137,83.140625
3000,0.14781509339809418,2048,256,0.1804654449224472,0.3850642144680023,1.0853326320648193,6.82582950592041,-0.003696669824421406,0.546875,0.10205508815852227,0.7275390625,1,1137,83.140625
