step,training_loss,examples,groups,gain_log_mae,gain_log_rmse,gain_relative_mae,gain_relative_rmse,gain_prediction_bias_log,top1_accuracy,mean_selection_regret_log,positive_target_fraction,plane_count_min,plane_count_max,plane_count_mean,threshold_2_predicted_pass_fraction,threshold_2_true_pass_fraction,threshold_2_precision,threshold_2_recall,threshold_5_predicted_pass_fraction,threshold_5_true_pass_fraction,threshold_5_precision,threshold_5_recall,threshold_10_predicted_pass_fraction,threshold_10_true_pass_fraction,threshold_10_precision,threshold_10_recall,threshold_50_predicted_pass_fraction,threshold_50_true_pass_fraction,threshold_50_precision,threshold_50_recall,threshold_100_predicted_pass_fraction,threshold_100_true_pass_fraction,threshold_100_precision,threshold_100_recall
1,0.534649133682251,4096,256,0.7148221731185913,0.7309483289718628,1.493363618850708,22.570951461791992,0.6964651346206665,0.0078125,0.22274295428197632,0.2841796875,1,3391,138.15142463235293,1.0,0.06298828125,0.06298828125,1.0,1.0,0.0400390625,0.0400390625,1.0,1.0,0.0283203125,0.0283203125,1.0,1.0,0.011962890625,0.011962890625,1.0,1.0,0.008056640625,0.008056640625,1.0
100,0.0034131270367652178,4096,256,0.022501733154058456,0.22306407988071442,0.4754523038864136,22.568695068359375,-0.022145990282297134,0.0078125,0.22266417938472927,0.2841796875,1,3391,138.15142463235293,0.001953125,0.06298828125,0.125,0.003875968992248062,0.0,0.0400390625,0.0,0.0,0.0,0.0283203125,0.0,0.0,0.0,0.011962890625,0.0,0.0,0.0,0.008056640625,0.0,0.0
200,0.0010133119067177176,4096,256,0.023204363882541656,0.22284035384655,0.4761608839035034,22.568639755249023,-0.02118324488401413,0.0078125,0.22266417938472927,0.2841796875,1,3391,138.15142463235293,0.003173828125,0.06298828125,0.15384615384615385,0.007751937984496124,0.002685546875,0.0400390625,0.09090909090909091,0.006097560975609756,0.0,0.0283203125,0.0,0.0,0.0,0.011962890625,0.0,0.0,0.0,0.008056640625,0.0,0.0
300,0.09645456075668335,4096,256,0.042889319360256195,0.2204662710428238,0.4961645007133484,22.567426681518555,0.002536715706810355,0.01171875,0.22263079036084577,0.2841796875,1,3391,138.15142463235293,0.931396484375,0.06298828125,0.05923984272608126,0.875968992248062,0.018310546875,0.0400390625,0.10666666666666667,0.04878048780487805,0.0048828125,0.0283203125,0.25,0.04310344827586207,0.0,0.011962890625,0.0,0.0,0.0,0.008056640625,0.0,0.0
400,0.005592314526438713,4096,256,0.048498839139938354,0.20624126493930817,0.5019389986991882,22.555612564086914,0.013140276074409485,0.26953125,0.06728873503621724,0.2841796875,1,3391,138.15142463235293,0.753173828125,0.06298828125,0.08233387358184766,0.9844961240310077,0.15966796875,0.0400390625,0.15137614678899083,0.6036585365853658,0.022705078125,0.0283203125,0.3548387096774194,0.28448275862068967,0.0009765625,0.011962890625,1.0,0.08163265306122448,0.00048828125,0.008056640625,0.5,0.030303030303030304
500,0.010693968273699284,4096,256,0.022370532155036926,0.21424341201782227,0.4752100706100464,22.56148910522461,-0.020915187895298004,0.22265625,0.05929990070680713,0.2841796875,1,3391,138.15142463235293,0.008544921875,0.06298828125,0.3142857142857143,0.04263565891472868,0.008056640625,0.0400390625,0.2727272727272727,0.054878048780487805,0.005615234375,0.0283203125,0.34782608695652173,0.06896551724137931,0.000732421875,0.011962890625,1.0,0.061224489795918366,0.00048828125,0.008056640625,0.5,0.030303030303030304
600,1.2145222425460815,4096,256,0.046935055404901505,0.18115867674350739,0.49859553575515747,22.40751838684082,0.02194465696811676,0.21875,0.05942719039635147,0.2841796875,1,3391,138.15142463235293,0.353759765625,0.06298828125,0.11732229123533472,0.6589147286821705,0.171630859375,0.0400390625,0.13655761024182078,0.5853658536585366,0.095458984375,0.0283203125,0.15601023017902813,0.5258620689655172,0.01953125,0.011962890625,0.2875,0.46938775510204084,0.008544921875,0.008056640625,0.4857142857142857,0.5151515151515151
700,0.003021964803338051,4096,256,0.02939271554350853,0.17018286883831024,0.6116475462913513,22.07436752319336,0.007464918773621321,0.26953125,0.06606730002336558,0.2841796875,1,3391,138.15142463235293,0.177734375,0.06298828125,0.18543956043956045,0.5232558139534884,0.085205078125,0.0400390625,0.22636103151862463,0.4817073170731707,0.04150390625,0.0283203125,0.3058823529411765,0.4482758620689655,0.009765625,0.011962890625,0.575,0.46938775510204084,0.006103515625,0.008056640625,0.6,0.45454545454545453
800,0.0011715833097696304,4096,256,0.02757805958390236,0.1571374535560608,0.4776238203048706,21.96771812438965,0.001474839635193348,0.26171875,0.06658954404527417,0.2841796875,1,3391,138.15142463235293,0.15869140625,0.06298828125,0.19692307692307692,0.49612403100775193,0.069091796875,0.0400390625,0.2508833922261484,0.4329268292682927,0.033203125,0.0283203125,0.27941176470588236,0.3275862068965517,0.0087890625,0.011962890625,0.5555555555555556,0.40816326530612246,0.005126953125,0.008056640625,0.5714285714285714,0.36363636363636365
900,0.012824257835745811,4096,256,0.04170295596122742,0.16657432913780212,0.5453858375549316,22.011301040649414,0.021818678826093674,0.26171875,0.0861236466450519,0.2841796875,1,3391,138.15142463235293,0.301513671875,0.06298828125,0.13522267206477734,0.6472868217054264,0.184326171875,0.0400390625,0.13245033112582782,0.6097560975609756,0.109619140625,0.0283203125,0.155902004454343,0.603448275862069,0.01220703125,0.011962890625,0.52,0.5306122448979592,0.007080078125,0.008056640625,0.5517241379310345,0.48484848484848486
